Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
T.NO 19,T,DD,28,18-19,244.01851781294363,4.95,63,"59°0'50""",79.84169444444444,12.602277777777777,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84169444444444 12.602277777777777, 79.84155555555554 12.602527777777777)",,,,,,,,,,,,,
DP1,T,DP,15,19-DP1,31.528675044947494,DP,63,,79.84155555555554,12.602527777777777,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84155555555554 12.602527777777777, 79.84152777777777 12.602722222222221)",,,,,,,,,,,,,
DP2,T,DP,15,DP1-P2,25.186773244895647,DP,64,,79.84152777777777,12.602722222222221,GOOD,MISSING,230KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84152777777777 12.602722222222221, 79.84163888888888 12.602944444444445)",,,,,,,,,,,,,
T.NO 20,T ,DD,28,DP2-20,28.294688127912362,4.8,64,"124°36'4""",79.84163888888888,12.602944444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84163888888888 12.602944444444445, 79.83988888888888 12.60275)",,,,,,,,,,,,,
T.NO 21,S ,DA,26,20-21,192.15700353374447,5.28,62,,79.83988888888888,12.60275,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83988888888888 12.60275, 79.83813888888888 12.602555555555556)",,,,,,,,,,,,,
T.NO 22,T,DB,24,21-22,192.049731745428,4.62,63,"1°49'52""",79.83813888888888,12.602555555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83813888888888 12.602555555555556, 79.83647222222221 12.602305555555555)",,,,,,,,,,,,,
T.NO 23,S,DA,26,22-23,185.98108011361595,3.45,71,,79.83647222222221,12.602305555555555,GOOD,GOOD,,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83647222222221 12.602305555555555, 79.83447222222222 12.602055555555555)",,,,,,,,,,,,,
T.NO 24,T,DC,26,23-24,218.9380645963435,4.05,70,"25°45'38""",79.83447222222222,12.602055555555555,GOOD,GOOD,,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83447222222222 12.602055555555555, 79.83302777777777 12.6025)",,,,,,,,,,,,,
T.NO 25,T,DB,24,24-25,164.8169710378018,5.95,68,"11°15'28""",79.83302777777777,12.6025,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83302777777777 12.6025, 79.83069444444445 12.60275)",,,,,,,,,,,,,
T.NO 26,T,DD,28,25-26,256.65015157437324,6.43,68,"47°18'40""",79.83069444444445,12.60275,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83069444444445 12.60275, 79.82922222222221 12.60475)",,,,,,,,,,,,,
T.NO 27,S,DA,26,26-27,274.64941074301623,5.14,66,,79.82922222222221,12.60475,GOOD,GOOD,LT,"TAAR ROAD,,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82922222222221 12.60475, 79.82772222222222 12.606722222222222)",,,,,,,,,,,,,
T.NO 28,S,DA,26,27-28,273.40594707164524,4.72,64,,79.82772222222222,12.606722222222222,GOOD,GOOD,2nos HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82772222222222 12.606722222222222, 79.82619444444444 12.608749999999999)",,,,,,,,,,,,,
T.NO 29,T,DD,28,28-29,280.0161285660741,4.3,61,"38°5'2""",79.82619444444444,12.608749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82619444444444 12.608749999999999, 79.82380555555555 12.609388888888889)",,,,,,,,,,,,,
T.NO 30,T,DB,24,29-30,270.09106265351886,5.85,60,"13°3'44""",79.82380555555555,12.609388888888889,GOOD,GOOD,,TAAR ROAD,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82380555555555 12.609388888888889, 79.82163888888888 12.610527777777778)",,,,,,,,,,,,,
T.NO 31,S,DA,26,30-31,267.7208278331484,4.78,59,,79.82163888888888,12.610527777777778,GOOD,GOOD,,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82163888888888 12.610527777777778, 79.81958333333333 12.611638888888889)",,,,,,,,,,,,,
T.NO 32,S,DA,26,31-32,257.4254277562972,4.25,60,,79.81958333333333,12.611638888888889,GOOD,GOOD,,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81958333333333 12.611638888888889, 79.81741666666666 12.612777777777778)",,,,,,,,,,,,,
T.NO 33,S,DA,26,32-33,265.96792258686713,5.18,61,,79.81741666666666,12.612777777777778,GOOD,GOOD,2nos HT,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81741666666666 12.612777777777778, 79.81561111111111 12.61375)",,,,,,,,,,,,,
T.NO 34,S,DA,26,33-34,224.78561169118984,5.95,61,,79.81561111111111,12.61375,GOOD,GOOD,HT,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81561111111111 12.61375, 79.81361111111111 12.614833333333333)",,,,,,,,,,,,,
T.NO 35,T,DB,24,34-35,248.9697562203907,4.15,61,"4°6'9""",79.81361111111111,12.614833333333333,GOOD,GOOD,,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81361111111111 12.614833333333333, 79.81158333333333 12.616111111111111)",,,,,,,,,,,,,
