S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,108,S,DC,28,"=B33& "" - ""&B34",346.38839998893525,8.22,28.6154079999999,,12.9992219712585,80.0854420289397,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854420289397 12.9992219712585, 80.085418978706 12.9958469979465)"
30,109,S,DC,28,"=B34& "" - ""&B35",379.77932301081074,6.09,27.0953139999999,,12.9958469979465,80.085418978706,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.085418978706 12.9958469979465, 80.0854090042412 12.992500020191)"
31,110,S,DC,28,"=B35& "" - ""&B36",376.6761401937987,3.14,26.922359,,12.992500020191,80.0854090042412,GOOD,AVAILABLE,,"ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854090042412 12.992500020191, 80.085479998961 12.9893279727548)"
32,111,S,DC,28,"=B36& "" - ""&B37",357.4117279509885,7.11,23.642664,,12.9893279727548,80.085479998961,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.085479998961 12.9893279727548, 80.0854830164462 12.9862610343843)"
33,112,S,DC,28,"=B37& "" - ""&B38",345.70228996803286,3.05,22.637571,,12.9862610343843,80.0854830164462,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854830164462 12.9862610343843, 80.0854870397597 12.983331978321)"
34,113,S,DC,28,"=B38& "" - ""&B39",330.45262516920224,6.12,22.57233,,12.983331978321,80.0854870397597,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854870397597 12.983331978321, 80.0854647438973 12.9800957255065)"
35,114,S,DC,28,"=B39& "" - ""&B40",364.4362452452349,4.07,23,,12.9800957255065,80.0854647438973,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854647438973 12.9800957255065, 80.0854727067053 12.9772118479013)"
36,115,S,DC,28,"=B40& "" - ""&B41",325.45663565498216,1.69,28.74662,,12.9772118479013,80.0854727067053,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854727067053 12.9772118479013, 80.0854845251888 12.9742032475769)"
37,116,S,DC,28,"=B41& "" - ""&B42",339.252132701897,5.02,30.615362,,12.9742032475769,80.0854845251888,GOOD,AVAILABLE,"HT, LT","ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854845251888 12.9742032475769, 80.0854910630732 12.9733002651482)"
38,117,T,DC,26,"=B42& "" - ""&B43",106.37189930209745,3.64,30.402569,48°20'2''RT,12.9733002651482,80.0854910630732,GOOD,AVAILABLE,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854910630732 12.9733002651482, 80.0857334677129 12.9732833337038)"
39,118,T,DC,28,"=B43& "" - ""&B44",31.395725016061842,4.1,28.825462,26°50'14''LT,12.9732833337038,80.0857334677129,GOOD,AVAILABLE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0857334677129 12.9732833337038, 80.0859359744936 12.9731509834527)"
40,119 ( Thirumudivakkam SS ),T,DC,26,119 - GANTRY,31,5.22,29.8068519999999,,12.9731509834527,80.0859359744936,GOOD,AVAILABLE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G45),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
