S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,90,T,DC,28,89 - 90,337.17567178615866,1.66,15.021445,22°59'57''RT,12.8839019872248,80.1651489827781,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1651489827781 12.8839019872248, 80.1676949858665 12.8851089812815)"
12,91,S,DC,28,90 - 91,311.30914211536214,4.03,15.022054,,12.8851089812815,80.1676949858665,GOOD,AVAILABLE,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1676949858665 12.8851089812815, 80.1701659709215 12.8862830344587)"
13,92,S,DC,28,91 - 92,302.3940306875556,0.94,15.3500979999999,,12.8862830344587,80.1701659709215,GOOD,AVAILABLE,"HT -2, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1701659709215 12.8862830344587, 80.1713319774717 12.8869059775024)"
14,LILO : 93/1,T,DC,28,92 - 93/1,148.55601704953503,2.75,16.606033,86°6'28''RT,12.8869059775024,80.1713319774717,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1713319774717 12.8869059775024, 80.1701679825782 12.8887009620666)"
15,93/2,T,DC,28,93/1 - 93/2,239.7869508613553,1.63,15.206542,11°41'52''RT,12.8887009620666,80.1701679825782,GOOD,AVAILABLE,"LT, HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1701679825782 12.8887009620666, 80.1694339793175 12.8905999660491)"
16,93/3,T,DC,28,93/2 - 93/3,229.11541870053634,2.85,16.482885,24°2'18''LT,12.8905999660491,80.1694339793175,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1694339793175 12.8905999660491, 80.1677320338785 12.8922810405492)"
17,93/4,T,DC,28,93/3 - 93/4,266.54159657580834,3.07,16.026821,8°11'42''RT,12.8922810405492,80.1677320338785,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1677320338785 12.8922810405492, 80.1664589904248 12.8939620312303)"
18,93/5,T,DC,28,93/4 - 93/5,236.10574021100084,2.91,18.45117,11°17'45''LT,12.8939620312303,80.1664589904248,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1664589904248 12.8939620312303, 80.1647889800369 12.8954420238733)"
19,93/6,T,DC,28,93/5 - 93/6,248.6773767431953,1.06,18.1485559999999,32°0'41''RT,12.8954420238733,80.1647889800369,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1647889800369 12.8954420238733, 80.1643390394747 12.8969920054078)"
20,93/7,T,DC,28,93/6 - 93/7,182.73823263376616,2.03,20.593321,157°19'39''LT,12.8969920054078,80.1643390394747,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1643390394747 12.8969920054078, 80.1644859742373 12.8982050344347)"
21,93/8,T,DC,28,93/7 - 93/8,139.60077552517578,0.99,20.175566,169°43'35''RT,12.8982050344347,80.1644859742373,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1644859742373 12.8982050344347, 80.1643630117177 12.9001789726316)"
22,93/9,T,DC,28,93/8 - 93/9,223.21815559006603,1.13,21.431995,16°35'47''LT,12.9001789726316,80.1643630117177,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1643630117177 12.9001789726316, 80.1637249812483 12.901889970526)"
23,93/10,T,DC,28,93/9 - 93/10,205.9946468152267,0.7,21.37471,151°40'57''LT,12.901889970526,80.1637249812483,GOOD,AVAILABLE,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1637249812483 12.901889970526, 80.1638290006667 12.9025959782302)"
24,93/11,T,DC,28,93/10 - 93/11,83.39346066039653,1.11,22.840281,100°52'5''RT,12.9025959782302,80.1638290006667,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1638290006667 12.9025959782302, 80.1635367237031 12.9026952199637)"
25,Gantry ( Madambakkam SS ),T,H-POLE,15,93/11 - Gantry ,38.056236456050655,-,24.500067,,12.9026952199637,80.1635367237031,GOOD,NO E/W,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
