S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,13B,,T,H-POLE,15,13A - 13B,23.87039313,1.04,79.616646,147°36'6''LT,12.90822996,79.89488097,GOOD,NO E/W,230KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8948809690773 12.908229958266, 79.8948640376329 12.9081570357084)"
17,14,,T,DC,28,13B - 14,10.77217414,0.6,78.270691,2°26'46''LT,12.90815704,79.89486404,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8948640376329 12.9081570357084, 79.8945580143481 12.9065189603716)"
18,15,,T,DC,28,14 - 15,186.696937,2.41,78.344711,8°22'20''LT,12.90651896,79.89455801,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8945580143481 12.9065189603716, 79.8944799788296 12.9043410066515)"
19,16,,T,DC,28,15 - 16,243.5415812,1.93,77.580566,0°30'57''RT,12.90434101,79.89447998,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8944799788296 12.9043410066515, 79.8943980038166 12.9025200381875)"
20,17,,T,DC,28,16 - 17,204.1047071,4.22,76.283646,156°12'6''RT,12.90252004,79.894398,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8943980038166 12.9025200381875, 79.8950480204075 12.9008819628506)"
21,18,,T,DC,28,17 - 18,196.9230327,0.29,53.680931,8°13'55''LT,12.90088196,79.89504802,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8950480204075 12.9008819628506, 79.896050998941 12.8991429693996)"
22,19,,T,DC,28,18 - 19,223.4944739,3.09,54.014408,46°19'22''LT,12.89914297,79.896051,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.896050998941 12.8991429693996, 79.898670008406 12.8984939586371)"
23,20,,T,DC,28,19 - 20,295.6001762,1.62,59.709713,83°4'43''LT,12.89849396,79.89867001,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.898670008406 12.8984939586371, 79.8991480283439 12.8997093345969)"
24,21,,T,MC,45,20 - 21,146.5857322,5.03,66.078041,67°43'18''RT,12.89970933,79.89914803,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8991480283439 12.8997093345969, 79.9015758465975 12.8997583687305)"
25,22,,T,MC,45,21 - 22,265.9834219,2.01,66.410568,34°5'34''LT,12.89975837,79.90157585,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9015758465975 12.8997583687305, 79.9020350072532 12.90007696487)"
26,23,,T,DC,28,22 - 23,63.52320077,1.55,69.121574,28°50'55''RT,12.90007696,79.90203501,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9020350072532 12.90007696487, 79.9022710416466 12.9001030325889)"
27,Gantry ( Vallamvadakal  SS ),2W,T,H-POLE,15,23 - Gantry ,28.27237054,,71.477478,,12.90010303,79.90227104,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
