S. No ,Tower No,Joint BoX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Eathing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 10,,S,DA,26,09-Oct,129.0658747,3.98,37,,79.85791667,12.53677778,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85791666666667 12.536777777777777, 79.85897222222222 12.536999999999999)"
12,T.NO 11,,T,DD,28,10-Nov,119.0504095,3.76,36,"75°11'24""",79.85897222,12.537,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85897222222222 12.536999999999999, 79.85961111111111 12.535694444444445)"
13,T.NO 12,,T,DB,24,11-Dec,157.0127383,4.59,34,"2°19'38""",79.85961111,12.53569444,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85961111111111 12.535694444444445, 79.86041666666667 12.533833333333334)"
14,T.NO 13,,T,DC,26,Dec-13,225.8495074,5.01,38,"22°35'14""",79.86041667,12.53383333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86041666666667 12.533833333333334, 79.86197222222222 12.532361111111111)"
15,T.NO 14,,T,DD,28,13-14,234.0619576,5.22,34,"52°52'7""",79.86197222,12.53236111,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86197222222222 12.532361111111111, 79.86397222222222 12.532666666666668)"
16,T.NO 15,,S,DA,26,14-15,219.4948747,5.82,34,,79.86397222,12.53266667,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86397222222222 12.532666666666668, 79.86619444444445 12.533000000000001)"
17,T.NO 16,,S,DA,26,15-16,243.8237068,4.23,34,,79.86619444,12.533,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86619444444445 12.533000000000001, 79.86813888888888 12.533305555555556)"
18,T.NO 17,,S,DA,26,16-17,215.5411794,4.03,36,,79.86813889,12.53330556,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86813888888888 12.533305555555556, 79.87027777777777 12.533583333333333)"
19,T.NO 18,2W,T,DD,28,17-18,232.9399064,4.52,34,"38°14'42""",79.87027778,12.53358333,Yes,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87027777777777 12.533583333333333, 79.87169444444444 12.53513888888889)"
20,T.NO 19,,S,DA,26,18-19,231.4670603,6.22,34,,79.87169444,12.53513889,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87169444444444 12.53513888888889, 79.87297222222222 12.536416666666666)"
21,T.NO 20,,S,DA,26,19-20,195.8698548,6.14,32,,79.87297222,12.53641667,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87297222222222 12.536416666666666, 79.87416666666665 12.537694444444444)"
22,T.NO 21,,T,DC,26,20-21,193.1450232,5.44,32,"20°54'22""",79.87416667,12.53769444,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87416666666665 12.537694444444444, 79.87602777777776 12.538583333333333)"
23,T.NO 22,,S,DA,26,21-22,224.9555512,4.78,35,,79.87602778,12.53858333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87602777777776 12.538583333333333, 79.87797222222221 12.5395)"
24,T.NO 23,,T,DD,28,22-23,233.4973233,5.7,42,"81°25'46""",79.87797222,12.5395,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87797222222221 12.5395, 79.87905555555555 12.537944444444443)"
25,T.NO 24,,T,DB,24,23-24,209.411079,5.05,43,"14°31'1""",79.87905556,12.53794444,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87905555555555 12.537944444444443, 79.88024999999999 12.536888888888889)"
26,T.NO 25,,S,DA,26,24-25,174.9771414,6.16,44,,79.88025,12.53688889,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88024999999999 12.536888888888889, 79.88149999999999 12.53586111111111)"
27,T.NO 26,,T,DC,26,25-26,175.8237754,4.28,42,"27°12'47""",79.8815,12.53586111,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88149999999999 12.53586111111111, 79.88344444444445 12.535388888888889)"
28,T.NO 27,,T,DD,28,26-27,219.4948747,3.7,41,"66°13'23""",79.88344444,12.53538889,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88344444444445 12.535388888888889, 79.88372222222223 12.533833333333334)"
29,T.NO 28,,S,DA,26,27-28,176.2384748,3.45,40,,79.88372222,12.53383333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88372222222223 12.533833333333334, 79.88402777777779 12.532194444444444)"
30,T.NO 29,,T,DB,24,28-29,182.0164828,2.95,41,"10°40'5""",79.88402778,12.53219444,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88402777777779 12.532194444444444, 79.88455555555556 12.530861111111111)"
31,T.NO 30,,T,DD,28,29-30,160.1124605,4.82,42,"73°3'19""",79.88455556,12.53086111,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88455555555556 12.530861111111111, 79.8858888888889 12.530944444444446)"
32,T.NO 31,,T,DC,26,30-31,146.2771342,3.18,42,"15°38'14""",79.88588889,12.53094444,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8858888888889 12.530944444444446, 79.88716666666667 12.530666666666667)"
33,T.NO 32,,S,DA,26,31-32,140.0357097,3.66,48,,79.88716667,12.53066667,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88716666666667 12.530666666666667, 79.88830555555556 12.530444444444445)"
34,T.NO 33,,T,DD,28,32-33,126.9054766,4.1,43,"58°15'28""",79.88830556,12.53044444,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88830555555556 12.530444444444445, 79.88886111111111 12.52888888888889)"
35,T.NO 34,2W,T,DD,28,33-34,181.5543996,4.29,40,"33°36'20""",79.88886111,12.52888889,Yes,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88886111111111 12.52888888888889, 79.8883888888889 12.526972222222224)"
36,T.NO 35,,T,DB,24,34-35,219.4948747,3.21,37,"2°20'51""",79.88838889,12.52697222,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8883888888889 12.526972222222224, 79.888 12.525027777777778)"
37,T.NO 36,,S,DA,26,35-36,218.4765434,5.72,38,,79.888,12.52502778,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.888 12.525027777777778, 79.88772222222222 12.52363888888889)"
38,T.NO 37,,S,DA,26,36-37,156.8948693,4.32,38,,79.88772222,12.52363889,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88772222222222 12.52363888888889, 79.88744444444445 12.522250000000001)"
39,T.NO 38,,S,DA,26,37-38,155.1289786,3.16,41,,79.88744444,12.52225,,,GOOD,GOOD,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88744444444445 12.522250000000001, 79.8871388888889 12.520916666666668)"
40,T.NO 39,,S,DA,26,38-39,153.5871088,4.32,42,,79.88713889,12.52091667,,,GOOD,GOOD,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8871388888889 12.520916666666668, 79.88688888888889 12.519722222222223)"
41,T.NO 40,,T,DD,28,39-40,134.7330694,3.32,43,"65°42'57""",79.88688889,12.51972222,,,GOOD,GOOD,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88688888888889 12.519722222222223, 79.88825000000001 12.518777777777778)"
42,T.NO 41,,T,DC,26,40-41,179.0251379,3.21,45,"21°24'54""",79.88825,12.51877778,,,GOOD,GOOD,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88825000000001 12.518777777777778, 79.88911111111112 12.517472222222223)"
43,T.NO 42,,T,DB,24,41-42,172.2614292,4.61,46,"10°20'17""",79.88911111,12.51747222,,,GOOD,GOOD,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88911111111112 12.517472222222223, 79.88986111111112 12.515638888888889)"
44,T.NO 43,,T,DC,26,42-43,218.3872707,4.71,47,"23°11'18""",79.88986111,12.51563889,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88986111111112 12.515638888888889, 79.8908888888889 12.514666666666667)"
45,T.NO 44,,T,DD,28,43-44,154.1557654,4.32,48,"46°22'5""",79.89088889,12.51466667,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8908888888889 12.514666666666667, 79.8908888888889 12.514055555555556)"
46,T.NO 45,,T,DD,28,44-45,68.00735254,3.52,49,"81°16'6""",79.89088889,12.51405556,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8908888888889 12.514055555555556, 79.89241666666668 12.513805555555555)"
47,T.NO 46,,T,DD,28,45-46,168.3448841,4.35,54,"77°3'34""",79.89241667,12.51380556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89241666666668 12.513805555555555, 79.89250000000001 12.512277777777777)"
48,T.NO 47,,T,DD,28,46-47,170.2938637,2.8,60,"103°44'11""",79.8925,12.51227778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89250000000001 12.512277777777777, 79.89275 12.512333333333334)"
49,GT-MADURANDHAGAM 110kv SS,2W,T,GT,15,47-GT,27.20294102,,61,,79.89275,12.51233333,Yes,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,110KV MADHURANDHAGAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,8702M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
