S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,T.NO-5,,S,DA,26,06-May,278.4851881,4.09,45,,12.88419444,79.69552778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69552777777778 12.884194444444445, 79.69802777777778 12.883638888888889)"
31,T.NO-4,,T,DC,26,05-Apr,278.7561659,,41,"1°11'18""",12.88363889,79.69802778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69802777777778 12.883638888888889, 79.70044444444444 12.883083333333333)"
32,T.NO-3,,S,DA,26,04-Mar,267.7610875,,41,,12.88308333,79.70044444,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70044444444444 12.883083333333333, 79.70288888888889 12.882472222222223)"
33,T.NO-2,,T,DC,26,03-Feb,274.5541841,,40,"18°43'15""",12.88247222,79.70288889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70288888888889 12.882472222222223, 79.70516666666667 12.882666666666667)"
34,T.NO-1 LILO,3W,T,DC,26,2-1 LILO,248.7267577,,39,"81°24'30""",12.88266667,79.70516667,GOOD,GOOD,,,WATER LOGGED,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70516666666667 12.882666666666667, 79.70558333333334 12.880944444444445)"
35,T.NO-1,,S,DA,26,1 LILO-1,196.002551,,40,,12.88094444,79.70558333,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70558333333334 12.880944444444445, 79.70616666666668 12.878444444444446)"
36,T.NO-2,,S,DA,26,01-Feb,283.8538356,,39,,12.87844444,79.70616667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70616666666668 12.878444444444446, 79.70677777777779 12.875777777777778)"
37,T.NO-3,,S,DA,26,02-Mar,302.0761493,,38,,12.87577778,79.70677778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70677777777779 12.875777777777778, 79.70736111111111 12.873305555555556)"
38,T.NO-4,,T,DC,26,03-Apr,279.9517816,,40,"4°2'57""",12.87330556,79.70736111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70736111111111 12.873305555555556, 79.70741666666667 12.872944444444444)"
39,T.NO-5DP,,GT,GT,15,04-May,39.45883931,,41,,12.87294444,79.70741667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70741666666667 12.872944444444444, 79.70741666666667 12.872583333333333)"
40,T.NO-6DP,,GT,GT,15,05-Jun,41.01219331,,41,,12.87258333,79.70741667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70741666666667 12.872583333333333, 79.70738888888889 12.872222222222224)"
41,T.NO-7,2W,T,DC,26,06-Jul,40.19950248,,40,,12.87222222,79.70738889,GOOD,GOOD,230KV-1 XING ABOVE,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
