S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,T,DC,28,09-Oct,163.3306291,2.41,48.826077,33°0'36''LT,12.75351402,79.99182799,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9918279889971 12.7535140234977, 79.9921849742531 12.7562190312892)"
12,11,,S,DC,28,10-Nov,304.175112,0.62,48.425507,,12.75621903,79.99218497,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9921849742531 12.7562190312892, 79.9925027322024 12.7588914334774)"
13,12,2W,T,DC,28,11-Dec,300.0754452,-,46.160858,37°28'4''LT,12.75889143,79.99250273,GOOD,AVAILABLE,HT,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9925027322024 12.7588914334774, 79.9942019954323 12.7606358751654)"
14,13,,S,DC,28,Dec-13,269.4359134,-,46,,12.76063588,79.994202,GOOD,AVAILABLE,400KV,,Water logged,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9942019954323 12.7606358751654, 79.9959082156419 12.7623900398612)"
15,14,,S,DC,28,13 - 14,270.7341876,-,45,,12.76239004,79.99590822,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9959082156419 12.7623900398612, 79.9977417569607 12.7642589528113)"
16,15,,S,DC,28,14 - 15,289.4598408,-,45,,12.76425895,79.99774176,GOOD,AVAILABLE,,CANAL,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9977417569607 12.7642589528113, 79.9996609613299 12.7662100084126)"
17,16,,S,DC,28,15 - 16,302.4535208,2.8,47.611122,,12.76621001,79.99966096,GOOD,AVAILABLE,"LT, HT",ROAD,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9996609613299 12.7662100084126, 80.0003010034561 12.7667509764432)"
18,17,,S,DC,28,16 - 17,94.19219719,4.11,49.028778,20°31'55''RT,12.76675098,80.000301,GOOD,NO E/W,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0003010034561 12.7667509764432, 80.0005750078707 12.7672399766743)"
19,18,,S,DC,28,17 - 18,64.22370029,3.17,50.320374,18°32'49''LT,12.76723998,80.00057501,GOOD,NO E/W,,MUD ROAD,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0005750078707 12.7672399766743, 80.0014510005712 12.7680339943617)"
20,19,,S,DC,28,18 - 19,131.9419816,5.9,48.748417,,12.76803399,80.001451,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0014510005712 12.7680339943617, 80.0029729865491 12.7695900108665)"
21,20,,S,DC,28,19 - 20,241.0690888,4.23,50.043976,,12.76959001,80.00297299,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0029729865491 12.7695900108665, 80.0051100365817 12.7716829720884)"
22,21,2W,T,DC,28,20 - 21,330.223869,1.31,50.27029,19°28'43''RT,12.77168297,80.00511004,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0051100365817 12.7716829720884, 80.0061990134418 12.7739040087908)"
23,22,,S,DC,28,21 - 22,275.1115161,2.9,48.894863,,12.77390401,80.00619901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0061990134418 12.7739040087908, 80.007278015837 12.7761539630591)"
24,23,,S,DC,28,22 - 23,277.5335916,4.74,49.698948,,12.77615396,80.00727802,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.007278015837 12.7761539630591, 80.0083410087972 12.7783520333468)"
25,24,,S,DC,28,23 - 24,271.6024165,6.55,49.084328,,12.77835203,80.00834101,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0083410087972 12.7783520333468, 80.0094019901007 12.7805480081588)"
26,25,,S,DC,28,24 - 25,271.2989518,2.98,50.974407,,12.78054801,80.00940199,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0094019901007 12.7805480081588, 80.010460037738 12.782663013786)"
27,26,,T,DC,28,25 - 26,263.094655,3.9,53.189301,34°48'55''LT,12.78266301,80.01046004,GOOD,AVAILABLE,"LT, HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.010460037738 12.782663013786, 80.0121889729052 12.7836059778928)"
28,27,,T,DC,28,26 - 27,217.2072561,1.65,53.362385,129°13'9''RT,12.78360598,80.01218897,GOOD,AVAILABLE,HT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0121889729052 12.7836059778928, 80.012920545414 12.783307833597)"
29,28,,T,DC,28,27 - 28,88.48626964,0.34,54.93388,91°45'4''LT,12.78330783,80.01292055,GOOD,AVAILABLE,LT,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.012920545414 12.783307833597, 80.0136660318821 12.7849882375448)"
30,29,,S,DC,28,28 - 29,205.2059758,1.22,55.972626,,12.78498824,80.01366603,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0136660318821 12.7849882375448, 80.0141870509833 12.786172768101)"
31,30,,T,DC,28,29 - 30,145.1955097,1.59,58.771431,57°2'47''LT,12.78617277,80.01418705,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0141870509833 12.786172768101, 80.0156559795141 12.7864109817892)"
32,31,,T,DC,28,30 - 31,164.1123545,0.73,59.559711,6°23'39''RT,12.78641098,80.01565598,GOOD,AVAILABLE,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0156559795141 12.7864109817892, 80.0165619794279 12.7866640314459)"
33,32,,T,DC,28,31 - 32,104.7498633,0.21,61.089336,113°57'43''RT,12.78666403,80.01656198,GOOD,AVAILABLE,110KV,,PLAIN,DOWNLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0165619794279 12.7866640314459, 80.0164240133017 12.7868309989571)"
34,Gantry ( Maraimalai Nagar SS ),2W,T,H-POLE,15,32 - Gantry ,26.27597198,-,61.16222,,12.786831,80.01642401,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
