S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,T.NO 38,,S,DA,26,37-38,289,8.15,74,,79.65072222,12.58197222,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65072222222223 12.581972222222221, 79.64991666666667 12.579472222222222)"
38,T.NO 37,,T,DC,26,36-37,259,,77,"28°27'10""",79.64991667,12.57947222,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64991666666667 12.579472222222222, 79.64819444444446 12.577833333333333)"
37,T.NO 36,,S,DA,26,35-36,297,,76,,79.64819444,12.57783333,,,GOOD,GOOD,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64819444444446 12.577833333333333, 79.64625000000001 12.575944444444444)"
36,T.NO 35,,S,DA,26,34-35,251,,73,,79.64625,12.57594444,,,GOOD,GOOD,"LT,HT",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64625000000001 12.575944444444444, 79.64463888888889 12.574333333333334)"
35,T.NO 34,,S,DA,26,33-34,243,17.96,74,,79.64463889,12.57433333,,,GOOD,GOOD,"2NOS LT,HT",ROAD,"PLAIN, CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64463888888889 12.574333333333334, 79.64305555555556 12.572805555555556)"
34,T.NO 33,,T,DC,26,32-33,241,5.28,75,"29°6'19""",79.64305556,12.57280556,,,GOOD,GOOD,2NOS LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64305555555556 12.572805555555556, 79.64091666666667 12.57225)"
33,T.NO 32,,S,DA,26,31-32,291,4.89,73,,79.64091667,12.57225,,,GOOD,GOOD,2NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64091666666667 12.57225, 79.63833333333334 12.5715)"
32,T.NO 31,,S,DA,26,30-31,267,,84,,79.63833333,12.5715,,,GOOD,GOOD,,,"CANAL, POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63833333333334 12.5715, 79.63597222222224 12.57086111111111)"
31,T.NO 30,,S,DA,26,29-30,266,9.1,82,,79.63597222,12.57086111,,,GOOD,GOOD,,,"PLAIN, POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63597222222224 12.57086111111111, 79.63361111111112 12.570194444444445)"
30,T.NO 29,,T,DD,28,28-29,286,7.18,79,"39°1'29""",79.63361111,12.57019444,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63361111111112 12.570194444444445, 79.6321111111111 12.568083333333334)"
