S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,14,KSR+3M,35,13-14,270,=F19,9.8,,"05°50'51""(RT)",12.54574849395946,78.48516135519452,GOOD,NO,,COONUT GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48516135519452 12.54574849395946, 78.48397071622318 12.543343035864162)"
15,15,KSR+3,35,14-15,295,=F20,9.4,,"03°05'38""(RT)",12.543343035864162,78.48397071622318,GOOD,NO,HT LINE 2 NOS & LT LINE 1 NOS,"MANGO GROOVE, VELAKKALNATHAM -PUDHUPET B.T ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48397071622318 12.543343035864162, 78.4828676670156 12.541390151278224)"
16,16,KSR+3,35,15-16,250,=F21,8.6,,"07°02'40""(RT)",12.541390151278224,78.4828676670156,GOOD,NO,LT LINE -2 NOS,COCONUT GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4828676670156 12.541390151278224, 78.48139705788407 12.5394067114976)"
17,17,KSR+6,35,16-17,275,=F22,11.1,,"08°47'14""(LT)",12.5394067114976,78.48139705788407,GOOD,NO,,LAKE BUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48139705788407 12.5394067114976, 78.48028642645495 12.537291120146838)"
18,18,LSR+3,35,17-18,265,=F23,10.7,,"32°44'36""(LT)",12.537291120146838,78.48028642645495,GOOD,NO,LT -1 NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48028642645495 12.537291120146838, 78.48048055860546 12.535296193143603)"
19,19,KSR+3,35,18-19,225,=F24,10.4,,"31°06'45""(RT)",12.535296193143603,78.48048055860546,GOOD,NO,LT LINE - 1 NOS,VELAKKALNATHAM -PANIYANDAPALLI B.T ROAD MANGO GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48048055860546 12.535296193143603, 78.47945560665927 12.532883249229764)"
20,20,KSR+3,35,19-20,290,=F25,9.6,,"03°20'07""(LT)",12.532883249229764,78.47945560665927,GOOD,NO,LT LINE 1 NOS,MANGO GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47945560665927 12.532883249229764, 78.47855012523208 12.53048046099231)"
21,21,KSR+3,35,20-21,285,=F26,9.3,,"06°10'16""(RT)",12.53048046099231,78.47855012523208,GOOD,NO,LT LINE 1 NOS & HT LINE -1 NOS,MANGO & COCONUT Groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47855012523208 12.53048046099231, 78.47743122653873 12.528274439767701)"
22,22,LSR+3,35,21-22,275,=F27,10.2,,"38°52'31""(LT)",12.528274439767701,78.47743122653873,GOOD,NO,,mango groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47743122653873 12.528274439767701, 78.47669916784247 12.52600880453734)"
23,23,LSR,35,22-23,265,=F28,11.2,,"47°29'28""(RT)",12.52600880453734,78.47669916784247,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47669916784247 12.52600880453734, 78.47577447301501 12.525584508096504)"
24,24,LSR WITH X CROSSARM,35,23-24,110,=F29,9.1,,,12.525584508096504,78.47577447301501,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,GANTRY,35,24-GANTRY,40,=F30,,,,,,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
