S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,T.NO 66 LILO SOTHUPERUMBEDU,T,DD,28,65-66,288.0642289490314,3.85,,"42°45'58""",80.17180555555557,13.264944444444444,GOOD,GOOD,765kv CROSSING ABOVE,"RIVER,ROAD",PLAIN,SOTHUPERUMBEU LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17180555555557 13.264944444444444, 80.171 13.267083333333334)"
37,T.NO 67,S,DA,26,66-67,251.87298386289865,2.84,19,,80.171,13.267083333333334,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.171 13.267083333333334, 80.17019444444445 13.269250000000001)"
38,T.NO 68,S,DA,26,67-68,256.2225595063791,3.09,,,80.17019444444445,13.269250000000001,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17019444444445 13.269250000000001, 80.16927777777778 13.271694444444446)"
39,T.NO 69,S,DA,26,68-69,286.89545134072796,1.95,,,80.16927777777778,13.271694444444446,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16927777777778 13.271694444444446, 80.16833333333334 13.274194444444445)"
40,T.NO 70,S,DA,26,69-70,293.8996427354072,2.8,,,80.16833333333334,13.274194444444445,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16833333333334 13.274194444444445, 80.16752777777778 13.276472222222223)"
41,T.NO 71,S,DA,26,70-71,267.86750456149025,1.85,20,,80.16752777777778,13.276472222222223,GOOD,GOOD,LT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16752777777778 13.276472222222223, 80.16655555555556 13.278944444444445)"
42,T.NO 72,S,DA,26,71-72,294.3637205907005,2.65,,,80.16655555555556,13.278944444444445,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16655555555556 13.278944444444445, 80.16602777777778 13.280444444444445)"
43,T.NO 73,T,DD,28,72-73,174.8742405273001,4.38,21,"31°29'15""",80.16602777777778,13.280444444444445,GOOD,GOOD,"HT-4,LT-3",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16602777777778 13.280444444444445, 80.16394444444445 13.282055555555557)"
44,T.NO 74,T,DB,24,73-74,286.7350693584585,3.05,20,"3°2'2""",80.16394444444445,13.282055555555557,GOOD,GOOD,400kv CROSSING ABOVE,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16394444444445 13.282055555555557, 80.16308333333333 13.282666666666668)"
45,T.NO 75,T,DB,24,74-75,103.60019305001319,1.52,20,"3°6'13""",80.16308333333333,13.282666666666668,GOOD,GOOD,230kv CROSSING ABOVE,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16308333333333 13.282666666666668, 80.16061111111112 13.284)"
46,T.NO 76,S,DA,26,75-76,317.80497164141406,1.86,,,80.16061111111112,13.284,GOOD,GOOD,"LT,HT",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16061111111112 13.284, 80.15972222222223 13.285277777777777)"
47,T.NO 77,T,DC,26,76-77,181.81859090863068,3.08,16,"19°0'40""",80.15972222222223,13.285277777777777,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15972222222223 13.285277777777777, 80.15877777777779 13.286666666666667)"
48,T.NO 78,S,DA,26,77-78,175.1142484208524,2.15,15,,80.15877777777779,13.286666666666667,GOOD,GOOD,LT-2,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15877777777779 13.286666666666667, 80.15758333333333 13.288499999999999)"
49,T.NO 79,S,DA,26,78-79,239.45354455509738,2.51,,,80.15758333333333,13.288499999999999,GOOD,GOOD,HT,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15758333333333 13.288499999999999, 80.15666666666667 13.29)"
50,T.NO 80,S,DA,26,79-80,193.27959023135372,2.93,14,,80.15666666666667,13.29,GOOD,GOOD,"HT,LT-2",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15666666666667 13.29, 80.1555 13.291777777777778)"
51,T.NO 81,T,DB,24,80-81,221.60550534677608,3.42,14,"10°45'1""",80.1555,13.291777777777778,GOOD,GOOD,230kv CROSSING ABOVE,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1555 13.291777777777778, 80.15391666666667 13.293305555555555)"
52,T.NO 82,S,DA,26,81-82,254.55844122715712,4.28,,,80.15391666666667,13.293305555555555,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15391666666667 13.293305555555555, 80.15277777777779 13.294583333333334)"
53,T.NO 83,S,DA,26,82-83,264.5467822522134,3.16,,,80.15277777777779,13.294583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15277777777779 13.294583333333334, 80.15105555555556 13.296416666666666)"
54,T.NO 84,T,DC,26,83-84,196.08416560242696,4.15,14,"16°17'12""",80.15105555555556,13.296416666666666,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15105555555556 13.296416666666666, 80.15050000000001 13.2975)"
55,T.NO 85,T,DD,28,84-85,135.50645741070792,6.35,14,"54°9'42""",80.15050000000001,13.2975,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15050000000001 13.2975, 80.15075 13.298)"
56,GANTRY ( 110KV PANJETTY SS ),T,GT,15,85-86,60.8276253029822,,13,,80.15075,13.298,GOOD,MISSING,,,PLAIN,110KV PANJETTY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
