S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,T.NO 27,T,SD,28,26-27,155.987096237074,3.23,108,"53°38'33""",79.58966666666666,13.24547222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58966666666666 13.24547222222222, 79.58913888888888 13.246722222222221)"
31,T.NO 28,T,SB,24,27-28,149.556386601183,4.17,102,"13°19'51""",79.58913888888888,13.246722222222221,GOOD,GOOD,"HT1,LT1",ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58913888888888 13.246722222222221, 79.58894444444444 13.248083333333332)"
32,T.NO 29,T,SC,26,28-29,151.615404258661,2.75,101,"17°55'45""",79.58894444444444,13.248083333333332,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58894444444444 13.248083333333332, 79.58913888888888 13.249305555555555)"
33,T.NO 30,T,SD,28,29-30,139.9172415505,3.64,103,"37°23'38""",79.58913888888888,13.249305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58913888888888 13.249305555555555, 79.58836111111111 13.250722222222223)"
34,T.NO 31,T,SC,26,30-31,178.589414098927,2.17,108,"28°9'18""",79.58836111111111,13.250722222222223,GOOD,GOOD,,CANAL1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58836111111111 13.250722222222223, 79.58669444444443 13.251833333333334)"
35,T.NO 32,T,SB,24,31-32,219.277346511268,2.58,109,"1°9'10""",79.58669444444443,13.251833333333334,GOOD,GOOD,,CANAL1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58669444444443 13.251833333333334, 79.58525 13.252722222222221)"
36,T.NO 33,T,SB,24,32-33,185.458667456967,3.09,111,"3°10'26""",79.58525,13.252722222222221,GOOD,GOOD,HT1,CANAL1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58525 13.252722222222221, 79.58399999999999 13.253416666666666)"
37,T.NO 34,T,SD,28,33-34,158.648342839371,2.76,111,"38°44'42""",79.58399999999999,13.253416666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58399999999999 13.253416666666666, 79.5826111111111 13.253194444444444)"
38,T.NO 35,T,SB,24,34-35,152.907866814066,1.95,109,"1°23'22""",79.5826111111111,13.253194444444444,GOOD,GOOD,HT1,"HW ROAD,RAILWAY TRACK",PLAIN,RAILWAY CROSSING NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5826111111111 13.253194444444444, 79.581 13.252888888888888)"
39,T.NO 36,T,SC,26,35-36,176.934646957329,2.95,115,"20°31'43""",79.581,13.252888888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.581 13.252888888888888, 79.57894444444445 13.25163888888889)"
