S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,=B20+1,Suspension,SA+0,26,"=CONCATENATE(B20,""-"",B21)",176,8.4,357,,12.699772222222222,78.6502138888889,OK,OK,11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6502138888889 12.699772222222222, 78.65160555555556 12.700427777777778)"
17,=B21+1,Tension,SD+0,28,"=CONCATENATE(B21,""-"",B22)",171,6.35,361,"42°8'59.98""LT",12.700427777777778,78.65160555555556,OK,OK,Three LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65160555555556 12.700427777777778, 78.65225555555556 12.701869444444444)"
18,=B22+1,Suspension,SA+0,26,"=CONCATENATE(B22,""-"",B23)",179,7.38,358,,12.701869444444444,78.65225555555556,OK,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65225555555556 12.701869444444444, 78.65285 12.703319444444444)"
19,=B23+1,Tension,SC+0,26,"=CONCATENATE(B23,""-"",B24)",176,8.1,357,"27°22’30.89""RT",12.703319444444444,78.65285,OK,OK,"LT, 11kv",CTR,Plain,Purushottakuppam Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65285 12.703319444444444, 78.65501388888889 12.705163888888888)"
20,=B24+1,Suspension,SA+0,26,"=CONCATENATE(B24,""-"",B25)",316,9.3,360,,12.705163888888888,78.65501388888889,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65501388888889 12.705163888888888, 78.65665833333334 12.706616666666665)"
21,=B25+1,Suspension,SA+0,26,"=CONCATENATE(B25,""-"",B26)",245,9.5,361,,12.706616666666665,78.65665833333334,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65665833333334 12.706616666666665, 78.65830000000001 12.70802222222222)"
22,=B26+1,Suspension,SA+0,26,"=CONCATENATE(B26,""-"",B27)",241,7.01,358,,12.70802222222222,78.65830000000001,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65830000000001 12.70802222222222, 78.65993611111112 12.709447222222222)"
23,=B27+1,Suspension,SA+0,26,"=CONCATENATE(B27,""-"",B28)",240,6.1,359,,12.709447222222222,78.65993611111112,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65993611111112 12.709447222222222, 78.66184444444445 12.7111)"
24,=B28+1,Tension,SC+0,26,"=CONCATENATE(B28,""-"",B29)",279,5.1,364,"17°13'1.58""LT",12.7111,78.66184444444445,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66184444444445 12.7111, 78.66309444444445 12.713097222222222)"
25,=B29+1,Suspension,SA+0,26,"=CONCATENATE(B29,""-"",B30)",264,3.2,351,,12.713097222222222,78.66309444444445,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66309444444445 12.713097222222222, 78.66446388888889 12.715361111111111)"
26,=B30+1,Suspension,SA+0,26,"=CONCATENATE(B30,""-"",B31)",294,1.44,349,,12.715361111111111,78.66446388888889,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66446388888889 12.715361111111111, 78.6658888888889 12.717622222222221)"
27,=B31+1,Suspension,SA+0,26,"=CONCATENATE(B31,""-"",B32)",302,6.09,349,,12.717622222222221,78.6658888888889,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6658888888889 12.717622222222221, 78.66708611111112 12.719630555555556)"
28,=B32+1,Suspension,SA+0,26,"=CONCATENATE(B32,""-"",B33)",259,5.07,348,,12.719630555555556,78.66708611111112,OK,OK,LT,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66708611111112 12.719630555555556, 78.66790277777778 12.720947222222222)"
29,=B33+1,Tension,SD+18,40,"=CONCATENATE(B33,""-"",B34)",177,4.08,347,"57°34'43.22""LT",12.720947222222222,78.66790277777778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66790277777778 12.720947222222222, 78.66750833333334 12.72173888888889)"
30,=B34+1,Tension,SD+18,40,"=CONCATENATE(B34,""-"",B35)",103,2.09,344,"2°45'49.9""LT",12.72173888888889,78.66750833333334,OK,OK,25kv,Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66750833333334 12.72173888888889, 78.66612222222223 12.724330555555555)"
31,=B35+1,Tension,SD+18,40,"=CONCATENATE(B35,""-"",B36)",328,2.3,338,"9°31’10.21""RT",12.724330555555555,78.66612222222223,OK,OK,-,NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66612222222223 12.724330555555555, 78.66510000000001 12.727283333333334)"
32,=B36+1,Tension,SB+0,24,"=CONCATENATE(B36,""-"",B37)",350,14.6,336,"1°55'39.34""LT",12.727283333333334,78.66510000000001,OK,OK,"LT, Three 11kv","Road, Pond",Plain,Low Clearance between Conductor and Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66510000000001 12.727283333333334, 78.66456388888889 12.728708333333334)"
33,=B37+1,Tension,DD+3,31,"=CONCATENATE(B37,""-"",B38)",173,8,336,"77°24’37.11""RT",12.728708333333334,78.66456388888889,Rusted Old Tower,OK,-,-,Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66456388888889 12.728708333333334, 78.66671388888889 12.730127777777778)"
34,=B38+1,Suspension,DA+0,26,"=CONCATENATE(B38,""-"",B39)",283,6.17,337,,12.730127777777778,78.66671388888889,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66671388888889 12.730127777777778, 78.66880833333333 12.731508333333334)"
35,=B39+1,Tension,DB+0,24,"=CONCATENATE(B39,""-"",B40)",275,14,333,"9°43'44.84""RT",12.731508333333334,78.66880833333333,Rusted Old Tower,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66880833333333 12.731508333333334, 78.67085277777778 12.732413888888889)"
36,=B40+1,Suspension,DA+0,26,"=CONCATENATE(B40,""-"",B41)",251,8.4,337,,12.732413888888889,78.67085277777778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67085277777778 12.732413888888889, 78.67265833333335 12.733213888888889)"
37,=B41+1,Suspension,DA+0,26,"=CONCATENATE(B41,""-"",B42)",219,7.9,335,,12.733213888888889,78.67265833333335,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67265833333335 12.733213888888889, 78.67462222222223 12.734108333333333)"
38,=B42+1,Tension,DB+0,24,"=CONCATENATE(B42,""-"",B43)",236,12,341,"14°9'31.13""RT",12.734108333333333,78.67462222222223,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67462222222223 12.734108333333333, 78.677175 12.734555555555554)"
39,=B43+1,Suspension,DA+0,26,"=CONCATENATE(B43,""-"",B44)",288,11,340,,12.734555555555554,78.677175,OK,OK,-,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.677175 12.734555555555554, 78.67963055555556 12.734919444444444)"
40,=B44+1,Tension,DC+0,26,"=CONCATENATE(B44,""-"",B45)",272,10,340,"19°50'25.99""RT",12.734919444444444,78.67963055555556,OK,OK,Two 11kv,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67963055555556 12.734919444444444, 78.68003611111112 12.734841666666666)"
41,Vinnamangalam Gantry,,Gantry,15,"=CONCATENATE(B45,""-"",B46)",52,-,343,,12.734841666666666,78.68003611111112,OK,NO,-,-,Plain,No Peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G7:G46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
