S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,T.NO-19,,S,DA,28,18-19,212.433519,40,6.31,,13.227,80.0775,GOOD,GOOD,11KV-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0775 13.227, 80.0761 13.2283)"
30,T.NO-20,,T,DD,28,19-20,215.8633827,40,5.32,"5°28'20"" ",13.2283,80.0761,GOOD,GOOD,"11KV-1,400KV-1 XING ABOVE",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0761 13.2283, 80.0747 13.2299)"
31,T.NO-21,,T,DD,28,20-21,227.2993621,41,4.41,"1°44'39"" ",13.2299,80.0747,GOOD,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0747 13.2299, 80.073 13.2315)"
32,T.NO-22,,T,DD,34,21-22,251.7935662,41,5.91,"8°31'55"" ",13.2315,80.073,GOOD,GOOD,,RIVER-1,PLAIN,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.073 13.2315, 80.0715 13.2337)"
33,T.NO-23,,T,DD,34,22-23,298.5297305,41,3.27,"21°46'9"" ",13.2337,80.0715,GOOD,GOOD,,CANAL-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0715 13.2337, 80.0693 13.2351)"
34,T.NO-24,,T,DD,30,23-24,273.2068813,41,4.31,"11°55'32"" ",13.2351,80.0693,GOOD,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0693 13.2351, 80.0673 13.2358)"
35,T.NO-25,,S,DA,28,24-25,235.8495283,41,3.74,,13.2358,80.0673,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0673 13.2358, 80.0651 13.2367)"
36,T.NO-26,,S,DA,28,25-26,261.2757164,41,3.84,,13.2367,80.0651,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0651 13.2367, 80.0625 13.2376)"
37,T.NO-27,,S,DA,28,26-27,295.4471188,41,3.94,,13.2376,80.0625,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0625 13.2376, 80.0604 13.2384)"
38,T.NO-28,,T,DD,28,27-28,247.1942556,45,4.17,"15°7'5"" ",13.2384,80.0604,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0604 13.2384, 80.0584 13.2386)"
39,T.NO-1 LILO M/C,3W,T,DD,52,28- 1 LILO,220.102249,45,5.12,"12°51'41"" ",13.2386,80.0584,GOOD,GOOD,,,PLAIN,NEED THREE JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0584 13.2386, 80.0577 13.2385)"
