S.No,Tower No.,Tower Suspension / Tension,Tower Type,SC or DC,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,348,Suspension,SA+0,SC,26,"=CONCATENATE(B22,""-"",B23)",254,-,69,,12.891036111111111,79.7746361111111,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7746361111111 12.891036111111111, 79.77252222222222 12.889977777777776)"
19,349,Tension,SB+0,SC,24,"=CONCATENATE(B23,""-"",B24)",261,-,70,"11°32'57.66""LT",12.889977777777776,79.77252222222222,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77252222222222 12.889977777777776, 79.77083333333333 12.888694444444443)"
20,350,Suspension,SA+0,SC,26,"=CONCATENATE(B24,""-"",B25)",235,-,69,,12.888694444444443,79.77083333333333,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77083333333333 12.888694444444443, 79.76908888888889 12.887319444444444)"
21,351,Suspension,SA+0,SC,26,"=CONCATENATE(B25,""-"",B26)",244,-,69,,12.887319444444444,79.76908888888889,GOOD,NO E/W,400kv ,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76908888888889 12.887319444444444, 79.76731666666666 12.885938888888889)"
22,352,Suspension,SA+0,SC,26,"=CONCATENATE(B26,""-"",B27)",250,-,70,,12.885938888888889,79.76731666666666,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76731666666666 12.885938888888889, 79.76554444444444 12.884575)"
23,353,Suspension,SA+0,SC,26,"=CONCATENATE(B27,""-"",B28)",245,-,69,,12.884575,79.76554444444444,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76554444444444 12.884575, 79.76379166666666 12.883191666666667)"
24,354,Suspension,SA+0,SC,26,"=CONCATENATE(B28,""-"",B29)",247,-,69,,12.883191666666667,79.76379166666666,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76379166666666 12.883191666666667, 79.76213888888888 12.881927777777777)"
25,355,Suspension,SA+0,SC,26,"=CONCATENATE(B29,""-"",B30)",231,-,70,,12.881927777777777,79.76213888888888,GOOD,NO E/W,-,Lake,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76213888888888 12.881927777777777, 79.76050555555555 12.880616666666667)"
26,356,Suspension,SA+0,SC,26,"=CONCATENATE(B30,""-"",B31)",231,10.1,69,,12.880616666666667,79.76050555555555,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76050555555555 12.880616666666667, 79.75871388888889 12.879225)"
27,357,Suspension,SA+0,SC,26,"=CONCATENATE(B31,""-"",B32)",249,-,73,,12.879225,79.75871388888889,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75871388888889 12.879225, 79.75698055555556 12.87786111111111)"
28,358,Suspension,SA+0,SC,26,"=CONCATENATE(B32,""-"",B33)",246,-,76,,12.87786111111111,79.75698055555556,GOOD,NO E/W,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75698055555556 12.87786111111111, 79.7552 12.876513888888889)"
29,359,Suspension,SA+0,SC,26,"=CONCATENATE(B33,""-"",B34)",247,9,77,,12.876513888888889,79.7552,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7552 12.876513888888889, 79.75341666666667 12.875158333333333)"
30,360,Tension,SB+6,SC,30,"=CONCATENATE(B34,""-"",B35)",247,3.6,77,"3°42'39.39""LT",12.875158333333333,79.75341666666667,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75341666666667 12.875158333333333, 79.75196944444444 12.873877777777778)"
31,361,Tension,SD+9,SC,37,"=CONCATENATE(B35,""-"",B36)",216,0.2,78,"37°52’32.68""RT",12.873877777777778,79.75196944444444,GOOD,NO E/W,"LT, HT",National Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75196944444444 12.873877777777778, 79.74995 12.873697222222223)"
32,362,Tension,SD+9,SC,37,"=CONCATENATE(B36,""-"",B37)",225,2.1,79,"0°15’40.32""LT",12.873697222222223,79.74995,GOOD,GOOD,-,Company,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74995 12.873697222222223, 79.74856111111112 12.87363611111111)"
33,363,Tension,SD+9,SC,37,"=CONCATENATE(B37,""-"",B38)",157,1.5,78,"76°30’9.56""LT",12.87363611111111,79.74856111111112,GOOD,GOOD,LT,Company,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74856111111112 12.87363611111111, 79.74851944444444 12.872558333333334)"
34,364,Tension,SD+9,SC,37,"=CONCATENATE(B38,""-"",B39)",124,5,77,"0°30’10.12""LT",12.872558333333334,79.74851944444444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74851944444444 12.872558333333334, 79.7481138888889 12.870694444444444)"
35,365,Tension,SD+9,SC,37,"=CONCATENATE(B39,""-"",B40)",210,0.30000000000000004,74,"73°53’28.41""RT",12.870694444444444,79.7481138888889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7481138888889 12.870694444444444, 79.74721111111111 12.870580555555556)"
36,366,Tension,SD+9,SC,37,"=CONCATENATE(B40,""-"",B41)",108,0.2,73,"97°33’17.24""RT",12.870580555555556,79.74721111111111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74721111111111 12.870580555555556, 79.7471861111111 12.872108333333333)"
37,367,Tension,SD+9,SC,37,"=CONCATENATE(B41,""-"",B42)",176,12.7,74,112°38’21.4”LT,12.872108333333333,79.7471861111111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7471861111111 12.872108333333333, 79.74411388888889 12.870938888888888)"
38,368,Suspension,SA+0,SC,26,"=CONCATENATE(B42,""-"",B43)",367,11.3,75,,12.870938888888888,79.74411388888889,GOOD,NO E/W,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74411388888889 12.870938888888888, 79.74198055555556 12.87011388888889)"
39,369,Suspension,SA+0,SC,26,"=CONCATENATE(B43,""-"",B44)",252,8,75,,12.87011388888889,79.74198055555556,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74198055555556 12.87011388888889, 79.73977222222223 12.869244444444444)"
40,370,Suspension,SA+0,SC,26,"=CONCATENATE(B44,""-"",B45)",263,8.1,76,,12.869244444444444,79.73977222222223,GOOD,NO E/W,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73977222222223 12.869244444444444, 79.7376388888889 12.868430555555555)"
41,371,Suspension,SA+0,SC,26,"=CONCATENATE(B45,""-"",B46)",252,-,77,,12.868430555555555,79.7376388888889,GOOD,NO E/W,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7376388888889 12.868430555555555, 79.73546944444445 12.867577777777779)"
42,372,Suspension,SA+0,SC,26,"=CONCATENATE(B46,""-"",B47)",257,-,79,,12.867577777777779,79.73546944444445,GOOD,NO E/W,HT,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73546944444445 12.867577777777779, 79.73333333333333 12.86676388888889)"
43,373,Suspension,SA+0,SC,26,"=CONCATENATE(B47,""-"",B48)",252,7.5,80,,12.86676388888889,79.73333333333333,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73333333333333 12.86676388888889, 79.73105277777778 12.865874999999999)"
44,374,Suspension,SA+0,SC,26,"=CONCATENATE(B48,""-"",B49)",270,7.1,80,,12.865874999999999,79.73105277777778,GOOD,NO E/W,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73105277777778 12.865874999999999, 79.72878333333334 12.864969444444444)"
45,375,Suspension,SA+0,SC,26,"=CONCATENATE(B49,""-"",B50)",270,1.2,81,,12.864969444444444,79.72878333333334,GOOD,NO E/W,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72878333333334 12.864969444444444, 79.72656666666667 12.86413611111111)"
46,376,Suspension,SA+0,SC,26,"=CONCATENATE(B50,""-"",B51)",264,3.1,82,,12.86413611111111,79.72656666666667,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72656666666667 12.86413611111111, 79.72428611111111 12.863255555555556)"
47,377,Suspension,SA+0,SC,26,"=CONCATENATE(B51,""-"",B52)",268,7.2,83,,12.863255555555556,79.72428611111111,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72428611111111 12.863255555555556, 79.722125 12.862413888888888)"
48,378,Suspension,SA+0,SC,26,"=CONCATENATE(B52,""-"",B53)",259,0.7,82,,12.862413888888888,79.722125,GOOD,NO E/W,HT,Lake,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.722125 12.862413888888888, 79.71989722222223 12.861563888888888)"
49,379,Suspension,SA+0,SC,26,"=CONCATENATE(B53,""-"",B54)",263,-,81,,12.861563888888888,79.71989722222223,GOOD,NO E/W,-,Canal,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71989722222223 12.861563888888888, 79.71764444444445 12.860719444444443)"
50,380,Suspension,SA+0,SC,26,"=CONCATENATE(B54,""-"",B55)",265,0.5,81,,12.860719444444443,79.71764444444445,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71764444444445 12.860719444444443, 79.71554722222223 12.859933333333332)"
51,381,Suspension,SA+0,SC,26,"=CONCATENATE(B55,""-"",B56)",246,6.3,83,,12.859933333333332,79.71554722222223,GOOD,NO E/W,"HT, 230kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71554722222223 12.859933333333332, 79.713425 12.859036111111111)"
52,382,Suspension,SA+0,SC,26,"=CONCATENATE(B56,""-"",B57)",256,6.1,86,,12.859036111111111,79.713425,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.713425 12.859036111111111, 79.71102222222223 12.858191666666666)"
53,383,Suspension,SA+0,SC,26,"=CONCATENATE(B57,""-"",B58)",282,3.1,87,,12.858191666666666,79.71102222222223,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71102222222223 12.858191666666666, 79.70865 12.85725)"
54,384,Tension,SD+9,SC,37,"=CONCATENATE(B58,""-"",B59)",281,8.7,88,"1°56’36.59""RT",12.85725,79.70865,GOOD,NO E/W,"Two LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70865 12.85725, 79.70646388888889 12.856297222222222)"
55,385,Suspension,SA+0,SC,26,"=CONCATENATE(B59,""-"",B60)",262,-,88,,12.856297222222222,79.70646388888889,GOOD,NO E/W,Four LT,State Highway,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70646388888889 12.856297222222222, 79.70501111111112 12.855641666666667)"
56,386,Suspension,SA+0,SC,26,"=CONCATENATE(B60,""-"",B61)",179,-,87,,12.855641666666667,79.70501111111112,GOOD,NO E/W,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70501111111112 12.855641666666667, 79.70314444444445 12.854844444444444)"
57,387,Suspension,SA+0,SC,26,"=CONCATENATE(B61,""-"",B62)",224,-,88,,12.854844444444444,79.70314444444445,GOOD,NO E/W,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70314444444445 12.854844444444444, 79.7009638888889 12.853930555555555)"
58,388,Tension,SD+9,DC,37,"=CONCATENATE(B62,""-"",B63)",263,7.1,89,1°33’58.14”LT,12.853930555555555,79.7009638888889,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7009638888889 12.853930555555555, 79.69985277777778 12.853380555555555)"
59,389,Tension,SD+9,DC,37,"=CONCATENATE(B63,""-"",B64)",141,3.5,88,0°9’51.73”LT,12.853380555555555,79.69985277777778,GOOD,GOOD,"LT, HT, 25kv",Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69985277777778 12.853380555555555, 79.698125 12.852622222222221)"
60,390,Suspension,SA+0,SC,26,"=CONCATENATE(B64,""-"",B65)",211,-,90,,12.852622222222221,79.698125,GOOD,GOOD,"Two HT, LT",Road,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.698125 12.852622222222221, 79.69607500000001 12.851788888888889)"
61,391,Tension,SD+9,SC,37,"=CONCATENATE(B65,""-"",B66)",246,-,90,35°15’34.77”LT,12.851788888888889,79.69607500000001,GOOD,GOOD,Two LT,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69607500000001 12.851788888888889, 79.69470277777778 12.849605555555556)"
62,392,Tension,SD+9,SC,37,"=CONCATENATE(B66,""-"",B67)",291,2.6,91,1°8’14.05”LT,12.849605555555556,79.69470277777778,GOOD,GOOD,"HT, Kanchi SS and Structures",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69470277777778 12.849605555555556, 79.69268333333333 12.848094444444445)"
63,393,Tension,SD+9,SC,37,"=CONCATENATE(B67,""-"",B68)",280,1.6,91,20°13’11.26”RT,12.848094444444445,79.69268333333333,GOOD,GOOD,"Two LT, Two HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69268333333333 12.848094444444445, 79.690225 12.846291666666668)"
64,394,Suspension,SA+0,SC,26,"=CONCATENATE(B68,""-"",B69)",338,5,93,,12.846291666666668,79.690225,GOOD,GOOD,Two HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.690225 12.846291666666668, 79.68827777777778 12.844772222222224)"
65,395,Suspension,SA+0,SC,26,"=CONCATENATE(B69,""-"",B70)",276,2.7,92,,12.844772222222224,79.68827777777778,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68827777777778 12.844772222222224, 79.68605833333334 12.843133333333334)"
66,396,Suspension,SA+0,SC,26,"=CONCATENATE(B70,""-"",B71)",305,5.3,90,,12.843133333333334,79.68605833333334,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68605833333334 12.843133333333334, 79.68395555555556 12.841558333333333)"
67,397,Suspension,SA+0,SC,26,"=CONCATENATE(B71,""-"",B72)",295,7.3,90,,12.841558333333333,79.68395555555556,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68395555555556 12.841558333333333, 79.68170833333333 12.839855555555555)"
68,398,Suspension,SA+0,SC,26,"=CONCATENATE(B72,""-"",B73)",313,8.1,88,,12.839855555555555,79.68170833333333,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68170833333333 12.839855555555555, 79.679625 12.838319444444444)"
69,399,Tension,SD+9,SC,37,"=CONCATENATE(B73,""-"",B74)",290,6.2,87,1°53’33.85”RT,12.838319444444444,79.679625,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.679625 12.838319444444444, 79.67700833333333 12.836369444444445)"
70,400,Suspension,SA+0,SC,26,"=CONCATENATE(B74,""-"",B75)",360,1.2,86,,12.836369444444445,79.67700833333333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67700833333333 12.836369444444445, 79.67682500000001 12.836261111111112)"
71,LILO Tower-1,Tension,DD+6,DC,34,"=CONCATENATE(B75,""-"",B76)",37,1.2,86,8°13’28.62”RT,12.836261111111112,79.67682500000001,GOOD,GOOD,-,-,Plain,LILO Tower to Kancheepuram 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67682500000001 12.836261111111112, 79.67526388888889 12.835086111111112)"
72,401,Suspension,SA+0,SC,26,"=CONCATENATE(B76,""-"",B77)",217,2.3,84,,12.835086111111112,79.67526388888889,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67526388888889 12.835086111111112, 79.67296944444445 12.833386111111112)"
73,402,Suspension,SA+0,SC,26,"=CONCATENATE(B77,""-"",B78)",317,2,83,,12.833386111111112,79.67296944444445,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67296944444445 12.833386111111112, 79.6707138888889 12.8317)"
74,403,Suspension,SA+0,SC,26,"=CONCATENATE(B78,""-"",B79)",312,5.1,84,,12.8317,79.6707138888889,GOOD,GOOD,"LT, HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6707138888889 12.8317, 79.66874722222222 12.830244444444444)"
75,404,Tension,SB+0,SC,24,"=CONCATENATE(B79,""-"",B80)",273,1.2,86,1°9’52.23”RT,12.830244444444444,79.66874722222222,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66874722222222 12.830244444444444, 79.66685833333334 12.828833333333334)"
76,405,Suspension,SA+0,SC,26,"=CONCATENATE(B80,""-"",B81)",262,6.2,87,,12.828833333333334,79.66685833333334,GOOD,GOOD,HT,State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66685833333334 12.828833333333334, 79.66502222222223 12.827458333333333)"
77,406,Suspension,SA+0,SC,26,"=CONCATENATE(B81,""-"",B82)",253,0.9,88,,12.827458333333333,79.66502222222223,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66502222222223 12.827458333333333, 79.66313333333333 12.826030555555555)"
78,407,Suspension,SA+0,SC,26,"=CONCATENATE(B82,""-"",B83)",264,5.7,87,,12.826030555555555,79.66313333333333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66313333333333 12.826030555555555, 79.66105 12.82451111111111)"
79,408,Suspension,SA+0,SC,26,"=CONCATENATE(B83,""-"",B84)",285,8.2,88,,12.82451111111111,79.66105,GOOD,GOOD,"HT, 230kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66105 12.82451111111111, 79.65894722222222 12.822916666666666)"
80,409,Tension,SB+0,SC,24,"=CONCATENATE(B84,""-"",B85)",298,0.9,89,1°18’31.47”RT,12.822916666666666,79.65894722222222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65894722222222 12.822916666666666, 79.65676388888889 12.821297222222222)"
81,410,Suspension,SA+0,SC,26,"=CONCATENATE(B85,""-"",B86)",303,-,89,,12.821297222222222,79.65676388888889,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65676388888889 12.821297222222222, 79.65449722222223 12.819613888888888)"
82,411,Suspension,SA+0,SC,26,"=CONCATENATE(B86,""-"",B87)",313,-,88,,12.819613888888888,79.65449722222223,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65449722222223 12.819613888888888, 79.65213055555556 12.817838888888888)"
83,412,Suspension,SA+0,SC,26,"=CONCATENATE(B87,""-"",B88)",325,-,89,,12.817838888888888,79.65213055555556,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65213055555556 12.817838888888888, 79.64999166666668 12.816244444444445)"
