S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude.,Longitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,T.NO-128,,T,DD,28,129-128,254,3.19,89,,12.87805556,79.74666667,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74666666666667 12.878055555555555, 79.74833333333333 12.87888888888889)"
32,T.NO-127,,S,DA,26,128-127,224,6.31,87,,12.87888889,79.74833333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74833333333333 12.87888888888889, 79.75027777777778 12.88)"
33,T.NO-126,,S,DA,26,127-126,235,6.12,87,,12.88,79.75027778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75027777777778 12.88, 79.75222222222222 12.881111111111112)"
34,T.NO-125,,S,DA,26,126-125,238,7.8,87,,12.88111111,79.75222222,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75222222222222 12.881111111111112, 79.75444444444445 12.882222222222223)"
35,T.NO-124,,S,DA,26,125-124,255,4.19,89,,12.88222222,79.75444444,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75444444444445 12.882222222222223, 79.75638888888889 12.883055555555556)"
36,T.NO-123,,T,DD,28,124-123,239,3.21,87,,12.88305556,79.75638889,GOOD,GOOD,,"MUD-1,NALA-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75638888888889 12.883055555555556, 79.75833333333334 12.884166666666665)"
37,T.NO-122,,S,DA,28,123-122,244,2.12,87,,12.88416667,79.75833333,GOOD,GOOD,,NALA-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75833333333334 12.884166666666665, 79.76027777777777 12.885277777777777)"
38,T.NO-121,,S,DA,28,122-121,243,3.21,87,,12.88527778,79.76027778,GOOD,GOOD,,CANAL-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76027777777777 12.885277777777777, 79.76222222222222 12.886111111111111)"
39,T.NO-120,,S,DA,28,121-120,251,4.12,87,,12.88611111,79.76222222,GOOD,GOOD,,NALA-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76222222222222 12.886111111111111, 79.76416666666667 12.887222222222222)"
40,T.NO-119,,S,DA,26,120-119,229,4.1,86,,12.88722222,79.76416667,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76416666666667 12.887222222222222, 79.76583333333333 12.888055555555555)"
41,T.NO-118,2W,T,DD,28,119-118,207,5.27,86,,12.88805556,79.76583333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76583333333333 12.888055555555555, 79.76777777777778 12.88888888888889)"
42,T.NO-117,,S,DA,26,118-117,230,7.29,87,,12.88888889,79.76777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76777777777778 12.88888888888889, 79.76861111111111 12.889444444444443)"
43,T.NO-116,,T,DD,28,117-116,93,5.72,87,"17°51'10"" ",12.88944444,79.76861111,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76861111111111 12.889444444444443, 79.76888888888888 12.889444444444443)"
44,DP 1,,GT,,15,116-DP1,53,,87,,12.88944444,79.76888889,GOOD,NO EARTH WIRE,400KV D/C -1 XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76888888888888 12.889444444444443, 79.76944444444445 12.889722222222222)"
45,DP 2,,GT,,15,DP1-DP2,51,,85,,12.88972222,79.76944444,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76944444444445 12.889722222222222, 79.76972222222223 12.889999999999999)"
46,T.NO-115,,T,DD,28,DP2-115,33,7.35,87,"24°12'55"" ",12.89,79.76972222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76972222222223 12.889999999999999, 79.76972222222223 12.889999999999999)"
47,T.NO-114,,S,DA,26,115-114,31,6.74,87,,12.89,79.76972222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76972222222223 12.889999999999999, 79.77166666666666 12.89111111111111)"
48,T.NO-113,,S,DA,26,114-113,239,5.49,87,,12.89111111,79.77166667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77166666666666 12.89111111111111, 79.77388888888889 12.892222222222221)"
49,T.NO-112,,S,DA,26,113-112,243,3.84,86,,12.89222222,79.77388889,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77388888888889 12.892222222222221, 79.77583333333334 12.893055555555556)"
50,T.NO-111,,T,DD,28,112-111,239,3.38,89,,12.89305556,79.77583333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77583333333334 12.893055555555556, 79.7775 12.894166666666667)"
51,T.NO-110,,S,DA,26,111-110,235,7.84,87,,12.89416667,79.7775,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7775 12.894166666666667, 79.77916666666667 12.89472222222222)"
52,T.NO-109,,T,DD,28,110-109,174,7.28,84,,12.89472222,79.77916667,GOOD,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77916666666667 12.89472222222222, 79.78055555555555 12.895555555555555)"
53,T.NO-108,,S,DA,26,109-108,183,7.4,89,,12.89555556,79.78055556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78055555555555 12.895555555555555, 79.7825 12.896666666666667)"
54,T.NO-107,,S,DA,26,108-107,236,6.92,86,,12.89666667,79.7825,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7825 12.896666666666667, 79.78416666666666 12.897499999999999)"
55,T.NO-106,,S,DA,26,107-106,204,7.92,84,,12.8975,79.78416667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78416666666666 12.897499999999999, 79.78583333333333 12.898333333333333)"
56,T.NO-105,,S,DA,30,106-105,219,,83,,12.89833333,79.78583333,GOOD,GOOD,,POND-1,PLAIN,INSIDE LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78583333333333 12.898333333333333, 79.78861111111111 12.899722222222222)"
57,T.NO-104,,S,DA,26,105-104,318,,84,,12.89972222,79.78861111,GOOD,GOOD,,,PLAIN,WATER LOGGEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78861111111111 12.899722222222222, 79.79027777777777 12.900833333333333)"
58,T.NO-103,2W,S,DA,26,104-103,233,,83,,12.90083333,79.79027778,GOOD,NO EARTH WIRE,,,PLAIN,WATER LOGGEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79027777777777 12.900833333333333, 79.79055555555556 12.899166666666666)"
59,T.NO-340/1LILO,,T,DD,34,103-340/1 LILO,180,10.21,87,"3°6'43"" ",12.89916667,79.79055556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79055555555556 12.899166666666666, 79.79083333333332 12.896388888888888)"
60,T.NO-2,,S,DA,30,340/1LILO-2,301,8.6,68,,12.89638889,79.79083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79083333333332 12.896388888888888, 79.79138888888889 12.893888888888888)"
61,T.NO-3,,T,DD,30,02-Mar,292,4.8,69,"22°34'31"" ",12.89388889,79.79138889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79138888888889 12.893888888888888, 79.7925 12.891666666666666)"
62,T.NO-4,,T,DD,30,03-Apr,264,5.6,70,"36°59'32"" ",12.89166667,79.7925,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7925 12.891666666666666, 79.79416666666667 12.89111111111111)"
63,T.NO-5,,T,DD,34,04-May,190,2.3,72,"24°0'45"" ",12.89111111,79.79416667,GOOD,GOOD,LT-2,NH-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79416666666667 12.89111111111111, 79.795 12.890277777777778)"
64,T.NO-6,,T,DD,30,05-Jun,124,3.2,71,"25°54'28"" ",12.89027778,79.795,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.795 12.890277777777778, 79.79555555555555 12.88888888888889)"
65,T.NO-7,,T,DD,30,06-Jul,167,2.1,73,"3°11'28"" ",12.88888889,79.79555556,GOOD,GOOD,LT-2,"CC-1,MUD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79555555555555 12.88888888888889, 79.79638888888888 12.886944444444444)"
66,T.NO-8,,T,DD,30,07-Aug,234,3.4,73,"50°4'15"" ",12.88694444,79.79638889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79638888888888 12.886944444444444, 79.79722222222222 12.886666666666667)"
67,T.NO-9,2W,T,DD,30,08-Sep,94,3.2,74,"81°37'55"" ",12.88666667,79.79722222,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79722222222222 12.886666666666667, 79.7975 12.887222222222222)"
68,GANTRY NEERAVALLUR 110KV SS,,GT,,15,9-GT,59,,73,,12.88722222,79.7975,,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,13591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,476,2W,Tension,SD+9,SC,37,477-476, ,2.6,91,12.84960556,79.69470278,,GOOD,GOOD,"HT, Kanchi SS and Structures",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69470277777778 12.849605555555556, 79.69268333333333 12.848094444444445)"
,475,,Tension,SD+9,SC,37,476-475,280,1.6,91,12.84809444,79.69268333,,GOOD,GOOD,"Two LT, Two HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69268333333333 12.848094444444445, 79.690225 12.846291666666668)"
,474,,Suspension,SA+0,SC,26,475-474,338,5,93,12.84629167,79.690225,,GOOD,GOOD,Two HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.690225 12.846291666666668, 79.68827777777778 12.844772222222224)"
,473,,Suspension,SA+0,SC,26,474-473,276,2.7,92,12.84477222,79.68827778,,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68827777777778 12.844772222222224, 79.68605833333334 12.843133333333334)"
,472,,Suspension,SA+0,SC,26,473-472,305,5.3,90,12.84313333,79.68605833,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68605833333334 12.843133333333334, 79.68395555555556 12.841558333333333)"
,471,,Suspension,SA+0,SC,26,472-471,295,7.3,90,12.84155833,79.68395556,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68395555555556 12.841558333333333, 79.68170833333333 12.839855555555555)"
,470,,Suspension,SA+0,SC,26,471-470,313,8.1,88,12.83985556,79.68170833,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68170833333333 12.839855555555555, 79.679625 12.838319444444444)"
,469,,Tension,SD+9,SC,37,470-469,290,6.2,87,12.83831944,79.679625,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.679625 12.838319444444444, 79.67700833333333 12.836369444444445)"
,468,,Suspension,SA+0,SC,26,469-468,360,1.2,86,12.83636944,79.67700833,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67700833333333 12.836369444444445, 79.67682500000001 12.836261111111112)"
71,LILO Tower-1(467),2W,Tension,DD+6,DC,34,468-LILO Tower-1(467),37,1.2,86,12.83626111,79.676825,GOOD,GOOD,-,-,Plain,LILO Tower to Kancheepuram 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67682500000001 12.836261111111112, 79.67526388888889 12.835086111111112)"
72,466,,Suspension,SA+0,SC,26,LILO Tower-1(467)-466,217,2.3,84,12.83508611,79.67526389,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67526388888889 12.835086111111112, 79.67296944444445 12.833386111111112)"
73,465,,Suspension,SA+0,SC,26,466-465,317,2,83,12.83338611,79.67296944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67296944444445 12.833386111111112, 79.6707138888889 12.8317)"
74,464,,Suspension,SA+0,SC,26,465-464,312,5.1,84,12.8317,79.67071389,GOOD,GOOD,"LT, HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6707138888889 12.8317, 79.66874722222222 12.830244444444444)"
75,463,,Tension,SB+0,SC,24,464-463,273,1.2,86,12.83024444,79.66874722,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66874722222222 12.830244444444444, 79.66685833333334 12.828833333333334)"
76,462,,Suspension,SA+0,SC,26,463-462,262,6.2,87,12.82883333,79.66685833,GOOD,GOOD,HT,State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66685833333334 12.828833333333334, 79.66502222222223 12.827458333333333)"
77,461,,Suspension,SA+0,SC,26,462-461,253,0.9,88,12.82745833,79.66502222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66502222222223 12.827458333333333, 79.66313333333333 12.826030555555555)"
78,460,,Suspension,SA+0,SC,26,461-460,264,5.7,87,12.82603056,79.66313333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66313333333333 12.826030555555555, 79.66105 12.82451111111111)"
79,459,,Suspension,SA+0,SC,26,460-459,285,8.2,88,12.82451111,79.66105,GOOD,GOOD,"HT, 230kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66105 12.82451111111111, 79.65894722222222 12.822916666666666)"
80,458,,Tension,SB+0,SC,24,459-458,298,0.9,89,12.82291667,79.65894722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65894722222222 12.822916666666666, 79.65676388888889 12.821297222222222)"
81,457,,Suspension,SA+0,SC,26,458-457,303,-,89,12.82129722,79.65676389,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65676388888889 12.821297222222222, 79.65449722222223 12.819613888888888)"
82,456,,Suspension,SA+0,SC,26,457-456,313,-,88,12.81961389,79.65449722,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65449722222223 12.819613888888888, 79.65213055555556 12.817838888888888)"
83,455,,Suspension,SA+0,SC,26,456-455,325,-,89,12.81783889,79.65213056,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65213055555556 12.817838888888888, 79.64999166666668 12.816244444444445)"
84,454,,Suspension,SA+0,SC,26,455-454,297,-,90,12.81624444,79.64999167,GOOD,GOOD,-,Road,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64999166666668 12.816244444444445, 79.64771666666667 12.814569444444444)"
85,453,2W,Tension,SB+0,SC,24,454-453,314,5.2,91,12.81456944,79.64771667,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64771666666667 12.814569444444444, 79.64591666666668 12.81325)"
86,452,,Tension,SD+3,SC,31,453-452,248,6,89,12.81325,79.64591667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64591666666668 12.81325, 79.64387222222223 12.811763888888889)"
87,451,,Suspension,SA+0,SC,26,452-451,280,7.1,88,12.81176389,79.64387222,GOOD,GOOD,-,River,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64387222222223 12.811763888888889, 79.64170555555556 12.810163888888889)"
88,450,,Suspension,SA+0,SC,26,451-450,301,1.2,87,12.81016389,79.64170556,GOOD,GOOD,-,River,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64170555555556 12.810163888888889, 79.63951111111112 12.808561111111112)"
