S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,T.NO 29,S,DA,26,28-29,234.950849538958,2.78,28,,79.93711111111112,12.329916666666666,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93711111111112 12.329916666666666, 79.93491666666667 12.327972222222222)"
31,T.NO 30,S,DA,26,29-30,321.887830869293,5.17,25,,79.93491666666667,12.327972222222222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93491666666667 12.327972222222222, 79.93291666666667 12.326138888888888)"
32,T.NO 31,S,DA,26,30-31,296.108454639985,IN WATER,21,,79.93291666666667,12.326138888888888,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93291666666667 12.326138888888888, 79.93097222222222 12.32461111111111)"
33,T.NO 32,S,DA,26,31-32,272.118055466618,IN WATER,20,,79.93097222222222,12.32461111111111,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93097222222222 12.32461111111111, 79.92919444444445 12.323055555555555)"
34,T.NO 33,T,DD,28,32-33,259.52079220055,5.15,15,"47°58'10""",79.92919444444445,12.323055555555555,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92919444444445 12.323055555555555, 79.9291388888889 12.320361111111112)"
35,T.NO 34,S,DA,26,33-34,300.10700426436,3.25,17,,79.9291388888889,12.320361111111112,,,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9291388888889 12.320361111111112, 79.92908333333334 12.317444444444444)"
36,T.NO 35,S,DA,26,34-35,322.099672998899,4.8,10,,79.92908333333334,12.317444444444444,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92908333333334 12.317444444444444, 79.92905555555556 12.314555555555556)"
37,T.NO 36,S,DA,26,35-36,321.039060116105,3.62,16,,79.92905555555556,12.314555555555556,,,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92905555555556 12.314555555555556, 79.929 12.311722222222222)"
38,T.NO 37,T,DB,24,36-37,313.0576869747,5.25,20,"4°35'46""",79.929,12.311722222222222,,,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.929 12.311722222222222, 79.92875000000001 12.308972222222224)"
39,T.NO 38,S,DA,26,37-38,306.380091034108,2.9,19,,79.92875000000001,12.308972222222224,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92875000000001 12.308972222222224, 79.92847222222223 12.306222222222223)"
40,T.NO 39,S,DA,26,38-39,306.576504332385,3.05,9,,79.92847222222223,12.306222222222223,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92847222222223 12.306222222222223, 79.92819444444444 12.303666666666667)"
41,T.NO 40,T,DD,28,39-40,285.692816909735,3.95,14,"54°24'54""",79.92819444444444,12.303666666666667,Yes,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92819444444444 12.303666666666667, 79.92580555555556 12.302305555555556)"
42,T.NO 41,S,DA,26,40-41,301.166620396073,5.6,16,,79.92580555555556,12.302305555555556,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92580555555556 12.302305555555556, 79.92333333333333 12.30088888888889)"
43,T.NO 42,S,DA,26,41-42,313.69314031491,6.65,17,,79.92333333333333,12.30088888888889,,,GOOD,GOOD,,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92333333333333 12.30088888888889, 79.92080555555556 12.2995)"
44,T.NO 43,S,DA,26,42-43,314.823198632606,WATER LOGGED,16,,79.92080555555556,12.2995,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92080555555556 12.2995, 79.9183888888889 12.29813888888889)"
45,T.NO 44,S,DA,26,43-44,306.378453725865,WATER LOGGED,18,,79.9183888888889,12.29813888888889,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9183888888889 12.29813888888889, 79.91566666666667 12.296583333333333)"
46,T.NO 45,S,DA,26,44-45,341.477605724664,WATER LOGGED,17,,79.91566666666667,12.296583333333333,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91566666666667 12.296583333333333, 79.91338888888889 12.295305555555556)"
47,T.NO 46,S,DA,26,45-46,285.787640181241,WATER LOGGED,19,,79.91338888888889,12.295305555555556,,,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91338888888889 12.295305555555556, 79.91097222222223 12.293916666666666)"
48,T.NO 47,S,DA,26,46-47,306.497954166636,WATER LOGGED,18,,79.91097222222223,12.293916666666666,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91097222222223 12.293916666666666, 79.90855555555557 12.292527777777778)"
49,T.NO 48,T,DB,24,47-48,306.633767767896,4.85,26,"12°6'29""",79.90855555555557,12.292527777777778,Yes,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90855555555557 12.292527777777778, 79.90672222222223 12.290972222222223)"
50,T.NO 49,S,DA,26,48-49,262.619953367475,5.35,22,,79.90672222222223,12.290972222222223,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90672222222223 12.290972222222223, 79.90505555555556 12.289444444444444)"
51,T.NO 50,S,DA,26,49-50,248.008097033275,2.1,22,,79.90505555555556,12.289444444444444,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90505555555556 12.289444444444444, 79.903 12.287583333333334)"
52,T.NO 51,T,DC,26,50-51,306.12456472726,2.95,18,"26°34'19""",79.903,12.287583333333334,,,GOOD,GOOD,3nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.903 12.287583333333334, 79.90216666666667 12.285555555555556)"
