S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,T.NO 15,,S,DA,26,14-15,307.8876016,2.85,78,,79.63161111,13.20216667,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6316111111111 13.202166666666667, 79.63197222222222 13.204749999999999)"
22,T.NO 16,,S,DA,26,15-16,291.9037642,3.46,82,,79.63197222,13.20475,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63197222222222 13.204749999999999, 79.63230555555555 13.20725)"
23,T.NO 17,,S,DA,26,16-17,277.9043156,4.89,78,,79.63230556,13.20725,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63230555555555 13.20725, 79.63269444444444 13.209666666666665)"
24,T.NO 18,,T,DB,24,17-18,272.4277068,3.6,76,"1°36'17""",79.63269444,13.20966667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63269444444444 13.209666666666665, 79.633 13.212027777777777)"
25,T.NO 19,,S,DA,26,18-19,264.3362869,IN WATER,80,,79.633,13.21202778,GOOD,GOOD,HT1,ROAD1,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.633 13.212027777777777, 79.63344444444445 13.21436111111111)"
26,T.NO 20,,S,DA,26,19-20,264.5943854,IN WATER,81,,79.63344444,13.21436111,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63344444444445 13.21436111111111, 79.63391666666668 13.217027777777778)"
27,T.NO 21,,S,DA,26,20-21,300.5479928,IN WATER,82,,79.63391667,13.21702778,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63391666666668 13.217027777777778, 79.63447222222223 13.22)"
28,T.NO 22,,S,DA,26,21-22,333.8257803,IN WATER,82,,79.63447222,13.22,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63447222222223 13.22, 79.63483333333333 13.222138888888889)"
29,T.NO 23,2W,T,DB,24,22-23,241.5202694,2.83,82,"10°29'54""",79.63483333,13.22213889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63483333333333 13.222138888888889, 79.63477777777778 13.224805555555555)"
30,T.NO 24,,S,DA,26,23-24,297.0270258,4.05,84,,79.63477778,13.22480556,GOOD,GOOD,LT2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63477777777778 13.224805555555555, 79.63472222222222 13.227527777777778)"
31,T.NO 25,,S,DA,26,24-25,301.0266655,3.95,84,,79.63472222,13.22752778,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63472222222222 13.227527777777778, 79.63466666666667 13.230222222222222)"
32,T.NO 26,,S,DA,26,25-26,299.0603966,4.65,85,,79.63466667,13.23022222,GOOD,GOOD,HT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63466666666667 13.230222222222222, 79.63461111111111 13.232777777777779)"
33,T.NO 27,,S,DA,26,26-27,282.0160138,5.05,88,,79.63461111,13.23277778,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63461111111111 13.232777777777779, 79.6346388888889 13.235222222222221)"
34,T.NO 28,,S,DA,26,27-28,274.0293025,2.58,93,,79.63463889,13.23522222,GOOD,GOOD,,ROAD1,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6346388888889 13.235222222222221, 79.63455555555556 13.237694444444443)"
35,T.NO 29,,T,DD,28,28-29,274.0897288,3.58,91,"40°58'54""",79.63455556,13.23769444,GOOD,GOOD,,MUD ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63455555555556 13.237694444444443, 79.63247222222222 13.239972222222221)"
36,T.NO 30,,T,DD,28,29-30,339.5764315,4.23,94,"44°29'23""",79.63247222,13.23997222,GOOD,GOOD,"LT1,HT1",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63247222222222 13.239972222222221, 79.63255555555556 13.24036111111111)"
37,DP1,,T,DP,15,30-DP1,45.14748011,DP,93,,79.63255556,13.24036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63255555555556 13.24036111111111, 79.6326111111111 13.240888888888888)"
38,DP2,,T,DP,15,DP1-DP2,59.21511831,DP,92,,79.63261111,13.24088889,GOOD,MISSING,400KV,,PLAIN,CDP-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6326111111111 13.240888888888888, 79.63252777777777 13.241249999999999)"
39,T.NO 31,,T,DB,24,DP2-31,41.79215611,4.18,94,"5°10'26""",79.63252778,13.24125,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63252777777777 13.241249999999999, 79.63280555555555 13.243333333333332)"
40,T.NO 32,,S,DA,26,31-32,234.2059176,6.78,96,,79.63280556,13.24333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63280555555555 13.243333333333332, 79.63308333333333 13.24536111111111)"
41,T.NO 33,,S,DA,26,32-33,227.1349155,5.75,97,,79.63308333,13.24536111,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63308333333333 13.24536111111111, 79.63341666666668 13.24761111111111)"
42,T.NO 34,,T,DD,28,33-34,251.5992817,5.57,96,"43°41'0""",79.63341667,13.24761111,GOOD,GOOD,LT1,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63341666666668 13.24761111111111, 79.6353888888889 13.249138888888888)"
43,T.NO 35,,S,DA,26,34-35,272.4498112,6.12,97,,79.63538889,13.24913889,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6353888888889 13.249138888888888, 79.63672222222223 13.250194444444444)"
44,T.NO 36,,S,DA,26,35-36,187.4725181,5.44,95,,79.63672222,13.25019444,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63672222222223 13.250194444444444, 79.63825000000001 13.251416666666668)"
45,T.NO 37,,T,DD,28,36-37,215.8953234,4.8,91,"58°16'52""",79.63825,13.25141667,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63825000000001 13.251416666666668, 79.63802777777778 13.25325)"
46,T.NO 38,,S,DA,26,37-38,207.2862089,4.52,92,,79.63802778,13.25325,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63802777777778 13.25325, 79.63777777777779 13.25538888888889)"
47,T.NO 39,,T,DB,24,38-39,239.6482768,2.95,91,"5°16'48""",79.63777778,13.25538889,GOOD,GOOD,"LT1,HT1","ROAD1,CANAL",WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63777777777779 13.25538888888889, 79.63775000000001 13.255805555555556)"
48,GT 110KV PONNIMANGAU SS,2W,T,GANTRY,15,39-GT,45.01136217,,93,,79.63775,13.25580556,GOOD,MISSING,,,PLAIN,110KV PONNIMANGADU SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,11172M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
