S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,Suspension,SA+0,26,13-14,314,3.1,225,,13.01180833,79.31184722,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31184722222221 13.011808333333333, 79.31422777777777 13.012719444444445)"
12,11,,Suspension,SA+0,26,14-15,280,2.3,227,,13.01271944,79.31422778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31422777777777 13.012719444444445, 79.31697777777778 13.01375)"
13,12,2W,Tension,SB+0,24,15-16,324,0.3,236,0°16’4.43”RT,13.01375,79.31697778,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31697777777778 13.01375, 79.31965277777778 13.014716666666667)"
14,13,,Suspension,SA+0,26,16-17,313,2.3,242,,13.01471667,79.31965278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31965277777778 13.014716666666667, 79.32140833333332 13.015361111111112)"
15,14,,Suspension,SA+0,26,17-18,205,1.6,252,,13.01536111,79.32140833,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32140833333332 13.015361111111112, 79.32368055555555 13.016205555555555)"
16,15,,Tension,SC+0,26,18-19,266,0.7,262,23°27’52.82”LT,13.01620556,79.32368056,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32368055555555 13.016205555555555, 79.32559444444443 13.01808888888889)"
17,16,,Suspension,SA+0,26,19-20,298,0.8,258,,13.01808889,79.32559444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32559444444443 13.01808888888889, 79.3274 13.01986388888889)"
18,17,,Suspension,SA+0,26,20-21,281,5,246,,13.01986389,79.3274,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3274 13.01986388888889, 79.32933055555556 13.02183888888889)"
19,18,,Suspension,SA+0,26,21-22,307,3.5,244,,13.02183889,79.32933056,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32933055555556 13.02183888888889, 79.33078611111111 13.02330277777778)"
20,19,,Tension,SB+0,24,22-23,229,4.2,240,0°56’27.17”RT,13.02330278,79.33078611,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33078611111111 13.02330277777778, 79.33273888888888 13.025205555555557)"
21,20,,Suspension,SA+0,26,23-24,301,2.1,236,,13.02520556,79.33273889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33273888888888 13.025205555555557, 79.33475277777778 13.027125000000002)"
22,21,2W,Tension,SD+0,28,24-25,311,3.2,233,35°2’11.64”RT,13.027125,79.33475278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33475277777778 13.027125000000002, 79.33676944444444 13.02742777777778)"
23,22,,Suspension,SA+0,26,25-26,222,4.1,222,,13.02742778,79.33676944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33676944444444 13.02742777777778, 79.3397 13.02788888888889)"
24,23,,Suspension,SA+0,26,26-27,328,0.2,202,,13.02788889,79.3397,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3397 13.02788888888889, 79.34256388888889 13.028286111111113)"
25,24,,Suspension,SA+0,26,27-28,319,0.3,217,,13.02828611,79.34256389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34256388888889 13.028286111111113, 79.34533611111111 13.028719444444445)"
26,25,,Suspension,SA+0,26,28-29,310,5.2,196,,13.02871944,79.34533611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34533611111111 13.028719444444445, 79.3483111111111 13.029183333333334)"
27,26,,Tension,SB+0,24,29-30,331,7.8,210,0°23’38.53”RT,13.02918333,79.34831111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3483111111111 13.029183333333334, 79.35123055555555 13.029597222222224)"
28,27,,Tension,SB+0,24,30-31,324,8.2,194,0°39’3.85”RT,13.02959722,79.35123056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35123055555555 13.029597222222224, 79.3541861111111 13.030041666666667)"
29,28,,Suspension,SA+0,26,31-32,329,11,192,,13.03004167,79.35418611,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3541861111111 13.030041666666667, 79.357225 13.030494444444445)"
30,29,,Suspension,SA+0,26,32-33,339,7.3,187,,13.03049444,79.357225,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.357225 13.030494444444445, 79.36010833333333 13.030975000000002)"
31,30,2W,Tension,SC+0,26,33-34,323,5.4,183,29°41’49.77”RT,13.030975,79.36010833,GOOD,GOOD,Two LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36010833333333 13.030975000000002, 79.36212222222221 13.030255555555556)"
32,31,,Suspension,SA+0,26,34-35,238,0.3,179,,13.03025556,79.36212222,GOOD,GOOD,Two LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36212222222221 13.030255555555556, 79.36444166666666 13.02940277777778)"
33,32,,Suspension,SA+0,26,35-36,271,0.6,178,,13.02940278,79.36444167,GOOD,GOOD,Three LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36444166666666 13.02940277777778, 79.36659444444444 13.028627777777778)"
34,33,,Suspension,SA+0,26,36-37,253,1.2,176,,13.02862778,79.36659444,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36659444444444 13.028627777777778, 79.36882222222222 13.027758333333335)"
35,34,,Tension,SC+0,26,37-38,264,5.2,184,28°37’51.04”LT,13.02775833,79.36882222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36882222222222 13.027758333333335, 79.37153888888888 13.028108333333334)"
36,35,,Suspension,SA+0,26,38-39,301,2.3,183,,13.02810833,79.37153889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37153888888888 13.028108333333334, 79.37400833333332 13.028405555555556)"
37,36,,Suspension,SA+0,26,39-40,277,1.5,176,,13.02840556,79.37400833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37400833333332 13.028405555555556, 79.376725 13.028775000000001)"
38,37,,Suspension,SA+0,26,40-41,302,8,180,,13.028775,79.376725,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.376725 13.028775000000001, 79.37933333333332 13.029097222222223)"
39,38,,Tension,SB+0,24,41-42,288,9.1,178,0°5’43.29”RT,13.02909722,79.37933333,GOOD,GOOD,400kv Under Construction,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37933333333332 13.029097222222223, 79.38184722222222 13.029430555555557)"
40,39,,Suspension,SA+0,26,42-43,284,6,175,,13.02943056,79.38184722,GOOD,GOOD,"LT, 765kv ",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38184722222222 13.029430555555557, 79.38464722222223 13.029780555555556)"
41,40,,Tension,SB+0,24,43-44,310,6.5,178,0°19’12.67”RT,13.02978056,79.38464722,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38464722222223 13.029780555555556, 79.38683055555556 13.030058333333335)"
42,41,,Suspension,SA+0,26,44-45,243,0.7,175,,13.03005833,79.38683056,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38683055555556 13.030058333333335, 79.38924444444446 13.030352777777779)"
43,42,,Suspension,SA+0,26,45-46,270,0.3,177,,13.03035278,79.38924444,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38924444444446 13.030352777777779, 79.39173333333333 13.030647222222223)"
44,43,,Tension,SB+0,24,46-47,279,0.1,176,0°11’43.96”RT,13.03064722,79.39173333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39173333333333 13.030647222222223, 79.39326111111112 13.030847222222222)"
45,44,3W,Tension,DD+0,28,47-48,172,1.5,171,57°0’14.15”LT,13.03084722,79.39326111,GOOD,GOOD,400kv ,-,Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39326111111112 13.030847222222222, 79.39410833333334 13.032561111111113)"
46,45,,Tension,DD+0,28,48-49,213,1.2,167,8°6’22.42”LT,13.03256111,79.39410833,GOOD,GOOD,HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39410833333334 13.032561111111113, 79.39419722222223 13.032977777777779)"
47,46,,Tension,Gantry,15,49-50,52,1.3,169,10°25’51.4”RT,13.03297778,79.39419722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39419722222223 13.032977777777779, 79.39433333333334 13.033266666666668)"
48,47,,Tension,Gantry,15,50-51,39,2.5,166,4°57’43.82”RT,13.03326667,79.39433333,GOOD,NO E/W,230kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39433333333334 13.033266666666668, 79.3944888888889 13.033441666666667)"
49,48,,Tension,DD+0,28,51-MV Puram Gantry,33,2.1,166,12°0’57.05”RT,13.03344167,79.39448889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3944888888889 13.033441666666667, 79.39626666666668 13.035197222222223)"
50,49,,Suspension,DA+0,26,MV Puram Gantry-,275,3,164,,13.03519722,79.39626667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39626666666668 13.035197222222223, 79.39806111111112 13.036977777777778)"
51,50,,Suspension,DA+0,26,-,281,5.6,162,,13.03697778,79.39806111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39806111111112 13.036977777777778, 79.39946388888889 13.038425)"
52,51,,Tension,DD+0,28,-,227,3.2,160,57°2’48.81”RT,13.038425,79.39946389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39946388888889 13.038425, 79.3999888888889 13.03833888888889)"
53,MV Puram Gantry,2W,,Gantry,15,-,66,-,160,,13.03833889,79.39998889,GOOD,NO E/W,"Two HT, LT",Road,Plain,No Peak Available On Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
