S.No ,Tower No,Tower Type  (T/S),Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,SPAN LENGTH ,Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
78,T.NO 77,S,GCR +3,DA,=26+3,76-77,300,198,,12.183280,78.946557,GOOD,GOOD,LT 3 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2123 12.910842, 78.947312 12.180697)"
79,T.NO 78,S,GCR ,DA,26,77-78,300,197,,12.180697,78.947312,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.947312 12.180697, 78.947826 12.178596)"
80,T.NO 79,T,HCR,DB,26,78-79,290,195,"57°2'24""",12.178596,78.947826,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.947826 12.178596, 78.948304 12.176446)"
81,T.NO 80,S,GCR,DA,26,79-80,230,195,,12.176446,78.948304,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.948304 12.176446, 78.948684 12.17459)"
82,T.NO 81,T,HCR,DB,26,80-81,250,201,,12.17459,78.948684,GOOD,GOOD,,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.948684 12.17459, 78.94821 12.172087)"
83,T.NO 82,T,KCR,DC,26,81-82,280,198,,12.177368,78.945383,GOOD,GOOD,LT 1 ,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94821 12.172087, 78.942083 12.180146)"
84,T.NO 83,T,DP1,DC,5,82-83,45,197,,12.171734,78.947435,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.942083 12.180146, 78.94666 12.171382)"
85,T.NO 84,T,DP2,DC,5,83-84,45,195,,12.171382,78.94666,GOOD,GOOD,,,PLAIN,230KV LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94666 12.171382, 78.937487 12.159894)"
86,T.NO 85,T,KCR,DC,26,84-85,50,195,,12.169591,78.947363,GOOD,GOOD,,,PLAIN,230KV LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.937487 12.159894, 78.948067 12.1677993)"
87,T.NO 86,S,GCR,DA,26,85-86,240,204,,12.163897,78.943219,GOOD,GOOD,LT 3 ,,PLAIN,230KV LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.948067 12.1677993, 78.94895 12.1679)"
88,T.NO 87,T,HCR,DB,26,86-87,240,203,"4°27'11""",12.1679,78.94895,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94895 12.1679, 78.949736 12.162716)"
89,T.NO 88,T,HCR,DB,26,87-88,260,195,,12.162716,78.949736,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.949736 12.162716, 78.950111 12.162413)"
90,T.NO 89,T,KCR,DC,26,88-89,290,195,,12.162413,78.950111,GOOD,GOOD,"LT 1, HT 1",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.950111 12.162413, 78.95054 12.16172)"
,GT-110KV  THANDARAMPET S.S,T,GT,GT,20,89-GT,60,230,,12.16172,78.95054,GOOD,MISSING,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,= SUM(H8:H97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
