Tower No,Tower Type  (T/S),"Joint Box
",Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),,Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 18,S,,DA,26,17-18,348.2635886,5.813333333,39,,,79.96613889,12.74180556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96613888888889 12.741805555555555, 79.96477777777778 12.738777777777777)"
T.NO 19,S,,DA,26,18-19,368.049043,5.613333333,40,,,79.96477778,12.73877778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96477777777778 12.738777777777777, 79.9636388888889 12.736138888888888)"
T.NO 20,S,,DA,26,19-20,317.1898164,7.87,40,,,79.96363889,12.73613889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9636388888889 12.736138888888888, 79.96244444444444 12.733583333333332)"
T.NO 21,S,,DA,26,20-21,310.6901677,5.213333333,39,,,79.96244444,12.73358333,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96244444444444 12.733583333333332, 79.96122222222222 12.73088888888889)"
T.NO 22,S,,DA,26,21-22,328.6537807,5.013333333,35,,,79.96122222,12.73088889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96122222222222 12.73088888888889, 79.96005555555556 12.728250000000001)"
T.NO 23,S,,DA,26,22-23,317.9921135,4.813333333,33,,,79.96005556,12.72825,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96005555555556 12.728250000000001, 79.95875000000001 12.725527777777778)"
T.NO 24,T,,DC,26,23-24,332.4362684,4.613333333,35,"15°3'1""",,79.95875,12.72552778,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95875000000001 12.725527777777778, 79.95672222222223 12.723083333333333)"
T.NO 25,T,2W,DC,26,24-25,352.7285885,4.71,42,"20°54'30""",,79.95672222,12.72308333,Yes,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95672222222223 12.723083333333333, 79.95575000000001 12.722527777777778)"
T.NO 26,T,,DC,26,25-26,121.9338662,3.62,44,"21°53'15""",,79.95575,12.72252778,,,GOOD,GOOD,LT,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95575000000001 12.722527777777778, 79.95558333333334 12.722305555555556)"
T.NO 27,T,,DB,24,26-27,31.61045573,4.31,44,"6°35'26""",,79.95558333,12.72230556,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95558333333334 12.722305555555556, 79.95377777777779 12.720527777777779)"
T.NO 28,S,,DA,26,27-28,278.8938646,BUSHESS,47,,,79.95377778,12.72052778,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95377777777779 12.720527777777779, 79.95116666666667 12.717944444444445)"
T.NO 29,S,,DA,26,28-29,403.3443799,BUSHESS,46,,,79.95116667,12.71794444,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95116666666667 12.717944444444445, 79.94733333333333 12.714138888888888)"
T.NO 30,S,,DA,26,29-30,591.4345857,BUSHESS,49,,,79.94733333,12.71413889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94733333333333 12.714138888888888, 79.94505555555556 12.711888888888888)"
T.NO 31,S,,DA,26,30-31,353.8469923,4.08,48,,,79.94505556,12.71188889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94505555555556 12.711888888888888, 79.94302777777779 12.709888888888889)"
T.NO 32,T,,DC,26,31-32,312.1269837,5.83,50,"18°19'8""",,79.94302778,12.70988889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94302777777779 12.709888888888889, 79.94169444444445 12.707333333333333)"
T.NO 33,S,,DA,26,32-33,316.7784033,4.23,41,,,79.94169444,12.70733333,,,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94169444444445 12.707333333333333, 79.94036111111112 12.704555555555554)"
T.NO 34,S,,DA,26,33-34,341.812265,6.3,43,,,79.94036111,12.70455556,,,GOOD,GOOD,LT HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94036111111112 12.704555555555554, 79.93902777777778 12.701944444444443)"
T.NO 35,S,,DA,26,34-35,325.6783023,5.74,43,,,79.93902778,12.70194444,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93902777777778 12.701944444444443, 79.93772222222222 12.699305555555556)"
T.NO 36,S,2W,DA,26,35-36,324.3403779,6.21,40,,,79.93772222,12.69930556,Yes,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93772222222222 12.699305555555556, 79.93633333333334 12.696722222222222)"
T.NO 37,S,,DA,26,36-37,323.0636583,7.28,39,,,79.93633333,12.69672222,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93633333333334 12.696722222222222, 79.93513888888889 12.69425)"
T.NO 38,S,,DA,26,37-38,305.1381265,3.87,39,,,79.93513889,12.69425,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93513888888889 12.69425, 79.93383333333334 12.691583333333334)"
T.NO 39,S,,DA,26,38-39,327.4965543,6.22,42,,,79.93383333,12.69158333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93383333333334 12.691583333333334, 79.93252777777778 12.689055555555555)"
T.NO 40,S,,DA,26,39-40,315.4026081,4.32,38,,,79.93252778,12.68905556,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93252777777778 12.689055555555555, 79.93122222222223 12.686416666666666)"
T.NO 41,S,,DA,26,40-41,324.3357388,4.07,38,,,79.93122222,12.68641667,,,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93122222222223 12.686416666666666, 79.92994444444444 12.683916666666667)"
T.NO 42,S,,DA,26,41-42,309.5773809,3.68,44,,,79.92994444,12.68391667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92994444444444 12.683916666666667, 79.92869444444445 12.681527777777777)"
T.NO 42A,S,,DA,26,42-42A,298.4306642,4.6,47,,,79.92869444,12.68152778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92869444444445 12.681527777777777, 79.92733333333334 12.678805555555554)"
T.NO 43,S,,DA,26,42A-43,337.7565887,4.31,37,,,79.92733333,12.67880556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92733333333334 12.678805555555554, 79.92594444444445 12.67611111111111)"
T.NO 44,S,,DA,26,43-44,335.0928015,6.72,37,,,79.92594444,12.67611111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92594444444445 12.67611111111111, 79.92452777777778 12.673333333333332)"
T.NO 45,S,,DA,26,44-45,345.3617284,5.32,42,,,79.92452778,12.67333333,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92452777777778 12.673333333333332, 79.92319444444445 12.670694444444443)"
T.NO 46,S,,DA,26,45-46,325.6798423,3.01,33,,,79.92319444,12.67069444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92319444444445 12.670694444444443, 79.92186111111111 12.668)"
T.NO 47,T,2W,DB,24,46-47,332.3879901,4.32,32,"12°52'31""",,79.92186111,12.668,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92186111111111 12.668, 79.92111111111112 12.665194444444445)"
T.NO 48,S,,DA,26,47-48,321.6618156,4.32,31,,,79.92111111,12.66519444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92111111111112 12.665194444444445, 79.92047222222223 12.662333333333335)"
T.NO 49,S,,DA,26,48-49,325.8538133,3.26,36,,,79.92047222,12.66233333,,,GOOD,GOOD,LTHT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92047222222223 12.662333333333335, 79.91972222222223 12.659222222222223)"
T.NO 50,S,,DA,26,49-50,354.1359512,4.21,34,,,79.91972222,12.65922222,,,GOOD,GOOD,LT 2nos HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91972222222223 12.659222222222223, 79.91897222222222 12.65625)"
T.NO 51,S,,DA,26,50-51,338.124606,4.51,30,,,79.91897222,12.65625,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91897222222222 12.65625, 79.91825 12.653444444444444)"
T.NO 52,S,,DA,26,51-52,321.1562119,4.31,41,,,79.91825,12.65344444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91825 12.653444444444444, 79.91755555555557 12.650666666666668)"
T.NO 53,S,,DA,26,52-53,318.2380809,3.93,32,,,79.91755556,12.65066667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91755555555557 12.650666666666668, 79.91691666666667 12.647888888888888)"
T.NO 54,S,,DA,26,53-54,317.3036516,3.56,38,,,79.91691667,12.64788889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91691666666667 12.647888888888888, 79.91625 12.645055555555555)"
T.NO 55,S,,DA,26,54-55,320.2256255,3.29,39,,,79.91625,12.64505556,,,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91625 12.645055555555555, 79.91555555555556 12.642194444444444)"
T.NO 56,S,,DA,26,55-56,327.4552037,3.74,38,,,79.91555556,12.64219444,,,GOOD,GOOD,"HT,230KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91555555555556 12.642194444444444, 79.91483333333333 12.639222222222221)"
T.NO 57,S,,DA,26,56-57,338.6151655,6.32,39,,,79.91483333,12.63922222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91483333333333 12.639222222222221, 79.91405555555556 12.636111111111111)"
T.NO 58,S,,DA,26,57-58,354.1359512,5.32,38,,,79.91405556,12.63611111,,,GOOD,GOOD,TAAR ROAD,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91405555555556 12.636111111111111, 79.91336111111112 12.633333333333333)"
T.NO 59,S,,DA,26,58-59,317.7538476,4.21,42,,,79.91336111,12.63333333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91336111111112 12.633333333333333, 79.91263888888889 12.630416666666667)"
T.NO 60,S,,DA,26,59-60,334.4921288,3.16,37,,,79.91263889,12.63041667,,,GOOD,GOOD,"HT,ROAD -1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91263888888889 12.630416666666667, 79.91197222222223 12.627611111111111)"
T.NO 61,T,2W,DC,26,60-61,318.9716969,5.34,38,"26°43'49""",,79.91197222,12.62761111,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91197222222223 12.627611111111111, 79.91011111111112 12.625416666666666)"
T.NO 62,S,,DA,26,61-62,317.6354371,2.46,38,,,79.91011111,12.62541667,,,GOOD,GOOD,"HT,ROAD -1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91011111111112 12.625416666666666, 79.9081388888889 12.623138888888889)"
T.NO 63,S,,DA,26,62-63,332.1449834,5.32,46,,,79.90813889,12.62313889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9081388888889 12.623138888888889, 79.90608333333334 12.620750000000001)"
T.NO 64,S,,DA,26,63-64,345.7027705,3.63,39,,,79.90608333,12.62075,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90608333333334 12.620750000000001, 79.90402777777778 12.618444444444444)"
T.NO 65,S,,DA,26,64-65,339.8509997,5.27,41,,,79.90402778,12.61844444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90402777777778 12.618444444444444, 79.90205555555556 12.616083333333332)"
T.NO 66,S,,DA,26,65-66,338.7691519,4.69,42,,,79.90205556,12.61608333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90205555555556 12.616083333333332, 79.90013888888889 12.613861111111111)"
T.NO 67,S,,DA,26,66-67,323.0341597,2.46,43,,,79.90013889,12.61386111,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90013888888889 12.613861111111111, 79.89811111111112 12.611527777777777)"
T.NO 68,S,,DA,26,67-68,339.3031185,3.82,42,,,79.89811111,12.61152778,,,GOOD,GOOD,"HT,ROAD -1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89811111111112 12.611527777777777, 79.89588888888889 12.608944444444445)"
T.NO 69,S,,DA,26,68-69,375.6465001,3.21,43,,,79.89588889,12.60894444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89588888888889 12.608944444444445, 79.8936388888889 12.606361111111111)"
T.NO 70,T,,DB,24,69-70,375.3180466,6.78,48,"0°0'30""",,79.89363889,12.60636111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8936388888889 12.606361111111111, 79.89175 12.604138888888889)"
T.NO 71 LILO MOOSIVAKKAM 110kv,T,3W,DB,24,70-71,323.1490338,5.93,50,"0°00'00""",,79.89175,12.60413889,Yes,,GOOD,GOOD,"HT,LT",,PLAIN,MOOSIVAKKAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89175 12.604138888888889, 79.88972222222223 12.601861111111111)"
T.NO 72,S,,DA,26,71-72,334.7678834,6.63,46,,,79.88972222,12.60186111,,,GOOD,GOOD,"HT,ROAD -1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88972222222223 12.601861111111111, 79.88786111111112 12.599694444444445)"
T.NO 73,S,,DA,26,72-73,316.634282,3.25,47,,,79.88786111,12.59969444,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88786111111112 12.599694444444445, 79.88594444444445 12.597444444444445)"
T.NO 74,S,,DA,26,73-74,323.795601,4.95,47,,,79.88594444,12.59744444,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88594444444445 12.597444444444445, 79.88402777777779 12.595222222222223)"
T.NO 75,T,,DB,24,74-75,323.9133011,3.15,48,"7°20'15""",,79.88402778,12.59522222,,,GOOD,GOOD,"2nos LT,TAAR ROAD",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88402777777779 12.595222222222223, 79.88158333333332 12.593055555555557)"
T.NO 76,S,,DA,26,75-76,359.3434107,5.15,51,,,79.88158333,12.59305556,,,GOOD,GOOD,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88158333333332 12.593055555555557, 79.8791111111111 12.590805555555557)"
T.NO 77,S,,DA,26,76-77,366.9357867,4.2,52,,,79.87911111,12.59080556,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8791111111111 12.590805555555557, 79.877 12.588861111111111)"
T.NO 78,S,,DA,26,77-78,315.2133033,7.85,50,,,79.877,12.58886111,,,GOOD,GOOD,,MAIN TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.877 12.588861111111111, 79.87472222222222 12.586861111111112)"
T.NO 79,S,,DA,26,78-79,332.4362684,5.95,51,,,79.87472222,12.58686111,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87472222222222 12.586861111111112, 79.87230555555554 12.584722222222222)"
T.NO 80,S,,DA,26,79-80,354.3624202,6.45,56,,,79.87230556,12.58472222,,,GOOD,GOOD,TAAR ROAD,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87230555555554 12.584722222222222, 79.86991666666665 12.582527777777777)"
T.NO 81,S,,DA,26,80-81,354.8954648,7.05,58,,,79.86991667,12.58252778,,,GOOD,GOOD,"LT,HT",MAIN TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86991666666665 12.582527777777777, 79.86772222222221 12.580555555555556)"
T.NO 82 LILO KALIAMPOONDI,T,3W,DB,24,81-82,327.3142657,6.55,59,"0°00'00""",,79.86772222,12.58055556,Yes,,GOOD,GOOD,,,PLAIN,KALIAMPOONDI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86772222222221 12.580555555555556, 79.86569444444444 12.57875)"
T.NO 83,T,,DB,24,82-83,296.3116997,6.85,56,"10°37'16""",,79.86569444,12.57875,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86569444444444 12.57875, 79.86388888888888 12.57636111111111)"
T.NO 84,S,,DA,26,83-84,330.6073422,5.73,54,,,79.86388889,12.57636111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86388888888888 12.57636111111111, 79.8621111111111 12.574)"
T.NO 85,S,,DA,26,84-85,325.8030172,4.21,52,,,79.86211111,12.574,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8621111111111 12.574, 79.86019444444445 12.571527777777778)"
T.NO 86,S,,DA,26,85-86,346.2187712,6.95,54,,,79.86019444,12.57152778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86019444444445 12.571527777777778, 79.85841666666666 12.569222222222223)"
T.NO 87,S,,DA,26,86-87,319.0251562,6.05,56,,,79.85841667,12.56922222,,,GOOD,GOOD,"LT,",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85841666666666 12.569222222222223, 79.8566111111111 12.566888888888888)"
T.NO 88,S,,DA,26,87-88,324.2104578,5.68,62,,,79.85661111,12.56688889,,,GOOD,GOOD,230KV,"MAIN ROAD,",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8566111111111 12.566888888888888, 79.85477777777777 12.5645)"
T.NO 89,S,,DA,26,88-89,332.2038647,7.95,65,,,79.85477778,12.5645,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85477777777777 12.5645, 79.85322222222221 12.562416666666667)"
T.NO 90,S,2W,DA,26,89-90,286.8006298,5.28,64,,,79.85322222,12.56241667,Yes,,GOOD,GOOD,,MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85322222222221 12.562416666666667, 79.85158333333332 12.56038888888889)"
T.NO 91,S,,DA,26,90-91,288.6803782,7.45,64,,,79.85158333,12.56038889,,,GOOD,GOOD,,MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85158333333332 12.56038888888889, 79.84980555555555 12.55802777777778)"
T.NO 92,S,,DA,26,91-92,325.2005552,5.1,61,,,79.84980556,12.55802778,,,GOOD,GOOD,TAAR ROAD,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84980555555555 12.55802777777778, 79.84797222222221 12.555611111111112)"
