S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude.,Longitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,109,Suspension,SA+0,26,108-109,245,9.5,361,,12.706616666666665,78.65665833333334,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65665833333334 12.706616666666665, 78.65830000000001 12.70802222222222)"
22,110,Suspension,SA+0,26,109-110,241,7.01,358,,12.70802222222222,78.65830000000001,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65830000000001 12.70802222222222, 78.65993611111112 12.709447222222222)"
23,111,Suspension,SA+0,26,110-111,240,6.1,359,,12.709447222222222,78.65993611111112,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65993611111112 12.709447222222222, 78.66184444444445 12.7111)"
24,112,Tension,SC+0,26,111-112,279,5.1,364,"17°13'1.58""LT",12.7111,78.66184444444445,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66184444444445 12.7111, 78.66309444444445 12.713097222222222)"
25,113,Suspension,SA+0,26,112-113,264,3.2,351,,12.713097222222222,78.66309444444445,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66309444444445 12.713097222222222, 78.66446388888889 12.715361111111111)"
26,114,Suspension,SA+0,26,113-114,294,1.44,349,,12.715361111111111,78.66446388888889,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66446388888889 12.715361111111111, 78.6658888888889 12.717622222222221)"
27,115,Suspension,SA+0,26,114-115,302,6.09,349,,12.717622222222221,78.6658888888889,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6658888888889 12.717622222222221, 78.66708611111112 12.719630555555556)"
28,116,Suspension,SA+0,26,115-116,259,5.07,348,,12.719630555555556,78.66708611111112,OK,OK,LT,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66708611111112 12.719630555555556, 78.66790277777778 12.720947222222222)"
29,117,Tension,SD+18,40,116-117,177,4.08,347,"57°34'43.22""LT",12.720947222222222,78.66790277777778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66790277777778 12.720947222222222, 78.66750833333334 12.72173888888889)"
30,118,Tension,SD+18,40,117-118,103,2.09,344,"2°45'49.9""LT",12.72173888888889,78.66750833333334,OK,OK,25kv,Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66750833333334 12.72173888888889, 78.66612222222223 12.724330555555555)"
31,119,Tension,SD+18,40,118-119,328,2.3,338,"9°31’10.21""RT",12.724330555555555,78.66612222222223,OK,OK,-,NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66612222222223 12.724330555555555, 78.66510000000001 12.727283333333334)"
32,120,Tension,SB+0,24,119-120,350,14.6,336,"1°55'39.34""LT",12.727283333333334,78.66510000000001,OK,OK,"LT, Three 11kv","Road, Pond",Plain,Low Clearance between Conductor and Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66510000000001 12.727283333333334, 78.66456388888889 12.728708333333334)"
33,121,Tension,DD+3,31,120-121,173,8,336,"77°24’37.11""RT",12.728708333333334,78.66456388888889,Rusted Old Tower,OK,-,-,Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66456388888889 12.728708333333334, 78.66671388888889 12.730127777777778)"
34,122,Suspension,DA+0,26,121-122,283,6.17,337,,12.730127777777778,78.66671388888889,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66671388888889 12.730127777777778, 78.66880833333333 12.731508333333334)"
35,123,Tension,DB+0,24,122-123,275,14,333,"9°43'44.84""RT",12.731508333333334,78.66880833333333,Rusted Old Tower,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66880833333333 12.731508333333334, 78.67085277777778 12.732413888888889)"
36,124,Suspension,DA+0,26,123-124,251,8.4,337,,12.732413888888889,78.67085277777778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67085277777778 12.732413888888889, 78.67265833333335 12.733213888888889)"
37,125,Suspension,DA+0,26,124-125,219,7.9,335,,12.733213888888889,78.67265833333335,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67265833333335 12.733213888888889, 78.67462222222223 12.734108333333333)"
38,126,Tension,DB+0,24,125-126,236,12,341,"14°9'31.13""RT",12.734108333333333,78.67462222222223,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67462222222223 12.734108333333333, 78.677175 12.734555555555554)"
39,127,Suspension,DA+0,26,126-127,288,11,340,,12.734555555555554,78.677175,OK,OK,-,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.677175 12.734555555555554, 78.67963055555556 12.734919444444444)"
40,128,Tension,DC+0,26,127-128,272,10,340,"19°50'25.99""RT",12.734919444444444,78.67963055555556,OK,OK,Two 11kv,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67963055555556 12.734919444444444, 78.68003611111112 12.734841666666666)"
41,Vinnamangalam Gantry,,Gantry,15,128-Vinnamangalam Gantry,52,-,343,,12.734841666666666,78.68003611111112,OK,NO,-,-,Plain,No Peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
