S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
37,3,,S,DC,28,02-Mar,276.7599274,6.25,20,3°18'9''RT,12.95072629,80.08598828,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0859882775694 12.9507262911647, 80.0871200859546 12.9502330161631)"
38,4,,T,DC,28,03-Apr,138.8495675,1.58,20,2°43'24''LT,12.95023302,80.08712009,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0871200859546 12.9502330161631, 80.0880840048193 12.9498656373471)"
39,5,,T,DC,28,04-May,116.6793208,-,18,1°22'41''LT,12.94986564,80.088084,GOOD,AVAILABLE,,NH,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0880840048193 12.9498656373471, 80.0907495338469 12.9489214159548)"
40,6,,T,DC,28,05-Jun,311.9273992,-,18,0°27'28''RT,12.94892142,80.09074953,GOOD,AVAILABLE,110KV,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0907495338469 12.9489214159548, 80.0929578300565 12.9481195192784)"
41,7,,S,DC,28,06-Jul,259.9394463,-,18,0°6'56''RT,12.94811952,80.09295783,GOOD,NO E/W,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0929578300565 12.9481195192784, 80.0951639469712 12.9473134316504)"
42,8,,S,DC,28,07-Aug,259.8797746,-,18,0°16'57''RT,12.94731343,80.09516395,GOOD,NO E/W,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0951639469712 12.9473134316504, 80.0975548010319 12.9464266262948)"
43,9,,S,DC,28,08-Sep,281.7792618,-,18,0°53'7''RT,12.94642663,80.0975548,GOOD,NO E/W,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0975548010319 12.9464266262948, 80.1000010594725 12.9454766213893)"
44,10,,T,DC,28,09-Oct,289.9080972,-,19,0°49'32''LT,12.94547662,80.10000106,GOOD,NO E/W,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1000010594725 12.9454766213893, 80.1023365091532 12.9446075856685)"
45,11,,S,DC,28,10-Nov,275.4640575,8.71,20,0°39'51''RT,12.94460759,80.10233651,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1023365091532 12.9446075856685, 80.104616638273 12.9437293298542)"
46,12,,T,DC,28,11-Dec,270.2334379,5.3,20,0°1'59''LT,12.94372933,80.10461664,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.104616638273 12.9437293298542, 80.105938212946 12.9432211350649)"
47,LILO : 13,3W,T,DC,28,Dec-13,158.4865646,2.81,21,2°41'10''RT,12.94322114,80.10593821,GOOD,AVAILABLE,110KV,NH,PLAIN,LILO to Pudhuthangal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.105938212946 12.9432211350649, 80.1080509554594 12.9422944318503)"
48,14,,S,DC,28,13 - 14,255.5609814,-,25,1°41'10''RT,12.94229443,80.10805096,GOOD,AVAILABLE,HT,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1080509554594 12.9422944318503, 80.1095099095255 12.9416032601147)"
49,15,,S,DC,28,14 - 15,180.2600113,-,26,0°9'4''LT,12.94160326,80.10950991,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1095099095255 12.9416032601147, 80.1111618150025 12.9408259224146)"
50,16,,S,DC,28,15 - 16,203.2536847,-,26,2°42'59''LT,12.94082592,80.11116182,GOOD,AVAILABLE,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1111618150025 12.9408259224146, 80.1130091864615 12.9400599841028)"
51,17,,T,DC,28,16 - 17,222.0708359,6.03,31,19°29'8''LT,12.94005998,80.11300919,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1130091864615 12.9400599841028, 80.1143184397369 12.9399830382317)"
52,18,,S,DC,28,17 - 18,146.7821982,-,33,4°6'49''LT,12.93998304,80.11431844,GOOD,AVAILABLE,LT -3,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1143184397369 12.9399830382317, 80.1154061593115 12.9399957787245)"
53,19,,T,DC,28,18 - 19,122.5039413,8.22,35,21°34'57''RT,12.93999578,80.11540616,GOOD,AVAILABLE,LT -2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1154061593115 12.9399957787245, 80.1165784522891 12.9395567346364)"
54,20,,S,DC,28,19 - 20,140.6251926,3.59,33,1°10'8''RT,12.93955673,80.11657845,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1165784522891 12.9395567346364, 80.1181927230209 12.9389148484915)"
55,21,,S,DC,28,20 - 21,193.4588036,6.1,31,1°34'22''LT,12.93891485,80.11819272,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1181927230209 12.9389148484915, 80.11947481893 12.9384447913616)"
56,22,,T,DC,28,21 - 22,152.9806455,7.04,32,8°50'49''LT,12.93844479,80.11947482,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11947481893 12.9384447913616, 80.120703857392 12.9381962679326)"
57,23,,T,DC,28,22 - 23,140.6302358,-,41,1°49'32''RT,12.93819627,80.12070386,GOOD,AVAILABLE,LT -3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.120703857392 12.9381962679326, 80.1210451684892 12.9381160531193)"
58,Gantry ( 110kV Kadaperi SS ),2W,T,H-Pole,28,23 - Gantry,42.57357088,-,45,,12.93811605,80.12104517,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
