S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 16,,S,DA,26,15-16,265.9191606,6.15,155,,79.28230556,12.62658333,GOOD,GOOD,,"ROAD,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28230555555555 12.626583333333334, 79.28333333333333 12.624305555555557)"
12,T.NO 17,,s,DA,26,16-17,275.3633963,4.75,158,,79.28333333,12.62430556,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28333333333333 12.624305555555557, 79.28444444444445 12.621972222222222)"
13,T.NO 18,,T,DB,24,17-18,286.4349839,4.88,155,"0°5'23""",79.28444444,12.62197222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28444444444445 12.621972222222222, 79.28563888888888 12.619305555555556)"
14,T.NO 19,,S,DA,26,18-19,323.2893441,18.17,159,,79.28563889,12.61930556,GOOD,GOOD,"2NOS LT,HT","ROAD,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28563888888888 12.619305555555556, 79.28688888888888 12.616666666666667)"
15,T.NO 20,,S,DA,26,19-20,318.6283101,6.27,158,,79.28688889,12.61666667,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28688888888888 12.616666666666667, 79.28791666666666 12.614416666666667)"
16,T.NO 21,,S,DA,26,20-21,274.448538,4.56,158,,79.28791667,12.61441667,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28791666666666 12.614416666666667, 79.28838888888889 12.61336111111111)"
17,T.NO 21A/1 LILO 110KV ARIYALAM,3W,T,DD,28,21-Jan,126.7162184,7.45,158,"90°43'56""",79.28838889,12.61336111,GOOD,GOOD,LT,,PLAIN,"LILO NEED 3WAY JUNCTION BOX. 2 EARTH WIRE ON THIS TOWER, OUR EARTH WIRE CONTINUE TO OUR T.NO-2, ANOTHER E/W CONNECT TO VILUPPURAM LINE TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28838888888889 12.61336111111111, 79.28722222222223 12.61286111111111)"
18,T.NO 2,,T,DC,26,01-Feb,139.3161871,6.31,159,"19°12'54""",79.28722222,12.61286111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28722222222223 12.61286111111111, 79.28566666666667 12.61275)"
19,T.NO 3,,T,DD,28,02-Mar,170.4230031,5.94,158,"33°18'24""",79.28566667,12.61275,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28566666666667 12.61275, 79.28408333333333 12.611583333333334)"
20,T.NO 4,,S,DA,26,03-Apr,213.6000936,4.9,157,,79.28408333,12.61158333,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28408333333333 12.611583333333334, 79.2821388888889 12.610083333333334)"
21,T.NO 5,,T,DC,26,04-May,269.4327374,5.25,156,"15°33'40""",79.28213889,12.61008333,GOOD,GOOD,2NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2821388888889 12.610083333333334, 79.28086111111111 12.608416666666667)"
22,T.NO 6,,S,DA,26,05-Jun,230.4105032,6.7,155,,79.28086111,12.60841667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28086111111111 12.608416666666667, 79.27966666666667 12.60686111111111)"
23,T.NO 7,,S,DA,26,06-Jul,214.8045623,6.15,156,,79.27966667,12.60686111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27966666666667 12.60686111111111, 79.2785 12.605277777777777)"
24,T.NO 8,,T,DB,24,07-Aug,218.0022936,17.05,158,"11°18'24""",79.2785,12.60527778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2785 12.605277777777777, 79.27661111111111 12.60361111111111)"
25,T.NO 9,,T,DC,26,08-Sep,274.1331793,3.8,154,"27°29'23""",79.27661111,12.60361111,GOOD,GOOD,"LT,3NOS HT","ROAD,MUDROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27661111111111 12.60361111111111, 79.27602777777777 12.602083333333333)"
26,T.NO 10,,S,DA,26,09-Oct,180.4993075,6.85,153,,79.27602778,12.60208333,GOOD,GOOD,2NOS LT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27602777777777 12.602083333333333, 79.27544444444445 12.600583333333333)"
27,T.NO 11,,T,DB,24,10-Nov,178.1375873,4.65,152,"6°22'7""",79.27544444,12.60058333,GOOD,GOOD,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27544444444445 12.600583333333333, 79.27441666666667 12.598555555555556)"
28,T.NO 12,,T,DC,26,11-Dec,250.906357,5.58,150,"20°39'21""",79.27441667,12.59855556,GOOD,GOOD,2NOS LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27441666666667 12.598555555555556, 79.27327777777778 12.597555555555557)"
29,T.NO 13,,T,DB,24,Dec-13,165.6804153,4.28,151,"0°2'32""",79.27327778,12.59755556,GOOD,GOOD,"3NOS LT,2NOS HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27327777777778 12.597555555555557, 79.27202777777778 12.596416666666666)"
30,T.NO 14,,S,DA,26,13-14,185.5262785,5.07,153,,79.27202778,12.59641667,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27202777777778 12.596416666666666, 79.27077777777778 12.595305555555557)"
31,T.NO 15,,T,DB,24,14-15,181.9587865,6.4,155,"7°17'56""",79.27077778,12.59530556,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27077777777778 12.595305555555557, 79.26983333333334 12.594194444444446)"
32,T.NO 16,,T,DD,28,15-16,159.5524992,8.27,155,"35°29'5""",79.26983333,12.59419444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26983333333334 12.594194444444446, 79.26969444444444 12.592611111111111)"
33,T.NO 17,,T,DB,24,16-17,176.7257763,18.9,155,"8°0'21""",79.26969444,12.59261111,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26969444444444 12.592611111111111, 79.26980555555555 12.590583333333335)"
34,T.NO 18,,T,DD,28,17-18,224.2699267,7.35,157,"88°2'52""",79.26980556,12.59058333,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26980555555555 12.590583333333335, 79.26938888888888 12.590555555555556)"
35,T.NO 19,,T,DD,28,18-19,48.16637832,4.87,156,"99°57'29""",79.26938889,12.59055556,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26938888888888 12.590555555555556, 79.26941666666667 12.590861111111112)"
36,GANTRY ( ARIYALAM  SS),2W,T,GT,15,19-GT,33.13608305,,157,,79.26941667,12.59086111,GOOD,MISSING,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
