S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,T.NO 8,,T,DB,24,07-Aug,306.4995908,3.95,88,"1°8'27""",79.62552778,13.12188889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62552777777778 13.12188888888889, 79.6258611111111 13.124166666666667)"
54,T.NO 9,,S,DA,26,08-Sep,257.5384961,3.75,92,,79.62586111,13.12416667,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6258611111111 13.124166666666667, 79.62625 13.126916666666666)"
55,T.NO 10,,T,DC,26,09-Oct,308.0260575,4.21,90,"19°11'1""",79.62625,13.12691667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62625 13.126916666666666, 79.62580555555554 13.129083333333334)"
56,T.NO 11,,T,DB,24,10-Nov,244.5775031,3.95,88,"14°33'8""",79.62580556,13.12908333,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62580555555554 13.129083333333334, 79.62588888888888 13.130611111111111)"
57,T.NO 12,,T,DD,28,11-Dec,168.2991333,4.57,86,"36°38'35""",79.62588889,13.13061111,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62588888888888 13.130611111111111, 79.62719444444444 13.132138888888889)"
58,T.NO 13,,T,DB,24,Dec-13,223.1463482,5.13,92,"3°25'14""",79.62719444,13.13213889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62719444444444 13.132138888888889, 79.62805555555555 13.133277777777778)"
59,T.NO 14,,T,DB,24,13-14,156.8011553,5.72,100,"4°33'1""",79.62805556,13.13327778,GOOD,MISSING,400KV,,PLAIN,TVLM-ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62805555555555 13.133277777777778, 79.62930555555555 13.135277777777777)"
60,T.NO 15,,T,DD,28,14-15,260.6998267,4.08,95,"52°7'59""",79.62930556,13.13527778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62930555555555 13.135277777777777, 79.63022222222222 13.135361111111111)"
61,T.NO 16,,T,DD,28,15-16,100.5037688,4.97,95,"48°34'36""",79.63022222,13.13536111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63022222222222 13.135361111111111, 79.63083333333333 13.136194444444444)"
62,T.NO 17,,T,DD,28,16-17,114.2254388,5.72,95,"30°34'33""",79.63083333,13.13619444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63083333333333 13.136194444444444, 79.63091666666666 13.137416666666667)"
63,T.NO 18,,T,DD,28,17-18,136.532284,5.36,93,"121°38'41""",79.63091667,13.13741667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63091666666666 13.137416666666667, 79.63047222222221 13.137194444444445)"
64,GT ICHIPUDUR 110KV SS,2W,T,GANTRY,15,18-GT,54.66563146,,95,,79.63047222,13.13719444,GOOD,MISSING,,,PLAIN,110KV ICHIPUUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
