S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 10,,S,DA,26,09-????????,223.6537502,4.11,28,,80.16502778,13.09738889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16502777777778 13.09738888888889, 80.16388888888889 13.09688888888889)"
12,T.NO 11A LILO,3W,T,DB,24,10-11A,135.1480669,5.14,10,"3°26'13""",80.16388889,13.09688889,GOOD,GOOD,HT,2nos TAAR ROAD,PLAIN,230KV AMBATHUR LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16388888888889 13.09688888888889, 80.16213888888889 13.096111111111112)"
13,T.NO 11,,T,DD,28,11A-12,208.655218,5.19,36,"37°21'59""",80.16213889,13.09611111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16213888888889 13.096111111111112, 80.16152777777778 13.096277777777779)"
14,T.NO 12,,T,DD,28,11-????????,67.91170739,3.96,21,"33°48'14""",80.16152778,13.09627778,GOOD,GOOD,,"2nos BRIDGE,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16152777777778 13.096277777777779, 80.16027777777778 13.095833333333333)"
15,T.NO 13,,S,DA,26,????????-13,142.3376268,4.88,26,,80.16027778,13.09583333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16027777777778 13.095833333333333, 80.15847222222223 13.09513888888889)"
16,T.NO 14,,T,DC,26,13-14,211.3764414,6.03,20,"20°40'27""",80.15847222,13.09513889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15847222222223 13.09513888888889, 80.15666666666667 13.09513888888889)"
17,T.NO 15,,S,DA,26,14-15,194.010309,5.18,18,,80.15666667,13.09513889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15666666666667 13.09513888888889, 80.15422222222223 13.095194444444445)"
18,T.NO 16,,S,DA,26,15-16,267.0917445,4.47,23,,80.15422222,13.09519444,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15422222222223 13.095194444444445, 80.15194444444445 13.095194444444445)"
19,T.NO 17,,S,DA,26,16-17,245.0081631,3.83,22,,80.15194444,13.09519444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15194444444445 13.095194444444445, 80.14947222222223 13.095166666666668)"
20,T.NO 18,,S,DA,26,17-18,269.0018587,5.46,19,,80.14947222,13.09516667,GOOD,GOOD,LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14947222222223 13.095166666666668, 80.14672222222222 13.095166666666668)"
21,T.NO 19,,S,DA,26,18-19,297.0016835,4.13,29,,80.14672222,13.09516667,GOOD,GOOD,"LT,HT","POND,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14672222222222 13.095166666666668, 80.14419444444445 13.095194444444445)"
22,T.NO 20,,S,DA,26,19-20,274.0291955,,28,,80.14419444,13.09519444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14419444444445 13.095194444444445, 80.14166666666668 13.095166666666668)"
23,T.NO 21,,S,DA,26,20-21,274.0164229,3.17,20,,80.14166667,13.09516667,GOOD,GOOD,,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14166666666668 13.095166666666668, 80.13933333333334 13.09525)"
24,T.NO 22,,T,DC,26,21-22,254.1967742,6.72,20,"23°18'50""",80.13933333,13.09525,GOOD,GOOD,"HT,LT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13933333333334 13.09525, 80.13688888888889 13.094194444444446)"
25,T.NO 23,,S,SA,26,22-23,290.7129168,5.11,20,,80.13688889,13.09419444,GOOD,GOOD,"HT,LT","MUD ROAD,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13688888888889 13.094194444444446, 80.13458333333334 13.093250000000001)"
26,T.NO 24,,S,SA,26,23-24,269.8462525,6.16,19,,80.13458333,13.09325,GOOD,GOOD,,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13458333333334 13.093250000000001, 80.13194444444444 13.09213888888889)"
27,T.NO 25,,S,SA,26,24-25,312.3859792,4.13,16,,80.13194444,13.09213889,GOOD,GOOD,LT,2nos CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13194444444444 13.09213888888889, 80.1301111111111 13.091305555555556)"
28,T.NO 26,,S,SA,26,25-26,220.0840748,,19,,80.13011111,13.09130556,GOOD,GOOD,110kv CROSSING BELOW,,PLAIN,THIRUVERKADU - AMBATTUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1301111111111 13.091305555555556, 80.12830555555554 13.090666666666667)"
29,T.NO 26/1,,T,DD,28,26-26/1,207.1834936,3.27,18,"71°37'50""",80.12830556,13.09066667,GOOD,GOOD,,,PLAIN,NEW TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12830555555554 13.090666666666667, 80.12811111111111 13.090861111111112)"
30,T.NO 44 MC,3W,T,MD,45,26-01-2044,31.89043744,3.81,21,"70°28'51""",80.12811111,13.09086111,GOOD,GOOD,,,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12811111111111 13.090861111111112, 80.12719444444444 13.090361111111111)"
31,T.NO 27,,S,SA,26,44-27,115.1043005,,18,,80.12719444,13.09036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12719444444444 13.090361111111111, 80.12477777777777 13.08925)"
32,T.NO 28,,S,SA,26,27-28,288.1058833,3.14,24,,80.12477778,13.08925,GOOD,GOOD,,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12477777777777 13.08925, 80.1223611111111 13.088222222222223)"
33,T.NO 29,,S,SA,26,28-29,285.8548583,4.56,25,,80.12236111,13.08822222,GOOD,GOOD,"3nos LT,2nos HT","2nos TAAR ROAD,MUD ROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1223611111111 13.088222222222223, 80.12002777777776 13.087444444444445)"
34,T.NO 30,,S,SA,26,29-30,267.2171402,3.11,19,,80.12002778,13.08744444,GOOD,GOOD,"HT,LT,110kv CROSSING BELOW",TAAR ROAD,PLAIN,AVADI - THIRUVERKADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12002777777776 13.087444444444445, 80.11769444444444 13.08663888888889)"
35,T.NO 31,,S,SA,26,30-31,267.8675046,3.47,21,,80.11769444,13.08663889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11769444444444 13.08663888888889, 80.11530555555555 13.085666666666667)"
36,T.NO 32,,S,SA,26,31-32,279.4745069,,24,,80.11530556,13.08566667,GOOD,GOOD,"HT,LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11530555555555 13.085666666666667, 80.11322222222222 13.085027777777778)"
37,T.NO 33,,T,SB,26,32-33,238.1449139,4,23,"6°20'28""",80.11322222,13.08502778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11322222222222 13.085027777777778, 80.11083333333333 13.083805555555557)"
38,T.NO 34,,S,SA,26,33-34,290.2636732,3.71,21,,80.11083333,13.08380556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11083333333333 13.083805555555557, 80.11044444444444 13.083555555555556)"
39,T.NO 35,,S,SA,26,34-35,51.86520992,4.74,27,,80.11044444,13.08355556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11044444444444 13.083555555555556, 80.10875 13.082611111111111)"
40,T.NO 36,,S,SA,26,35-36,211.2557692,,24,,80.10875,13.08261111,GOOD,GOOD,2nos HT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10875 13.082611111111111, 80.106 13.081222222222221)"
41,T.NO 37,,T,SB,24,36-37,334.9820891,5.05,22,"11°39'16""",80.106,13.08122222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.106 13.081222222222221, 80.1036111111111 13.080527777777778)"
42,T.NO 38,,T,SB,24,37-38,269.9203586,2.94,27,"2°30'57""",80.10361111,13.08052778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1036111111111 13.080527777777778, 80.10111111111111 13.079916666666666)"
43,T.NO 38A LILO,3W,T,DB,24,38-38A,280.1303268,,26,"2°8'9""",80.10111111,13.07991667,GOOD,GOOD,,,PLAIN,AVADI LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10111111111111 13.079916666666666, 80.09866666666666 13.079222222222223)"
44,T.NO 39,,S,SA,26,38A-39,276.6441758,,26,,80.09866667,13.07922222,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09866666666666 13.079222222222223, 80.09616666666666 13.0785)"
45,T.NO 40,,T,SC,26,39-40,282.9628951,2.42,26,"18°9'29""",80.09616667,13.0785,GOOD,GOOD,2nos LT,CEMENT ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09616666666666 13.0785, 80.09377777777777 13.076916666666666)"
46,T.NO 41,,S,SA,26,40-41,310.3626911,3.76,23,,80.09377778,13.07691667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09377777777777 13.076916666666666, 80.0916111111111 13.075444444444445)"
47,T.NO 42,,S,SA,26,41-42,287.3882391,,24,,80.09161111,13.07544444,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0916111111111 13.075444444444445, 80.08922222222222 13.07386111111111)"
48,T.NO 43,,S,SA,26,42-43,312.0208326,,24,,80.08922222,13.07386111,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08922222222222 13.07386111111111, 80.08725 13.072527777777777)"
49,T.NO 44,,S,SA,26,43-44,261.5434954,3.47,26,,80.08725,13.07252778,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08725 13.072527777777777, 80.08525 13.071111111111112)"
50,T.NO 45,,S,SA,26,44-45,266.0920893,1.81,33,,80.08525,13.07111111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08525 13.071111111111112, 80.08305555555555 13.069611111111112)"
51,T.NO 46,,S,SA,26,45-46,289.3527259,4.11,28,,80.08305556,13.06961111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08305555555555 13.069611111111112, 80.08061111111111 13.067972222222222)"
52,T.NO 47,,S,SA,26,46-47,320.3513696,2.18,25,,80.08061111,13.06797222,GOOD,GOOD,HT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08061111111111 13.067972222222222, 80.07841666666667 13.066500000000001)"
53,T.NO 48,,S,SA,26,47-48,289.5582843,1.84,28,,80.07841667,13.0665,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07841666666667 13.066500000000001, 80.07558333333333 13.064722222222223)"
54,T.NO 49,2W,T,SB,24,48-49,363.6949271,3.08,21,"4°23'12""",80.07558333,13.06472222,GOOD,GOOD,LT,"POND,MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07558333333333 13.064722222222223, 80.07480555555556 13.064305555555556)"
55,T.NO 50,,T,SB,24,49-50,96.74709298,4.14,25,"6°35'15""",80.07480556,13.06430556,GOOD,GOOD,,NATIONAL HIGHWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07480555555556 13.064305555555556, 80.07352777777777 13.063777777777778)"
56,T.NO 51,,S,SA,26,50-51,152.4631103,1.93,27,,80.07352778,13.06377778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07352777777777 13.063777777777778, 80.07124999999999 13.062944444444446)"
57,T.NO 52,,S,SA,26,51-52,263.2299375,,25,,80.07125,13.06294444,GOOD,GOOD,,POND,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07124999999999 13.062944444444446, 80.06863888888888 13.061666666666667)"
58,T.NO 53,,T,DB,24,52-53,314.8539344,2.83,26,"0°3'12""",80.06863889,13.06166667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06863888888888 13.061666666666667, 80.06594444444444 13.060527777777779)"
59,T.NO 54,,T,DB,24,53-54,318.5498391,1.44,29,"0°38'32""",80.06594444,13.06052778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06594444444444 13.060527777777779, 80.06305555555555 13.059305555555556)"
60,T.NO 55,,S,DA,26,54-55,341.2696881,3.17,34,,80.06305556,13.05930556,GOOD,GOOD,"4nos LT,HT","2nos TAAR ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06305555555555 13.059305555555556, 80.06049999999999 13.058166666666667)"
61,T.NO 56,,T,DB,24,55-56,304.4010512,4.76,35,"2°50'18""",80.0605,13.05816667,GOOD,GOOD,"2nos LT,2nos HT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06049999999999 13.058166666666667, 80.05802777777778 13.057250000000002)"
62,T.NO 57,,T,DB,24,56-57,285.8198733,,33,"3°37'22""",80.05802778,13.05725,GOOD,GOOD,,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05802777777778 13.057250000000002, 80.05530555555555 13.056000000000001)"
63,T.NO 58,,T,DB,24,57-58,327.5667871,4.18,32,"3°7'43""",80.05530556,13.056,GOOD,GOOD,"HT,LT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05530555555555 13.056000000000001, 80.05297222222222 13.055111111111112)"
64,T.NO 59,,S,DA,26,58-59,269.4531499,4.07,30,,80.05297222,13.05511111,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05297222222222 13.055111111111112, 80.05027777777778 13.054055555555557)"
65,T.NO 60,2W,T,DB,24,59-60,316.9873815,3.77,26,"0°13'33""",80.05027778,13.05405556,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05027777777778 13.054055555555557, 80.048 13.05313888888889)"
66,T.NO 61,,S,SA,26,60-61,264.8018127,3.86,30,,80.048,13.05313889,GOOD,GOOD,2nos HT,"2nos MUD ROAD,RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.048 13.05313888888889, 80.04533333333333 13.052111111111111)"
67,T.NO 62,,S,SA,26,61-62,312.8993448,4.54,27,,80.04533333,13.05211111,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04533333333333 13.052111111111111, 80.04275 13.051111111111112)"
68,T.NO 63,,S,SA,26,62-63,300.4679683,3.76,28,,80.04275,13.05111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04275 13.051111111111112, 80.04025 13.050111111111113)"
69,T.NO 64,,S,SA,26,63-64,292.0992982,,30,,80.04025,13.05011111,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04025 13.050111111111113, 80.03769444444444 13.049083333333334)"
70,T.NO 65,,S,SA,26,64-65,300.2698786,1.89,29,,80.03769444,13.04908333,GOOD,GOOD,,DRAIN,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03769444444444 13.049083333333334, 80.03502777777777 13.048027777777778)"
71,T.NO 66,,S,SA,26,65-66,312.161817,2.15,32,,80.03502778,13.04802778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03502777777777 13.048027777777778, 80.03241666666666 13.047027777777778)"
72,T.NO 67,,S,SA,26,66-67,304.1989481,3.18,32,,80.03241667,13.04702778,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03241666666666 13.047027777777778, 80.02991666666667 13.046055555555556)"
73,T.NO 68,,S,SA,26,67-68,289.4995682,4.46,43,,80.02991667,13.04605556,GOOD,GOOD,"3nos HT,2nos LT","2nos TAAR ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02991666666667 13.046055555555556, 80.02697222222223 13.044916666666667)"
74,T.NO 69,,S,SA,26,68-69,344.4793172,3.22,35,,80.02697222,13.04491667,GOOD,GOOD,HT,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02697222222223 13.044916666666667, 80.0245 13.043944444444444)"
75,T.NO 70,,S,SA,26,69-70,287.8350222,4.76,45,,80.0245,13.04394444,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0245 13.043944444444444, 80.02183333333333 13.042861111111112)"
76,T.NO 71,,S,SA,26,70-71,314.3914757,5.73,46,,80.02183333,13.04286111,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02183333333333 13.042861111111112, 80.01913888888889 13.04186111111111)"
77,T.NO 72,,S,SA,26,71-72,312.9680495,,45,,80.01913889,13.04186111,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01913888888889 13.04186111111111, 80.01655555555556 13.040833333333333)"
78,T.NO 73,,S,SA,26,72-73,301.9420474,,43,,80.01655556,13.04083333,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01655555555556 13.040833333333333, 80.01394444444445 13.039638888888888)"
79,T.NO 74,,S,SA,26,73-74,310.104821,,45,,80.01394444,13.03963889,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01394444444445 13.039638888888888, 80.01138888888889 13.03875)"
80,T.NO 75,2W,T,SC,26,74-75,294.4367504,6.18,44,"22°14'47""",80.01138889,13.03875,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01138888888889 13.03875, 80.00925 13.036777777777777)"
81,T.NO 76,,S,SA,26,75-76,321.1790778,3.81,41,,80.00925,13.03677778,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00925 13.036777777777777, 80.00719444444445 13.034777777777778)"
82,T.NO 77,,S,SA,26,76-77,313.2682557,,38,,80.00719444,13.03477778,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00719444444445 13.034777777777778, 80.00541666666666 13.033111111111111)"
83,T.NO 78,,S,SA,26,77-78,265.9661633,4.47,37,,80.00541667,13.03311111,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00541666666666 13.033111111111111, 80.00366666666666 13.031444444444446)"
84,T.NO 79,,S,SA,26,78-79,264.473061,1.89,36,,80.00366667,13.03144444,GOOD,GOOD,LT-2,ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00366666666666 13.031444444444446, 80.00161111111112 13.029444444444445)"
85,T.NO 80,,S,SA,26,79-80,314.0063694,2.71,32,,80.00161111,13.02944444,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00161111111112 13.029444444444445, 79.99966666666667 13.027583333333334)"
86,T.NO 81,,S,SA,26,80-81,294.9050695,1.96,31,,79.99966667,13.02758333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99966666666667 13.027583333333334, 79.9975 13.025666666666668)"
87,T.NO 82,,S,SA,26,81-82,316.4948657,,42,,79.9975,13.02566667,GOOD,GOOD,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9975 13.025666666666668, 79.99558333333333 13.023722222222222)"
88,T.NO 83,,S,SA,26,82-83,299.1738625,,26,,79.99558333,13.02372222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99558333333333 13.023722222222222, 79.99347222222222 13.02175)"
89,T.NO 84,,S,SA,26,83-84,316.9858041,,31,,79.99347222,13.02175,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99347222222222 13.02175, 79.99147222222223 13.01977777777778)"
90,T.NO 85,,S,SA,26,84-85,306.884343,2.16,37,,79.99147222,13.01977778,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99147222222223 13.01977777777778, 79.98947222222222 13.018027777777778)"
