S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13,11,,Suspension,DA+0,26,14-15,320,2.5,198,,12.98215833,79.22348889,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2234888888889 12.982158333333333, 79.22179722222222 12.980411111111112)"
14,12,,Suspension,DA+0,26,15-16,270,0.2,196,,12.98041111,79.22179722,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22179722222222 12.980411111111112, 79.22022222222222 12.978819444444445)"
15,13,,Tension,DC+0,26,16-17,249,6,200,"23°53'52.38""LT",12.97881944,79.22022222,GOOD,GOOD,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22022222222222 12.978819444444445, 79.21931666666667 12.976608333333333)"
16,14,,Suspension,DA+0,26,17-18,270,17,197,,12.97660833,79.21931667,GOOD,GOOD,"LT, HT","Road, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21931666666667 12.976608333333333, 79.21855833333333 12.974469444444445)"
17,15,,Suspension,DA+0,26,18-19,253,9,200,,12.97446944,79.21855833,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21855833333333 12.974469444444445, 79.21778888888889 12.972438888888888)"
18,16,,Tension,DB+0,24,19-Karnambut Gantry,245,8,199,"0°43’32.59""RT",12.97243889,79.21778889,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21778888888889 12.972438888888888, 79.21702777777777 12.970383333333334)"
19,17,,Tension,DB+0,24,Karnambut Gantry-,243,14,200,"5°47’48.68""RT",12.97038333,79.21702778,GOOD,GOOD,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21702777777777 12.970383333333334, 79.21648333333333 12.96931111111111)"
20,18,,Tension,DD+9,37,-,140,4.1,198,"3°15’1.97""RT",12.96931111,79.21648333,GOOD,GOOD,25kv,Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21648333333333 12.96931111111111, 79.21594166666667 12.968372222222222)"
21,19,2W,Tension,DD+9,37,-,127,17,194,"163°35’43.4""LT",12.96837222,79.21594167,GOOD,GOOD,"Three LT, Two HT","State Highway, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21594166666667 12.968372222222222, 79.21611944444444 12.96851388888889)"
22,Karnambut Gantry,,,Gantry,15,-,30,-,192,,12.96851389,79.21611944,GOOD,NO E/W,HT,-,Plain,No peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
