S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,T.NO 13,,S,SA,26,Dec-13,253.8003165,2.9,90,,79.67602778,13.11419444,GOOD,GOOD,,MUD ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67602777777778 13.114194444444443, 79.67461111111112 13.116027777777777)"
17,T.NO 14,,S,SA,26,13-14,256,3.14,93,,79.67461111,13.11602778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67461111111112 13.116027777777777, 79.67327777777778 13.117750000000001)"
18,T.NO 15,,S,SA,26,14-15,241,4.15,91,,79.67327778,13.11775,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67327777777778 13.117750000000001, 79.67177777777778 13.119722222222222)"
19,T.NO 16,2W,T,SC,26,15-16,272.00738,4.57,90,"24°8'5""",79.67177778,13.11972222,GOOD,GOOD,LT1,"ROAD1,CANAL1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67177777777778 13.119722222222222, 79.6696388888889 13.120861111111111)"
20,T.NO 17,,S,SA,26,16-17,264.1292458,5.6,82,,79.66963889,13.12086111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6696388888889 13.120861111111111, 79.66769444444445 13.121916666666667)"
21,T.NO 18,,S,SA,26,17-18,243.243679,6.24,85,,79.66769444,13.12191667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66769444444445 13.121916666666667, 79.66594444444445 13.122861111111112)"
22,T.NO 19,,T,SC,26,18-19,217.6956391,6.51,85,"25°26'40""",79.66594444,13.12286111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66594444444445 13.122861111111112, 79.66458333333334 13.124638888888889)"
23,T.NO 20,,S,SA,26,19-20,247.4000812,5.12,84,,79.66458333,13.12463889,GOOD,GOOD,LT1,ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66458333333334 13.124638888888889, 79.66319444444446 13.1265)"
24,T.NO 21,,S,SA,26,20-21,256.2802382,5.75,81,,79.66319444,13.1265,GOOD,GOOD,LT2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66319444444446 13.1265, 79.6618888888889 13.128250000000001)"
25,T.NO 22,,S,SA,26,21-22,240.0188277,4.33,79,,79.66188889,13.12825,GOOD,GOOD,HT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6618888888889 13.128250000000001, 79.66036111111111 13.13025)"
26,T.NO 23,,S,SA,26,22-23,277.8122107,5.85,78,,79.66036111,13.13025,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66036111111111 13.13025, 79.65908333333334 13.131972222222222)"
27,T.NO 24,,S,SA,26,23-24,236.6374334,6.15,77,,79.65908333,13.13197222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65908333333334 13.131972222222222, 79.65769444444445 13.133777777777777)"
28,T.NO 25,,S,SA,26,24-25,249.0020161,4.1,77,,79.65769444,13.13377778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65769444444445 13.133777777777777, 79.65641666666667 13.135583333333333)"
29,T.NO 26,2W,S,SA,26,25-26,247.5948094,3.95,78,,79.65641667,13.13558333,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65641666666667 13.135583333333333, 79.65508333333334 13.137416666666667)"
30,T.NO 27,,S,SA,26,26-27,247.9169901,6.35,77,,79.65508333,13.13741667,GOOD,GOOD,400KV,,PLAIN,TVLM-ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65508333333334 13.137416666666667, 79.65377777777779 13.139333333333333)"
31,T.NO 28,,S,SA,26,27-28,255.6075411,5.6,76,,79.65377778,13.13933333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65377777777779 13.139333333333333, 79.65266666666668 13.140944444444443)"
32,T.NO 29,,T,SB,24,28-29,216.5017401,3.51,74,"13°52'42""",79.65266667,13.14094444,GOOD,GOOD,,FOREST,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65266666666668 13.140944444444443, 79.65091666666667 13.142333333333333)"
33,T.NO 30,,S,SA,26,29-30,244.0226327,4.82,77,,79.65091667,13.14233333,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65091666666667 13.142333333333333, 79.64930555555556 13.143749999999999)"
34,T.NO 31,,S,SA,26,30-31,236.7731961,6.35,78,,79.64930556,13.14375,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64930555555556 13.143749999999999, 79.64755555555556 13.145194444444444)"
35,T.NO 32,,S,SA,26,31-32,248.3155879,5.97,80,,79.64755556,13.14519444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64755555555556 13.145194444444444, 79.64569444444444 13.146722222222222)"
36,T.NO 33,,T,SB,24,32-33,263.606169,5.3,86,"00°00'0""",79.64569444,13.14672222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64569444444444 13.146722222222222, 79.64394444444446 13.148194444444444)"
37,T.NO 34,,S,SA,26,33-34,251.9900396,4.83,83,,79.64394444,13.14819444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64394444444446 13.148194444444444, 79.64205555555556 13.14975)"
38,T.NO 35,,T,SB,24,34-35,267.7170786,4.15,79,"11°27'17""",79.64205556,13.14975,GOOD,GOOD,HT2,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64205555555556 13.14975, 79.6405 13.151722222222222)"
39,T.NO 36,,S,SA,26,35-36,276.4087871,3.77,79,,79.6405,13.15172222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6405 13.151722222222222, 79.63905555555556 13.153527777777779)"
40,T.NO 37,,S,SA,26,36-37,255.2616762,3.96,79,,79.63905556,13.15352778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63905555555556 13.153527777777779, 79.6375 13.155444444444445)"
41,T.NO 38,2W,S,SA,26,37-38,272.4498112,4.66,78,,79.6375,13.15544444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6375 13.155444444444445, 79.63602777777778 13.157250000000001)"
42,T.NO 39,,T,SB,24,38-39,257.2849976,4.29,83,"5°56'14""",79.63602778,13.15725,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63602777777778 13.157250000000001, 79.6346388888889 13.15863888888889)"
43,T.NO 40,,T,SB,24,39-40,216.0023256,3.95,83,"00°00'0""",79.63463889,13.15863889,GOOD,GOOD,HT1,ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6346388888889 13.15863888888889, 79.63286111111111 13.160555555555556)"
44,T.NO 41,,T,SC,26,40-41,287.6932158,4.25,80,"21°36'8""",79.63286111,13.16055556,GOOD,GOOD,LT2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63286111111111 13.160555555555556, 79.6321111111111 13.162555555555556)"
45,T.NO 42,,S,SA,26,41-42,235.0939982,4.11,79,,79.63211111,13.16255556,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6321111111111 13.162555555555556, 79.63127777777777 13.16463888888889)"
46,T.NO 43,,S,SA,26,42-43,248.7761086,4.23,79,,79.63127778,13.16463889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63127777777777 13.16463888888889, 79.63041666666666 13.166749999999999)"
47,T.NO 44,,T,SC,26,43-44,251.505489,4.73,79,"25°12'12""",79.63041667,13.16675,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63041666666666 13.166749999999999, 79.63058333333332 13.168861111111111)"
48,T.NO 45,,S,SA,26,44-45,237.7635952,3.96,79,,79.63058333,13.16886111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63058333333332 13.168861111111111, 79.63074999999999 13.171)"
49,T.NO 46,,T,SD,28,45-46,236.6883536,3.52,76,"61°53'25""",79.63075,13.171,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63074999999999 13.171, 79.62891666666665 13.172083333333333)"
50,T.NO 47,,S,SA,26,46-47,232.7175004,1.23,77,,79.62891667,13.17208333,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62891666666665 13.172083333333333, 79.62766666666666 13.172916666666666)"
51,T.NO 48,,S,SA,26,47-48,165.7573974,1.5,80,,79.62766667,13.17291667,GOOD,GOOD,LT2,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62766666666666 13.172916666666666, 79.62591666666665 13.173944444444444)"
52,T.NO 49,,S,SA,26,48-49,222.237429,2.91,79,,79.62591667,13.17394444,GOOD,GOOD,,ROAD2,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62591666666665 13.173944444444444, 79.62430555555555 13.174999999999999)"
53,T.NO 50,,S,SA,26,49-50,210.954757,2.39,77,,79.62430556,13.175,GOOD,GOOD,LT1,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62430555555555 13.174999999999999, 79.62233333333333 13.176222222222222)"
54,T.NO 51,,T,SB,24,50-51,253.7152548,4.91,76,"8°36'27""",79.62233333,13.17622222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62233333333333 13.176222222222222, 79.62069444444444 13.17761111111111)"
55,T.NO 126 LILO PONNIMANGADU ,3W,T,DB,24,51-126,236.274308,3.71,79,"8°12'35""",79.62069444,13.17761111,GOOD,GOOD,"LT,HT-2",ROAD,PLAIN,PONNIMANGADU LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62069444444444 13.17761111111111, 79.61872222222222 13.178777777777777)"
56,T.NO 127,,S,DA,26,126-127,248.8326048,3.12,80,,79.61872222,13.17877778,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61872222222222 13.178777777777777, 79.61691666666665 13.179944444444445)"
57,T.NO 128,,S,DA,26,127-128,237.0275408,4.72,80,,79.61691667,13.17994444,GOOD,GOOD,"HT1,LT1",ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61691666666665 13.179944444444445, 79.61494444444443 13.181194444444444)"
58,T.NO 129,,S,DA,26,128-129,254.7754913,5.89,86,,79.61494444,13.18119444,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61494444444443 13.181194444444444, 79.61388888888888 13.181861111111111)"
59,T.NO 130,,T,DB,24,129-130,137.458785,6.03,91,"7°22'48""",79.61388889,13.18186111,GOOD,GOOD,LT2,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61388888888888 13.181861111111111, 79.61230555555555 13.182611111111111)"
60,T.NO 131,,T,DD,28,130-131,190.6444041,5.36,86,"45°16'23""",79.61230556,13.18261111,GOOD,GOOD,"HT4,LT2",ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61230555555555 13.182611111111111, 79.61152777777777 13.182333333333332)"
61,GT THIRUTANI 110KV SS,2W,T,GANTRY,15,131-GT,90.19641248,,95,,79.61152778,13.18233333,GOOD,MISSING,HT3,,PLAIN,110KV THIRUTTANI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,13329M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
