S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 35,,T,DD,28,36-35,199.7360058,1.07,99,"42°23'1""",79.60472222,12.97383333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60472222222222 12.973833333333333, 79.60702777777777 12.972611111111112)"
12,T.NO 34,,S,DA,26,35-34,284.3249018,1.63,99,,79.60702778,12.97261111,GOOD,GOOD,LT-3,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60702777777777 12.972611111111112, 79.60941666666666 12.971527777777778)"
13,T.NO 33,,T,DB,24,34-33,285.5417368,3.01,100,"1°40'41""",79.60941667,12.97152778,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60941666666666 12.971527777777778, 79.61102777777778 12.970777777777778)"
14,T.NO 32,,T,DB,24,33-32,195.5893111,3.72,98,"9°49'2""",79.61102778,12.97077778,GOOD,GOOD,"LT-2 , HT-1",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61102777777778 12.970777777777778, 79.61355555555555 12.969055555555556)"
15,T.NO 31,,S,DA,26,32-31,333.701067,2.79,100,,79.61355556,12.96905556,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61355555555555 12.969055555555556, 79.61475 12.968222222222222)"
16,T.NO 30,,S,DA,26,31-30,159.4455743,3.91,103,,79.61475,12.96822222,GOOD,GOOD,"LT-2 , HT-1",MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61475 12.968222222222222, 79.61638888888888 12.967166666666667)"
17,T.NO 29,2W,T,DD,28,30-29,214.8434006,3.02,101,"38°53'58""",79.61638889,12.96716667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61638888888888 12.967166666666667, 79.61880555555555 12.967333333333334)"
18,T.NO 28,,S,DA,26,29-28,264.75936,4.13,103,,79.61880556,12.96733333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61880555555555 12.967333333333334, 79.62113888888888 12.9675)"
19,T.NO 27,,S,DA,26,28-27,255.568262,4.75,106,,79.62113889,12.9675,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62113888888888 12.9675, 79.62338888888888 12.967638888888889)"
20,T.NO 26,,T,DC,26,27-26,245.4013093,2.62,105,"28°47'58""",79.62338889,12.96763889,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62338888888888 12.967638888888889, 79.62533333333333 12.968944444444444)"
21,T.NO 25,,S,DA,26,26-25,256.7205506,1.96,104,,79.62533333,12.96894444,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62533333333333 12.968944444444444, 79.62758333333332 12.970305555555555)"
22,T.NO 24,,T,DD,28,25-24,286.8968345,2.35,104,"31°33'44""",79.62758333,12.97030556,GOOD,GOOD,LT-1 . HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62758333333332 12.970305555555555, 79.62994444444443 12.970416666666667)"
23,T.NO 23,,S,DA,26,24-23,257.2362191,3.13,105,,79.62994444,12.97041667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62994444444443 12.970416666666667, 79.63280555555555 12.970444444444444)"
24,T.NO 22,,S,DA,26,23-22,312,IN WATER,104,,79.63280556,12.97044444,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63280555555555 12.970444444444444, 79.63516666666668 12.9705)"
25,T.NO 21,,S,DA,26,22-21,257.0703028,IN WATER,105,,79.63516667,12.9705,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63516666666668 12.9705, 79.63688888888889 12.970555555555556)"
26,T.NO 20,,S,DA,26,21-20,188.066833,IN WATER,103,,79.63688889,12.97055556,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63688888888889 12.970555555555556, 79.63891666666667 12.970583333333334)"
27,T.NO 19,,T,DB,24,20-19,221.0022727,IN WATER,101,"6°7'12""",79.63891667,12.97058333,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63891666666667 12.970583333333334, 79.64119444444445 12.970833333333333)"
28,T.NO 18,,S,DA,26,19-18,249.3646513,2.94,104,,79.64119444,12.97083333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64119444444445 12.970833333333333, 79.64330555555556 12.97113888888889)"
29,T.NO 17,,S,DA,26,18-17,233.2154172,1.84,101,,79.64330556,12.97113889,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64330555555556 12.97113888888889, 79.64527777777778 12.971388888888889)"
30,T.NO 16,,S,DA,26,17-16,216.956014,1.93,98,,79.64527778,12.97138889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64527777777778 12.971388888888889, 79.64775 12.971722222222223)"
31,T.NO 15,2W,T,DB,24,16-15,271.1481075,2.05,96,"0°27'32""",79.64775,12.97172222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64775 12.971722222222223, 79.65027777777779 12.972027777777777)"
32,T.NO 14,,S,DA,26,15-14,279.0863175,2.31,99,,79.65027778,12.97202778,GOOD,GOOD,,"MUD ROAD-1 , CANAL , ROAD",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65027777777779 12.972027777777777, 79.65252777777778 12.972305555555556)"
33,T.NO 13,,S,DA,26,14-13,245.6078494,2.57,90,,79.65252778,12.97230556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65252777777778 12.972305555555556, 79.655 12.972583333333333)"
34,T.NO 12,,S,DA,26,13-Dec,269.4641503,1.98,88,,79.655,12.97258333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.655 12.972583333333333, 79.65733333333334 12.972888888888889)"
35,T.NO 11,,T,DB,24,12-Nov,259.11819,3.1,87,"15°47'14""",79.65733333,12.97288889,GOOD,GOOD,HT-1,CANAL-1,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65733333333334 12.972888888888889, 79.66000000000001 12.972472222222223)"
36,T.NO 10,,S,DA,26,11-Oct,293.9590415,2.45,87,,79.66,12.97247222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66000000000001 12.972472222222223, 79.66261111111112 12.972083333333334)"
37,T.NO 9,,T,DB,24,10-Sep,286.259531,6.05,91,"0°33'55""",79.66261111,12.97208333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66261111111112 12.972083333333334, 79.66533333333334 12.971722222222223)"
38,T.NO 8,,S,DA,26,09-Aug,299.8260363,4.15,89,,79.66533333,12.97172222,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66533333333334 12.971722222222223, 79.66811111111112 12.971333333333334)"
39,T.NO 7,,S,DA,26,08-Jul,305.4946633,3.72,89,,79.66811111,12.97133333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66811111111112 12.971333333333334, 79.67083333333333 12.970916666666668)"
40,T.NO 6,,T,DC,26,07-Jun,298.5768808,3.25,88,"28°14'33""",79.67083333,12.97091667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67083333333333 12.970916666666668, 79.67286111111112 12.971638888888888)"
41,T.NO 5,,T,DB,24,06-May,234.7541443,2.05,86,"6°29'22""",79.67286111,12.97163889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67286111111112 12.971638888888888, 79.67413888888889 12.971944444444444)"
42,T.NO 4,,T,DB,24,05-Apr,144.836713,2.15,88,"9°36'59""",79.67413889,12.97194444,GOOD,GOOD,,"ROAD-1,                     RAILWAY-1",CULTIVACTION LAND,RAILWAY CROSSING NEED  JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67413888888889 12.971944444444444, 79.676 12.972083333333334)"
43,T.NO 3,,S,DA,26,04-Mar,203.4845673,1.95,87,,79.676,12.97208333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.676 12.972083333333334, 79.67833333333334 12.97225)"
44,T.NO 2,,T,DB,24,03-Feb,254.444274,2.75,86,"6°36'16""",79.67833333,12.97225,GOOD,GOOD,HT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67833333333334 12.97225, 79.68008333333334 12.972555555555555)"
45,T.NO 1 LILO PUNNAI,3W,T,DC,26,02-Jan,192.0497317,2.18,85,,79.68008333,12.97255556,GOOD,MISSING,,,PLAIN,PUNNAI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,10620M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
