S. No,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Long.,Lat.,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Power Line,"Rail,TAAR ROAD,River",Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,T.NO 11,S,DA,26,10-11,287,6.35,114,,79.56788888888889,13.101444444444445,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56788888888889 13.101444444444445, 79.56558333333334 13.101583333333332)"
31,T.NO 12,T,DD,28,11-12,253,1.45,119,"54°54'4""",79.56558333333334,13.101583333333332,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56558333333334 13.101583333333332, 79.56419444444444 13.103833333333332)"
32,T.NO 13,S,DA,26,12-13,291,3.95,121,,79.56419444444444,13.103833333333332,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56419444444444 13.103833333333332, 79.5628611111111 13.106)"
33,T.NO 14,T,DC,26,13-14,281,3..71,117,"22°24'6""",79.5628611111111,13.106,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5628611111111 13.106, 79.56080555555555 13.107527777777777)"
34,T.NO 15,S,DA,26,14-15,280,4.12,117,,79.56080555555555,13.107527777777777,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56080555555555 13.107527777777777, 79.55883333333333 13.108944444444445)"
35,T.NO 16,T,DD,28,15-16,268,3.98,119,"35°23'25""",79.55883333333333,13.108944444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55883333333333 13.108944444444445, 79.55808333333333 13.111055555555556)"
36,T.NO 17,S,DA,26,16-17,249,4.17,123,,79.55808333333333,13.111055555555556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55808333333333 13.111055555555556, 79.55738888888888 13.113166666666666)"
37,T.NO 18,S,DA,26,17-18,247,4.55,127,,79.55738888888888,13.113166666666666,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55738888888888 13.113166666666666, 79.55675 13.115138888888888)"
38,T.NO 19,S,DA,26,18-19,229,3.95,126,,79.55675,13.115138888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55675 13.115138888888888, 79.55602777777777 13.117305555555555)"
39,T.NO 20,T,DD,28,19-20,254,3.38,126,"55°7'59""",79.55602777777777,13.117305555555555,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55602777777777 13.117305555555555, 79.55402777777778 13.117861111111111)"
40,T.NO 21,S,DA,26,20-21,226,4.01,126,,79.55402777777778,13.117861111111111,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55402777777778 13.117861111111111, 79.55216666666666 13.118444444444444)"
41,T.NO 22,T,DB,24,21-22,212,4.95,125,"12°48'29""",79.55216666666666,13.118444444444444,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55216666666666 13.118444444444444, 79.55019444444444 13.118527777777778)"
42,T.NO 23,S,DA,26,22-23,215,5.65,131,,79.55019444444444,13.118527777777778,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55019444444444 13.118527777777778, 79.54819444444445 13.118722222222223)"
43,T.NO 24,T,DD,28,23-24,218,3.27,124,"48°48'31""",79.54819444444445,13.118722222222223,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54819444444445 13.118722222222223, 79.54663888888889 13.120555555555557)"
44,T.NO 25,S,DA,26,24-25,266,4.9,121,,79.54663888888889,13.120555555555557,GOOD,GOOD,2nos LT,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54663888888889 13.120555555555557, 79.54527777777777 13.122472222222223)"
45,T.NO 26,T,DD,28,25-26,260,4.23,119,"32°1'39""",79.54527777777777,13.122472222222223,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54527777777777 13.122472222222223, 79.54516666666666 13.123944444444446)"
46,T.NO 27,S,DA,26,26-27,163,3.75,121,,79.54516666666666,13.123944444444446,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54516666666666 13.123944444444446, 79.54497222222221 13.12575)"
47,T.NO 28,T,DB,24,27-28,201,4.38,116,"12°58'56""",79.54497222222221,13.12575,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54497222222221 13.12575, 79.54430555555555 13.127777777777778)"
48,T.NO 29,S,DA,26,28-29,239,5.28,118,,79.54430555555555,13.127777777777778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54430555555555 13.127777777777778, 79.5435 13.130027777777778)"
49,T.NO 30,S,DA,26,29-30,262,4.17,118,,79.5435,13.130027777777778,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5435 13.130027777777778, 79.54299999999999 13.131666666666668)"
50,T.NO 31,S,DA,26,30-31,191,5.86,112,,79.54299999999999,13.131666666666668,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54299999999999 13.131666666666668, 79.5423888888889 13.133444444444445)"
51,T.NO 32,T,DC,26,31-32,211,6.34,109,"27°27'56""",79.5423888888889,13.133444444444445,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5423888888889 13.133444444444445, 79.54066666666667 13.135083333333332)"
52,T.NO 33,S,DA,26,32-33,260,6.1,114,,79.54066666666667,13.135083333333332,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54066666666667 13.135083333333332, 79.53911111111111 13.136583333333332)"
53,T.NO 34,S,DA,26,33-34,238,2.18,110,,79.53911111111111,13.136583333333332,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53911111111111 13.136583333333332, 79.53733333333334 13.138277777777777)"
54,T.NO 35,S,DA,26,34-35,269,5.15,114,,79.53733333333334,13.138277777777777,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53733333333334 13.138277777777777, 79.53561111111111 13.139916666666666)"
55,T.NO 36,T,DB,24,35-36,262,3.17,113,"4°30'47""",79.53561111111111,13.139916666666666,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53561111111111 13.139916666666666, 79.53375 13.141416666666666)"
56,T.NO 37,S,DA,26,36-37,261,3.95,110,,79.53375,13.141416666666666,GOOD,GOOD,,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53375 13.141416666666666, 79.53183333333334 13.143055555555556)"
57,T.NO 38,S,DA,26,37-38,277,3.85,108,,79.53183333333334,13.143055555555556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53183333333334 13.143055555555556, 79.53019444444445 13.144361111111111)"
58,T.NO 39,T,DC,26,38-39,231,5.16,110,"18°29'32""",79.53019444444445,13.144361111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53019444444445 13.144361111111111, 79.52919444444444 13.145944444444444)"
59,T.NO 40,S,DA,26,39-40,207,4.78,110,,79.52919444444444,13.145944444444444,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52919444444444 13.145944444444444, 79.52825 13.147416666666667)"
60,T.NO 41,S,DA,26,40-41,193,4.12,112,,79.52825,13.147416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52825 13.147416666666667, 79.52719444444445 13.149111111111111)"
61,T.NO 42,T,DB,24,41-42,221,3.85,113,"4°11'45""",79.52719444444445,13.149111111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52719444444445 13.149111111111111, 79.527 13.149444444444445)"
62,DP1,T,DP,15,42-DP1,43,DP,112,,79.527,13.149444444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.527 13.149444444444445, 79.52691666666666 13.14975)"
63,DP2,T,DP,15,DP1-DP2,36,DP,112,,79.52691666666666,13.14975,GOOD,GOOD,400KV,,PLAIN,TVLM-ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52691666666666 13.14975, 79.52683333333333 13.15013888888889)"
64,T.NO 43,T,DC,26,DP2-43,45,5.37,114,"15°53'40""",79.52683333333333,13.15013888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52683333333333 13.15013888888889, 79.52594444444445 13.151611111111112)"
65,T.NO 44,S,DA,26,43-44,190,4.79,113,,79.52594444444445,13.151611111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52594444444445 13.151611111111112, 79.52508333333333 13.15313888888889)"
66,T.NO 45,S,DA,26,44-45,193,3.5,114,,79.52508333333333,13.15313888888889,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52508333333333 13.15313888888889, 79.52425 13.15463888888889)"
67,T.NO 46,T,DC,26,45-46,192,3.72,114,"16°11'31""",79.52425,13.15463888888889,GOOD,GOOD,2nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52425 13.15463888888889, 79.52369444444444 13.156916666666667)"
68,T.NO 47,T,DB,24,46-47,258,5.03,118,"13°28'47""",79.52369444444444,13.156916666666667,GOOD,GOOD,"3nos LT,2nos HT",MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52369444444444 13.156916666666667, 79.52263888888889 13.158916666666666)"
69,T.NO 48,S,DA,26,47-48,251,4.31,120,,79.52263888888889,13.158916666666666,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52263888888889 13.158916666666666, 79.52152777777778 13.161194444444444)"
70,T.NO 49,T,DB,24,48-49,280,4.71,123,"4°14'36""",79.52152777777778,13.161194444444444,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52152777777778 13.161194444444444, 79.52072222222222 13.16313888888889)"
71,T.NO 50,T,DB,24,49-50,233,4.67,124,"12°40'52""",79.52072222222222,13.16313888888889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52072222222222 13.16313888888889, 79.51955555555556 13.16475)"
72,T.NO 51,T,DD,28,50-51,219,4.6,122,"31°20'30""",79.51955555555556,13.16475,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51955555555556 13.16475, 79.51780555555555 13.1655)"
73,T.NO 52,S,DA,26,51-52,208,4.95,122,,79.51780555555555,13.1655,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51780555555555 13.1655, 79.5165 13.166055555555555)"
74,T.NO 53,T,DB,24,52-53,156,4.86,124,"9°23'44""",79.5165,13.166055555555555,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5165 13.166055555555555, 79.51466666666667 13.166500000000001)"
75,T.NO 54,S,DA,26,53-54,205,4.61,125,,79.51466666666667,13.166500000000001,GOOD,GOOD,"LT,HT",TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51466666666667 13.166500000000001, 79.51311111111112 13.166888888888888)"
76,T.NO 55,T,DD,28,54-55,175,4.95,127,"58°49'23""",79.51311111111112,13.166888888888888,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51311111111112 13.166888888888888, 79.51261111111111 13.168583333333332)"
77,T.NO 56,S,DA,26,55-56,197,5.29,129,,79.51261111111111,13.168583333333332,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51261111111111 13.168583333333332, 79.51202777777777 13.170388888888889)"
78,T.NO 57,S,DA,26,56-57,209,5.21,132,,79.51202777777777,13.170388888888889,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51202777777777 13.170388888888889, 79.5115 13.172083333333333)"
79,T.NO 58,T,DC,26,57-58,199,4.95,134,"17°11'7""",79.5115,13.172083333333333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5115 13.172083333333333, 79.5115 13.173944444444444)"
80,T.NO 59,T,DC,26,58-59,206,5.47,137,"25°15'43""",79.5115,13.173944444444444,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5115 13.173944444444444, 79.51205555555556 13.175055555555556)"
81,T.NO 60,T,DB,24,59-60,139,5.37,140,"0°23'25""",79.51205555555556,13.175055555555556,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51205555555556 13.175055555555556, 79.51263888888889 13.17625)"
82,T.NO 61,T,DD,28,60-61,146,6.68,143,"65°50'3""",79.51263888888889,13.17625,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51263888888889 13.17625, 79.5128888888889 13.17625)"
83,GT K.G KANDIGAI 110KV SS,T,GANTRY,15,61-GT,29,,143,,79.5128888888889,13.17625,GOOD,MISSING,,,PLAIN,110KV K.G KANDIGAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,17981M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
