,Tower No, Supspension / Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,T.NO-83,S,SA,SC,26,84-83,NO,298.9180489699476,2.58,23,,79.43977777777778,10.783388888888888,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43977777777778 10.783388888888888, 79.44247222222222 10.783888888888889)"
36,T.NO-82,T,SB,SC,24,83-82,NO,300.2682134359213,2.7,23,"1°5'48.34""",79.44247222222222,10.783888888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44247222222222 10.783888888888889, 79.44513888888889 10.78436111111111)"
37,T.NO-81,S,SA,SC,26,82-81,NO,298.2213942694253,2.61,22,,79.44513888888889,10.78436111111111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44513888888889 10.78436111111111, 79.44794444444445 10.784888888888888)"
38,T.NO-80,S,SA,SC,26,81-80,YES,312.06569821112987,1.7,28,,79.44794444444445,10.784888888888888,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44794444444445 10.784888888888888, 79.45080555555556 10.785277777777777)"
39,T.NO-79,S,SA,SC,26,80-79,NO,315.8053197778657,1.25,24,,79.45080555555556,10.785277777777777,GOOD,GOOD,NO,"LT, 11KV","TAAR ROAD, NALA",PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45080555555556 10.785277777777777, 79.45336111111111 10.78588888888889)"
40,T.NO-78,S,SA,SC,26,79-78,NO,285.72714256787015,1.9,21,,79.45336111111111,10.78588888888889,GOOD,GOOD,NO,,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45336111111111 10.78588888888889, 79.45622222222222 10.78636111111111)"
41,T.NO-77,S,SA,SC,26,78-77,DIFICULT,318.1147591671911,WATER,22,,79.45622222222222,10.78636111111111,GOOD,GOOD,NO,,,CULTIVATION,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45622222222222 10.78636111111111, 79.45911111111111 10.786888888888889)"
42,T.NO-76,S,SA,SC,26,77-76,YES,321.27869521647403,1.22,25,,79.45911111111111,10.786888888888889,GOOD,GOOD,NO,11KV,"TAAR ROAD, CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45911111111111 10.786888888888889, 79.462 10.78738888888889)"
43,T.NO-75,S,SA,SC,26,76-75,DIFICULT,320.5807230636303,BUSHES,22,,79.462,10.78738888888889,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.462 10.78738888888889, 79.46483333333333 10.787944444444443)"
44,T.NO-74,T,SB,SC,24,75-74,DIFICULT,315.19676394277906,2.17,23,"5°50'14.77""",79.46483333333333,10.787944444444443,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46483333333333 10.787944444444443, 79.46766666666667 10.788166666666667)"
45,T.NO-73,T,SB,SC,24,74-73,NO,313,2.66,19,"1°21'42.90""",79.46766666666667,10.788166666666667,GOOD,GOOD,NO,LT,,CULTIVATION,STAY WIRE CUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46766666666667 10.788166666666667, 79.47058333333334 10.788472222222222)"
46,T.NO-72,S,SA,SC,26,73-72,NO,318.71303707253645,1.29,19,,79.47058333333334,10.788472222222222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47058333333334 10.788472222222222, 79.47330555555556 10.788722222222223)"
