S. No ,Tower No,Curcuit,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23.0,T.NO-5,DC,S,29.0,4-5,YES,178.46568297574746,4.58,69.0,,79.13369444444444,10.774333333333335,GOOD,GOOD,NO,"2nos11KV, LT",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13369444444444 10.774333333333335, 79.13527777777779 10.775666666666668)"
24.0,T.NO-6,DC,T,29.0,5-6,YES,227.56317804073663,8.94,71.0,"85°49'36.85""",79.13527777777779,10.775666666666668,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,BUSESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13527777777779 10.775666666666668, 79.13436111111112 10.776861111111112)"
25.0,T.NO-7,DC,T,32.0,6-7,YES,162.2004932174992,2.53,71.0,"59°18'29.43""",79.13436111111112,10.776861111111112,GOOD,GOOD,NO,2nos LT&11KV,2nos TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13436111111112 10.776861111111112, 79.13513888888889 10.778694444444445)"
26.0,T.NO-8,DC,T,32.0,7-8,YES,218.76928486421488,1.02,65.0,"1°25'39.27""",79.13513888888889,10.778694444444445,GOOD,GOOD,YES,LT,"TAAR ROAD,  RAILWAY CROSSING (NON ELECTRICAL)",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13513888888889 10.778694444444445, 79.13561111111112 10.77975)"
27.0,T.NO-9,DC,T,32.0,8-9,YES,130.26895255585654,0.97,67.0,"80°55'27.37""",79.13561111111112,10.77975,GOOD,GOOD,YES,"LT, 11KV",RAILWAY CROSSING (ELECTRICAL) NEAR JUCTION,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13561111111112 10.77975, 79.13602777777778 10.779666666666667)"
28.0,GANTRY URBAN 110KV SS,GANTRY,T,20.0,9-GANTRY,YES,46.57252408878007,,66.0,,79.13602777777778,10.779666666666667,GOOD,GOOD,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
