S.No,Tower No.,Tower Suspension / Tension,Joint Box Locaton,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,28,T,,SC on SC,26,27 - 28,249.9077866,18.55,10.75,5.7,68.3,84,7°32'44''RT,11.58672083,79.40337748,GOOD,Available,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4033774826675 11.5867208316922, 79.4015442766249 11.5850021224468)"
30,29,S,,SC on SC,26,28 - 29,277.1464911,20.3,12.6,6.8,79.3,84,18°49'53''LT,11.58500212,79.40154428,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4015442766249 11.5850021224468, 79.4001267291605 11.5843614097684)"
31, 29A,T,2 Way,DC on DC,28,29 -  29A,171.3241271,16.3,7,5.2,30.6,84,45°59'41''RT,11.58436141,79.40012673,GOOD,Available,LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4001267291605 11.5843614097684, 79.39974761568 11.5833016019314)"
32,30,S,,SC on SC,26, 29A - 30,125.5602007,22.3,14.2,8.8,81.6,84,27°39'56''LT,11.5833016,79.39974762,GOOD,Available,230kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39974761568 11.5833016019314, 79.3979507870972 11.5816463436931)"
33,31,S,,SC on SC,26,30 - 31,269.4473198,22.85,15.3,8.4,95.8,83,0°36'11''RT,11.58164634,79.39795079,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3979507870972 11.5816463436931, 79.3961723148822 11.579973064363)"
34,32,S,,SC on SC,26,31 - 32,269.3612678,18.3,10.2,5.8,62.1,81,0°51'46''LT,11.57997306,79.39617231,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3961723148822 11.579973064363, 79.3943389412015 11.5782994497567)"
35,33,S,,SC on SC,26,32 - 33,273.7509453,16.8,8.7,4.7,54.5,81,0°8'26''LT,11.57829945,79.39433894,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3943389412015 11.5782994497567, 79.3924964312464 11.5766257513314)"
36,34,S,,SC on SC,26,33 - 34,274.490365,16.85,8.95,4.6,57.8,79,8°34'11''RT,11.57662575,79.39249643,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3924964312464 11.5766257513314, 79.3912308476865 11.5750728361308)"
37,35,T,,SC on SC,26,34 - 35,221.6164665,15.6,7.7,3.7,51.8,80,44°9'28''LT,11.57507284,79.39123085,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3912308476865 11.5750728361308, 79.3887935578823 11.5747881028801)"
38,36,S,,SC on SC,26,35 - 36,268.9403432,16.35,8.3,4.4,53,81,0°56'55''RT,11.5747881,79.38879356,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3887935578823 11.5747881028801, 79.386393232271 11.5744673274457)"
39,37,S,,SC on SC,26,36 - 37,265.4436058,16.95,8.9,4.8,56.1,82,0°12'47''RT,11.57446733,79.38639323,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.386393232271 11.5744673274457, 79.3841303698718 11.574156358838)"
40,38,S,,SC on SC,26,37 - 38,250.4431603,17.75,9.6,5.5,58.5,85,0°6'47''RT,11.57415636,79.38413037,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3841303698718 11.574156358838, 79.3817666731774 11.5738267824053)"
41,39,S,,SC on SC,26,38 - 39,261.6209751,17.95,10,5.4,62.8,86,0°32'23''LT,11.57382678,79.38176667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3817666731774 11.5738267824053, 79.3792930059134 11.5735055878758)"
42,40,S,,SC on SC,26,39 - 40,273.3803921,18.3,10.65,5.4,69.4,88,0°3'6''LT,11.57350559,79.37929301,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3792930059134 11.5735055878758, 79.3770209234207 11.5732126403599)"
43,41,S,,SC on SC,26,40 - 41,251.1745952,19.25,11.65,6,75.4,90,169°23'2''RT,11.57321264,79.37702092,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3770209234207 11.5732126403599, 79.3745720665901 11.5733525343239)"
44,42,T,,SC on SC,26,41 - 42,268.7938359,20.75,12.85,7.4,78,92,112°57'59''LT,11.57335253,79.37457207,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3745720665901 11.5733525343239, 79.3736115004867 11.5714034903794)"
45,43,S,2 Way,SC on SC,26,42 - 43,240.9569282,21.55,13.5,8.1,79,92,6°39'5''LT,11.57140349,79.3736115,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3736115004867 11.5714034903794, 79.3726845458149 11.56996993348)"
46,44,S,,SC on SC,26,43 - 44,189.3153663,16.35,8.7,4.1,58.7,91,4°13'17''RT,11.56996993,79.37268455,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3726845458149 11.56996993348, 79.3716775439679 11.568128010258)"
47,45,T,,SC on SC,26,44 - 45,232.7184404,15.8,8,3.8,53.6,90,2°20'5''RT,11.56812801,79.37167754,GOOD,Available,"2-LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3716775439679 11.568128010258, 79.3708256073296 11.5664066188037)"
48,46,S,,SC on SC,26,45 - 46,213.1299368,16.45,7.5,5.1,38.5,91,2°25'12''RT,11.56640662,79.37082561,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3708256073296 11.5664066188037, 79.3698210362344 11.5641409065574)"
49,47,S,,SC on SC,26,46 - 47,274.7833467,18.2,8.5,7.1,23.8,90,1°17'40''LT,11.56414091,79.36982104,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3698210362344 11.5641409065574, 79.3687885534018 11.5619473624974)"
50,48,S,,SC on SC,26,47 - 48,268.7557546,17.75,7.95,6.8,18.6,91,1°17'44''RT,11.56194736,79.36878855,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3687885534018 11.5619473624974, 79.3678201921284 11.559763206169)"
51,49,S,,SC on SC,26,48 - 49,264.9360088,17.2,7.7,6.1,28.2,93,1°36'4''LT,11.55976321,79.36782019,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3678201921284 11.559763206169, 79.3667603842914 11.5575424209237)"
52,50,S,,SC on SC,26,49 - 50,272.7485657,16.35,7.2,5.1,34.1,91,0°14'36''LT,11.55754242,79.36676038,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3667603842914 11.5575424209237, 79.3657457549124 11.5554393175989)"
