,Tower No,CIRCUIT, Supspension/Tenion,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(?),GPS Co Ordinates,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks
S. No ,,,,Joint box,,,,,,,,Long.,Lat.,,,,Power Line,"Rail,Road,River",,
40,T.NO 36,SC,S,,26,35-36,YES,257,,34,,"79°20'23.4"" E","10°44'28.5"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED
41,T.NO 37,SC,S,,26,36-37,NO,208,2.37,33,,"79°20'19.4"" E","10°44'23.0"" N",GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,
42,T.NO 38,SC,T,,28,37-38,YES,174,2.22,33,"30°9'36.22""","79°20'16.2"" E","10°44'18.3"" N",GOOD,GOOD,NO,,"TAAR ROAD, CANNEL",CULTIVATION LAND,
43,T.NO 39,SC,S,,26,38-39,YES,217,,34,,"79°20'09.7"" E","10°44'15.3"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED
44,T.NO 40,SC,S,,26,39-40,NO,223,,34,,"79°20'03.2"" E","10°44'12.0"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER SURROUNDED
45,T.NO 41,SC,S,,26,40-41,NO,271,2.1,31,,"79°19'55.2"" E","10°44'08.1"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
46,T.NO 42,SC,S,,26,41-42,NO,272,2.52,34,,"79°19'47.2"" E","10°44'04.2"" N",GOOD,GOOD,NO,,"CANNEL,MUD ROAD",CULTIVATION LAND,
47,T.NO 43,SC,T,2 way,28,42-43,NO,270,,37,"35°42'50.29""","79°19'39.3"" E","10°44'00.2"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER SURROUNDED
48,T.NO 44,SC,S,,26,43-44,YES,242,2.11,36,,"79°19'35.6"" E","10°43'53.2"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
49,T.NO 45,SC,S,,26,44-45,NO,213,2.52,37,,"79°19'32.6"" E","10°43'47.0"" N",GOOD,GOOD,NO,"11KV,LT","TAAR ROAD, CANNEL",CULTIVATION LAND,
50,T.NO 46,SC,S,,26,45-46,YES,207,2.53,36,,"79°19'29.5"" E","10°43'41.0"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
