S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
47,151,T,,SC,22,152-151,238.9005434,2.55,36.665306,"29°17'12"" R",10.51716667,79.27327778,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27327777777778 10.517166666666668, 79.27325 10.519111111111112)"
48,150,S,,SA,22,151-150,245,3.01,38.293736,,10.51911111,79.27325,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27325 10.519111111111112, 79.27336111111111 10.521194444444445)"
49,149,S,,SA,22,150-149,230.0406719,7.04,39.995464,,10.52119444,79.27336111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27336111111111 10.521194444444445, 79.27347222222222 10.523472222222223)"
50,148,T,,SC,22,149-148,254.6107045,4.87,38.535007,"17°55'57"" R",10.52347222,79.27347222,GOOD,Available,"LT,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27347222222222 10.523472222222223, 79.27419444444445 10.525333333333334)"
51,147,S,,SA,22,148-147,219.770196,5.11,39.260021,,10.52533333,79.27419444,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27419444444445 10.525333333333334, 79.27494444444444 10.527222222222223)"
52,146,S,,SA,22,147-146,225.3170798,4.66,37.612186,,10.52722222,79.27494444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27494444444444 10.527222222222223, 79.27563888888889 10.529055555555557)"
53,145,S,,SA,22,146-145,217.2188734,3.23,38.246307,,10.52905556,79.27563889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27563888888889 10.529055555555557, 79.27647222222222 10.531194444444445)"
54,144,T,2W,SC,22,145-144,251.9074895,6.11,39.163841,"30°32'32"" R",10.53119444,79.27647222,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27647222222222 10.531194444444445, 79.27602777777777 10.534194444444445)"
55,143,S,,SA,22,144-143,336.7115512,5.19,37.482925,,10.53419444,79.27602778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27602777777777 10.534194444444445, 79.2756111111111 10.536694444444445)"
56,142,S,,SA,22,143-142,278.5964497,4.06,36.970127,,10.53669444,79.27561111,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2756111111111 10.536694444444445, 79.27513888888889 10.539305555555556)"
