S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,T.NO 87,S,,DA,26,88-87,301.0946695,6.05,51,,11.49211281,79.32442553,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32442552681194 11.49211280852617, 79.32335790173887 11.489756238413163)"
28,T.NO 86,T,,DD,28,87-86,285.5240795,5.62,50,"51°3'39""",11.48975624,79.3233579,,,GOOD,GOOD,230KV CROSSING ABOVE ,,CULTIVACTION LAND,NEYVELI - PERAMBALUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32335790173887 11.489756238413163, 79.32119808997344 11.489201403091537)"
29,T.NO 85,S,,DA,26,86-85,243.5077001,4.82,51,,11.4892014,79.32119809,,,GOOD,GOOD,HT-1,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32119808997344 11.489201403091537, 79.31936754324212 11.488765972276397)"
30,T.NO 84,S,,DA,26,85-84,205.4482903,3.38,52,,11.48876597,79.31936754,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31936754324212 11.488765972276397, 79.31766553208091 11.488295111943463)"
31,T.NO 83,T,,DD,28,84-83,192.8652379,7.15,51,"56°30'15""",11.48829511,79.31766553,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31766553208091 11.488295111943463, 79.317368225579 11.487425547224586)"
32,T.NO 82,S,,DA,26,83-82,101.5135459,3.4,50,,11.48742555,79.31736823,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.317368225579 11.487425547224586, 79.31646698889674 11.484843918939665)"
33,T.NO 81,T,,DD,28,82-81,302.0347662,4.72,49,"30°50'18""",11.48484392,79.31646699,,,GOOD,GOOD,400KV CROSSING ABOVE,,CULTIVACTION LAND,NEYVELI - TRICHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31646698889674 11.484843918939665, 79.31449719471296 11.48316916662689)"
34,T.NO 80,S,,DA,26,81-80,283.7463656,2.35,48,,11.48316917,79.31449719,,,GOOD,GOOD,"400KV CROSSING ABOVE,LT-1",CANAL,CULTIVACTION LAND,NEYVELI - SALEM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31449719471296 11.48316916662689, 79.3124728103022 11.481430807653378)"
35,T.NO 79,S,,DA,26,80-79,292.8566202,3.74,50,,11.48143081,79.31247281,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3124728103022 11.481430807653378, 79.31046629690785 11.47977390189532)"
36,T.NO 78,S,,DA,26,79-78,285.5240795,3.65,50,,11.4797739,79.3104663,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31046629690785 11.47977390189532, 79.30862434506007 11.478190259644967)"
37,T.NO 77,S,,DA,26,78-77,266.608327,4.21,41,,11.47819026,79.30862435,,,GOOD,GOOD,HT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30862434506007 11.478190259644967, 79.3064714562556 11.47649632368348)"
38,T.NO 76,T,2W,DC,26,77-76,300.4862726,3.91,42,"19°41'12""",11.47649632,79.30647146,Yes,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3064714562556 11.47649632368348, 79.30394816967161 11.475442066478653)"
39,T.NO 75,S,,DA,26,76-75,299,4.81,41,,11.47544207,79.30394817,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30394816967161 11.475442066478653, 79.30116812914402 11.474413415923815)"
40,T.NO 74,S,,DA,26,75-74,323.9753077,3.75,43,,11.47441342,79.30116813,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30116812914402 11.474413415923815, 79.29856153755988 11.47350327275004)"
41,T.NO 73,S,,DA,26,74-73,301.7051541,4.45,43,,11.47350327,79.29856154,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29856153755988 11.47350327275004, 79.29600062633111 11.472620495149304)"
42,T.NO 72,S,,DB,24,73-72,296,4.88,42,,11.4726205,79.29600063,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29600062633111 11.472620495149304, 79.29338534352019 11.471637939370702)"
43,T.NO 71,T,,DD,28,72-71,305.3604428,5.17,44,"43°29'16""",11.47163794,79.29338534,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29338534352019 11.471637939370702, 79.29245404652731 11.46952617500121)"
44,T.NO 70,S,,DA,26,71-70,254.7508587,_,44,,11.46952618,79.29245405,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29245404652731 11.46952617500121, 79.29152964345076 11.46779412941545)"
45,T.NO 69,S,,DA,26,70-69,216.5294437,_,45,,11.46779413,79.29152964,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29152964345076 11.46779412941545, 79.2903253944102 11.465355325203161)"
46,T.NO 68,T,,DB,24,69-68,300.0833218,3.89,42,"1°26'36""",11.46535533,79.29032539,,,GOOD,GOOD,,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2903253944102 11.465355325203161, 79.28904086085186 11.46255444888539)"
47,T.NO 67,S,,DA,26,68-67,340.06617,3.71,43,,11.46255445,79.28904086,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28904086085186 11.46255444888539, 79.28782879229854 11.459898634169082)"
48,T.NO 66,S,,DA,26,67-66,322.1878334,4.49,44,,11.45989863,79.28782879,,,GOOD,GOOD,,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28782879229854 11.459898634169082, 79.28664390916421 11.457297216311932)"
49,T.NO 65,S,,DA,26,66-65,315.4837555,5.18,45,,11.45729722,79.28664391,,,GOOD,GOOD,HT-1 LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28664390916421 11.457297216311932, 79.28543198860389 11.454623317853606)"
50,T.NO 64,S,,DB,24,65-64,324.007716,4.17,42,,11.45462332,79.28543199,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28543198860389 11.454623317853606, 79.28431074635112 11.452112668547873)"
51,T.NO 63,S,,DA,26,64-63,303.4880558,3.98,42,,11.45211267,79.28431075,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28431074635112 11.452112668547873, 79.28332490750722 11.449946330801001)"
