,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO.177,S,,DA,26,178-177,NO,,195.8187938,3.8,103,,78.76811111,10.4,GOOD,GOOD,LT LIINE -1 CROSSING,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76811111111111 10.4, 78.76833333333333 10.397222222222222)"
19,T.NO.176,T,2W,DC,26,177-176,NO,,309.6465727,3.67,104,"19°47'57.03""",78.76833333,10.39722222,GOOD,GOOD,"11KV -2 ,33KV-2, LINE CROSSING",,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76833333333333 10.397222222222222, 78.76780555555555 10.395388888888888)"
20,T.NO.175,T,,DD,28,176-175,NO,,209.2008604,3.43,97,"34°10'29.84""",78.76780556,10.39538889,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76780555555555 10.395388888888888, 78.76855555555555 10.393194444444443)"
21,T.NO.174,S,,DA,26,175-174,NO,,254.568262,1.97,95,,78.76855556,10.39319444,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76855555555555 10.393194444444443, 78.76952777777778 10.390833333333333)"
22,T.NO.173,S,,DA,26,174-173,YES,,283.1854516,2.67,97,,78.76952778,10.39083333,GOOD,GOOD,LT LIINE -1 CROSSING,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76952777777778 10.390833333333333, 78.77027777777778 10.388694444444443)"
23,T.NO.172,T,,DD,28,173-172,NO,,251.7300141,3.86,98,"31°15'18.27""",78.77027778,10.38869444,GOOD,GOOD,LT LIINE -3 CROSSING,MUD ROAD-2 CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77027777777778 10.388694444444443, 78.77247222222222 10.386916666666666)"
24,T.NO.171,T,,DD,28,172-171,YES,,308.1850094,2.55,94,"34°9'10.60""",78.77247222,10.38691667,GOOD,GOOD,LT LIINE -1 CROSSING,MUD ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77247222222222 10.386916666666666, 78.77525 10.386666666666667)"
25,T.NO.170,S,,DA,26,171-170,YES,,308.4623154,3.9,94,,78.77525,10.38666667,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77525 10.386666666666667, 78.77788888888888 10.386305555555555)"
26,T.NO.169,S,,DA,26,170-169,YES,,291.1923763,3.15,94,,78.77788889,10.38630556,GOOD,GOOD,,,WATER LOGGED ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77788888888888 10.386305555555555, 78.78058333333333 10.386)"
27,T.NO.168,S,,DA,26,169-168,YES,,297.0690156,2.09,97,,78.78058333,10.386,GOOD,GOOD,LT LIINE -2 CROSSING,,WATER LOGGED ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78058333333333 10.386, 78.78319444444445 10.385694444444445)"
28,T.NO.167,S,,DA,26,168-167,YES,,288.2568299,3.15,92,,78.78319444,10.38569444,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78319444444445 10.385694444444445, 78.78566666666667 10.385416666666666)"
29,T.NO.166,T,,DD,28,167-166,YES,,272.1323208,3.14,95,"55°0'22.66""",78.78566667,10.38541667,GOOD,GOOD,,TAR ROAD CROSSING,WATER LOGGED ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78566666666667 10.385416666666666, 78.78647222222222 10.383944444444444)"
30,T.NO.165,T,2W,DD,28,166-165,YES,,184.2959576,2.54,100,"70°18'49.12""",78.78647222,10.38394444,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD-2 CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78647222222222 10.383944444444444, 78.78813888888888 10.384194444444445)"
31,T.NO.164,T,,DD,28,165-164,YES,,183.8477631,4.55,91,"35°59'49.58""",78.78813889,10.38419444,GOOD,GOOD,"LT LIINE -1,11KV -1 CROSSING",,WATER LOGGED ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78813888888888 10.384194444444445, 78.78972222222222 10.38336111111111)"
32,T.NO.163,S,,DA,26,164-163,YES,,196.8247952,2.97,95,,78.78972222,10.38336111,GOOD,GOOD,LT LIINE -1 CROSSING,,WATER LOGGED ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78972222222222 10.38336111111111, 78.79130555555555 10.3825)"
33,T.NO.162,S,,DA,26,163-162,YES,,197.850954,3.55,94,,78.79130556,10.3825,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,WATER LOGGED ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79130555555555 10.3825, 78.79344444444445 10.380277777777778)"
34,T.NO.161,T,,DD,28,162-161,YES,,340.9692068,3.66,93,"34°36'41.14""",78.79344444,10.38027778,GOOD,GOOD,11KV LINE -1 CROSSING,,PLAIN LAND ,TOWER COVERED WITH BUSHS AND INSIDE THE COMPOUND WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79344444444445 10.380277777777778, 78.79375 10.378472222222223)"
35,T.NO.160,T,,DD,34,161-160,NO,,204.3648698,4.55,92,"44°18'49.91""",78.79375,10.37847222,GOOD,GOOD,11KV LINE -2 CROSSING,POND CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79375 10.378472222222223, 78.7923888888889 10.376555555555557)"
36,T.NO.159,S,,DA,26,160-159,YES,,259.4648338,2.63,90,,78.79238889,10.37655556,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7923888888889 10.376555555555557, 78.7911111111111 10.37475)"
37,T.NO.158,S,,DA,29,159-158,NO,,242.843571,3.15,81,,78.79111111,10.37475,GOOD,GOOD,,CANAL CROSSING,PLAIN LAND ,"TOWER COVERED WITH BUSHS,TAPPING POINT CONNECTING PUDUKOTTAI OLD SS  TOWER WHICH IS NOT IN USE,ONE EARTH WIRE CONTINUES TO OUR LINE AND OTHER EARTH WIRE CONNECTING PUDUKOTTAI OLD SS  TOWER WHICH IS (NOT IN USE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7911111111111 10.37475, 78.78975 10.372833333333334)"
38,T.NO.157,S,,DA,26,158-157,NO,,258.3060201,3,97,,78.78975,10.37283333,GOOD,GOOD,LT LIINE -1 CROSSING,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78975 10.372833333333334, 78.78972222222222 10.372833333333334)"
39,T.NO.156,T,,DD,28,157-156,YES,,303,3.15,98,"36°5'49.98""",78.78972222,10.37283333,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78972222222222 10.372833333333334, 78.78822222222222 10.370722222222224)"
40,T.NO.155,T,,DB,30,156-155,YES,,286.0856515,3.02,95,"6°53'10.17""",78.78822222,10.37072222,GOOD,GOOD,,HIGHWAY CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78822222222222 10.370722222222224, 78.78686111111111 10.368194444444445)"
41,T.NO.154,T,,DB,24,155-154,YES,,317.7184288,2.19,97,"0°23'43.24""",78.78686111,10.36819444,GOOD,GOOD,LT LIINE -1 CROSSING,,WATER LOGGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78686111111111 10.368194444444445, 78.78561111111111 10.365916666666667)"
42,T.NO.153,S,,DA,26,154-153,NO,,286.9181068,2.57,99,,78.78561111,10.36591667,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78561111111111 10.365916666666667, 78.78433333333334 10.363555555555555)"
43,T.NO.152,S,,DA,26,153-152,NO,,294.893201,1.25,98,,78.78433333,10.36355556,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78433333333334 10.363555555555555, 78.78308333333334 10.361194444444443)"
44,T.NO.151,S,,DA,26,152-151,NO,,296.1773118,2.66,98,,78.78308333,10.36119444,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78308333333334 10.361194444444443, 78.78197222222222 10.35911111111111)"
45,T.NO.1(TAPPING POINT)DC,T,3W,DD,28,151-1,NO,,259.4706149,1.21,99,"88°13'32.96""",78.78197222,10.35911111,GOOD,GOOD,,,PLAIN LAND ,"ONE FEEDER GOING TO THIRUMAYAM 110KV TOWER AND OTHER FEEDER TO PDK OLD S.S,ONE EARTH WIRE GOING TO THIRUMYAM 110KV TOWER AND OUR EARTH WIRE CONTINUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78197222222222 10.35911111111111, 78.78233333333333 10.358916666666666)"
46,T.NO.2,T,,DD,28,01-Feb,NO,,44.77722635,2.61,96,"71°15'21.60""",78.78233333,10.35891667,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78233333333333 10.358916666666666, 78.78413888888889 10.360555555555555)"
47,T.NO.3,T,,DB,24,02-Mar,YES,,268.4045454,3.72,99,"0°43'27.81""",78.78413889,10.36055556,GOOD,GOOD,LT LIINE -2 CROSSING,TAR ROAD-1 CROSSING,PLAIN LAND ,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78413888888889 10.360555555555555, 78.7855 10.361722222222221)"
48,T.NO.4,S,,DA,26,03-Apr,YES,,197.7397279,3.59,93,,78.7855,10.36172222,GOOD,GOOD,LT LIINE -2 CROSSING,TAR ROAD-1 CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7855 10.361722222222221, 78.7863611111111 10.362527777777778)"
49,T.NO.5,T,,DB,24,04-May,YES,,130.9083649,2.11,95,"4°5'3.76""",78.78636111,10.36252778,GOOD,GOOD,LT LIINE -2 CROSSING,TAR ROAD-1 CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7863611111111 10.362527777777778, 78.78780555555555 10.363694444444445)"
50,T.NO.6,T,,DB,24,05-Jun,YES,,201.3082214,3.61,91,"14°11'41.15""",78.78780556,10.36369444,GOOD,GOOD,,TAR ROAD-1 CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78780555555555 10.363694444444445, 78.78813888888888 10.364138888888888)"
51,T.NO.7,T,,DB,24,06-Jul,YES,,61.40032573,2.69,93,"13°45'51.11""",78.78813889,10.36413889,GOOD,GOOD,LT LIINE -2 CROSSING,TAR ROAD-2 CROSSING,PLAIN LAND ,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78813888888888 10.364138888888888, 78.79019444444444 10.365805555555555)"
52,T.NO.8,T,,DB,24,07-Aug,YES,,292.8378391,3.16,91,"7°33'23.14""",78.79019444,10.36580556,GOOD,GOOD,11KV LINE -1 CROSSING,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79019444444444 10.365805555555555, 78.7915 10.367222222222223)"
53,T.NO.9,S,,DA,26,08-Sep,YES,,210.1071155,2.68,91,,78.7915,10.36722222,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7915 10.367222222222223, 78.79258333333333 10.368861111111112)"
54,T.NO.10,S,,DA,26,09-Oct,NO,,219.3855054,3.61,95,,78.79258333,10.36886111,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79258333333333 10.368861111111112, 78.79505555555555 10.370027777777779)"
55,T.NO.11,S,,DA,26,10-Nov,NO,,299.347624,2.17,89,,78.79505556,10.37002778,GOOD,GOOD,,"TAR ROAD-3,MUD ROAD CROSSING",PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79505555555555 10.370027777777779, 78.79666666666667 10.371416666666667)"
56,T.NO.12,T,,DB,27,11-Dec,YES,,234.52292,2.67,91,"5°46'32.66""",78.79666667,10.37141667,GOOD,GOOD,,CANAL CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79666666666667 10.371416666666667, 78.79816666666666 10.373055555555556)"
57,T.NO.13,T,,DC,26,Dec-13,YES,,245.5381844,2.16,87,"22°17'54.35""",78.79816667,10.37305556,GOOD,GOOD,,,PLAIN LAND ,EARTH WIRE CONNECTING TO PDK URBAN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79816666666666 10.373055555555556, 78.79822222222222 10.373222222222223)"
58,GANTRY PUDHUKOTTAI OLD S.S,GANTRY,3W,T,20,13-GANTRY,YES,,17.08800749,,,,78.79822222,10.37322222,,NO EARTH WIRE,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
