S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest / Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,TN - 100,S,,SC,28,TN - 97 : TN - 96,266.9998573,-,62,,11.13116062,79.41378294,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4137829449027 11.1311606224626, 79.413759978488 11.1337190307676)"
64,TN - 99,S,,SC,28,TN - 96 : TN - 95,285.0030728,-,69,,11.13371903,79.41375998,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.413759978488 11.1337190307676, 79.4137384369969 11.136006200686)"
65,TN - 98,S,,SC,28,TN - 95 : TN - 94,255.0005799,-,68,,11.1360062,79.41373844,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4137384369969 11.136006200686, 79.4137252774089 11.1384380422532)"
66,TN - 97,S,,SC,28,TN - 94 : TN - 93,270.9960169,-,69,,11.13843804,79.41372528,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4137252774089 11.1384380422532, 79.41371220164 11.1408518627285)"
67,TN - 96,T,,SC,28,TN - 93 : TN - 92,269.0026805,-,69,44°22'46''RT,11.14085186,79.4137122,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41371220164 11.1408518627285, 79.4121196400374 11.1424617748707)"
68,TN - 95,S,,SC,28,TN - 92 : TN - 91,250.9435051,-,69,,11.14246177,79.41211964,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4121196400374 11.1424617748707, 79.4109597522765 11.1436308827251)"
69,TN - 94,S,,SC,28,TN - 91 : TN - 90,183.039047,-,67,,11.14363088,79.41095975,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4109597522765 11.1436308827251, 79.4093487504869 11.1452677845954)"
70,TN - 93,S,,SC,28,TN - 90 : TN - 89,254.4865944,-,67,,11.14526778,79.40934875,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4093487504869 11.1452677845954, 79.4076916482299 11.1469585821032)"
71,TN - 92,S,,SC,28,TN - 89 : TN - 88,262.2713631,-,76,,11.14695858,79.40769165,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4076916482299 11.1469585821032, 79.4060714263468 11.1485863476991)"
72,TN - 91,T,,SC,28,TN - 88 : LILO - 87,254.4668371,-,76,0°6'46''LT,11.14858635,79.40607143,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4060714263468 11.1485863476991, 79.4043683912605 11.1503040511161)"
73,TN - 90,S,,SC,28,LILO - 87 : TN - 86,267.9025949,-,77,,11.15030405,79.40436839,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4043683912605 11.1503040511161, 79.4027387816458 11.1519769951701)"
74,TN - 89,S,,SC,28,TN - 86 : TN - 85,258.7635636,-,77,,11.151977,79.40273878,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4027387816458 11.1519769951701, 79.4006029888987 11.1541353352367)"
75,TN - 88,S,,SC,28,TN - 85 : TN - 84,335.7978882,-,79,,11.15413534,79.40060299,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4006029888987 11.1541353352367, 79.3994704261422 11.1553046107292)"
76,LILO - 87,T,3W,SC,28,TN - 84 : TN - 83,180.9739576,-,78,1°1'17''LT,11.15530461,79.39947043,GOOD,AVAILABLE,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3994704261422 11.1553046107292, 79.3988903146237 11.155925290659)"
77,TN - 86,T,,SC,28,TN - 83 : TN - 82,95.426929,-,78,37°15'49''LT,11.15592529,79.39889031,GOOD,AVAILABLE,"11KV, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3988903146237 11.155925290659, 79.3986580520868 11.158211287111)"
78,TN - 85,S,,SC,28,TN - 82 : TN - 81,256.1314264,-,77,,11.15821129,79.39865805,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3986580520868 11.158211287111, 79.3983868975192 11.1609039735049)"
79,TN - 84,S,,SC,28,TN - 81 : TN - 80,301.3163422,-,75,,11.16090397,79.3983869,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3983868975192 11.1609039735049, 79.3981637712568 11.1631900537759)"
80,TN - 83,T,,SC,28,TN - 80 : TN - 79,256.0430753,-,75,0°49'26''LT,11.16319005,79.39816377,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3981637712568 11.1631900537759, 79.3979579955339 11.1656660679727)"
81,TN - 82,S,,SC,28,TN - 79 : TN - 78,276.8013912,-,74,,11.16566607,79.397958,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3979579955339 11.1656660679727, 79.3977147527039 11.1682684812694)"
82,TN - 81,S,,SC,28,TN - 78 : TN - 77,291.0856639,-,74,,11.16826848,79.39771475,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3977147527039 11.1682684812694, 79.3975090608 11.1707263905555)"
83,TN - 80,T,,SC,28,TN - 77 : TN - 76,274.804861,-,74,18°53'60''RT,11.17072639,79.39750906,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3975090608 11.1707263905555, 79.3966189026832 11.1727558169513)"
84,TN - 79,S,,SC,28,TN - 76 : TN - 75,246.6321236,-,70,,11.17275582,79.3966189,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3966189026832 11.1727558169513, 79.3956357892602 11.1750468425452)"
85,TN - 78,S,,SC,28,TN - 75 : TN - 74,277.2286442,-,70,,11.17504684,79.39563579,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3956357892602 11.1750468425452, 79.3946527596563 11.1773197632282)"
86,TN - 77,S,,SC,28,TN - 74 : TN - 73,275.3820398,-,71,,11.17731976,79.39465276,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3946527596563 11.1773197632282, 79.3937626015394 11.1793582420796)"
87,TN - 76,T,2W,SC,28,TN - 73 : TN - 72,247.5508429,-,71,0°4'47''RT,11.17935824,79.3937626,GOOD,AVAILABLE,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3937626015394 11.1793582420796, 79.3927426077425 11.181685226038)"
88,TN - 75,S,,SC,28,TN - 72 : TN - 71,282.4702246,-,70,,11.18168523,79.39274261,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3927426077425 11.181685226038, 79.3918150663375 11.1838499363511)"
89,TN - 74,S,,SC,28,TN - 71 : TN - 70,261.9950967,-,69,,11.18384994,79.39181507,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3918150663375 11.1838499363511, 79.3907949049025 11.1862040776759)"
90,TN - 73,S,,SC,28,TN - 70 : TN - 69,285.2364475,-,62,,11.18620408,79.3907949,GOOD,AVAILABLE,"LT-2N, 11KV",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3907949049025 11.1862040776759, 79.3898675311356 11.1883236095309)"
