S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
168,150,S,DA,26,"=B172&"" - "" &B173",299.05108935914757,3.24,92.532448,,10.730416666666667,78.98647222222222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98647222222222 10.730416666666667, 78.98927777777777 10.730583333333334)"
169,151,S,DA,26,"=B173&"" - "" &B174",307.301436770831,1.53,91.049408,,10.730583333333334,78.98927777777777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98927777777777 10.730583333333334, 78.9918611111111 10.730722222222223)"
170,152,S,DA,26,"=B174&"" - "" &B175",283.2209056027244,1.29,91.483788,,10.730722222222223,78.9918611111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9918611111111 10.730722222222223, 78.99472222222222 10.73088888888889)"
171,153,S,DA,26,"=B175&"" - "" &B176",312.703909019573,4.27,91.3494869999999,,10.73088888888889,78.99472222222222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99472222222222 10.73088888888889, 78.99727777777778 10.731)"
172,154,S,DA,26,"=B176&"" - "" &B177",279.5977211652765,0.36,90.904419,,10.731,78.99727777777778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99727777777778 10.731, 78.9995 10.731111111111112)"
173,155,S,DA,26,"=B177&"" - "" &B178",243.08828339893606,2.72,88.9760509999999,,10.731111111111112,78.9995,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9995 10.731111111111112, 79.00144444444445 10.731222222222222)"
174,156,S,DA,26,"=B178&"" - "" &B179",212.1227834938343,3.29,85.350479,,10.731222222222222,79.00144444444445,GOOD,Available,LT - 2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00144444444445 10.731222222222222, 79.00344444444444 10.731333333333334)"
175,157,T,DB,25,"=B179&"" - "" &B180",219.49609257075642,4.49,84.604904,"9°57'36""R",10.731333333333334,79.00344444444444,GOOD,Available,"HT,LT",Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00344444444444 10.731333333333334, 79.00608333333334 10.731916666666667)"
176,158,S,DA,26,"=B180&"" - "" &B181",295.7385157807869,0.37,82.9023969999999,,10.731916666666667,79.00608333333334,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00608333333334 10.731916666666667, 79.00875 10.732527777777777)"
177,159,S,DA,26,"=B181&"" - "" &B182",300.62086528044284,2.59,81.138412,,10.732527777777777,79.00875,GOOD,NO E/W,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00875 10.732527777777777, 79.01147222222222 10.73311111111111)"
178,160,S,DA,26,"=B182&"" - "" &B183",306.2974201850135,4.6,82.003296,,10.73311111111111,79.01147222222222,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01147222222222 10.73311111111111, 79.01425 10.733749999999999)"
179,161,S,DA,26,"=B183&"" - "" &B184",309.61216732574815,3.15,82.563789,,10.733749999999999,79.01425,GOOD,NO E/W,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01425 10.733749999999999, 79.01708333333333 10.734333333333332)"
180,162,S,DA,26,"=B184&"" - "" &B185",319.0509008742914,5.74,82.1175539999999,,10.734333333333332,79.01708333333333,GOOD,NO E/W,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01708333333333 10.734333333333332, 79.01972222222223 10.734944444444444)"
180,163,S,DA,26,"=B185&"" - "" &B186",295.5210971809037,4.1,82.0718229999999,,10.734944444444444,79.01972222222223,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01972222222223 10.734944444444444, 79.02244444444445 10.735555555555555)"
181,164,S,DA,26,"=B186&"" - "" &B187",305.74663721742104,3.92,80.1580809999999,,10.735555555555555,79.02244444444445,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02244444444445 10.735555555555555, 79.02494444444444 10.736083333333333)"
182,LILO : 165,S,DA,26,"=B187&"" - "" &B188",278.23151209249795,5.12,77.334145,,10.736083333333333,79.02494444444444,GOOD,NO E/W,,,PLAIN,LILO to Thirumalasamuthiram,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02494444444444 10.736083333333333, 79.02711111111111 10.736583333333332)"
183,166,S,DA,26,"=B188&"" - "" &B189",244.2979087008046,4.02,75.9314349999999,,10.736583333333332,79.02711111111111,GOOD,NO E/W,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02711111111111 10.736583333333332, 79.02927777777778 10.737027777777778)"
184,167,S,DA,26,"=B189&"" - "" &B190",240.70508229355934,3.71,73.940971,,10.737027777777778,79.02927777777778,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02927777777778 10.737027777777778, 79.03177777777778 10.73761111111111)"
185,168,T,DB,25,"=B190&"" - "" &B191",281.8855162511804,3.4,76.5138929999999,"7°22'12""R",10.73761111111111,79.03177777777778,GOOD,NO E/W,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03177777777778 10.73761111111111, 79.03361111111111 10.738277777777776)"
186,169,S,DA,26,"=B191&"" - "" &B192",213.85300097507763,2.06,71.3687359999999,,10.738277777777776,79.03361111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03361111111111 10.738277777777776, 79.03619444444445 10.739194444444443)"
187,170,S,DA,26,"=B192&"" - "" &B193",299.55272397268317,4.31,68.3775789999999,,10.739194444444443,79.03619444444445,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03619444444445 10.739194444444443, 79.0365 10.739277777777778)"
188,LILO : 1,T,DB,25,"=B193&"" - "" &B194",35.37252205145096,1.17,68.8142469999999,"4°53'24""R",10.739277777777778,79.0365,GOOD,NO E/W,,,PLAIN,LILO to Punalkulam,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0365 10.739277777777778, 79.03861111111111 10.740055555555555)"
189,171,S,DA,26,"=B194&"" - "" &B195",246.12067376013562,3.73,66.963875,,10.740055555555555,79.03861111111111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03861111111111 10.740055555555555, 79.04108333333333 10.740916666666665)"
190,172,S,DA,26,"=B195&"" - "" &B196",288.2845757187144,3.08,65.4633869999999,,10.740916666666665,79.04108333333333,GOOD,NO E/W,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04108333333333 10.740916666666665, 79.04369444444444 10.74186111111111)"
191,173,S,DA,26,"=B196&"" - "" &B197",304.21538921958415,0.64,67.605705,,10.74186111111111,79.04369444444444,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04369444444444 10.74186111111111, 79.04619444444444 10.74275)"
192,174,S,DA,26,"=B197&"" - "" &B198",289.31106380358955,4.22,65.8116679999999,,10.74275,79.04619444444444,GOOD,NO E/W,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04619444444444 10.74275, 79.04886111111111 10.743694444444444)"
193,175,S,DA,26,"=B198&"" - "" &B199",310.97886912421205,0.91,66.1924589999999,,10.743694444444444,79.04886111111111,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04886111111111 10.743694444444444, 79.05119444444445 10.744527777777776)"
194,176,S,DA,26,"=B199&"" - "" &B200",270.7381782722015,2.75,65.2171479999999,,10.744527777777776,79.05119444444445,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05119444444445 10.744527777777776, 79.05355555555555 10.74536111111111)"
195,177,S,DA,26,"=B200&"" - "" &B201",275.0671883043209,0.46,66.3205949999999,,10.74536111111111,79.05355555555555,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05355555555555 10.74536111111111, 79.05569444444444 10.746138888888888)"
196,178,T,DB,25,"=B201&"" - "" &B202",247.85755494861192,NIL,66.1694719999999,"2°26'24""L",10.746138888888888,79.05569444444444,GOOD,NO E/W,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05569444444444 10.746138888888888, 79.0581111111111 10.746888888888888)"
197,179,S,DA,26,"=B202&"" - "" &B203",277.32076023404124,2.76,67.8227459999999,,10.746888888888888,79.0581111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0581111111111 10.746888888888888, 79.05997222222221 10.747472222222221)"
198,180,S,DA,26,"=B203&"" - "" &B204",213.8345557747239,2.51,68.5260849999999,,10.747472222222221,79.05997222222221,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05997222222221 10.747472222222221, 79.06247222222223 10.748277777777776)"
199,181,S,DA,26,"=B204&"" - "" &B205",288.10760338621265,2.88,68.01725,,10.748277777777776,79.06247222222223,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06247222222223 10.748277777777776, 79.06313888888889 10.74847222222222)"
200,19,T,DC,26,"=B205&"" - "" &B206",76.88707186684597,3.2,68.747505,"57°55'48""L",10.74847222222222,79.06313888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06313888888889 10.74847222222222, 79.06422222222221 10.747499999999999)"
201,18,T,DC,26,"=B206&"" - "" &B207",158.28638094098366,0.73,69.1584629999999,"38°15'0""L",10.747499999999999,79.06422222222221,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06422222222221 10.747499999999999, 79.06466666666667 10.74486111111111)"
202,17,S,DA,26,"=B207&"" - "" &B208",297.64326755404676,4.33,72.5019,,10.74486111111111,79.06466666666667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06466666666667 10.74486111111111, 79.06508333333333 10.742222222222221)"
203,16,S,DA,26,"=B208&"" - "" &B209",295.3127970533516,1.98,74.665115,,10.742222222222221,79.06508333333333,GOOD,NO E/W,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06508333333333 10.742222222222221, 79.06547222222223 10.739666666666666)"
204,15,S,DA,26,"=B209&"" - "" &B210",286.1556667203883,2.44,77.1132429999999,,10.739666666666666,79.06547222222223,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06547222222223 10.739666666666666, 79.0658611111111 10.737222222222222)"
205,14,S,DA,26,"=B210&"" - "" &B211",273.8313920466228,1.6,80.793816,,10.737222222222222,79.0658611111111,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0658611111111 10.737222222222222, 79.06627777777777 10.734694444444443)"
206,13,S,DA,26,"=B211&"" - "" &B212",282.467522404293,0.07,82.5630799999999,,10.734694444444443,79.06627777777777,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06627777777777 10.734694444444443, 79.06666666666666 10.73238888888889)"
207,12,S,DA,26,"=B212&"" - "" &B213",259.71707250137484,1.02,84.6383589999999,,10.73238888888889,79.06666666666666,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06666666666666 10.73238888888889, 79.06705555555556 10.729972222222223)"
208,11,S,DA,26,"=B213&"" - "" &B214",269.8046160760242,1.86,88.109451,,10.729972222222223,79.06705555555556,GOOD,NO E/W,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06705555555556 10.729972222222223, 79.06744444444445 10.727583333333333)"
209,10,T,DC,26,"=B214&"" - "" &B215",269.1347162786418,2.54,102.203025999999,"30°9'0""R",10.727583333333333,79.06744444444445,GOOD,Available,"LT,HT",Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06744444444445 10.727583333333333, 79.06869444444445 10.726)"
210,9,T,DB,25,"=B215&"" - "" &B216",221.54224431684418,1.16,103.321136,"22°49'48""L",10.726,79.06869444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06869444444445 10.726, 79.06916666666666 10.724444444444444)"
211,8,S,DA,26,"=B216&"" - "" &B217",180.49876026555077,1.07,101.639442,,10.724444444444444,79.06916666666666,GOOD,Available,"LT,66KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06916666666666 10.724444444444444, 79.06966666666666 10.722805555555556)"
212,7A,S,DA,26,"=B217&"" - "" &B218",188.55319054920378,2.32,101.508499,,10.722805555555556,79.06966666666666,GOOD,Available,,Trichy - Tanjore NH Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06966666666666 10.722805555555556, 79.06991666666666 10.722055555555556)"
213,7,T,DB,25,"=B218&"" - "" &B219",87.92695264345035,1.92,99.8620609999999,"18°0'0""L",10.722055555555556,79.06991666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06991666666666 10.722055555555556, 79.06994444444445 10.721055555555555)"
214,6,T,DC,26,"=B219&"" - "" &B220",109.97144817765269,2.93,99.80011,"53°19'48""L",10.721055555555555,79.06994444444445,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06994444444445 10.721055555555555, 79.06894444444444 10.720305555555555)"
215,5,T,DC,26,"=B220&"" - "" &B221",136.37174859642656,2.01,102.220901,"50°38'24""R",10.720305555555555,79.06894444444444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06894444444444 10.720305555555555, 79.06888888888888 10.718722222222222)"
216,4,T,DC,26,"=B221&"" - "" &B222",177.20208198662826,2.78,101.747452,"57°52'12""R",10.718722222222222,79.06888888888888,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06888888888888 10.718722222222222, 79.07083333333333 10.717444444444444)"
217,3,T,DB,25,"=B222&"" - "" &B223",254.94233539948561,1.75,104.649445,"0°51'0""L",10.717444444444444,79.07083333333333,GOOD,Available,,Road Main,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07083333333333 10.717444444444444, 79.07180555555556 10.716777777777779)"
218,2,T,DB,25,"=B223&"" - "" &B224",127.0153526596286,0.47,102.41674,"6°22'12""R",10.716777777777779,79.07180555555556,GOOD,Available,,EB Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07180555555556 10.716777777777779, 79.073 10.716166666666666)"
219,1,T,DC,26,"=B224&"" - "" &B225",148.1509825069492,1.68,105.921837,"78°38'60""R",10.716166666666666,79.073,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.073 10.716166666666666, 79.07272222222223 10.71586111111111)"
220,Gantry (Tanjore SS),Gantry,H-POLE,12,"=B225&"" - "" &B226",44.51759804623474,,105.406647,,10.71586111111111,79.07272222222223,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
