S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,24,S,DA,26,"=B34&"" - "" &B35",263.17302022959785,0.43,85.636261,,10.736833333333333,78.66852777777778,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66852777777778 10.736833333333333, 78.67027777777778 10.735388888888888)"
31,25,S,DA,26,"=B35&"" - "" &B36",248.64540313344793,1.72,91.0716929999999,,10.735388888888888,78.67027777777778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67027777777778 10.735388888888888, 78.67205555555556 10.733888888888888)"
32,26,T,DC,26,"=B36&"" - "" &B37",256.0640044356055,0.6,93.724968,"30°1'48""R",10.733888888888888,78.67205555555556,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67205555555556 10.733888888888888, 78.67488888888889 10.733333333333333)"
33,27,S,DA,26,"=B37&"" - "" &B38",315.56343288311245,2.51,91.328545,,10.733333333333333,78.67488888888889,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67488888888889 10.733333333333333, 78.67722222222223 10.732888888888889)"
34,28,S,DA,26,"=B38&"" - "" &B39",259.63417256773573,1.27,92.513908,,10.732888888888889,78.67722222222223,GOOD,Available,LT - 2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67722222222223 10.732888888888889, 78.67986111111112 10.73238888888889)"
35,29,S,DA,26,"=B39&"" - "" &B40",294.53340720684844,1.49,96.2298739999999,,10.73238888888889,78.67986111111112,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67986111111112 10.73238888888889, 78.68266666666668 10.731833333333334)"
36,30,S,DA,26,"=B40&"" - "" &B41",315.213715063498,2.11,96.973083,,10.731833333333334,78.68266666666668,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68266666666668 10.731833333333334, 78.68547222222223 10.731305555555556)"
37,31,S,DA,26,"=B41&"" - "" &B42",310.93385405159705,3.05,100.294998,,10.731305555555556,78.68547222222223,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68547222222223 10.731305555555556, 78.68822222222222 10.73075)"
38,32,S,DA,26,"=B42&"" - "" &B43",307.6815179265688,0.14,99.6275629999999,,10.73075,78.68822222222222,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68822222222222 10.73075, 78.69077777777778 10.730277777777777)"
39,33,S,DA,26,"=B43&"" - "" &B44",283.8294255369739,2.39,96.1170199999999,,10.730277777777777,78.69077777777778,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69077777777778 10.730277777777777, 78.69330555555555 10.729777777777779)"
40,34,T,DB,25,"=B44&"" - "" &B45",283.0452666408891,3.02,94.057434,"1°25'12""L",10.729777777777779,78.69330555555555,GOOD,Available,"HT,LT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69330555555555 10.729777777777779, 78.69627777777778 10.729083333333334)"
41,35,T,DB,25,"=B45&"" - "" &B46",332.74431935336736,1.76,91.5908359999999,"0°7'48""L",10.729083333333334,78.69627777777778,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69627777777778 10.729083333333334, 78.69897222222222 10.728472222222223)"
42,36,T,DB,25,"=B46&"" - "" &B47",302.41608549736105,2.1,92.0523989999999,"2°46'48""R",10.728472222222223,78.69897222222222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69897222222222 10.728472222222223, 78.70025 10.728250000000001)"
43,LILO : 37,T,DB,25,"=B47&"" - "" &B48",141.68445292744101,2.41,95.603699,"2°11'24""R",10.728250000000001,78.70025,GOOD,Available,,,AGRI,LILO to Mathur,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70025 10.728250000000001, 78.70138888888889 10.728055555555555)"
44,38,T,DB,25,"=B48&"" - "" &B49",128.57034693580738,NIL,94.8915789999999,"3°37'12""L",10.728055555555555,78.70138888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70138888888889 10.728055555555555, 78.70427777777778 10.727472222222222)"
45,39,S,DA,26,"=B49&"" - "" &B50",322.3687590165562,1.07,101.487990999999,,10.727472222222222,78.70427777777778,GOOD,NO E/W,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70427777777778 10.727472222222222, 78.70694444444445 10.726944444444445)"
46,40,T,DC,26,"=B50&"" - "" &B51",297.33042053423816,3.16,102.668007,"52°23'24""R",10.726944444444445,78.70694444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70694444444445 10.726944444444445, 78.70775 10.727638888888889)"
47,41,T,DC,26,"=B51&"" - "" &B52",116.90616927255483,2.49,100.623009,"38°0'0""L",10.727638888888889,78.70775,GOOD,Available,,Rail Way Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70775 10.727638888888889, 78.70794444444445 10.727666666666666)"
48,42,T,DB,25,"=B52&"" - "" &B53",19.189945393258107,1.11,100.158325,"4°33'36""R",10.727666666666666,78.70794444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70794444444445 10.727666666666666, 78.71088888888889 10.728055555555555)"
49,43,S,DA,26,"=B53&"" - "" &B54",325.3680781132277,1.33,99.9417799999999,,10.728055555555555,78.71088888888889,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71088888888889 10.728055555555555, 78.71372222222223 10.728444444444445)"
50,44,S,DA,26,"=B54&"" - "" &B55",315.3376469480422,2.81,100.540909,,10.728444444444445,78.71372222222223,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71372222222223 10.728444444444445, 78.71636111111111 10.728833333333334)"
