Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,SA,S,26,22-23,,275.5667,,67m,,11.976415703440818,79.44430866899017,,,,,Good,Good,"LT-2,HT-1",_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44430866899017 11.976415703440818, 79.44243839474152 11.975908101821876)"
24,SC,T,26,23-24,,211.2842,6,62m,"22d15'9""RT",11.975908101821876,79.44243839474152,,,,,Good,Good,HT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44243839474152 11.975908101821876, 79.4396913304943 11.976182118524122)"
25,SA,S,26,24-25,,300.7075,,60m,,11.976182118524122,79.4396913304943,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4396913304943 11.976182118524122, 79.43717391691011 11.976439307179536)"
26,SA,S,26,25-26,,275.6374,,61m,,11.976439307179536,79.43717391691011,,,,,Good,Good,"LT-2,HT-1",_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43717391691011 11.976439307179536, 79.43461966949344 11.976714347576225)"
27,SA,S,26,26-27,,279.8357,,66m,,11.976714347576225,79.43461966949344,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43461966949344 11.976714347576225, 79.43196452275257 11.97697071918323)"
28,SB,T,24,27-28,,290.5529,,63m,"4d31'31""RT",11.97697071918323,79.43196452275257,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43196452275257 11.97697071918323, 79.42946431789706 11.977426819092877)"
29,SA,S,26,28-29,,276.926,,55M,,11.977426819092877,79.42946431789706,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42946431789706 11.977426819092877, 79.42672516722556 11.9779177158675)"
30,SA+3,S,29,29-30,,303.2161,,54M,,11.9779177158675,79.42672516722556,,,,,Good,Good,LT-1,ROAD,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42672516722556 11.9779177158675, 79.42406875250896 11.978390969263629)"
31,SA,S,26,30-31,,294.0017,12.7,55m,,11.978390969263629,79.42406875250896,,,,,Good,Good,LT-2,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42406875250896 11.978390969263629, 79.42147665796324 11.978855518290954)"
32,SA,S,26,31-32,,286.9373,,61m,,11.978855518290954,79.42147665796324,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42147665796324 11.978855518290954, 79.41900392315942 11.979320715473136)"
33,SA+3,S,29,32-33,,274.1715,,61m,,11.979320715473136,79.41900392315942,,,,,Good,Good,LT-1,ROAD,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41900392315942 11.979320715473136, 79.41683466186929 11.97970624197963)"
34,SB+3,T,27,33-34,,240.0667,2.3,58m,"4d5'5""LT",11.97970624197963,79.41683466186929,2W,,,,Good,Good,LT-1,ROAD,Plain,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41683466186929 11.97970624197963, 79.414032315207 11.98000680757977)"
35,SA,S,26,34-35,,307.0016,,60m,,11.98000680757977,79.414032315207,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.414032315207 11.98000680757977, 79.41195571145334 11.980248175762098)"
