S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,18,2W,T,DC,26,21 - 22,250,3.2,134.128662,"4°19'24"" L",10.84158333,78.31455556,,,,,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31455555555556 10.841583333333334, 78.31311111111111 10.839444444444444)"
21,19,,S,DA,26,22 - 23,292,2.1,137.451111,,10.83944444,78.31311111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31311111111111 10.839444444444444, 78.31163888888888 10.837250000000001)"
22,20,,T,DB+3,29,23 - 24,291,1.33,138.041275,"11°47'43"" L",10.83725,78.31163889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31163888888888 10.837250000000001, 78.31091666666666 10.835472222222222)"
23,21,,S,DA,26,24 - Gantry (Panjapatty SS),214,4.11,139.068863,,10.83547222,78.31091667,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31091666666666 10.835472222222222, 78.31022222222222 10.833694444444445)"
24,22,,S,DA,26,Gantry (Panjapatty SS) - ,212.1521278,1.03,137.405197,,10.83369444,78.31022222,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31022222222222 10.833694444444445, 78.30955555555555 10.831944444444444)"
25,23,,S,DA,26, - ,210,0.17,140.419006,,10.83194444,78.30955556,,,,,GOOD,Available,"HT,LT-5NO",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30955555555555 10.831944444444444, 78.30886111111111 10.830222222222222)"
26,24,,T,DC,26, - ,210,2.41,139.613449,"81°30'17"" L",10.83022222,78.30886111,,,,,GOOD,Available,110 KV Solar,,AGRI,down H-POLE Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30886111111111 10.830222222222222, 78.30922222222222 10.830166666666667)"
27,Gantry (Panjapatty SS),2W,Gantry,H-POLE,12, - ,42,,142.306702,,10.83016667,78.30922222,,,,,GOOD,NO E/W,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
