S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
55,53,T,DB,26,52 - 53,236.8403070650981,2.97,57.075302,"4°13'33"" R",10.48361111111111,79.06908333333332,,,,,GOOD,Available,LT 3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06908333333332 10.48361111111111, 79.071 10.482611111111112)"
56,54,S,DA,26,53 - 54,237.4435251903938,1,55.466957,,10.482611111111112,79.071,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.071 10.482611111111112, 79.07313888888889 10.481666666666667)"
57,55,S,DA,26,54 - 55,254.12700830940707,2.41,52.2775919999999,,10.481666666666667,79.07313888888889,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07313888888889 10.481666666666667, 79.07525 10.480666666666666)"
58,56,T,DC,26,55 - 56,256.8191114305915,1.97,52.0780069999999,"18°43'1"" L",10.480666666666666,79.07525,,,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07525 10.480666666666666, 79.07777777777777 10.480333333333334)"
59,57,S,DA,26,56 - 57,279.535681272664,3.32,52.5237849999999,,10.480333333333334,79.07777777777777,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07777777777777 10.480333333333334, 79.07997222222222 10.48011111111111)"
60,58,S,DA,26,57 - 58,242.19193368678177,3.28,52.698948,,10.48011111111111,79.07997222222222,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07997222222222 10.48011111111111, 79.08219444444444 10.479833333333334)"
61,59,S,DA,26,58 - 59,245.28314275902852,1.86,52.7666049999999,,10.479833333333334,79.08219444444444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08219444444444 10.479833333333334, 79.08441666666666 10.479472222222222)"
62,60,S,DA,26,59 - 60,245.8585731513042,4.07,51.1684839999999,,10.479472222222222,79.08441666666666,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08441666666666 10.479472222222222, 79.08658333333332 10.479194444444445)"
63,61,S,DA,26,60 - 61,239.91301844252774,2.65,51.8639179999999,,10.479194444444445,79.08658333333332,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08658333333332 10.479194444444445, 79.08908333333333 10.478805555555555)"
64,62,T,DB,26,61 - 62,276.92641591434545,2.84,53.1516609999999,"0°59'8"" L",10.478805555555555,79.08908333333333,,,,,GOOD,Available,,"ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08908333333333 10.478805555555555, 79.09180555555555 10.478472222222223)"
65,63,S,DA,26,62 - 63,299.22156467690627,2.21,52.1890489999999,,10.478472222222223,79.09180555555555,,,,,GOOD,Available,,"ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09180555555555 10.478472222222223, 79.09469444444444 10.478055555555555)"
66,64,S,DA,26,63 - 64,303,3.72,52.9664799999999,,10.478055555555555,79.09469444444444,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09469444444444 10.478055555555555, 79.09697222222222 10.47775)"
67,65,S,DA,26,64 - 65,259,4.28,50.9140739999999,,10.47775,79.09697222222222,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09697222222222 10.47775, 79.10002777777777 10.477388888888889)"
68,66,S,DA,26,65 - 66,335,3.96,51.063374,,10.477388888888889,79.10002777777777,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10002777777777 10.477388888888889, 79.10277777777777 10.476972222222223)"
69,67,S,DA,26,66 - 67,303.72224431513206,2.64,50.4552759999999,,10.476972222222223,79.10277777777777,,,,,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10277777777777 10.476972222222223, 79.10530555555555 10.476638888888889)"
70,68,T,DC,26,67 - 68,278.25700966691596,2.97,50.25771,"37°14'8"" R",10.476638888888889,79.10530555555555,2W,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10530555555555 10.476638888888889, 79.10694444444444 10.475)"
71,69,S,DA,26,68 - 69,255.71291734917128,3.02,50.1196169999999,,10.475,79.10694444444444,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10694444444444 10.475, 79.10852777777777 10.473444444444445)"
