Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,SD,28,9-10,180.163693669418,3.45,100.885605,"40°10'27""LT",10.979370436399968,78.42444919015324,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42444919015324 10.979370436399968, 78.42254919199634 10.980027435681679)"
11,SA,26,10-11,220.137596507352,2.15,101.325409,,10.980027435681679,78.42254919199634,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42254919199634 10.980027435681679, 78.42109419383559 10.980505433443362)"
12,SA,26,11-12,167.680909692303,,102.69194,,10.980505433443362,78.42109419383559,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42109419383559 10.980505433443362, 78.41883319551079 10.981340434156373)"
13,SB,24,12-13,263.965925002164,4.75,106.742355,"8°30'21""LT",10.981340434156373,78.41883319551079,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41883319551079 10.981340434156373, 78.41639019827468 10.981846434343423)"
14,SA,26,13-14,272.968891605282,1.85,102.941383,,10.981846434343423,78.41639019827468,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41639019827468 10.981846434343423, 78.41438720042946 10.982197437279373)"
15,SB,24,14-15,222.462927533459,5.25,98.542816,"5°8'55""LT",10.982197437279373,78.41438720042946,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41438720042946 10.982197437279373, 78.4117382029108 10.982467438905804)"
16,SB,24,15-16,291.227528082921,3.55,97.994171,"4°51'56""LT",10.982467438905804,78.4117382029108,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4117382029108 10.982467438905804, 78.40918920582489 10.982512437694583)"
17,SD,28,16-17,278.799246817934,2.45,95.017593,"53°22'24""RT",10.982512437694583,78.40918920582489,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40918920582489 10.982512437694583, 78.4081732069347 10.983914439679417)"
18,SC,26,17-18,190.850471919909,,94.033104,"26°0'46""LT",10.983914439679417,78.4081732069347,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4081732069347 10.983914439679417, 78.40601020921221 10.985045432835609)"
19,SA,26,18-19,267.622002049915,3.3,98.605743,,10.985045432835609,78.40601020921221,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40601020921221 10.985045432835609, 78.40386021083066 10.986242439765967)"
20,SA,26,19-20,269.876710104214,4.6,97.325722,,10.986242439765967,78.40386021083066,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40386021083066 10.986242439765967, 78.40166621305151 10.987417439036163)"
21,SA,26,20-21,272.909385857079,1.65,84.355431,,10.987417439036163,78.40166621305151,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40166621305151 10.987417439036163, 78.39937621579685 10.988642439069318)"
22,SA,26,21-22,284.775841296637,2.95,96.05484,,10.988642439069318,78.39937621579685,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39937621579685 10.988642439069318, 78.39720221798491 10.989829432535526)"
23,SA,26,22-23,271.627381915173,,96.029663,,10.989829432535526,78.39720221798491,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39720221798491 10.989829432535526, 78.39530221987926 10.990785436425133)"
24,SB,24,23-24,233.168989681034,,94.904442,"10°59'20""RT",10.990785436425133,78.39530221987926,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39530221987926 10.990785436425133, 78.39275322266488 10.992739433589616)"
25,SA,26,24-25,352.809509913363,,96.913155,,10.992739433589616,78.39275322266488,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39275322266488 10.992739433589616, 78.3912402244823 10.994078431610752)"
26,SC,26,25-26,222.12503017976,,99.789963,"28°31'46""LT",10.994078431610752,78.3912402244823,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3912402244823 10.994078431610752, 78.38861222668442 10.994574436030609)"
27,SA,26,26-17,292.583799288029,6.25,103.118515,,10.994574436030609,78.38861222668442,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38861222668442 10.994574436030609, 78.38590422973455 10.995113430807045)"
28,SA,26,27-28,302.084947013414,2.75,103.964363,,10.995113430807045,78.38590422973455,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38590422973455 10.995113430807045, 78.38327823260799 10.995574435887985)"
29,SA,26,28-29,291.666564211994,4.85,98.959312,,10.995574435887985,78.38327823260799,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38327823260799 10.995574435887985, 78.380822235615 10.996058430930985)"
30,SA,26,29-30,273.86852148552,5.35,96.604576,,10.996058430930985,78.380822235615,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.380822235615 10.996058430930985, 78.3789222370095 10.996408430472536)"
31,SC,26,30-31,211.356936117912,2.45,96.712509,"22°7'32""RT",10.996408430472536,78.3789222370095,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3789222370095 10.996408430472536, 78.37667623969729 10.997796433633853)"
32,SA,26,31-32,289.702343640619,3.15,95.339424,,10.997796433633853,78.37667623969729,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37667623969729 10.997796433633853, 78.37431524224883 10.999328435305578)"
33,SA,26,32-33,308.89165767847,1.85,91.102646,,10.999328435305578,78.37431524224883,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37431524224883 10.999328435305578, 78.37196224497343 11.000806434137148)"
34,SA,26,33-34,304.912108671551,2.8,78.989227,,11.000806434137148,78.37196224497343,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37196224497343 11.000806434137148, 78.36944424772497 11.002412435029463)"
35,SA,26,34-35,327.747445855739,3.18,88.030098,,11.002412435029463,78.36944424772497,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36944424772497 11.002412435029463, 78.36711224958076 11.003910435216582)"
36,SA,26,35-36,304.176700529496,3.56,96.254456,,11.003910435216582,78.36711224958076,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36711224958076 11.003910435216582, 78.36455725271112 11.005611427806803)"
37,SC,26,36-37,336.913392175357,4.01,97.199959,"12°15'42""RT",11.005611427806803,78.36455725271112,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36455725271112 11.005611427806803, 78.36281925405785 11.007376430967545)"
38,SA,26,37-38,272.554910061416,3.88,101.591171,,11.007376430967545,78.36281925405785,GOOD,GOOD,"HT-1,LT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36281925405785 11.007376430967545, 78.36092525687545 11.0092794284125)"
39,SA,26,38-39,295.401863784853,4.71,106.382065,,11.0092794284125,78.36092525687545,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36092525687545 11.0092794284125, 78.35877325924127 11.011393425515541)"
40,SA,26,39-40,331.85589831471,,112.286079,,11.011393425515541,78.35877325924127,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35877325924127 11.011393425515541, 78.3568012607165 11.013391432122472)"
41,SA,26,40-41,308.882218670193,2.32,112.164391,,11.013391432122472,78.3568012607165,GOOD,GOOD,HT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3568012607165 11.013391432122472, 78.35507226260825 11.015054424757867)"
42,SC,26,41-42,263.871115101394,3.89,114.786507,"28°31'59""LT",11.015054424757867,78.35507226260825,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35507226260825 11.015054424757867, 78.35241426603646 11.015832430481138)"
43,SA,26,42-43,303.143523639541,5.44,115.493279,,11.015832430481138,78.35241426603646,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35241426603646 11.015832430481138, 78.34977526896398 11.016621426716796)"
44,SA,26,43-44,301.502071101962,2.09,119.332306,,11.016621426716796,78.34977526896398,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34977526896398 11.016621426716796, 78.34720027172861 11.01738542384013)"
45,SD,28,44-45,294.002697471252,6.08,121.862762,"52°45'26""LT",11.01738542384013,78.34720027172861,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34720027172861 11.01738542384013, 78.34501227403547 11.015755427506981)"
46,SA,26,45-46,299.659997599532,,120.706345,,11.015755427506981,78.34501227403547,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34501227403547 11.015755427506981, 78.34280227658388 11.01421442966166)"
47,SA,26,46-47,295.798098023424,6.18,120.512177,,11.01421442966166,78.34280227658388,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34280227658388 11.01421442966166, 78.34113827781009 11.01302242765491)"
48,SD,28,47-48,224.762564192043,5.76,118.707237,"41°38'20""RT",11.01302242765491,78.34113827781009,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34113827781009 11.01302242765491, 78.33840228106675 11.013341426870086)"
49,SA,26,48-49,301.266456138073,3.81,115.973915,,11.013341426870086,78.33840228106675,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33840228106675 11.013341426870086, 78.33562028459708 11.013667431668354)"
50,SA,26,49-50,306.353278287674,7.65,113.907333,,11.013667431668354,78.33562028459708,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33562028459708 11.013667431668354, 78.33293728719127 11.013846424534504)"
51,SA,26,50-51,294.063395640757,6.15,108.844154,,11.013846424534504,78.33293728719127,GOOD,GOOD,,"CARTRACK,ROAD",PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33293728719127 11.013846424534504, 78.33045628975128 11.014050426338938)"
52,SD,28,51-52,272.244235451102,4.18,108.456108,"40°52'7""LT",11.014050426338938,78.33045628975128,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33045628975128 11.014050426338938, 78.32810429262491 11.012349430654043)"
53,SA,26,52-53,318.749013194034,"4,70",109.979935,,11.012349430654043,78.32810429262491,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32810429262491 11.012349430654043, 78.32593429525537 11.010805425348677)"
54,SA,26,53-54,292.435832707403,3.11,111.822517,,11.010805425348677,78.32593429525537,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32593429525537 11.010805425348677, 78.32353229818618 11.009082425920163)"
55,SA,26,54-55,324.605503301972,5.01,119.102463,,11.009082425920163,78.32353229818618,GOOD,GOOD,"HT-1,LT-2",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32353229818618 11.009082425920163, 78.32116730034961 11.007456430322078)"
56,SA,26,55-56,315.088053639029,9.22,122.593506,,11.007456430322078,78.32116730034961,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32116730034961 11.007456430322078, 78.31879130306345 11.005848430461402)"
57,SA,26,56-57,314.947917123857,7.42,123.858009,,11.005848430461402,78.31879130306345,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31879130306345 11.005848430461402, 78.31633330599703 11.004168426701076)"
58,SA,26,57-58,326.855325174944,6.36,119.763351,,11.004168426701076,78.31633330599703,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31633330599703 11.004168426701076, 78.31420630835542 11.002705433224438)"
59,SA,26,58-59,283.423805718016,5.66,113.452667,,11.002705433224438,78.31420630835542,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31420630835542 11.002705433224438, 78.31188831157844 11.001128428169107)"
60,SD,28,59-60,307.782217180672,7.92,116.280029,"36°14'12""LT",11.001128428169107,78.31188831157844,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31188831157844 11.001128428169107, 78.31100031252494 10.998627428596942)"
61,SA,26,60-61,293.371511314617,4.76,113.807655,,10.998627428596942,78.31100031252494,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31100031252494 10.998627428596942, 78.31017331381953 10.996226432690333)"
62,SA,26,61-62,280.730760822741,3.3,108.968681,,10.996226432690333,78.31017331381953,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31017331381953 10.996226432690333, 78.30917831432022 10.993366432303581)"
63,SA,26,62-63,334.749703430062,5.84,109.209747,,10.993366432303581,78.30917831432022,GOOD,GOOD,,CARTRACK,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30917831432022 10.993366432303581, 78.30832431553426 10.990945430422196)"
64,SA,26,63-64,283.78693262784,4.72,107.832451,,10.990945430422196,78.30832431553426,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30832431553426 10.990945430422196, 78.30744631684254 10.98843343584707)"
65,SD,28,64-65,294.163155908693,6.27,109.043526,"128°25'30""LT",10.98843343584707,78.30744631684254,GOOD,GOOD,"LT-2,HT-2",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30744631684254 10.98843343584707, 78.30790731641252 10.988593430336882)"
GT Thottiyam ss,GANTRY,20,65-GT,53.4371923383114,,108.410423,,10.988593430336882,78.30790731641252,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=SUM(E8:E73),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
