S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
62,60,S,,SA,22,59-60,292.0214181,2.06,166.449188,,11.32191667,78.81297222,GOOD,Available,LT,Metal Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81297222222221 11.321916666666667, 78.81233333333333 11.324305555555556)"
63,61,S,,SA,22,60-61,272.8871872,3.01,163.636459,,11.32430556,78.81233333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81233333333333 11.324305555555556, 78.81163888888888 11.32686111111111)"
64,62,S,,SA,22,61-62,293.2578454,2.67,159.60228,,11.32686111,78.81163889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81163888888888 11.32686111111111, 78.81091666666666 11.329527777777777)"
65,63,S,,SA,22,62-63,304.9559298,3.07,157.241364,,11.32952778,78.81091667,GOOD,Available,LT,Metal Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81091666666666 11.329527777777777, 78.81019444444445 11.332222222222223)"
66,64,S,,SA,22,63-64,306.7424317,2.26,153.073624,,11.33222222,78.81019444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81019444444445 11.332222222222223, 78.80955555555555 11.334555555555555)"
67,65,S,,SA,22,64-65,267.0433179,1.96,149.288406,,11.33455556,78.80955556,GOOD,Available,LT,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80955555555555 11.334555555555555, 78.80886111111111 11.337166666666667)"
68,66,S,,SA,22,65-66,300.6849025,2.1,149.274307,,11.33716667,78.80886111,GOOD,Available,,River ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80886111111111 11.337166666666667, 78.80816666666666 11.339666666666668)"
69,67,S,,SA,22,66-67,287.675694,2.96,149.075714,,11.33966667,78.80816667,GOOD,Available,LT -2No,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80816666666666 11.339666666666668, 78.80741666666667 11.342472222222224)"
70,68,S,,SA,22,67-68,320.6413094,1.77,148.961563,,11.34247222,78.80741667,GOOD,Available,LT -3No,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80741666666667 11.342472222222224, 78.80669444444445 11.34513888888889)"
71,69,S,,SA,22,68-69,304.2127189,1.65,151.967346,,11.34513889,78.80669444,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80669444444445 11.34513888888889, 78.80602777777777 11.347666666666667)"
72,70,T,2W,SB,21,69-70,288.1713742,2.36,153.488037,"14°15'45""L",11.34766667,78.80602778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80602777777777 11.347666666666667, 78.80466666666666 11.350083333333332)"
73,71,S,,SA,22,70-71,306.5652455,1.96,156.297394,,11.35008333,78.80466667,GOOD,Available,,College Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80466666666666 11.350083333333332, 78.80330555555555 11.3525)"
74,72,S,,SA,22,71-72,305.8957042,2.01,152.543167,,11.3525,78.80330556,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80330555555555 11.3525, 78.80197222222222 11.354944444444444)"
75,73,S,,SA,22,72-73,308.3170835,1.1,151.795532,,11.35494444,78.80197222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80197222222222 11.354944444444444, 78.80058333333334 11.35736111111111)"
76,74,S,,SA,22,73-74,308.2176586,1.37,151.62233,,11.35736111,78.80058333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80058333333334 11.35736111111111, 78.79927777777777 11.359777777777778)"
77,75,S,,SA,22,74-75,303.1798739,2.01,151.062042,,11.35977778,78.79927778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79927777777777 11.359777777777778, 78.79788888888889 11.362194444444444)"
78,76,S,,SA,22,75-76,307.1140302,1.26,149.317627,,11.36219444,78.79788889,GOOD,Available,LT -2No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79788888888889 11.362194444444444, 78.79652777777778 11.364666666666666)"
