,Tower No, Supspension/Tenion,TOWER TYPE,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,,,,,,,,,,,,10.7397475,79.338717,3487448909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.338717 10.7397475, 79.3398276 10.7412755)"
23,,,,,,,,,,,,10.7412755,79.3398276,3487448912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3398276 10.7412755, 79.3411826 10.7431702)"
24,,,,,,,,,,,,10.7431702,79.3411826,3487448917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3411826 10.7431702, 79.3431019 10.7441317)"
25,,,,,,,,,,,,10.7441317,79.3431019,3487448920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3431019 10.7441317, 79.344205 10.7459071)"
26,,,,,,,,,,,,10.7459071,79.344205,3487448924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.344205 10.7459071, 79.3443507 10.7484114)"
27,,,,,,,,,,,,10.7484114,79.3443507,3487448929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3443507 10.7484114, 79.3459241 10.7505982)"
28,,,,,,,,,,,,10.7505982,79.3459241,3487448935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3459241 10.7505982, 79.3475218 10.7528267)"
29,,,,,,,,,,,,10.7528267,79.3475218,3487448941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3475218 10.7528267, 79.3486613 10.7546587)"
30,,,,,,,,,,,,10.7546587,79.3486613,3487448945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3486613 10.7546587, 79.3499464 10.7567322)"
31,,,,,,,,,,,,10.7567322,79.3499464,3487448950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3499464 10.7567322, 79.3513302 10.7589801)"
32,,,,,,,,,,,,10.7589801,79.3513302,3487449373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3513302 10.7589801, 79.3526017 10.7603037)"
33,,,,,,,,,,,,10.7603037,79.3526017,3487449376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3526017 10.7603037, 79.3540143 10.7618689)"
34,,,,,,,,,,,,10.7618689,79.3540143,3487449380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3540143 10.7618689, 79.3553131 10.7632745)"
35,,,,,,,,,,,,10.7632745,79.3553131,3487449384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3553131 10.7632745, 79.3568561 10.7649604)"
,,,,,,,,=SUM(I10:I43),,,,10.7649604,79.3568561,3487449493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3568561 10.7649604, 79.3574964 10.7676956)"
,,,,,,,,,,,,10.7676956,79.3574964,3487449502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3574964 10.7676956, 79.3590623 10.7699627)"
,,,,,,,,,,,,10.7699627,79.3590623,3487449510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3590623 10.7699627, 79.3601138 10.771489)"
,,,,,,,,,,,,10.771489,79.3601138,3487449512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3601138 10.771489, 79.3616204 10.7736742)"
,,,,,,,,,,,,10.7736742,79.3616204,3487449519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3616204 10.7736742, 79.3634275 10.7745029)"
,,,,,,,,,,,,10.7745029,79.3634275,3487449059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3634275 10.7745029, 79.3653605 10.7754077)"
,,,,,,,,,,,,10.7754077,79.3653605,3487449070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3653605 10.7754077, 79.3676698 10.7751856)"
,,,,,,,,,,,,10.7751856,79.3676698,3487449066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3676698 10.7751856, 79.3698669 10.7749575)"
,,,,,,,,,,,,10.7749575,79.3698669,3487449063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3698669 10.7749575, 79.372331 10.7741288)"
,,,,,,,,,,,,10.7741288,79.372331,3487449057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.372331 10.7741288, 79.3748163 10.7733105)"
,,,,,,,,,,,,10.7733105,79.3748163,3487449518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3748163 10.7733105, 79.3764367 10.7727784)"
,,,,,,,,,,,,10.7727784,79.3764367,3487449516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3764367 10.7727784, 79.3780799 10.7739842)"
,,,,,,,,,,,,10.7739842,79.3780799,3487449521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3780799 10.7739842, 79.3783075 10.7749441)"
,,,,,,,,,,,,10.7749441,79.3783075,3487449061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3783075 10.7749441, 79.3784608 10.7760963)"
,,,,,,,,,,,,10.7760963,79.3784608,3487449077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3784608 10.7760963, 79.3779479 10.7775883)"
,,,,,,,,,,,,10.7775883,79.3779479,3487449087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3779479 10.7775883, 79.3762714 10.777885)"
,,,,,,,,,,,,10.777885,79.3762714,3487449089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3762714 10.777885, 79.3742078 10.7782501)"
,,,,,,,,,,,,10.7782501,79.3742078,3487449593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3742078 10.7782501, 79.3721807 10.7787778)"
,,,,,,,,,,,,10.7787778,79.3721807,3487449598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3721807 10.7787778, 79.3703023 10.7792637)"
,,,,,,,,,,,,10.7792637,79.3703023,3487449610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3703023 10.7792637, 79.3683257 10.7802317)"
,,,,,,,,,,,,10.7802317,79.3683257,3487449632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3683257 10.7802317, 79.3660346 10.7813331)"
,,,,,,,,,,,,10.7813331,79.3660346,3487449653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3660346 10.7813331, 79.3640196 10.7823139)"
,,,,,,,,,,,,10.7823139,79.3640196,3487448967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3640196 10.7823139, 79.3625473 10.7838497)"
,,,,,,,,,,,,10.7838497,79.3625473,3487449895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
