,Tower No, Supspension/Tenion,JOINT BOX,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTHING AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,T.NO-28,S,,DA,DC,26,27-28,NO,264.0378761,AT PRESENT WATER FOR NEXT CROPING,16,,79.66880556,10.80391667,GOOD,NO EARTH WIRE,NO,LT,,CULTIVATIONLAND,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66880555555556 10.803916666666668, 79.67105555555555 10.804333333333334)"
30,T.NO-29,S,,DA,DC,29,28-29,YES,247.9354755,BUSHES,16,,79.67105556,10.80433333,GOOD,NO EARTH WIRE,NO,LT,,CULTIVATIONLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67105555555555 10.804333333333334, 79.67333333333333 10.804777777777778)"
31,T.NO-30,S,,DA,DC,29,29-30,NO,254.7567467,2.41,18,,79.67333333,10.80477778,GOOD,NO EARTH WIRE,NO,,"RIVER CROSSING, 2nos MUD ROAD",CULTIVATIONLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67333333333333 10.804777777777778, 79.67552777777779 10.805222222222223)"
32,T.NO-31,S,,DA,DC,26,30-31,NO,243.3865239,2.22,17,,79.67552778,10.80522222,GOOD,NO EARTH WIRE,NO,,,CULTIVATIONLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67552777777779 10.805222222222223, 79.67727777777779 10.8055)"
33,T.NO-32,T,2W,DC,DC,26,31-32,NO,195.634864,2.05,16,"20°34'2.87""",79.67727778,10.8055,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67727777777779 10.8055, 79.67869444444445 10.806333333333335)"
34,T.NO-33,S,,DA,DC,26,32-33,NO,180.0999722,2.39,15,,79.67869444,10.80633333,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67869444444445 10.806333333333335, 79.6806388888889 10.807527777777779)"
35,T.NO-34,S,,DA,DC,26,33-34,YES,250.0599928,2.96,15,,79.68063889,10.80752778,GOOD,GOOD,NO,11KV,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6806388888889 10.807527777777779, 79.68236111111112 10.808527777777778)"
36,T.NO-35,S,,DA,DC,26,34-35,YES,217.4626405,2.62,15,,79.68236111,10.80852778,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68236111111112 10.808527777777778, 79.68402777777779 10.8095)"
37,T.NO-36,T,,DC,DC,29,35-36,YES,210.9834117,1.7,12,"27°39'43.13""",79.68402778,10.8095,GOOD,GOOD,NO,LT,"2nos MUD ROAD, CANAL",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68402777777779 10.8095, 79.68616666666667 10.809583333333334)"
38,T.NO-37,S,,DA,DC,26,36-37,YES,236.1715478,2.58,14,,79.68616667,10.80958333,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68616666666667 10.809583333333334, 79.68861111111111 10.809666666666667)"
39,T.NO-38,S,,DA,DC,26,37-38,YES,266.1522121,1.55,14,,79.68861111,10.80966667,GOOD,GOOD,NO,,NALA,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68861111111111 10.809666666666667, 79.69069444444445 10.809750000000001)"
40,T.NO-39,S,,DA,DC,26,38-39,YES,228.0789337,1.6,12,,79.69069444,10.80975,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69069444444445 10.809750000000001, 79.69286111111111 10.809805555555556)"
41,T.NO-40,S,,DA,DC,26,39-40,NO,237.103353,1.71,13,,79.69286111,10.80980556,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69286111111111 10.809805555555556, 79.69508333333334 10.80988888888889)"
42,T.NO-41,S,,DA,DC,26,40-41,NO,242.1012185,1.53,16,,79.69508333,10.80988889,GOOD,GOOD,NO,LT,NALA,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69508333333334 10.80988888888889, 79.69725 10.809944444444445)"
43,T.NO-42,S,,DA,DC,26,41-42,YES,239.0753019,1.93,15,,79.69725,10.80994444,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69725 10.809944444444445, 79.69947222222223 10.81)"
44,T.NO-43,S,,DA,DC,26,42-43,NO,241.0746772,4.81,13,,79.69947222,10.81,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69947222222223 10.81, 79.70161111111112 10.810083333333335)"
45,T.NO-44,S,,DA,DC,26,43-44,NO,235.1042322,1.64,14,,79.70161111,10.81008333,GOOD,GOOD,NO,,NALA,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70161111111112 10.810083333333335, 79.70383333333334 10.81013888888889)"
46,T.NO-45,S,,DA,DC,26,44-45,NO,242.0743687,1.41,13,,79.70383333,10.81013889,GOOD,GOOD,NO,,CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70383333333334 10.81013888888889, 79.70611111111111 10.810194444444445)"
47,T.NO-46,T,2W,DB,DC,26,45-46,NO,251.0497959,2.06,13,"2°16'43.62""",79.70611111,10.81019444,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70611111111111 10.810194444444445, 79.70841666666666 10.810333333333334)"
48,T.NO-47,S,,DA,DC,26,46-47,NO,251.4478077,1.9,12,,79.70841667,10.81033333,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70841666666666 10.810333333333334, 79.71080555555555 10.810416666666667)"
49,T.NO-48,S,,DA,DC,26,47-48,NO,260.1230478,2.05,13,,79.71080556,10.81041667,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71080555555555 10.810416666666667, 79.71316666666667 10.810472222222224)"
50,T.NO-49,S,,DA,DC,26,48-49,NO,260.0480725,1.85,15,,79.71316667,10.81047222,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71316666666667 10.810472222222224, 79.71555555555555 10.810583333333334)"
51,T.NO-50,S,,DA,DC,26,49-50,NO,259.1563235,1.67,14,,79.71555556,10.81058333,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71555555555555 10.810583333333334, 79.71791666666667 10.810666666666668)"
52,T.NO-51,S,,DA,DC,26,50-51,NO,260.1230478,1.53,14,,79.71791667,10.81066667,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71791666666667 10.810666666666668, 79.72036111111112 10.810694444444445)"
53,T.NO-52,S,,DA,DC,26,51-52,YES,266.0300735,1.76,13,,79.72036111,10.81069444,GOOD,GOOD,NO,11KV,"MUD ROAD, NALA",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72036111111112 10.810694444444445, 79.72272222222223 10.810805555555556)"
54,T.NO-53,S,,DA,DC,26,52-53,NO,258.2343897,HEAVY BUSHES,10,,79.72272222,10.81080556,GOOD,GOOD,NO,,,PLAINLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72272222222223 10.810805555555556, 79.72511111111112 10.81088888888889)"
55,T.NO-54,S,,DA,DC,26,53-54,NO,262.0686933,1.67,12,,79.72511111,10.81088889,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72511111111112 10.81088888888889, 79.72747222222222 10.810972222222222)"
56,T.NO-55,S,,DA,DC,26,54-55,YES,260.1230478,1.96,11,,79.72747222,10.81097222,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72747222222222 10.810972222222222, 79.72980555555556 10.81102777777778)"
57,T.NO-56,S,,DA,DC,26,55-56,YES,255.0705785,2.72,12,,79.72980556,10.81102778,GOOD,GOOD,NO,,"NALA, TAAR ROAD",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72980555555556 10.81102777777778, 79.73216666666667 10.811111111111112)"
