S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
9, 69/B26,,T,DB,25, 69/B27- 69/B26,268.8044931,2.76,79.322884,"1°54'0""R",10.78255556,78.75119444,GOOD,Available,HT-3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75119444444445 10.782555555555556, 78.75247222222222 10.780722222222224)"
10, 69/B25,,S,DA,26, 69/B26- 69/B25,245.8303046,2.98,79.216438,,10.78072222,78.75247222,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75247222222222 10.780722222222224, 78.75383333333333 10.77875)"
11, 69/B24,,S,DA,26, 69/B25- 69/B24,265.0232021,2.79,77.429001,,10.77875,78.75383333,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75383333333333 10.77875, 78.75538888888889 10.776555555555557)"
12, 69/B23,,T,DB,25, 69/B24- 69/B23,296.1498265,3.71,77.69014,"20°42'36""L",10.77655556,78.75538889,GOOD,NO E/W,,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75538888888889 10.776555555555557, 78.75594444444444 10.77425)"
13, 69/B22,,S,DA,26, 69/B23- 69/B22,260.6525535,1.92,77.81955,,10.77425,78.75594444,GOOD,Available,,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75594444444444 10.77425, 78.75658333333334 10.771805555555556)"
14, 69/B21,,S,DA,26, 69/B22- 69/B21,280.6110736,2.11,78.732712,,10.77180556,78.75658333,GOOD,Available,,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75658333333334 10.771805555555556, 78.75722222222223 10.769250000000001)"
15, 69/B20,,S,DA,26, 69/B21- 69/B20,290.7450748,3.1,78.656067,,10.76925,78.75722222,GOOD,Available,,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75722222222223 10.769250000000001, 78.75788888888889 10.766805555555557)"
16, 69/B19,,S,DA,26, 69/B20- 69/B19,281.4429385,2.9,80.007973,,10.76680556,78.75788889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75788888888889 10.766805555555557, 78.75852777777777 10.764194444444444)"
17, 69/B18,,S,DA,26, 69/B19- 69/B18,296.7075631,3.02,81.580925,,10.76419444,78.75852778,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75852777777777 10.764194444444444, 78.75913888888888 10.761805555555556)"
18, 69/B17,2W,T,DB,25, 69/B18- 69/B17,270.9499887,1.73,82.060143,"17°16'12""R",10.76180556,78.75913889,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75913888888888 10.761805555555556, 78.76019444444445 10.76013888888889)"
19, 69/B16,,S,DA,26, 69/B17- 69/B16,219.5610103,2.27,84.661148,,10.76013889,78.76019444,GOOD,Available,,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76019444444445 10.76013888888889, 78.76127777777778 10.758416666666667)"
20, 69/B15,,S,DA,26, 69/B16- 69/B15,222.5214028,2.72,85.177956,,10.75841667,78.76127778,GOOD,Available,HT,Ambedkar Nagar,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76127777777778 10.758416666666667, 78.76230555555556 10.75675)"
21, 69/B14,,T,DC,26, 69/B15- 69/B14,218.7326183,2.63,87.597595,"55°45'0""R",10.75675,78.76230556,GOOD,Available,"HT,LT -2NO",Ambedkar Nagar,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76230555555556 10.75675, 78.76341666666667 10.756694444444445)"
22, 69/B13,,T,DB,25, 69/B14- 69/B13,119.3188489,1.12,87.035454,"11°17'24""L",10.75669444,78.76341667,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76341666666667 10.756694444444445, 78.7641388888889 10.7565)"
23, 69/B12,,T,DB,25, 69/B13- 69/B12,82.71592085,1.75,87.747856,"7°37'48""R",10.7565,78.76413889,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7641388888889 10.7565, 78.76602777777778 10.756277777777777)"
24, 69B/11,,T,DB,25, 69/B12- 69B/11,208.9152832,1.1,87.582932,"1°2'24""L",10.75627778,78.76602778,GOOD,Available,LT,Cholamadevi Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76602777777778 10.756277777777777, 78.7683611111111 10.755972222222223)"
25, 69B/10,,S,DA,26, 69B/11- 69B/10,255.610135,2.16,88.0737,,10.75597222,78.76836111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7683611111111 10.755972222222223, 78.77061111111111 10.755666666666666)"
26, 69B/9,,S,DA,26, 69B/10- 69B/9,248.5232723,1.63,88.782097,,10.75566667,78.77061111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77061111111111 10.755666666666666, 78.77286111111111 10.755333333333333)"
27, 69B/8,,T,DB,25, 69B/9- 69B/8,249.9027255,2.24,89.735527,"0°43'48""L",10.75533333,78.77286111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77286111111111 10.755333333333333, 78.77466666666666 10.755027777777778)"
28, 69B/7,,S,DA,26, 69B/8- 69B/7,198.7916192,3.01,90.223412,,10.75502778,78.77466667,GOOD,Available,HT,Thiruverumpur - Navalpattu Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77466666666666 10.755027777777778, 78.77672222222222 10.754722222222222)"
29, 69B/6,,T,DC,26, 69B/7- 69B/6,228.1582737,4.02,91.061073,"40°58'12""L",10.75472222,78.77672222,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77672222222222 10.754722222222222, 78.77836111111111 10.75286111111111)"
30, 69/B5,,S,DA,26, 69B/6- 69/B5,273.5411343,4.11,92.34462,,10.75286111,78.77836111,GOOD,Available,"HT,LT",Navalpattu Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77836111111111 10.75286111111111, 78.77941666666666 10.75163888888889)"
31, 69B/4,,T,DC,26, 69/B5- 69B/4,179.0715274,1.96,94.323799,"40°43'48""L",10.75163889,78.77941667,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77941666666666 10.75163888888889, 78.77941666666666 10.75025)"
32, 69B/3,,S,DA,26, 69B/4- 69B/3,155.0238483,2.45,96.17514,,10.75025,78.77941667,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77941666666666 10.75025, 78.77947222222222 10.74861111111111)"
33, 69B/2,,T,DB,25, 69B/3- 69B/2,179.6986399,1.46,95.415268,"5°9'36""L",10.74861111,78.77947222,GOOD,Available,"HT,11KV",Canal,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77947222222222 10.74861111111111, 78.77941666666666 10.747333333333332)"
34,LILO : 69B/1,3W,T,DB,25, 69B/2- 69B/1,143.1866887,4.03,95.788399,"3°34'48""L",10.74733333,78.77941667,GOOD,Available,"HT,11KV",,PLAIN,LILO to Thiruverumpur SS ,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77941666666666 10.747333333333332, 78.77936111111111 10.746944444444443)"
35,69C,,T,DC,26, 69B/1- 69/1,42.48708246,3.16,82.547676,"39°34'48""L",10.74694444,78.77936111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77936111111111 10.746944444444443, 78.77833333333334 10.745972222222221)"
36,69B,,T,DB,25, 69/1- 69/2,156.1795501,2.73,85.378937,"15°26'60""R",10.74597222,78.77833333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77833333333334 10.745972222222221, 78.77730555555556 10.744277777777777)"
37,69A,,T,DC,26, 69/2- 69/3,218.408104,2.95,84.025238,"57°58'48""R",10.74427778,78.77730556,GOOD,Available,LT,Navalpattu Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77730555555556 10.744277777777777, 78.77777777777777 10.743333333333332)"
38,69,,T,DC,26, 69/3- 69/4,116.8697116,3.02,85.657257,,10.74333333,78.77777778,GOOD,NO E/W,"HT,LT",pond,Water Logged,Common tower for 110kV Trichy - Tanjore link,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
