,Tower No, Supspension/Tenion,Tower Type ,JOINT BOX,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of EartH wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,T.NO 31,S,DA,,DC,26,30-31,NO,277.0866291,2.12,32,,79.37852778,10.885,GOOD,GOOD,NO,LT-2 NOS,TAAR ROAD-2NOS,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37852777777778 10.885, 79.37724999999999 10.883166666666668)"
33,T.NO 32,S,DA,,DC,26,31-32,YES,245.2039967,2.27,32,,79.37725,10.88316667,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37724999999999 10.883166666666668, 79.3758611111111 10.881083333333335)"
34,T.NO 33,S,DA,,DC,26,32-33,NO,276.240837,2.53,32,,79.37586111,10.88108333,GOOD,GOOD,NO,,RIVER,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3758611111111 10.881083333333335, 79.37438888888889 10.878944444444445)"
35,T.NO 34,T,DC,,DC,26,33-34,NO,287.3882391,2.42,33,"25°32'59.69""",79.37438889,10.87894444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37438888888889 10.878944444444445, 79.374 10.876611111111112)"
36,T.NO 35,S,DA,,DC,26,34-35,NO,261.3962509,,32,,79.374,10.87661111,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.374 10.876611111111112, 79.3736111111111 10.874166666666667)"
37,T.NO 36,S,DA,,DC,26,35-36,NO,274.8763358,2.62,30,,79.37361111,10.87416667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3736111111111 10.874166666666667, 79.37316666666666 10.87175)"
38,T.NO 37,S,DA,,DC,26,36-37,NO,272.2645772,2.12,30,,79.37316667,10.87175,GOOD,GOOD,NO,LT,"TAAR ROAD, NALA ",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37316666666666 10.87175, 79.3728611111111 10.869722222222222)"
39,T.NO 38,S,DA,,DC,26,37-38,NO,226.8744146,2.11,30,,79.37286111,10.86972222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3728611111111 10.869722222222222, 79.37269444444443 10.868472222222223)"
40,T.NO 39,T,DD,2W,DC,31,38-39,YES,138.1774222,,26,"31°17'4.69""",79.37269444,10.86847222,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37269444444443 10.868472222222223, 79.37177777777777 10.867333333333335)"
41,T.NO 40,T,DD,,DC,31,39-40,NO,162.8895331,2.29,28,"40°10'31.53""",79.37177778,10.86733333,GOOD,GOOD,NO,,RIVER,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37177777777777 10.867333333333335, 79.37172222222222 10.865305555555555)"
42,T.NO 41,S,DA,,DC,26,40-41,NO,222.1103329,,,,79.37172222,10.86530556,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37172222222222 10.865305555555555, 79.37174999999999 10.86375)"
43,T.NO 42,S,DA,,DC,26,41-42,YES,173.0115603,2.53,28,,79.37175,10.86375,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37174999999999 10.86375, 79.37188888888888 10.861666666666666)"
44,T.NO 43,T,DB,,DC,24,42-43,YES,229.4275485,,28,"1°57'50.77""",79.37188889,10.86166667,GOOD,GOOD,NO,LT,"MUD ROAD, TAAR ROAD",CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37188888888888 10.861666666666666, 79.37219444444443 10.859277777777777)"
45,T.NO 44,S,DA,,DC,26,43-44,YES,267.9178979,3.12,30,,79.37219444,10.85927778,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37219444444443 10.859277777777777, 79.37255555555555 10.856694444444445)"
46,T.NO 45,S,DA,,DC,26,44-45,NO,288.646843,2.62,26,,79.37255556,10.85669444,GOOD,GOOD,NO,LT-2 NOS,"MUD ROAD, TAAR ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37255555555555 10.856694444444445, 79.37291666666665 10.854333333333333)"
47,T.NO 46,S,DA,,DC,26,45-46,NO,264.5996977,2.13,28,,79.37291667,10.85433333,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37291666666665 10.854333333333333, 79.37330555555555 10.851611111111112)"
48,T.NO 47,T,DC,,DC,26,46-47,NO,303.9161068,2.34,29,"14°30'35.17""",79.37330556,10.85161111,GOOD,GOOD,NO,LT,NALA 2 NOS,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37330555555555 10.851611111111112, 79.37302777777776 10.849083333333335)"
49,T.NO 48,S,DA,,DC,26,47-48,YES,279.8356661,2.79,24,,79.37302778,10.84908333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37302777777776 10.849083333333335, 79.37277777777777 10.846694444444445)"
50,T.NO 49,S,DA,,DC,26,48-49,NO,266.8070464,2.76,26,,79.37277778,10.84669444,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37277777777777 10.846694444444445, 79.37249999999999 10.844166666666668)"
51,T.NO 50,S,DA,,DC,26,49-50,NO,282.4924778,2.31,26,,79.3725,10.84416667,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37249999999999 10.844166666666668, 79.37222222222222 10.841805555555556)"
52,T.NO 51,S,DA,,DC,26,50-51,NO,261.9618293,,26,,79.37222222,10.84180556,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37222222222222 10.841805555555556, 79.372 10.839416666666667)"
53,T.NO 52,S,DA,,DC,26,51-52,NO,266.4751396,2.36,33,,79.372,10.83941667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.372 10.839416666666667, 79.37174999999999 10.837083333333334)"
54,T.NO 53,T,DC,2W,DC,26,52-53,NO,259.5149321,2.12,32,"14°39'5.00""",79.37175,10.83708333,GOOD,GOOD,NO,,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37174999999999 10.837083333333334, 79.37086111111111 10.834722222222222)"
55,T.NO 54,S,DA,,DC,26,53-54,NO,278.2103521,2.24,33,,79.37086111,10.83472222,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37086111111111 10.834722222222222, 79.36999999999999 10.832333333333333)"
56,T.NO 55,S,DA,,DC,26,54-55,NO,280.9127979,1.58,32,,79.37,10.83233333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36999999999999 10.832333333333333, 79.36911111111111 10.829944444444445)"
57,T.NO 56,S,DA,,DC,26,55-56,YES,280.3176769,1.97,36,,79.36911111,10.82994444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36911111111111 10.829944444444445, 79.36830555555555 10.827638888888888)"
58,T.NO 57,S,DA,,DC,26,56-57,NO,269.4735609,,29,,79.36830556,10.82763889,GOOD,GOOD,NO,LT,CANNEL,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36830555555555 10.827638888888888, 79.3676111111111 10.825722222222222)"
59,T.NO 58,S,DA,,DC,26,57-58,NO,226.8325373,0.99,24,,79.36761111,10.82572222,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3676111111111 10.825722222222222, 79.36680555555554 10.8235)"
60,T.NO 59,S,DA,,DC,26,58-59,NO,260.6645354,1.84,30,,79.36680556,10.8235,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36680555555554 10.8235, 79.36602777777777 10.821333333333333)"
61,T.NO 60,T,DB,,DC,24,59-60,NO,252.4638588,1.7,36,"00°00'00.00""",79.36602778,10.82133333,GOOD,GOOD,NO,LT,NALA,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36602777777777 10.821333333333333, 79.3651111111111 10.818805555555555)"
62,T.NO 61,S,DA,,DC,26,60-61,NO,297.3213749,1.71,32,,79.36511111,10.81880556,GOOD,GOOD,NO,,"NALA1 NOS, CANNEL 2 NOS",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3651111111111 10.818805555555555, 79.36449999999999 10.81713888888889)"
63,T.NO 62,S,DA,,DC,26,61-62,NO,197.1014967,1.32,28,,79.3645,10.81713889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36449999999999 10.81713888888889, 79.36383333333333 10.81525)"
64,T.NO 63,S,DA,,DC,26,62-63,NO,222.049544,1.9,34,,79.36383333,10.81525,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36383333333333 10.81525, 79.36294444444444 10.812805555555556)"
65,T.NO 64,S,DA,,DC,26,63-64,NO,287.2350953,,31,,79.36294444,10.81280556,GOOD,GOOD,,LT,,CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36294444444444 10.812805555555556, 79.36222222222221 10.810694444444445)"
66,T.NO 65,S,DA,,DC,26,64-65,YES,246.3513751,,34,,79.36222222,10.81069444,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36222222222221 10.810694444444445, 79.36227777777778 10.810222222222222)"
67,T.NO 66,T,DB,2W,DC,33,65-66,NO,50.24937811,,40,"1°8'18.57""",79.36227778,10.81022222,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36227777777778 10.810222222222222, 79.36269444444444 10.807)"
68,T.NO 67,T,DC,,DC,31,66-67,YES,360.5731549,1.08,36,"16°2'37.78""",79.36269444,10.807,GOOD,GOOD,NO,,"RIVER,CANNEL,MUD ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36269444444444 10.807, 79.36227777777778 10.804472222222223)"
69,T.NO 68,S,DA,,DC,26,67-68,NO,281.6185363,0.87,32,,79.36227778,10.80447222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36227777777778 10.804472222222223, 79.36191666666666 10.801972222222222)"
70,T.NO 69,S,DA,,DC,26,68-69,NO,282.2941728,1.99,31,,79.36191667,10.80197222,GOOD,GOOD,NO,,"MUD ROAD, CANNEL 2 NOS",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36191666666666 10.801972222222222, 79.36169444444444 10.80038888888889)"
71,T.NO 70,S,DA,,DC,26,69-70,NO,175.7868027,2.09,35,,79.36169444,10.80038889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36169444444444 10.80038888888889, 79.36130555555555 10.797666666666666)"
72,T.NO 71,S,DA,,DC,26,70-71,NO,302.0761493,2.6,32,,79.36130556,10.79766667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36130555555555 10.797666666666666, 79.36094444444444 10.795111111111112)"
73,T.NO 72,S,DA,,DC,26,71-72,NO,287.7933286,2.71,35,,79.36094444,10.79511111,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36094444444444 10.795111111111112, 79.36061111111111 10.792555555555555)"
74,T.NO 73,T,DB,,DC,24,72-73,NO,284.5487656,1.91,33,"00°00'00.00""",79.36061111,10.79255556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36061111111111 10.792555555555555, 79.36055555555555 10.792166666666667)"
75,T.NO 74,DP,TB,,DC,20,73-74,,43.41658669,,,,79.36055556,10.79216667,GOOD,GOOD,,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36055555555555 10.792166666666667, 79.36052777777778 10.79186111111111)"
76,T.NO 75,DP,TB,,DC,20,74-75,,34.525353,,34,,79.36052778,10.79186111,GOOD,GOOD,,230 KV CROSSING ABOVE OUR LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36052777777778 10.79186111111111, 79.36049999999999 10.791666666666666)"
77,T.NO 76,T,DB,,DC,24,75-76,NO,21.21320344,2.31,34,"1°13'48.32""",79.3605,10.79166667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36049999999999 10.791666666666666, 79.36022222222222 10.790027777777778)"
78,T.NO 77,T,DB,2W,DC,24,76-77,NO,184.4559568,,33,"2°55'53.19""",79.36022222,10.79002778,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36022222222222 10.790027777777778, 79.36008333333332 10.788722222222223)"
79,T.NO 78,DP,TB,,DC,20,77-78,YES,142.8985654,,31,,79.36008333,10.78872222,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36008333333332 10.788722222222223, 79.36008333333332 10.78813888888889)"
80,T.NO 79,DP,TB,,DC,20,78-79,YES,65,,,,79.36008333,10.78813889,GOOD,NO EARTH WIRE,YES,110 KV CROSSING ABOVE OUR LINE,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36008333333332 10.78813888888889, 79.36002777777777 10.787722222222222)"
81,T.NO 80,T,DB,2W,DC,24,79-80,YES,47.38143096,1.07,33,"5°38'18.34""",79.36002778,10.78772222,GOOD,GOOD,NO,,,PLAIN LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36002777777777 10.787722222222222, 79.36 10.786777777777777)"
82,T.NO 81,T,DD,,DC,28,80-81,YES,105.0428484,1.91,33,"33°39'46.91""",79.36,10.78677778,GOOD,GOOD,NO,,"TAAR ROAD, PONND",PLAIN LAND,"2 ERTH WIRE. OUR EARTH WIRE CONTINUE TO OUR T.NO-82, ANOTHER E/W CONNECT TO CROSSING TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36 10.786777777777777, 79.35913888888888 10.785527777777778)"
83,T.NO 82,T,DC,,DC,26,81-82,YES,167.8630394,,38,"28°43'3.59""",79.35913889,10.78552778,GOOD,GOOD,NO,"11KV,LT",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35913888888888 10.785527777777778, 79.3591111111111 10.785277777777777)"
