S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,S,,SA,22,09-Oct,305.2481926,3.9,150.118301,,11.11944444,78.61261111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61261111111111 11.119444444444445, 78.61491666666666 11.117888888888888)"
12,11,S,,SA,22,10-Nov,304.0870853,5.01,156.107666,,11.11788889,78.61491667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61491666666666 11.117888888888888, 78.61708333333333 11.116444444444443)"
13,12,T,2W,SC,22,11-Dec,287.5091373,4.21,160.180603,"0°57'7""R",11.11644444,78.61708333,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61708333333333 11.116444444444443, 78.61913888888888 11.115)"
14,13,S,,SA,22,Dec-13,275.4754517,3.1,161.153442,,11.115,78.61913889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61913888888888 11.115, 78.62166666666666 11.113333333333333)"
15,14,S,,SA,22,13-14,331.898172,2.52,153.881027,,11.11333333,78.62166667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62166666666666 11.113333333333333, 78.62427777777778 11.111527777777777)"
16,15,S,,SA,22,14-15,347.0113834,4.44,154.182831,,11.11152778,78.62427778,GOOD,Available,"LT,HT-2NO",Near Kovil,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62427777777778 11.111527777777777, 78.62641666666666 11.110055555555554)"
17,16,S,,SA,22,15-16,287.3094225,3.36,152.14212,,11.11005556,78.62641667,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62641666666666 11.110055555555554, 78.62866666666666 11.108555555555554)"
18,17,S,,SA,22,16-17,296.089514,2.53,155.442291,,11.10855556,78.62866667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62866666666666 11.108555555555554, 78.63088888888888 11.107027777777777)"
19,18,S,,SA,22,17-18,294.6019125,4.1,152.732956,,11.10702778,78.63088889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63088888888888 11.107027777777777, 78.63305555555554 11.105527777777777)"
20,19,S,,SA,22,18-19,290.6346522,3.49,149.842194,,11.10552778,78.63305556,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63305555555554 11.105527777777777, 78.63522222222223 11.104055555555556)"
21,20,S,,SA,22,19-20,287.7800313,4.02,145.848038,,11.10405556,78.63522222,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63522222222223 11.104055555555556, 78.63716666666667 11.102722222222221)"
22,21,S,,SA,22,20-21,257.1822531,2.9,140.444702,,11.10272222,78.63716667,GOOD,Available,LT,Metal Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63716666666667 11.102722222222221, 78.63991666666668 11.100833333333332)"
23,22,S,,SA,22,21-22,367.0549865,4.26,143.147278,,11.10083333,78.63991667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63991666666668 11.100833333333332, 78.64191666666667 11.099444444444446)"
24,23,T,2W,SC,22,22-23,266.3414224,3.12,143.421906,"6°41'36"" L",11.09944444,78.64191667,GOOD,Available,LT,Naduvalur Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64191666666667 11.099444444444446, 78.64430555555556 11.098194444444445)"
25,24,S,,SA,22,23-24,296.2530508,4.47,140.04184,,11.09819444,78.64430556,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64430555555556 11.098194444444445, 78.64697222222223 11.096722222222223)"
26,25,S,,SA,22,24-25,333.6252617,5.02,137.138687,,11.09672222,78.64697222,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64697222222223 11.096722222222223, 78.64936111111112 11.095444444444444)"
27,26,S,,SA,22,25-26,295.9214133,4.67,141.938232,,11.09544444,78.64936111,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64936111111112 11.095444444444444, 78.65172222222223 11.094194444444446)"
28,27,S,,SA,22,26-27,294.2554416,3.6,145.491852,,11.09419444,78.65172222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65172222222223 11.094194444444446, 78.65402777777778 11.092916666666667)"
29,28,S,,SA,22,27-28,288.3906341,4.11,145.46254,,11.09291667,78.65402778,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65402777777778 11.092916666666667, 78.65647222222223 11.091583333333334)"
30,29,S,,SA,22,28-29,305.3149143,2.75,142.669174,,11.09158333,78.65647222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65647222222223 11.091583333333334, 78.65886111111112 11.090305555555556)"
31,30,S,,SA,22,29-30,295.9498185,3.09,141.094864,,11.09030556,78.65886111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65886111111112 11.090305555555556, 78.66127777777778 11.089)"
32,31,S,,SA,22,30-31,300.266884,1.99,137.768494,,11.089,78.66127778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66127777777778 11.089, 78.66358333333334 11.087722222222222)"
33,32,S,2W,SA,22,31-32,290.1659328,4.41,136.786957,,11.08772222,78.66358333,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66358333333334 11.087722222222222, 78.6658888888889 11.086500000000001)"
34,33,S,,SA,22,32-33,287.1993758,3.39,134.680191,,11.0865,78.66588889,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6658888888889 11.086500000000001, 78.66827777777779 11.085194444444445)"
35,34,S,,SA,22,33-34,297.7403142,5.55,131.072525,,11.08519444,78.66827778,GOOD,Available,HT,Solor Power,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66827777777779 11.085194444444445, 78.67072222222222 11.083861111111112)"
36,35,S,,SA,22,34-35,305.2148849,4.12,128.611099,,11.08386111,78.67072222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67072222222222 11.083861111111112, 78.67322222222222 11.0825)"
37,36,S,,SA,22,35-36,312.9590405,3.37,123.416901,,11.0825,78.67322222,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67322222222222 11.0825, 78.67558333333334 11.081249999999999)"
38,37,T,,SC,22,36-37,291.8945024,1.85,122.459885,"2°10'47"" L",11.08125,78.67558333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67558333333334 11.081249999999999, 78.67794444444445 11.08013888888889)"
39,38,S,,SA,22,37-38,286.6587846,2.67,119.778481,,11.08013889,78.67794444,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67794444444445 11.08013888888889, 78.68061111111112 11.078888888888889)"
40,LILO : 39/1,T,3W,SC,22,38-39/1,322.8328848,4.37,116.995323,"0°46'2""R",11.07888889,78.68061111,GOOD,Available,"LT,HT",,AGRI,LILO AT PUTHANAMPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68061111111112 11.078888888888889, 78.68219444444445 11.078138888888889)"
41,40,S,,SA,22,39/1-40,191.0094416,3.47,121.075562,,11.07813889,78.68219444,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68219444444445 11.078138888888889, 78.68455555555556 11.077027777777777)"
42,41,S,,SA,22,40-41,286.1406318,2.01,117.837532,,11.07702778,78.68455556,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68455555555556 11.077027777777777, 78.68705555555556 11.075805555555556)"
43,42,S,,SA,22,41-42,303.7055042,4.15,115.903198,,11.07580556,78.68705556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68705555555556 11.075805555555556, 78.68941666666667 11.074722222222222)"
44,43,S,,SA,22,42-43,285.8318928,1.99,115.59301,,11.07472222,78.68941667,GOOD,Available,LT,Canal ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68941666666667 11.074722222222222, 78.69172222222223 11.073611111111111)"
45,44,S,,SA,22,43-44,278.33843,2.72,117.974319,,11.07361111,78.69172222,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69172222222223 11.073611111111111, 78.69397222222223 11.072555555555555)"
46,45,S,,SA,22,44-45,273.6535438,3.33,120.539787,,11.07255556,78.69397222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69397222222223 11.072555555555555, 78.69638888888889 11.071416666666666)"
47,46,S,,SA,22,45-46,293.0902602,1.77,123.497444,,11.07141667,78.69638889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69638888888889 11.071416666666666, 78.69877777777778 11.070305555555555)"
48,47,T,2W,SC,22,46-47,287.0730892,2.35,126.143127,"9°15'18"" R",11.07030556,78.69877778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69877777777778 11.070305555555555, 78.70075 11.068972222222222)"
49,48,S,,SA,22,47-48,263.0639045,2.49,126.112114,,11.06897222,78.70075,GOOD,Available,HT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70075 11.068972222222222, 78.70283333333333 11.067638888888888)"
50,49,S,,SA,22,48-49,271.4013554,2.91,125.084801,,11.06763889,78.70283333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70283333333333 11.067638888888888, 78.70447222222222 11.066555555555556)"
51,50,S,,SA,22,49-50,214.0465474,2.02,123.141235,,11.06655556,78.70447222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70447222222222 11.066555555555556, 78.70613888888889 11.065472222222223)"
52,51,S,,SA,22,50-51,218.453258,1.85,121.131866,,11.06547222,78.70613889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70613888888889 11.065472222222223, 78.70816666666667 11.064111111111112)"
53,52,S,,SA,22,51-52,268.177823,4.02,119.681313,,11.06411111,78.70816667,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70816666666667 11.064111111111112, 78.71030555555556 11.062666666666667)"
54,53,S,,SA,22,52-53,283.806902,3.12,116.597382,,11.06266667,78.71030556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71030555555556 11.062666666666667, 78.7125 11.061305555555556)"
55,54,S,,SA,22,53-54,283.2676834,2.88,114.183342,,11.06130556,78.7125,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7125 11.061305555555556, 78.71463888888889 11.059833333333334)"
56,55,S,,SA,22,54-55,283.3754527,3.05,107.853462,,11.05983333,78.71463889,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71463888888889 11.059833333333334, 78.71672222222223 11.0585)"
57,56,S,,SA,22,55-56,274.1194903,4.06,104.601593,,11.0585,78.71672222,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71672222222223 11.0585, 78.71905555555556 11.056972222222223)"
58,57,S,,SA,22,56-57,303.8478651,5.16,104.769806,,11.05697222,78.71905556,GOOD,Available,,Canal ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71905555555556 11.056972222222223, 78.72119444444445 11.055555555555557)"
59,58,T,2W,SC,22,57-58,281.0862021,3.1,105.274796,"14°43'1"" L",11.05555556,78.72119444,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72119444444445 11.055555555555557, 78.7238888888889 11.054666666666668)"
60,59,S,,SA,22,58-59,310.7951978,4.15,107.234482,,11.05466667,78.72388889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7238888888889 11.054666666666668, 78.7265 11.053805555555556)"
61,60,S,,SA,22,59-60,301.4719857,3.17,115.570267,,11.05380556,78.7265,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7265 11.053805555555556, 78.72902777777777 11.052972222222223)"
62,61,S,,SA,22,60-61,292.6187863,2.67,119.371429,,11.05297222,78.72902778,GOOD,Available,,Thirupattur Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72902777777777 11.052972222222223, 78.7316111111111 11.052111111111111)"
63,62,S,,SA,22,61-62,296.2444073,4.96,120.635574,,11.05211111,78.73161111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7316111111111 11.052111111111111, 78.73419444444444 11.051250000000001)"
64,63,S,,SA,22,62-63,298.9908691,3.16,121.113747,,11.05125,78.73419444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73419444444444 11.051250000000001, 78.73655555555555 11.050472222222224)"
65,64,S,,SA,22,63-64,270.7697062,4.09,120.331543,,11.05047222,78.73655556,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73655555555555 11.050472222222224, 78.73919444444445 11.04961111111111)"
66,65,S,,SA,22,64-65,305.560694,5.56,116.37825,,11.04961111,78.73919444,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73919444444445 11.04961111111111, 78.74152777777778 11.04886111111111)"
67,66,S,,SA,22,65-66,266.7229543,1.16,113.538002,,11.04886111,78.74152778,GOOD,Available,,Palaiyur Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74152777777778 11.04886111111111, 78.74347222222222 11.048194444444444)"
68,67,S,,SA,22,66-67,225.9807448,2.3,111.097031,,11.04819444,78.74347222,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74347222222222 11.048194444444444, 78.74630555555555 11.047277777777778)"
69,68,S,,SA,22,67-68,325.2541936,4.17,116.218994,,11.04727778,78.74630556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74630555555555 11.047277777777778, 78.74891666666667 11.046416666666666)"
70,69,S,,SA,22,68-69,301.6801757,2.69,120.475845,,11.04641667,78.74891667,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74891666666667 11.046416666666666, 78.75180555555555 11.045444444444444)"
71,70,S,,SA,22,69-70,334.3389589,4.55,124.41861,,11.04544444,78.75180556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75180555555555 11.045444444444444, 78.75444444444445 11.044583333333334)"
72,71,T,2W,SC,22,70-71,301.0199225,6.01,125.884552,"20°50'18"" R",11.04458333,78.75444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75444444444445 11.044583333333334, 78.7565 11.042916666666667)"
73,72,S,,SA,22,71-72,290.7677512,3.26,123.79451,,11.04291667,78.7565,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7565 11.042916666666667, 78.75861111111111 11.04125)"
74,73,S,,SA,22,72-73,294.7081884,1.98,117.766899,,11.04125,78.75861111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75861111111111 11.04125, 78.76063888888889 11.039555555555555)"
75,74,S,,SA,22,73-74,290.9033681,2.42,112,,11.03955556,78.76063889,GOOD,NO E/W,230 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76063888888889 11.039555555555555, 78.76272222222222 11.037888888888888)"
76,75,S,,SA,22,74-75,294.2412707,3.02,112,,11.03788889,78.76272222,GOOD,Available,LT - 3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76272222222222 11.037888888888888, 78.76475 11.036249999999999)"
77,76,S,,SA,22,75-76,287.5708716,1.91,113,,11.03625,78.76475,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76475 11.036249999999999, 78.76683333333334 11.034527777777777)"
78,77,S,,SA,22,76-77,296.5487734,2.9,111,,11.03452778,78.76683333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76683333333334 11.034527777777777, 78.76883333333333 11.032944444444444)"
79,78,T,2W,SC,22,77-78,277.8513276,3.09,109,"11°56'57"" L",11.03294444,78.76883333,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76883333333333 11.032944444444444, 78.77119444444445 11.03175)"
80,79,S,,SA,22,78-79,291.6114255,2.47,104,,11.03175,78.77119444,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77119444444445 11.03175, 78.77305555555556 11.030805555555556)"
81,80,S,,SA,22,79-80,229.0091535,4.05,104,,11.03080556,78.77305556,GOOD,Available,"LT -2NO,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77305555555556 11.030805555555556, 78.77569444444444 11.029527777777778)"
82,81,S,,SA,22,80-81,320.655898,2.96,105,,11.02952778,78.77569444,GOOD,Available,LT,River,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77569444444444 11.029527777777778, 78.77819444444444 11.02827777777778)"
83,82,S,,SA,22,81-82,306.8053021,3.2,111,,11.02827778,78.77819444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77819444444444 11.02827777777778, 78.78055555555555 11.027083333333334)"
84,83,S,,SA,22,82-83,288.9144926,1.88,115,,11.02708333,78.78055556,GOOD,Available,HT,City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78055555555555 11.027083333333334, 78.783 11.025861111111112)"
85,84,S,,SA,22,83-84,299.6692063,3.42,118,,11.02586111,78.783,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.783 11.025861111111112, 78.78538888888889 11.024666666666667)"
86,85,S,,SA,22,84-85,293.388328,2.11,115,,11.02466667,78.78538889,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78538888888889 11.024666666666667, 78.78752777777778 11.02363888888889)"
87,86,S,,SA,22,85-86,259.3820947,3.9,113,,11.02363889,78.78752778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78752777777778 11.02363888888889, 78.78963888888889 11.022583333333333)"
88,87,S,,SA,22,86-87,258.943022,3.19,110,,11.02258333,78.78963889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78963888888889 11.022583333333333, 78.7923888888889 11.021222222222223)"
89,88,S,,SA,22,87-88,336.7841935,3.41,107,,11.02122222,78.79238889,GOOD,Available,,River,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7923888888889 11.021222222222223, 78.79516666666666 11.019833333333334)"
90,89,S,,SA,22,88-89,338.5701113,2.89,113,,11.01983333,78.79516667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79516666666666 11.019833333333334, 78.79758333333334 11.018638888888889)"
91,90,T,2W,SC,22,89-90,296.0569928,4.02,118,"7°7'46"" R",11.01863889,78.79758333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79758333333334 11.018638888888889, 78.79930555555555 11.0175)"
92,91,T,,SC,22,90-91,226.874547,4.1,119,"26°4'27"" L",11.0175,78.79930556,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79930555555555 11.0175, 78.80199999999999 11.017166666666668)"
93,92,S,,SA,22,91-92,295.860729,3.75,120,,11.01716667,78.802,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80199999999999 11.017166666666668, 78.80472222222222 11.016805555555557)"
94,93,S,,SA,22,92-93,299.6806102,4.12,117,,11.01680556,78.80472222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80472222222222 11.016805555555557, 78.80733333333333 11.016472222222223)"
95,94,S,,SA,22,93-94,289.7671999,3.6,115,,11.01647222,78.80733333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80733333333333 11.016472222222223, 78.81025 11.016055555555555)"
96,95,S,,SA,22,94-95,321.4594835,5.17,110,,11.01605556,78.81025,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81025 11.016055555555555, 78.81366666666666 11.015666666666666)"
97,96,S,,SA,22,95-96,376.0789983,6.1,105,,11.01566667,78.81366667,GOOD,Available,11 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81366666666666 11.015666666666666, 78.81619444444445 11.015333333333333)"
98,97,S,,SA,22,96-97,277.6090407,3.15,106,,11.01533333,78.81619444,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81619444444445 11.015333333333333, 78.81733333333332 11.015166666666667)"
