Tower No,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41,DD,,28,42-41,264.2799656,6.45,123.400818,"60°28'39""RT",11.05454442,78.48480913,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4848091300094 11.054544421457857, 78.4858461290704 11.056585418951352)"
40,DA,,26,41-40,252.7394035,7.5,120.939362,,11.05658542,78.48584613,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4858461290704 11.056585418951352, 78.48683012786893 11.05853541754122)"
39,DA,,26,49-39,241.1395524,5.65,124.806595,"37°9'25""LT",11.05853542,78.48683013,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48683012786893 11.05853541754122, 78.48636912804238 11.060977417673376)"
38,DA,,26,39-38,274.9250908,8,129.882217,,11.06097742,78.48636913,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48636912804238 11.060977417673376, 78.4859321289444 11.063313416575372)"
37,DA,,26,38-37,262.9117107,7.85,132.393845,,11.06331342,78.48593213,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4859321289444 11.063313416575372, 78.48549012926586 11.065620420607498)"
36,DB,2W,24,37-36,259.8579536,8.3,134.938568,"8°19'49""LT",11.06562042,78.48549013,GOOD,GOOD,110kv,ROAD-1,PLAIN,DC,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48549012926586 11.065620420607498, 78.48475112935522 11.067725418988404)"
DB,DA,,26,36-DB,246.5794254,,130.284119,,11.06772542,78.48475113,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48475112935522 11.067725418988404, 78.48472012968332 11.06786341816416)"
35,DA,,26,DB-35,15.64443035,5.7,131.01918,,11.06786342,78.48472013,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48472012968332 11.06786341816416, 78.48396113007075 11.070028415006162)"
34,DD,,28,35-34,253.5695279,8.25,130.033188,"31°18'30""RT",11.07002842,78.48396113,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48396113007075 11.070028415006162, 78.48449512974838 11.072428418993866)"
33,DC,,26,34-33,271.9582223,7.95,135.230637,"18°9'5""LT",11.07242842,78.48449513,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48449512974838 11.072428418993866, 78.48424313033647 11.074867412720721)"
32,DA,,26,33-32,271.3362347,8.5,135.356339,,11.07486741,78.48424313,GOOD,GOOD,,ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48424313033647 11.074867412720721, 78.4840441301745 11.076971418858186)"
31,DA,,26,32-31,233.8736329,,133.368805,,11.07697142,78.48404413,GOOD,GOOD,110kv,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4840441301745 11.076971418858186, 78.48375713050437 11.079659416576229)"
30,DB,,24,31-30,299.1424967,4.5,125.527771,"6°46'53""LT",11.07965942,78.48375713,GOOD,GOOD,HT-1,ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48375713050437 11.079659416576229, 78.48336013113811 11.081540417721106)"
29,DA,,26,30-29,212.654345,6.15,122.908211,,11.08154042,78.48336013,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48336013113811 11.081540417721106, 78.48294113106473 11.083276416335119)"
28,DA,,26,29-28,197.5150812,3.45,127.830307,,11.08327642,78.48294113,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48294113106473 11.083276416335119, 78.4825741316673 11.084913417192125)"
27,DB,2W,24,28-27,185.5630964,5.85,133.2966,"6°28'19""LT",11.08491342,78.48257413,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4825741316673 11.084913417192125, 78.48194413193059 11.086697410321921)"
26,DA,,26,27-26,209.1087541,7.15,136.527115,,11.08669741,78.48194413,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48194413193059 11.086697410321921, 78.48131113247072 11.08855640864141)"
25,DA,,26,26-25,217.0683335,2.3,134.166199,,11.08855641,78.48131113,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48131113247072 11.08855640864141, 78.48068313379818 11.09033441247633)"
24,DA,,26,25-24,208.4107859,4.35,132.606903,,11.09033441,78.48068313,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48068313379818 11.09033441247633, 78.4797201344406 11.093160411371793)"
23,DA,,26,24-23,330.0068251,1.85,131.001648,,11.09316041,78.47972013,GOOD,GOOD,HT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4797201344406 11.093160411371793, 78.4790231350129 11.095019414098044)"
22,DA,,26,23-22,219.3990455,6.25,126.849068,,11.09501941,78.47902314,GOOD,GOOD,"HT-1,LT-2",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4790231350129 11.095019414098044, 78.4784331351419 11.096742407745266)"
21,DA,,26,22-21,201.3031758,3.45,132.274261,,11.09674241,78.47843314,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4784331351419 11.096742407745266, 78.47757113617651 11.09926141363158)"
20,DB,,24,21-20,294.2837469,1.35,137.541748,"5°58'52""LT",11.09926141,78.47757114,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47757113617651 11.09926141363158, 78.47672013753983 11.101059405951837)"
19,DA,,26,20-19,219.6619765,3.35,139.281723,,11.10105941,78.47672014,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47672013753983 11.101059405951837, 78.47593613760601 11.102727406467594)"
18,DC,2W,26,19-18,203.5280929,2.25,145.190964,"27°31'55""RT",11.10272741,78.47593614,GOOD,GOOD,,,PLAIN,DC,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47593613760601 11.102727406467594, 78.47598913790156 11.103902410164668)"
17,DB,,24,18-17,130.172847,4.65,147.868927,"4°16'17""LT",11.10390241,78.47598914,GOOD,GOOD,,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47598913790156 11.103902410164668, 78.47595013790631 11.10533240878325)"
16,DA,,26,17-16,158.3229148,6.75,143.724365,,11.10533241,78.47595014,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47595013790631 11.10533240878325, 78.47589813762372 11.106894410088838)"
15,DB,,24,16-15,172.9683864,2.85,147.985779,"1°58'46""LT",11.10689441,78.47589814,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47589813762372 11.106894410088838, 78.47578113776477 11.108525405118987)"
14,DA,,26,15-14,180.9633659,5.15,150.730011,,11.10852541,78.47578114,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47578113776477 11.108525405118987, 78.47569213823672 11.110040407613576)"
13,DD,,28,14-13,167.9553877,2.02,148.239563,"40°12'11""LT",11.11004041,78.47569214,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47569213823672 11.110040407613576, 78.47389013997235 11.111904402959269)"
12,DA,,26,13-Dec,285.2291755,3.15,144.729187,,11.1119044,78.47389014,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47389013997235 11.111904402959269, 78.47206014181863 11.113767406206952)"
11,DC,,26,12-Nov,287.2719008,2.18,138.523956,"13°56'52""LT",11.11376741,78.47206014,GOOD,GOOD,"HT-1,LT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47206014181863 11.113767406206952, 78.47057314273748 11.114664404611416)"
10,DA,,26,11-Oct,190.4564768,2.72,134.465073,,11.1146644,78.47057314,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47057314273748 11.114664404611416, 78.4685821447062 11.115903409134397)"
9,DA,,26,10-Sep,257.2249785,5.74,135.939896,,11.11590341,78.46858214,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4685821447062 11.115903409134397, 78.46624814752407 11.117376404576687)"
8,DA,,26,09-Aug,302.7560019,3.9,133.624435,,11.1173764,78.46624815,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46624814752407 11.117376404576687, 78.46394614915668 11.118803402092471)"
7,DC,,26,08-Jul,297.0766961,,133.473114,"25°36'4""RT",11.1188034,78.46394615,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46394614915668 11.118803402092471, 78.46276915077652 11.120639405041686)"
6,DA,,26,07-Jun,240.5034983,6.17,133.692291,,11.12063941,78.46276915,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46276915077652 11.120639405041686, 78.46144315135183 11.122767403059827)"
5,DA,,26,06-May,276.5423293,4.35,136.43811,,11.1227674,78.46144315,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46144315135183 11.122767403059827, 78.45999415335827 11.124988403319142)"
4,DC,,26,05-Apr,292.4169911,5.85,138.002686,"23°30'5""RT",11.1249884,78.45999415,GOOD,GOOD,"LT-3,HT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45999415335827 11.124988403319142, 78.45970915370754 11.126780401908142)"
3,DA,,26,04-Mar,200.7640328,4.85,140.869415,,11.1267804,78.45970915,GOOD,GOOD,HT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45970915370754 11.126780401908142, 78.45938615404505 11.128888397849748)"
2,DA,,26,03-Feb,235.9622492,2.45,144.777832,"1°9'22""RT",11.1288884,78.45938615,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45938615404505 11.128888397849748, 78.45921815387632 11.130132405038733)"
1 LILO,DD,3W,28,2-1LILO,138.9018558,2.57,148.198822,"69°16'24""LT",11.13013241,78.45921815,GOOD,GOOD,,LT-1,PLAIN,DC,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45921815387632 11.130132405038733, 78.45719115546105 11.130609400649032)"
118,SA,,26,1LILO-118,227.7534426,7.45,144.418472,,11.1306094,78.45719116,GOOD,GOOD,HT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45719115546105 11.130609400649032, 78.45422015906465 11.131283398601314)"
117,SA,,26,118-117,333.1870436,3.87,144.94397,,11.1312834,78.45422016,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45422015906465 11.131283398601314, 78.45150516175946 11.131919400673777)"
116,SA,,26,117-116,304.9828842,6.15,144.557373,,11.1319194,78.45150516,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45150516175946 11.131919400673777, 78.44866916449959 11.132567403975361)"
115,SA,,26,116-115,318.162509,4.35,142.911926,,11.1325674,78.44866916,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44866916449959 11.132567403975361, 78.44648416623552 11.133062403755707)"
114,SA,,26,115-114,245.0230476,1.77,144.213058,,11.1330624,78.44648417,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44648416623552 11.133062403755707, 78.44440216878333 11.133572403322058)"
113,SA,,26,114-113,234.4577781,4.63,145.404892,,11.1335724,78.44440217,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44440216878333 11.133572403322058, 78.44126917154294 11.134275403053483)"
112,SA,,26,113-112,351.1638566,5.2,153.90126,,11.1342754,78.44126917,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44126917154294 11.134275403053483, 78.43821517440308 11.134982402083443)"
111,SA,,26,112-111,342.8498974,6.15,158.950165,,11.1349824,78.43821517,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43821517440308 11.134982402083443, 78.4354941774625 11.135620397584855)"
110,SA,,26,111-110,305.671901,5.9,162.689728,,11.1356204,78.43549418,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4354941774625 11.135620397584855, 78.43259617986926 11.136279404552383)"
109,SA,,26,110-109,325.0394496,7.8,163.912704,,11.1362794,78.43259618,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43259617986926 11.136279404552383, 78.42979818279605 11.136933400012216)"
108,SA,,26,109-108,314.2695306,6.21,165.119125,,11.1369334,78.42979818,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42979818279605 11.136933400012216, 78.42702018598196 11.137547402678758)"
107 LILO ,DD,2W,28,108-107,311.1460535,,166.378525,"90°7'4""LT",11.1375474,78.42702019,GOOD,GOOD,HT-2,,PLAIN,LILO TO ERUMAIPATTI,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42702018598196 11.137547402678758, 78.42692218603717 11.137128402903645)"
DB1,DB,,24,107-DB1,47.59567504,,165.954407,,11.1371284,78.42692219,GOOD,GOOD,SS,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42692218603717 11.137128402903645, 78.4266261860679 11.135512399933093)"
DB2,DB,,24,DB1-DB2,181.7610795,,164.807281,,11.1355124,78.42662619,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4266261860679 11.135512399933093, 78.42635218637385 11.133927396619802)"
DB3,DB,,24,DB2-DB3,177.9655319,,162.984955,,11.1339274,78.42635219,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42635218637385 11.133927396619802, 78.42626418691508 11.133262402869956)"
GANTRY T.PET,GANTRY,2W,20,DB3 -GT,74.22707877,,161.404816,,11.1332624,78.42626419,GOOD,GOOD,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
