S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,123,S,SA,22,122-123,263.40795237512197,1.19,93.348183,,10.342555555555556,78.95055555555555,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95055555555555 10.342555555555556, 78.95011111111111 10.340694444444445)"
35,124,S,SA,22,123-124,210.04811164458013,4.22,92.3932109999999,,10.340694444444445,78.95011111111111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95011111111111 10.340694444444445, 78.94966666666667 10.338777777777779)"
36,125,S,SA,22,124-125,218.25042281549028,0.6,91.8504939999999,,10.338777777777779,78.94966666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94966666666667 10.338777777777779, 78.94916666666667 10.33675)"
37,126,T,SC,22,125-126,231.288928900203,3.91,92.0194089999999,"16°16'34"" R",10.33675,78.94916666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94916666666667 10.33675, 78.94794444444445 10.334611111111112)"
38,127,S,SA,22,126-127,270.2449426632702,5.01,94.043282,,10.334611111111112,78.94794444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94794444444445 10.334611111111112, 78.94672222222222 10.3325)"
39,128,T,SC,22,127-128,270.4266625405477,1.34,94.5338059999999,"45°28'60"" R",10.3325,78.94672222222222,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94672222222222 10.3325, 78.94411111111111 10.331833333333334)"
40,129,T,SC,22,128-129,295.3950257933781,3.02,96.078873,"32°24'60"" L",10.331833333333334,78.94411111111111,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94411111111111 10.331833333333334, 78.94272222222223 10.330333333333334)"
41,130,S,SA,22,129-130,225.09223357575368,2.27,94.154808,,10.330333333333334,78.94272222222223,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94272222222223 10.330333333333334, 78.941 10.328555555555555)"
42,131,S,SA,22,130-131,273.11175730704826,3.29,93.9541239999999,,10.328555555555555,78.941,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.941 10.328555555555555, 78.93969444444444 10.327194444444444)"
43,132,T,SB,22,131-132,206.41139610470964,2.77,97.5728759999999,"9°14'7"" L",10.327194444444444,78.93969444444444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93969444444444 10.327194444444444, 78.93866666666668 10.325694444444444)"
44,133,S,SA,22,132-133,201.0733652585673,1.4,88.9372249999999,,10.325694444444444,78.93866666666668,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93866666666668 10.325694444444444, 78.93772222222222 10.324277777777777)"
45,134,T,SB,22,133-134,187.75282910222342,2.01,92.3040699999999,"14°33'36"" L",10.324277777777777,78.93772222222222,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93772222222222 10.324277777777777, 78.93694444444445 10.322055555555556)"
46,135,S,SA,22,134-135,259.8008210992239,3.24,90.598557,,10.322055555555556,78.93694444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93694444444445 10.322055555555556, 78.93613888888889 10.319749999999999)"
47,136,S,SA,22,135-136,269.93261072414333,2.57,95.0046459999999,,10.319749999999999,78.93613888888889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93613888888889 10.319749999999999, 78.93536111111112 10.317555555555556)"
48,137,S,SA,22,136-137,256.3639195787908,1.62,94.6545789999999,,10.317555555555556,78.93536111111112,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93536111111112 10.317555555555556, 78.93461111111111 10.31538888888889)"
49,138,S,SA,22,137-138,253.9876466803363,2.1,89.7542569999999,,10.31538888888889,78.93461111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93461111111111 10.31538888888889, 78.93377777777778 10.313194444444445)"
50,139,S,SA,22,138-139,260.1919139656941,3.77,91.540192,,10.313194444444445,78.93377777777778,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93377777777778 10.313194444444445, 78.93302777777778 10.311)"
51,140,S,SA,22,139-140,256.2750347345748,1.92,82.5631869999999,,10.311,78.93302777777778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93302777777778 10.311, 78.93222222222222 10.30877777777778)"
52,141,S,SA,22,140-141,259.4589274149717,1.79,84.546249,,10.30877777777778,78.93222222222222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93222222222222 10.30877777777778, 78.93144444444445 10.306555555555557)"
53,142,S,SA,22,141-142,261.28193607822277,1.02,94.0914379999999,,10.306555555555557,78.93144444444445,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93144444444445 10.306555555555557, 78.93061111111112 10.304222222222222)"
54,143,T,SC,22,142-143,273.8711279466844,2.8,98.33625,"20°29'39"" L",10.304222222222222,78.93061111111112,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93061111111112 10.304222222222222, 78.9306388888889 10.302000000000001)"
55,144,S,SA,22,143-144,246.17991527663017,2.08,90.9384689999999,,10.302000000000001,78.9306388888889,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9306388888889 10.302000000000001, 78.93061111111112 10.2995)"
56,145,S,SA,22,144-145,274.9417252954352,2.44,93.2561489999999,,10.2995,78.93061111111112,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93061111111112 10.2995, 78.9306388888889 10.297055555555556)"
57,146,S,SA,22,145-146,270.39779798378123,1.27,88.372658,,10.297055555555556,78.9306388888889,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9306388888889 10.297055555555556, 78.93066666666667 10.294638888888889)"
58,147,T,SB,22,146-147,268.3259294182772,1.24,83.7861939999999,"11°10'44"" L",10.294638888888889,78.93066666666667,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93066666666667 10.294638888888889, 78.93091666666668 10.293444444444445)"
59,148,T,SC,22,147-148,134.4370666462211,1.69,83.0974879999999,"43°54'22"" L",10.293444444444445,78.93091666666668,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93091666666668 10.293444444444445, 78.93269444444445 10.292277777777779)"
60,149,S,SA,22,148-149,235.12126929515165,3.46,95.0177759999999,,10.292277777777779,78.93269444444445,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93269444444445 10.292277777777779, 78.93416666666667 10.29125)"
61,150,T,SC,22,149-150,195.04471778571147,2.17,77.4597019999999,"37°6'17"" R",10.29125,78.93416666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93416666666667 10.29125, 78.93475000000001 10.289333333333333)"
62,151,S,SA,22,150-151,220.38673676606717,5.03,76.6770319999999,,10.289333333333333,78.93475000000001,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93475000000001 10.289333333333333, 78.9353888888889 10.28738888888889)"
