S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,15,T,2W,24,14-15,115.0250856,2.47,170,"10°52'6"" LT",11.567737,78.751194,GOOD,GOOD,,,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.751194 11.567737, 78.754156 11.568538)"
17,16,S,,26,15-16,335.1191731,1.84,172,,11.568538,78.754156,GOOD,GOOD,11 KV (1) LT (1), TAAR ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.754156 11.568538, 78.757003 11.569294)"
18,17,S,,26,16-17,321.7032508,1.5,174,,11.569294,78.757003,GOOD,GOOD, LT (1),SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.757003 11.569294, 78.759845 11.570074)"
19,18,S,,26,17-18,321.8770381,1.79,176,,11.570074,78.759845,GOOD,GOOD,LT (1),,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.759845 11.570074, 78.762538 11.570812)"
20,19,S,,26,18-19,304.9675887,2.03,175,,11.570812,78.762538,GOOD,GOOD,11 KV (1), TAAR ROAD ,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.762538 11.570812, 78.765363 11.571579)"
21,20,S,,26,19-20,319.7028392,2.64,173,,11.571579,78.765363,GOOD,GOOD,"11 KV (1), LT (1)",,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.765363 11.571579, 78.768208 11.57235)"
22,21,S,,26,20-21,321.9228296,2.34,170,,11.57235,78.768208,GOOD,GOOD,11 KV (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.768208 11.57235, 78.77106 11.57311)"
23,22,S,,26,21-22,322.3382073,1.86,162,,11.57311,78.77106,GOOD,GOOD,11 KV (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77106 11.57311, 78.7738 11.57385)"
24,23,S,,26,22-23,309.9644598,2.05,163,,11.57385,78.7738,GOOD,GOOD, 33 KV (1) ,TAAR ROAD,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7738 11.57385, 78.77621 11.57451)"
25,24,S,,26,23-24,272.9003405,2.58,163,,11.57451,78.77621,GOOD,GOOD,,,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77621 11.57451, 78.779745 11.575488)"
26,25,S,,26,24-25,400.5845399,2.67,171,,11.575488,78.779745,GOOD,GOOD, LT (1) ,METAL ROAD,RIVER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.779745 11.575488, 78.78229 11.57616)"
27,26,T,2W,24,25-26,287.4574529,2.39,166,"0°40'28"" LT",11.57616,78.78229,GOOD,GOOD,LT (1),SAND ROAD,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78229 11.57616, 78.78493 11.57689)"
28,27,S,,26,26-27,299.1493733,2.52,164,,11.57689,78.78493,GOOD,GOOD,," METAL ROAD,TAAR ROAD",CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78493 11.57689, 78.78749 11.57759)"
29,28,S,,26,27-28,289.8488663,2.41,164,,11.57759,78.78749,GOOD,GOOD,11 KV (2),SAND ROAD,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78749 11.57759, 78.790339 11.578374)"
30,29,S,,26,28-29,322.7163261,1.86,165,,11.578374,78.790339,GOOD,GOOD, LT (1), METAL ROAD,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.790339 11.578374, 78.79317 11.57914)"
31,30,S,,26,29-30,320.2909191,0.92,166,,11.57914,78.79317,GOOD,GOOD, LT (1), METAL ROAD,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79317 11.57914, 78.796201 11.57998)"
32,31,S,,26,30-31,343.5056088,1.35,165,,11.57998,78.796201,GOOD,GOOD,,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.796201 11.57998, 78.79898 11.58073)"
33,32,S,,26,31-32,314.3484911,1.05,167,,11.58073,78.79898,GOOD,GOOD, LT (1) ,METAL ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79898 11.58073, 78.801734 11.581476)"
34,33,S,,26,32-33,311.5996584,2.37,168,,11.581476,78.801734,GOOD,GOOD,11 KV (2) LT (1) ,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.801734 11.581476, 78.804435 11.582215)"
35,34,S,,26,33-34,305.8183731,3.04,165,,11.582215,78.804435,GOOD,GOOD,,SAND ROAD,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.804435 11.582215, 78.80741 11.58303)"
36,35,S,,26,34-35,336.8708836,2.61,163,,11.58303,78.80741,GOOD,GOOD,11 KV (1) LT (1) ,METAL ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80741 11.58303, 78.8101 11.58378)"
37,36,S,,26,35-36,304.988395,2.76,167,,11.58378,78.8101,GOOD,GOOD, LT (1),SAND ROAD,CULLTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8101 11.58378, 78.81293 11.58454)"
38,37,T,2W,26,36-37,320.000777,2.93,168,,11.58454,78.81293,GOOD,GOOD, LT (1),SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
