S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
56,T.NO 51,S,,DA,26,50-51,300.1366356,4.17,101,,11.4684538,79.03964619,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03964619317034 11.468453795049038, 79.03717993112936 11.467307378624296)"
57,T.NO 52,T,,DB,24,51-52,297.5315109,3.21,101,"14°38'0""",11.46730738,79.03717993,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03717993112936 11.467307378624296, 79.03454419230623 11.4668196357395)"
58,T.NO 53,S,,DA,26,52-53,292.6567956,2.89,100,,11.46681964,79.03454419,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03454419230623 11.4668196357395, 79.03166143820769 11.466275973242016)"
59,T.NO 54,T,,DB,24,53-54,320.2951764,2.41,102,"17°36'44""",11.46627597,79.03166144,GOOD,GOOD,HT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03166143820769 11.466275973242016, 79.02938803733952 11.465076565721917)"
60,T.NO 55,S,,DA,26,54-55,281.3574239,1.65,105,,11.46507657,79.02938804,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02938803733952 11.465076565721917, 79.02719681116065 11.463922892133915)"
61, T. NO 56,S,,DA,26,55-56,271.064568,4.41,104,,11.46392289,79.02719681,GOOD,GOOD,,ROAD-1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02719681116065 11.463922892133915, 79.02482322493769 11.462641429621204)"
62,T. NO 57,S,,DA,26,56-57,295.2964612,3.91,105,,11.46264143,79.02482322,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02482322493769 11.462641429621204, 79.02241301085601 11.461359703191883)"
63,T.NO 58,S,,DA,26,57-58,298.8243631,4.21,106,,11.4613597,79.02241301,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02241301085601 11.461359703191883, 79.02013969709112 11.460160236224208)"
64,T. NO59,S,,DA,26,58-59,281.3574239,3.91,103,,11.46016024,79.0201397,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02013969709112 11.460160236224208, 79.01780251715033 11.458924166502563)"
65,T.NO 60,S,,DA,26,59-60,289.4149271,3.61,101,,11.45892417,79.01780252,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01780251715033 11.458924166502563, 79.01540166216226 11.457624377966473)"
66,T.NO 61,T,2W,DC,26,60-61,298.886266,4.15,99,"22°28'47""",11.45762438,79.01540166,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01540166216226 11.457624377966473, 79.01383873762596 11.455742752606739)"
67,T.NO 62,S,,DA,26,61-62,269.1337957,5.17,103,,11.45574275,79.01383874,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01383873762596 11.455742752606739, 79.01200329204683 11.453524837814072)"
68,T.NO 63,S,,DA,26,62-63,316.764897,4.47,102,,11.45352484,79.01200329,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01200329204683 11.453524837814072, 79.01041336583913 11.451579746532216)"
