,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 10,T,27,9-10,YES,,304,3.01,72,"9°14'8.01""",79.01447222222222,10.366194444444444,GOOD,GOOD,NO,LT-2OS,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01447222222222 10.366194444444444, 79.01672222222223 10.36586111111111)"
12,T.NO 11,S,26,10-11,YES,,249.230816714146,2.16,71,,79.01672222222223,10.36586111111111,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01672222222223 10.36586111111111, 79.01966666666667 10.365444444444444)"
13,T.NO 12,S,26,11-12,NO,,326.54708695684303,1.06,67,,79.01966666666667,10.365444444444444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01966666666667 10.365444444444444, 79.02244444444445 10.365027777777778)"
14,T.NO 13,S,26,12-13,NO,,309.438200615244,1.09,66,,79.02244444444445,10.365027777777778,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02244444444445 10.365027777777778, 79.02527777777777 10.364555555555555)"
15,T.NO 14,S,29,13-14,NO,,315.01745983357813,3.61,68,,79.02527777777777,10.364555555555555,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02527777777777 10.364555555555555, 79.02769444444445 10.364222222222223)"
16,T.NO 15,T,27,14-15,NO,,264.5996976566678,1.08,67,"8°10'41.28""",79.02769444444445,10.364222222222223,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02769444444445 10.364222222222223, 79.02997222222223 10.363583333333333)"
17,T.NO 16,S,26,15-16,YES,,261.4000765110829,3.17,70,,79.02997222222223,10.363583333333333,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02997222222223 10.363583333333333, 79.03261111111111 10.362833333333333)"
18,T.NO 17,S,26,16-17,NO,,299.7215374309961,2.61,69,,79.03261111111111,10.362833333333333,GOOD,GOOD,NO,"LT,11KV",MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03261111111111 10.362833333333333, 79.03522222222222 10.36211111111111)"
19,T.NO 18,S,26,17-18,NO,,297.12118739665806,1.68,71,,79.03522222222222,10.36211111111111,GOOD,GOOD,NO,LT-2 NOS,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03522222222222 10.36211111111111, 79.03797222222222 10.361333333333333)"
20,T.NO 19,S,29,18-19,YES,,312.6403684747061,1.91,69,,79.03797222222222,10.361333333333333,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,NEAR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03797222222222 10.361333333333333, 79.04038888888888 10.36061111111111)"
21,T.NO 20,T,31,19-20,NO,,278.3522947633089,,68,"54°16'9.42""",79.04038888888888,10.36061111111111,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04038888888888 10.36061111111111, 79.04105555555556 10.358694444444444)"
22,T.NO 21,S,26,20-21,YES,,222.62524564837653,3.41,68,,79.04105555555556,10.358694444444444,GOOD,GOOD,YES,,,PLAIN LAND,EUCALYPTUS TREE BELOW THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04105555555556 10.358694444444444, 79.04172222222222 10.35675)"
23,T.NO 22,T,31,21-22,NO,,227.68399153212331,1.61,67,"44°42'32.98""",79.04172222222222,10.35675,GOOD,GOOD,NO,LT,TAAR ROAD,,EUCALYPTUS TREE BELOW THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04172222222222 10.35675, 79.04066666666667 10.35461111111111)"
24,T.NO 23,S,26,22-23,YES,,264.3066400982011,2.41,68,,79.04066666666667,10.35461111111111,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04066666666667 10.35461111111111, 79.03966666666666 10.352916666666665)"
25,T.NO 24,S,26,23-24,NO,,217.1174797200815,1.06,63,,79.03966666666666,10.352916666666665,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03966666666666 10.352916666666665, 79.03986111111111 10.350861111111112)"
26,T.NO 25,S,26,24-25,YES,,226.88322987827902,-,60,,79.03986111111111,10.350861111111112,GOOD,GOOD,NO,,MUD ROAD-2 NOS,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03986111111111 10.350861111111112, 79.03991666666667 10.349222222222222)"
27,T.NO 26,S,26,25-26,YES,,182.13456563760764,-,60,,79.03991666666667,10.349222222222222,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03991666666667 10.349222222222222, 79.04044444444445 10.346)"
28,T.NO 27,T,28,26-27,NO,,361.9019204149102,-,58,"39°9'7.89""",79.04044444444445,10.346,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04044444444445 10.346, 79.04213888888889 10.344472222222223)"
29,T.NO 28,S,26,27-28,NO,,251.9841264841895,,60,,79.04213888888889,10.344472222222223,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04213888888889 10.344472222222223, 79.044 10.343222222222224)"
30,T.NO 29,S,26,28-29,NO,,246.59480935331953,1.89,56,,79.044,10.343222222222224,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.044 10.343222222222224, 79.04602777777778 10.341694444444444)"
31,T.NO 30,S,26,29-30,NO,,277.41845648766775,,55,,79.04602777777778,10.341694444444444,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04602777777778 10.341694444444444, 79.04802777777778 10.34013888888889)"
32,T.NO 31,T,26,30-31,YES,,278.9265136196271,1.89,54,"24°11'34.08""",79.04802777777778,10.34013888888889,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04802777777778 10.34013888888889, 79.0503611111111 10.339555555555556)"
33,T.NO 32,S,26,31-32,NO,,265.33940529065785,,57,,79.0503611111111,10.339555555555556,GOOD,GOOD,NO,LT-2 NOS,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0503611111111 10.339555555555556, 79.05286111111111 10.338750000000001)"
34,T.NO 33,S,26,32-33,NO,,286.81875810344064,1.09,58,,79.05286111111111,10.338750000000001,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05286111111111 10.338750000000001, 79.05513888888889 10.338055555555556)"
35,T.NO 34,S,26,33-34,NO,,262.1850491542186,1.81,60,,79.05513888888889,10.338055555555556,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05513888888889 10.338055555555556, 79.05747222222222 10.337416666666668)"
36,T.NO 35,S,29,34-35,NO,,264.0075756488817,1.51,61,,79.05747222222222,10.337416666666668,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05747222222222 10.337416666666668, 79.05991666666667 10.336777777777778)"
37,T.NO 36,T,28,35-36,YES,,276.99097458220547,1.06,61,"36°59'39.25""",79.05991666666667,10.336777777777778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05991666666667 10.336777777777778, 79.06130555555555 10.335055555555556)"
38,T.NO 37,S,26,36-37,NO,,244.88364584022347,1.07,59,,79.06130555555555,10.335055555555556,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06130555555555 10.335055555555556, 79.06283333333333 10.334083333333334)"
39,T.NO 38,T,28,37-38,YES,,198.8793604173143,1.11,59,"60°12'10.95""",79.06283333333333,10.334083333333334,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06283333333333 10.334083333333334, 79.06283333333333 10.33375)"
40,GANTRY VADAKADU,GANTRY,20,38-GANTRY,YES,,37.05401462729781,,,,79.06283333333333,10.33375,,,,,,,NO EARTHWIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
