Tower No,Tower Type,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,DA,,GCR,25,12-Nov,,260,4.55,149.37,,11.89871822,79.00341874,GOOD,GOOD,,SOIL ROAD,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00341874436121 11.898718220793777, 79.00285381208205 11.900396232410994)"
13,DA,,GCR,25,13-Dec,,195.5973,5.87,150.37,,11.90039623,79.00285381,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00285381208205 11.900396232410994, 79.00226224634058 11.902148544640792)"
14,DA,,GCR,25,13-14,,204.3139,3.92,153.13,,11.90214854,79.00226225,GOOD,GOOD,LT-1,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00226224634058 11.902148544640792, 79.00175233685628 11.903659029912854)"
15,DA,,GCR,25,14-15,,176.1174,3.93,152.86,,11.90365903,79.00175234,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00175233685628 11.903659029912854, 79.00120112100919 11.905291804316787)"
16,DA,,GCR,25,15-16,,190.3757,2.76,149.39,,11.9052918,79.00120112,GOOD,GOOD,,SOIL ROAD,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00120112100919 11.905291804316787, 79.00050772489637 11.907345693485997)"
17,DA,,GCR,25,16-17,,239.4772,6.97,151.99,,11.90734569,79.00050772,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00050772489637 11.907345693485997, 78.99965474668367 11.909872216943334)"
18,DB,,HCR,24,17-18,,294.5856,1.35,151.85," 10d34'32""LT",11.90987222,78.99965475,GOOD,GOOD,LT-1,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99965474668367 11.909872216943334, 78.9985097477591 11.911909215483456)"
19,DA,,HCR,24,18-19,,257.604,3.2,156.41,,11.91190922,78.99850975,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9985097477591 11.911909215483456, 78.99700355502478 11.913452147398223)"
20,DC,,GCR,25,19-20,,236.8036,5.44,152.85,,11.91345215,78.99700356,GOOD,GOOD,,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99700355502478 11.913452147398223, 78.99543374900739 11.915060214306045)"
21,DC,,KCR,26,20-21,,246.8019,5.55,157.71," 29d18'8""RT",11.91506021,78.99543375,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99543374900739 11.915060214306045, 78.9950369561502 11.916563671708532)"
22,DA,,GCR,25,21-22,,171.8728,2.22,154.81,,11.91656367,78.99503696,GOOD,GOOD,,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9950369561502 11.916563671708532, 78.99459974967625 11.918220218765732)"
23,DA,,HCR,24,22-23,,189,5.27,151.55,,11.91822022,78.99459975,GOOD,GOOD,400KV,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99459974967625 11.918220218765732, 78.99517674940132 11.91966321286911)"
24,DC,,KCR,26,23-24,,171.5884,,154.91,"19d24'14""",11.91966321,78.99517675,GOOD,GOOD,400KV,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99517674940132 11.91966321286911, 78.99541774901705 11.919937217720342)"
ARIYALUR 110KV  GANTRY,T,2W,T,20,24-GANTRY,,40.1073,,151.33,,11.91993722,78.99541775,GOOD,GOOD,,,PLAIN,D/C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
