S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,5,S,DC,28,6 - 5,271.61145465225655,,,,,62,,12.1823842171579,79.5798291172832,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5798291172832 12.1823842171579, 79.5792948099076 12.1847519371658)"
27,4,S,DC,28,5 - 4,269.77482250026685,,,,,61,,12.1847519371658,79.5792948099076,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5792948099076 12.1847519371658, 79.5785819739103 12.1871119458228)"
28,3,S,DC,28,4 - 3,273.82649477179496,,,,,60,,12.1871119458228,79.5785819739103,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5785819739103 12.1871119458228, 79.5779287721961 12.1894476469606)"
29,2,T,DC,26,3 - 2,269.45629400206917,13.15,3.85,2.6,20,62,54°41'58''RT,12.1894476469606,79.5779287721961,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5779287721961 12.1894476469606, 79.5764832291752 12.1899645589292)"
30,1,T,DC,26,2 - 1,168.86575742457836,12.95,3.5,2.4,16.9,63,6°12'60''LT,12.1899645589292,79.5764832291752,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5764832291752 12.1899645589292, 79.5760777965188 12.1901613660156)"
31,DP2,T,H-POLE,15,1 - DP2,50.69561967153666,12.35,3.2,1.9,19,64,33°8'20''LT,12.1901613660156,79.5760777965188,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5760777965188 12.1901613660156, 79.5758830849081 12.1904858294874)"
32,DP1,T,H-POLE,15,DP2 - DP1,43.177053118413404,12.15,3.05,1.7,18.8,63,111°50'60''LT,12.1904858294874,79.5758830849081,GOOD,NO E/W,110KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5758830849081 12.1904858294874, 79.5760575123131 12.190513825044)"
33,LILO : 139,T,DC,26,DP1 - LILO : 139,20.73116115344159,12.05,3,1.6,18.9,63,,12.190513825044,79.5760575123131,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
