S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
43.0,42.0,T,DC,26.0,41-42,300.38050695868026,2.21,42.704487,"27°28'7"" R",10.508527777777777,79.20341666666667,GOOD,Available,LT -2NO,Uranipuram SS Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20341666666667 10.508527777777777, 79.20238888888889 10.508)"
44.0,LILO : 42A,T,DC,26.0,42- 42A,127.14185036058088,3.39,44.0743519999999,"60°2'44"" L",10.508,79.20238888888889,GOOD,Available,,,AGRI,Common tower for 110kV Uranipuram - Karambakudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20238888888889 10.508, 79.20244444444445 10.509722222222223)"
45.0, 42B,T,DC,26.0, 42A- 42B,191.5330037411897,2.25,47.5792879999999,"82°52'55"" R",10.509722222222223,79.20244444444445,GOOD,Available,HT -2NO,Uranipuram SS Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20244444444445 10.509722222222223, 79.20255555555556 10.50975)"
46.0,Gantry (Uranipuram SS),Gantry,H-POLE,12.0, 42B-Gantry,17.0,,48.55463,,10.50975,79.20255555555556,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,From Gantry at Uranipuram S/S to TN - 42A section is common for 110kV Karambayam ( N.T.Kudi ) - Uranipuram & Uranipuram - Karambakudi Link . So It is recommended to prepare 96F OPGW at this section. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
