S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33,44,T,,DB,26,45-44,278.1963754,2.87,35.504402,"2°44'44"" R",10.24519444,79.13908333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13908333333335 10.245194444444444, 79.13802777777778 10.243083333333333)"
34,43,S,,DA,26,44-43,261.9715308,1.32,34.876156,,10.24308333,79.13802778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13802777777778 10.243083333333333, 79.137 10.240944444444443)"
35,42,S,,DA,26,43-42,260.5944953,3.56,32.709068,,10.24094444,79.137,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.137 10.240944444444443, 79.13583333333334 10.23861111111111)"
36,41,T,,DB,26,42-41,289.7988148,2.26,32,"5°7'42"" R",10.23861111,79.13583333,GOOD,Available,"LT,HT",CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13583333333334 10.23861111111111, 79.13452777777779 10.236472222222222)"
37,40,S,,DA,26,41-40,275.4376103,3.09,30.916439,,10.23647222,79.13452778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13452777777779 10.236472222222222, 79.1331111111111 10.234194444444444)"
38,39,S,,DA,26,40-39,296.3614024,1.63,29.712658,,10.23419444,79.13311111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1331111111111 10.234194444444444, 79.1316111111111 10.231861111111112)"
39,38,T,2W,DB,26,39-38,306.4966946,1.86,29.295605,"2°17'58"" L",10.23186111,79.13161111,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1316111111111 10.231861111111112, 79.13024999999999 10.229527777777777)"
40,37,S,,DA,26,38-37,297.7589376,2.47,31.319386,,10.22952778,79.13025,GOOD,Available,HT,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13024999999999 10.229527777777777, 79.12894444444444 10.227333333333334)"
41,36,S,,DA,26,37-36,279.3890651,3.63,30.150864,,10.22733333,79.12894444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12894444444444 10.227333333333334, 79.12747222222221 10.224861111111112)"
42,35,S,,DA,26,36-35,320.5564895,0.76,30.807346,,10.22486111,79.12747222,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12747222222221 10.224861111111112, 79.12605555555555 10.22236111111111)"
43,34,T,,DC,26,35-34,315.2983849,2.1,30.456833,"57°39'27"" L",10.22236111,79.12605556,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12605555555555 10.22236111111111, 79.12713888888888 10.220333333333333)"
44,33,S,,DA,26,34-33,256.9112415,3.37,29.278,,10.22033333,79.12713889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12713888888888 10.220333333333333, 79.12808333333332 10.218555555555556)"
45,32,S,,DA,26,33-32,219.8188682,4.27,29.078613,,10.21855556,79.12808333,GOOD,Available,"LT,HT","ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12808333333332 10.218555555555556, 79.12938888888888 10.216194444444444)"
46,31,T,,DC,26,32-31,298.0307863,1.71,29.688938,"56°50'15"" R",10.21619444,79.12938889,GOOD,Available,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12938888888888 10.216194444444444, 79.12844444444444 10.214472222222222)"
47,30,T,,DB,26,31-30,217.0687476,4.33,40.043873,"5°58'31"" L",10.21447222,79.12844444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12844444444444 10.214472222222222, 79.12769444444444 10.212638888888888)"
48,29,T,,DC,26,30-29,218.7859957,6.01,29.204926,"31°14'59"" R",10.21263889,79.12769444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12769444444444 10.212638888888888, 79.12622222222221 10.211583333333333)"
49,28,S,,DA,26,29-28,198.8219862,2.21,23.451462,,10.21158333,79.12622222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12622222222221 10.211583333333333, 79.12441666666666 10.210194444444443)"
50,27,S,,DA,26,28-27,250.3042816,4.03,25.372643,,10.21019444,79.12441667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12441666666666 10.210194444444443, 79.1226111111111 10.208916666666665)"
51,26,S,,DA,26,27-26,242.8021751,7.12,24.533653,,10.20891667,79.12261111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1226111111111 10.208916666666665, 79.12086111111111 10.2075)"
52,25,T,2W,DB,26,26-25,247.7991169,3.54,23.747467,"2°3'47"" R",10.2075,79.12086111,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12086111111111 10.2075, 79.11841666666666 10.205694444444443)"
53,24,S,,DA,26,25-24,334.2926042,3.81,29.54808,,10.20569444,79.11841667,GOOD,Available,LT,"ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11841666666666 10.205694444444443, 79.11627777777777 10.204138888888888)"
54,23,S,,DA,26,24-23,290.3015483,4.21,26.120293,,10.20413889,79.11627778,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11627777777777 10.204138888888888, 79.11402777777778 10.202416666666666)"
55,22,S,,DA,26,23-22,312.0152065,6.01,21.605881,,10.20241667,79.11402778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11402777777778 10.202416666666666, 79.112 10.200694444444444)"
56,21,T,,DB,26,22-21,293.8425181,5.65,24.336235,"15°16'3"" L",10.20069444,79.112,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.112 10.200694444444444, 79.11055555555555 10.198611111111111)"
57,20,S,,DA,26,21-20,280.048487,5.11,28.161057,,10.19861111,79.11055556,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11055555555555 10.198611111111111, 79.10905555555556 10.196361111111111)"
58,19,S,,DA,26,20-19,297.0222921,2.73,22.63369,,10.19636111,79.10905556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10905555555556 10.196361111111111, 79.10775 10.194305555555555)"
59,18,S,,DA,26,19-18,267.2503921,3.09,30.862549,,10.19430556,79.10775,GOOD,Available,"LT,HT -2NO",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10775 10.194305555555555, 79.1063611111111 10.192194444444445)"
60,17,T,,DB,26,18-17,279.9227123,4.28,31.274841,"0°35'2"" L",10.19219444,79.10636111,GOOD,Available,HT,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1063611111111 10.192194444444445, 79.1048611111111 10.189916666666667)"
61,16,S,,DA,26,17-16,301.4056584,3.07,33.407509,,10.18991667,79.10486111,GOOD,Available,,"Village Road,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1048611111111 10.189916666666667, 79.10324999999999 10.187555555555555)"
62,15,S,,DA,26,16-15,314.1296835,2.79,35.955475,,10.18755556,79.10325,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10324999999999 10.187555555555555, 79.10213888888889 10.185916666666667)"
63,14,T,,DC,26,15-14,219.6370525,1.72,37.970295,"19°37'22"" L",10.18591667,79.10213889,GOOD,Available,LT -3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10213888888889 10.185916666666667, 79.10152777777778 10.183388888888889)"
64,13,T,2W,DB,26,14-13,287.385246,2.3,37.332203,"15°7'9"" L",10.18338889,79.10152778,GOOD,Available,LT,ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10152777777778 10.183388888888889, 79.10155555555555 10.181666666666667)"
65,12,T,,DB,26,13-Dec,190.114636,3.2,37.258251,"5°7'42"" R",10.18166667,79.10155556,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10155555555555 10.181666666666667, 79.10144444444444 10.179972222222222)"
66,11,T,,DB,26,12-Nov,186.347951,2.47,37.622845,"7°47'48"" R",10.17997222,79.10144444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10144444444444 10.179972222222222, 79.101 10.177777777777777)"
67,10,T,,DC,26,11-Oct,249.4886652,2.12,42.829365,"17°28'50"" L",10.17777778,79.101,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.101 10.177777777777777, 79.10125 10.1755)"
68,9,S,,DA,26,10-Sep,252.7106479,4.72,38.209339,,10.1755,79.10125,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10125 10.1755, 79.10144444444444 10.17325)"
69,8,S,,DA,26,09-Aug,248.6491442,2.31,36.882732,,10.17325,79.10144444,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10144444444444 10.17325, 79.10163888888889 10.171)"
70,7,S,,DA,26,08-Jul,252.6658259,4.47,34.287483,,10.171,79.10163889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10163888888889 10.171, 79.10188888888888 10.16836111111111)"
71,6,S,,DA,26,07-Jun,291.3687192,1.65,31.311478,,10.16836111,79.10188889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10188888888888 10.16836111111111, 79.1021111111111 10.166361111111112)"
72,5,T,,DB,26,06-May,224.0169977,2.1,30.568977,"1°1'14"" R",10.16636111,79.10211111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1021111111111 10.166361111111112, 79.10236111111111 10.164)"
73,4,S,,DA,26,05-Apr,260.3924631,3.61,32.7351,,10.164,79.10236111,GOOD,Available,HT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10236111111111 10.164, 79.10255555555555 10.161888888888889)"
74,3,S,,DA,26,04-Mar,234.3329478,2.7,33.564804,,10.16188889,79.10255556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10255555555555 10.161888888888889, 79.10280555555555 10.159277777777778)"
75,2,S,,DA,26,03-Feb,290.9867483,3.41,35.691811,,10.15927778,79.10280556,GOOD,Available,HT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10280555555555 10.159277777777778, 79.10302777777777 10.156972222222223)"
76,1,S,,DA,26,02-Jan,255.6373785,2.1,34.09079,,10.15697222,79.10302778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10302777777777 10.156972222222223, 79.10327777777778 10.154666666666667)"
77, LILO : 1,T,3W,DC,26,1- LILO : 1,257.0973376,1.9,40.004551,"6°12'32"" L",10.15466667,79.10327778,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10327777777778 10.154666666666667, 79.10372222222222 10.152583333333334)"
78, LILO : 2,T,,DC,26, LILO : 1- LILO : 2,237.2077508,2.65,43.883518,"5°51'26"" R",10.15258333,79.10372222,GOOD,Available,HT -3NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10372222222222 10.152583333333334, 79.10374999999999 10.152333333333333)"
79,Gantry (Nagudi SS),Gantry,2W,H-POLE,12, LILO : 2-Gantry,26.3764441,,39.968357,,10.15233333,79.10375,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
