Tower No,Tower Type,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,SA,S,,26,27-28,,281.905,10.34,119.538376,,11.91437022,79.13909267,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13909267228243 11.91437021836736, 79.1366196733471 11.91360621708128)"
29,SD,T,,28,28-29,,282.378,7.41,112.307068," 30d55'23""LT",11.91360622,79.13661967,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1366196733471 11.91360621708128, 79.1348006747128 11.911600215639394)"
30,SA,S,,26,29-30,,297.538,4.58,109.993538,,11.91160022,79.13480067,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1348006747128 11.911600215639394, 79.13318267557356 11.9098062190736)"
31,SA,S,,26,30-31,,265.459,,111.448647,,11.90980622,79.13318268,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13318267557356 11.9098062190736, 79.13122867654666 11.90767521952068)"
32,SA,S,,26,31-32,,317.657,8.13,106.971596,,11.90767522,79.13122868,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13122867654666 11.90767521952068, 79.12971467656537 11.905984220238775)"
33,SC,T,2W,26,32-33,,249.418,7.42,109.395866," 22d57'43""RT",11.90598422,79.12971468,GOOD,GOOD,LT-2,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12971467656537 11.905984220238775, 79.12778167818568 11.905092219867605)"
34,SA,S,,26,33-34,,232.58,1.02,109.900963,,11.90509222,79.12778168,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12778167818568 11.905092219867605, 79.12583067907839 11.904188220129447)"
35,SA,S,,26,34-35,,234.921,2.09,110.47422,,11.90418822,79.12583068,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12583067907839 11.904188220129447, 79.12377267987203 11.90324221566522)"
36,SA,S,,26,35-36,,247.45,7.85,115.053314,,11.90324222,79.12377268,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12377267987203 11.90324221566522, 79.1212566810753 11.902045217130873)"
37,SA,S,,26,36-37,,304.441,,115.746964,,11.90204522,79.12125668,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1212566810753 11.902045217130873, 79.1185216827878 11.900773215337086)"
38,SB,T,,24,37-38,,329.55,5.02,125.222115," 10d18'28""LT",11.90077322,79.11852168,GOOD,GOOD,,METAL RD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1185216827878 11.900773215337086, 79.11675568334819 11.899515218792112)"
39,SA,S,,26,38-39,,237.475,8.72,121.620934,,11.89951522,79.11675568,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11675568334819 11.899515218792112, 79.11479968437789 11.898158223643987)"
40,SA,S,,26,39-40,,260.689,,115.46476,,11.89815822,79.11479968,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11479968437789 11.898158223643987, 79.11285368562251 11.896775216209507)"
41,SC,T,,26,40-41,,261.474,,122.038742," 18d31'28""RT",11.89677522,79.11285369,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11285368562251 11.896775216209507, 79.11042668708954 11.89602021936339)"
42,SA,S,,26,41-42,,277.318,,122.725578,,11.89602022,79.11042669,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11042668708954 11.89602021936339, 79.10813068824955 11.895331216349343)"
43,SA,S,,26,42-43,,261.523,,120.881783,,11.89533122,79.10813069,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10813068824955 11.895331216349343, 79.10540868913948 11.894521224819837)"
44,SC,T,,26,43-44,,309.827,,121.482262," 24d27'48""RT",11.89452122,79.10540869,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10540868913948 11.894521224819837, 79.10335169046098 11.89475122038374)"
45,SA,S,,26,44-45,,225.568,,118.620834,,11.89475122,79.10335169,GOOD,GOOD,LT-1,METAL RD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10335169046098 11.89475122038374, 79.1013836917497 11.895034224834502)"
46,SD,T,,28,45-46,,216.704,,116.961365,"34d8'6""LT",11.89503422,79.10138369,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1013836917497 11.895034224834502, 79.09944069226603 11.894069223630739)"
47,SC,T,,26,46-47,,237.104,,116.344498," 18d3'43""LT",11.89406922,79.09944069,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09944069226603 11.894069223630739, 79.09787269363486 11.892512225668098)"
48,SA,S,,26,47-48,,242.616,,114.796295,,11.89251223,79.09787269,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09787269363486 11.892512225668098, 79.09624669459676 11.890930217401909)"
49,SA,S,,26,48-49,,249.045,,114.753883,,11.89093022,79.09624669,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09624669459676 11.890930217401909, 79.09466969543107 11.889399222974388)"
50,SB,T,2W,24,49-50,,241.281,,111.378052," 7d12'40""LT",11.88939922,79.0946697,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09466969543107 11.889399222974388, 79.09328369619107 11.88767022377512)"
51,SA,S,,26,50-51,,243.719,,112.366058,,11.88767022,79.0932837,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09328369619107 11.88767022377512, 79.09194669639139 11.885962223096428)"
52,SC,T,,26,51-52,,238.604,,115.063774," 25d8'38""RT",11.88596222,79.0919467,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09194669639139 11.885962223096428, 79.09022369756347 11.885118224267364)"
53,SA,S,,26,52-53,,209.683,,113.217072,,11.88511822,79.0902237,GOOD,GOOD,"LT-2, HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09022369756347 11.885118224267364, 79.08794369822232 11.883951221402176)"
54,SA,S,,26,53-54,,279.984,,115.662102,,11.88395122,79.0879437,GOOD,GOOD,,CATRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08794369822232 11.883951221402176, 79.08590870007848 11.882946221044126)"
55,SC,T,,26,54-55,,248.058,,120.063202," 28d22'40""RT",11.88294622,79.0859087,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08590870007848 11.882946221044126, 79.08383570103292 11.883006227488417)"
56,SA,S,,26,55-56,,225.981,,118.986038,,11.88300623,79.0838357,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08383570103292 11.883006227488417, 79.08114270207923 11.883087224854972)"
57,SA,S,,26,56-57,,293.578,6.08,122.61132,,11.88308722,79.0811427,GOOD,GOOD,LT-1,CATRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08114270207923 11.883087224854972, 79.07880270359102 11.883108221290424)"
58,SA,S,,26,57-58,,254.988,,122.753418,,11.88310822,79.0788027,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07880270359102 11.883108221290424, 79.07637770427864 11.883193219346317)"
59,SA,S,,26,58-59,,264.39,,122.834877,,11.88319322,79.0763777,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07637770427864 11.883193219346317, 79.07367370604364 11.883258224907873)"
60,SB,T,,24,59-60,,294.742,8.85,120.186287," 5d7'41""LT",11.88325822,79.07367371,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07367370604364 11.883258224907873, 79.07112970795933 11.883098220231812)"
61,SA,S,,26,60-61,,277.774,,120.708969,,11.88309822,79.07112971,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07112970795933 11.883098220231812, 79.0688727089025 11.882958224084419)"
62,SA,S,,26,61-62,,246.43,,130.205536,,11.88295822,79.06887271,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0688727089025 11.882958224084419, 79.06658771015006 11.882812224705848)"
63,SA,S,,26,62-63,,249.495,,134.659653,,11.88281222,79.06658771,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06658771015006 11.882812224705848, 79.06446471096386 11.88268022473787)"
64,SA,S,,26,63-64,,231.801,,122.713745,,11.88268022,79.06446471,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06446471096386 11.88268022473787, 79.06228471228394 11.882543226355125)"
65,SD,T,,28,64-65,,238.029,,128.258728,"30d33'50""LT",11.88254323,79.06228471,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06228471228394 11.882543226355125, 79.06060471297141 11.881418227633722)"
66,SC,T,2W,26,65-66,,221.369,,130.157806,"25d33'26""RT",11.88141823,79.06060471,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06060471297141 11.881418227633722, 79.05802371483398 11.88103322508128)"
67,SA,S,,26,66-67,,284.477,,120.768089,,11.88103323,79.05802371,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05802371483398 11.88103322508128, 79.05525471602257 11.880622221072398)"
68,SA,S,,26,67-68,,305.202,,120.920692,,11.88062222,79.05525472,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05525471602257 11.880622221072398, 79.05257871763614 11.880236227597988)"
69,SA,S,,26,68-69,,294.947,,125.977676,,11.88023623,79.05257872,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05257871763614 11.880236227597988, 79.05008171852366 11.879868221219144)"
70,SA,S,,26,69-70,,274.641,,131.726257,,11.87986822,79.05008172,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05008171852366 11.879868221219144, 79.04763171990072 11.87948922028055)"
71,SA,S,,26,70-71,,270.404,,124.591019,,11.87948922,79.04763172,GOOD,GOOD,LT-2,RIVER,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04763171990072 11.87948922028055, 79.04518672129977 11.879134222146323)"
72,SA,S,,26,71-72,,269.322,,128.600677,,11.87913422,79.04518672,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04518672129977 11.879134222146323, 79.04275672316442 11.878756223090198)"
73,SA,S,,26,72-73,,268.123,,128.97699,,11.87875622,79.04275672,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04275672316442 11.878756223090198, 79.0403847244512 11.878412220928096)"
74,SA,S,,26,73-74,,261.661,,126.14843,,11.87841222,79.04038472,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0403847244512 11.878412220928096, 79.0379837250964 11.878054223508217)"
75,SA,S,,26,74-75,,264.459,,128.30751,,11.87805422,79.03798373,GOOD,GOOD,,M.ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0379837250964 11.878054223508217, 79.03544572714112 11.877678225336275)"
76,SA,S,,26,75-76,,280.126,,125.606369,,11.87767823,79.03544573,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03544572714112 11.877678225336275, 79.0331597283018 11.877308225939496)"
77,SA,S,,26,76-77,,252.15,,128.319687,,11.87730823,79.03315973,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0331597283018 11.877308225939496, 79.03077872919366 11.876960224546416)"
78,SA,S,,26,77-78,,262.32,,130.053558,,11.87696022,79.03077873,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03077872919366 11.876960224546416, 79.02804073054243 11.87653422282636)"
79,SB,T,2W,24,78-79,,301.568,,135.051178," 11d21'11""RT",11.87653422,79.02804073,GOOD,GOOD,LT-1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02804073054243 11.87653422282636, 79.02534573229066 11.876677226959782)"
80,SA,S,,26,79-80,,294.02,3.72,126.752266,,11.87667723,79.02534573,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02534573229066 11.876677226959782, 79.02293773373631 11.876767223019542)"
81,SA,S,,26,80-81,,262.677,,129.462219,,11.87676722,79.02293773,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02293773373631 11.876767223019542, 79.02029473521979 11.876889229220623)"
82,SA,S,,26,81-82,,288.324,,129.440048,,11.87688923,79.02029474,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02029473521979 11.876889229220623, 79.01762473647108 11.877016227016243)"
83,SC,T,,26,82-83,,291.272,7.23,132.087372,"24d39'20""LT",11.87701623,79.01762474,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01762473647108 11.877016227016243, 79.01717273658909 11.876814226906966)"
84,SA,S,,26,83-84,,237,,135.091309,,11.87681423,79.01717274,GOOD,GOOD,"LT-1,POND",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01717273658909 11.876814226906966, 79.01359473923716 11.87541522195014)"
LILLO 85,SB,T,3W,24,84-85,,237,6.73,135.044464," 114d15'26""RT",11.87541522,79.01359474,GOOD,GOOD,POND,,PLAIN,LILO OUR LINE GOING TO MANALURPET AND OTHER SIDE GOING TO ARIYALUR,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01359473923716 11.87541522195014, 79.01369573863161 11.877903225446682)"
85/1,DC,T,,26,85-85/1,,275.496,,136.870026," 21d35'13""RT",11.87790323,79.01369574,GOOD,GOOD,POND,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01369573863161 11.877903225446682, 79.01463273856824 11.879988224133719)"
2,DA,S,,26,85/1-2,,252.273,2.75,138.181976,,11.87998822,79.01463274,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01463273856824 11.879988224133719, 79.0155447374548 11.88201722438591)"
3,DB,T,,24,3-Feb,,245.505,,134.170685," 6d37'49""RT",11.88201722,79.01554474,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0155447374548 11.88201722438591, 79.01656373709251 11.883767225413932)"
4,DA,S,,26,4-Mar,,223.202,5.32,133.870346,,11.88376723,79.01656374,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01656373709251 11.883767225413932, 79.01761673704888 11.885495219588126)"
5,DA,S,,26,5-Apr,,222.976,,138.273834,,11.88549522,79.01761674,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01761673704888 11.885495219588126, 79.0186567365008 11.887231218902935)"
6,DA,S,,26,6-May,,223.013,,144.668335,,11.88723122,79.01865674,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0186567365008 11.887231218902935, 79.01968473510853 11.888937223669778)"
7,DB,T,,24,7-Jun,,219.49,7.32,144.793686," 13d58'48""LT",11.88893722,79.01968474,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01968473510853 11.888937223669778, 79.02038473560187 11.891239219502728)"
