,Tower No, Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,26,T,,24,27-26,52.16378626,4.26,25,"8⁰1'49"" RT",11.0384,79.56966,GOOD,GOOD,110 KV S/LINE,"CANAL, TAAR, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56966 11.0384, 79.56754 11.03665)"
12,25,S,,26,26-25,301.8616736,3.02,27,,11.03665,79.56754,GOOD,GOOD,"LT (H), 110 KV SL",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56754 11.03665, 79.56561 11.03511)"
13,24,S,,26,25-24,271.0765452,1.95,27,,11.03511,79.56561,GOOD,GOOD,"LT, 11 KV, 110 KV SL",TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56561 11.03511, 79.56363 11.03358)"
14,23,S,,26,24-23,274.6662097,3.72,28,,11.03358,79.56363,GOOD,GOOD,11 KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56363 11.03358, 79.56161 11.03198)"
15,22,T,2W,24,23-22,282.9004918,2.26,27,"11⁰36'23"" RT",11.03198,79.56161,GOOD,GOOD,11 KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56161 11.03198, 79.55991 11.03112)"
16,21,S,,26,22-21,208.6898239,6.7,27,,11.03112,79.55991,GOOD,GOOD,"LT-2, 33 KV",CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55991 11.03112, 79.55815 11.0302)"
17,20,S,,26,21-20,217.5701928,4.81,26,,11.0302,79.55815,GOOD,GOOD,11 KV,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55815 11.0302, 79.555909 11.029078)"
18,19,S,,26,20-19,274.5175984,4.03,27,,11.029078,79.555909,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.555909 11.029078, 79.5537 11.02791)"
19,18,T,,24,19-18,273.768207,2.86,27,"1⁰11'50"" RT",11.02791,79.5537,GOOD,GOOD,LT,"CANAL, TAAR, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5537 11.02791, 79.55169 11.0269)"
20,17,S,,26,18-17,246.405526,3.16,28,,11.0269,79.55169,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55169 11.0269, 79.54966 11.02589)"
21,16,S,,26,17-16,248.3562511,3.48,27,,11.02589,79.54966,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54966 11.02589, 79.54768 11.02492)"
22,15,S,,26,16-15,241.4921952,6.03,27,,11.02492,79.54768,GOOD,GOOD,LT,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54768 11.02492, 79.54564 11.02374)"
23,TAPPING 14,T,,28,15-14,258.3064092,4.25,28,"110⁰15'23"" LT",11.02374,79.54564,GOOD,GOOD,LT,"RIVER, SAND,TAAR",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54564 11.02374, 79.5467 11.02288)"
24,13,S,,26,14-13,149.8781129,2.91,28,,11.02288,79.5467,GOOD,GOOD,LT,"CANAL, TAAR",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5467 11.02288, 79.54793 11.02188)"
25,12,T,,24,13-Dec,174.061185,4.16,27,"0⁰35'45"" LT",11.02188,79.54793,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54793 11.02188, 79.54891 11.0211)"
26,11,T,3W,24,12-Nov,137.5134248,2.25,26,"10⁰41'40"" LT",11.0211,79.54891,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54891 11.0211, 79.55116 11.01991)"
27,10,S,,26,11-Oct,278.8726296,3.71,21,,11.01991,79.55116,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55116 11.01991, 79.55332 11.0188)"
28,9,S,,26,10-Sep,266.0456856,4.9,21,,11.0188,79.55332,GOOD,GOOD,LT,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55332 11.0188, 79.55566 11.01758)"
29,8,S,,26,09-Aug,289.1150754,3.46,22,,11.01758,79.55566,GOOD,GOOD,,"CANAL, TAAR",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55566 11.01758, 79.557907 11.016434)"
30,7,S,,26,08-Jul,276.3194439,3.83,22,,11.016434,79.557907,GOOD,GOOD,,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.557907 11.016434, 79.56073 11.01499)"
31,6,T,,26,07-Jun,347.3674628,1.78,22,"16⁰46'48"" RT",11.01499,79.56073,GOOD,GOOD,"LT, 33 KV",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56073 11.01499, 79.56269 11.01311)"
32,5,T,,28,06-May,298.5090138,3.14,23,"32⁰21'22"" LT",11.01311,79.56269,GOOD,GOOD,,RIVER,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56269 11.01311, 79.56458 11.01272)"
33,4,S,,26,05-Apr,210.9814642,2.08,23,,11.01272,79.56458,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56458 11.01272, 79.5667 11.01223)"
34,3,T,,24,04-Mar,237.9126981,4.36,23,"0⁰26'39"" RT",11.01223,79.5667,GOOD,GOOD,,"RIVER, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5667 11.01223, 79.56879 11.01173)"
35,2,S,,26,03-Feb,234.9799054,3.73,23,,11.01173,79.56879,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56879 11.01173, 79.57095 11.01123)"
36,1,T,,28,02-Jan,242.4209833,2.85,23,"31⁰49'55"" LT",11.01123,79.57095,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57095 11.01123, 79.57122 11.01132)"
37,PALAIYUR GANTRY,T,2W,20,01 - Gantry,31.1376349,,,,11.01132,79.57122,,,,FENCING CROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
