,Tower No,Supspension/Tenion,JOINT BOX,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Longitude,Latitude,,,,,Ground Elevation,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,T.NO- 50,T,,SC,SC,32,49-50,YES,278.4977558,0.68,79.63580556,10.8815,,,,,17,"28°26'36.87""",GOOD,GOOD,NO,"LT,11KV","TAAR ROAD, RIVER CROSSING",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63580555555556 10.8815, 79.63502777777778 10.883694444444444)"
37,T.NO- 51,S,,SA,SC,26,50-51,NO,256.4936646,1.27,79.63502778,10.88369444,,,,,14,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63502777777778 10.883694444444444, 79.63416666666667 10.885972222222222)"
38,T.NO- 52,S,,SA,SC,26,51-52,YES,270.4902956,1.21,79.63416667,10.88597222,,,,,16,,GOOD,GOOD,NO,11 KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63416666666667 10.885972222222222, 79.6333888888889 10.888166666666667)"
39,T.NO- 53,S,,SA,SC,26,52-53,NO,256.4936646,1.86,79.63338889,10.88816667,,,,,16,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6333888888889 10.888166666666667, 79.63263888888888 10.890138888888888)"
40,T.NO- 54,S,,SA,SC,26,53-54,NO,233.4994647,2.02,79.63263889,10.89013889,,,,,17,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63263888888888 10.890138888888888, 79.63180555555554 10.892388888888888)"
41,T.NO- 55,S,,SA,SC,26,54-55,NO,264.4276839,1.35,79.63180556,10.89238889,,,,,16,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63180555555554 10.892388888888888, 79.63094444444444 10.89472222222222)"
42,T.NO- 56,S,,SA,SC,26,55-56,NO,274.854507,1.79,79.63094444,10.89472222,,,,,16,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63094444444444 10.89472222222222, 79.6301111111111 10.897)"
43,T.NO- 57,S,,SA,SC,26,56-57,YES,269.2080979,1.89,79.63011111,10.897,,,,,14,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6301111111111 10.897, 79.62925 10.899277777777778)"
44,T.NO- 58,T,2W,SC,SC,26,57-58,YES,266.0469883,1.62,79.62925,10.89927778,,,,,15,"19°34'37.6""",GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62925 10.899277777777778, 79.62922222222221 10.901694444444445)"
45,T.NO- 59,S,,SA,SC,26,58-59,DIFFICULT,270.0074073,1.72,79.62922222,10.90169444,,,,,20,,GOOD,GOOD,NO,LT-2 NOS,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62922222222221 10.901694444444445, 79.62927777777777 10.90388888888889)"
46,T.NO- 60,S,,SA,SC,26,59-60,DIFFICULT,242.0516474,0.89,79.62927778,10.90388889,,,,,13,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62927777777777 10.90388888888889, 79.62927777777777 10.907111111111112)"
47,T.NO- 61,S,,SA,SC,26,60-61,NO,355.0225345,0.81,79.62927778,10.90711111,,,,,15,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62927777777777 10.907111111111112, 79.62927777777777 10.909472222222222)"
48,T.NO- 62,S,,SA,SC,26,61-62,NO,261,2.05,79.62927778,10.90947222,,,,,11,,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62927777777777 10.909472222222222, 79.62927777777777 10.911777777777779)"
49,T.NO- 63,S,,SA,SC,26,62-63,NO,257.0019455,0.29,79.62927778,10.91177778,,,,,17,,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62927777777777 10.911777777777779, 79.62930555555555 10.914277777777778)"
50,T.NO- 64,S,,SA,SC,26,63-64,DIFFICULT,276.028984,1.22,79.62930556,10.91427778,,,,,13,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62930555555555 10.914277777777778, 79.62927777777777 10.916666666666666)"
51,T.NO- 65,T,,SB,SC,30,64-65,YES,264,0.99,79.62927778,10.91666667,,,,,14,"00°00'0.00""",GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62927777777777 10.916666666666666, 79.62925 10.918222222222221)"
52,T.NO- 66,T,,SB,SC,27,65-66,YES,171.0467772,0.39,79.62925,10.91822222,,,,,20,"3°9'4.1""",GOOD,GOOD,NO,LT,"CANNEL,RIVER, MUD ROAD",CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62925 10.918222222222221, 79.62930555555555 10.920499999999999)"
53,T.NO- 67,T,,SD,SC,28,66-67,YES,253.1264506,1.97,79.62930556,10.9205,,,,,19,"31°18'8.9""",GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62930555555555 10.920499999999999, 79.62866666666666 10.92161111111111)"
54,T.NO- 68,T,,SD,SC,28,67-68,DIFFICULT,140.1606221,1.12,79.62866667,10.92161111,,,,,20,"38°31'1.5""",GOOD,GOOD,NO,,"MUD ROAD, CANNEL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62866666666666 10.92161111111111, 79.62905555555555 10.924111111111111)"
55,T.NO- 69,S,,SA,SC,26,68-69,DIFFICULT,280.4728151,1.22,79.62905556,10.92411111,,,,,21,,GOOD,GOOD,NO,LT,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62905555555555 10.924111111111111, 79.62947222222222 10.926555555555556)"
56,T.NO- 70,S,,SA,SC,26,69-70,NO,272.7379695,,79.62947222,10.92655556,,,,,20,,GOOD,GOOD,NO,LT,CANNEL,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62947222222222 10.926555555555556, 79.62988888888889 10.929138888888888)"
57,T.NO- 71,S,,SA,SC,26,70-71,NO,291.9726015,2.01,79.62988889,10.92913889,,,,,20,,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62988888888889 10.929138888888888, 79.63033333333333 10.932138888888888)"
58,T.NO- 72,S,,SA,SC,26,71-72,NO,332.929422,0.31,79.63033333,10.93213889,,,,,21,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63033333333333 10.932138888888888, 79.63074999999999 10.934666666666667)"
59,T.NO- 73,S,,SA,SC,26,72-73,DIFFICULT,285.5678553,0.82,79.63075,10.93466667,,,,,20,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63074999999999 10.934666666666667, 79.63108333333332 10.93688888888889)"
60,T.NO- 74,T,2W,SC,SC,26,73-74,YES,248.084663,1.22,79.63108333,10.93688889,,,,,22,"18°48'23.8""",GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63108333333332 10.93688888888889, 79.63219444444444 10.938972222222223)"
61,T.NO- 75,S,,SA,SC,26,74-75,NO,259.0019305,1.69,79.63219444,10.93897222,,,,,20,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63219444444444 10.938972222222223, 79.63352777777779 10.941444444444445)"
62,T.NO- 76,S,,SA,SC,26,75-76,NO,310.9421168,1.72,79.63352778,10.94144444,,,,,19,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63352777777779 10.941444444444445, 79.63466666666667 10.94363888888889)"
63,T.NO- 77,S,,SA,SC,26,76-77,NO,271.5308454,2.17,79.63466667,10.94363889,,,,,18,,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63466666666667 10.94363888888889, 79.63597222222224 10.945972222222222)"
64,T.NO- 78,T,,SC,SC,26,77-78,YES,296.2498945,1.92,79.63597222,10.94597222,,,,,18,"21°53'10.4""",GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63597222222224 10.945972222222222, 79.63797222222223 10.94763888888889)"
65,T.NO- 79,S,,SA,SC,26,78-79,NO,286.2953021,2.52,79.63797222,10.94763889,,,,,19,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63797222222223 10.94763888888889, 79.63997222222223 10.949277777777779)"
66,T.NO- 80,S,,SA,SC,26,79-80,NO,282.7083303,1.27,79.63997222,10.94927778,,,,,20,,GOOD,GOOD,NO,LT-2 NOS,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63997222222223 10.949277777777779, 79.64191666666667 10.950916666666666)"
67,T.NO- 81,T,,SB,SC,24,80-81,YES,280.2802169,BUSHES,79.64191667,10.95091667,,,,,19,"9°23'31.2""",GOOD,GOOD,NO,"LT,11KV","2 NOS MUD ROAD, CANNEL",CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64191666666667 10.950916666666666, 79.64325000000001 10.952499999999999)"
68,T.NO- 82,S,,SA,SC,26,81-82,NO,228.4294202,1.77,79.64325,10.9525,,,,,18,,GOOD,GOOD,NO,,"1 TAAR ROAD,2 CANNEL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64325000000001 10.952499999999999, 79.64494444444445 10.954583333333332)"
69,T.NO- 83,S,,SA,SC,26,82-83,NO,292.9846412,1.22,79.64494444,10.95458333,,,,,17,,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64494444444445 10.954583333333332, 79.64652777777779 10.9565)"
70,T.NO- 84,S,,SA,SC,26,83-84,NO,275.8115299,1.19,79.64652778,10.9565,,,,,18,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64652777777779 10.9565, 79.64802777777778 10.95836111111111)"
71,T.NO- 85,S,,SA,SC,26,84-85,NO,263.1539473,2.19,79.64802778,10.95836111,,,,,19,,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64802777777778 10.95836111111111, 79.65 10.960722222222222)"
72,T.NO- 86,S,,SA,SC,26,85-86,YES,339.2992779,1.57,79.65,10.96072222,,,,,16,,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65 10.960722222222222, 79.65122222222223 10.962361111111111)"
73,T.NO- 87,S,,SA,SC,29,86-87,NO,223.0022421,2.17,79.65122222,10.96236111,,,,,15,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65122222222223 10.962361111111111, 79.65291666666667 10.964444444444444)"
74,T.NO- 88,T,,SD,SC,28,87-88,YES,295.6518223,0.25,79.65291667,10.96444444,,,,,17,"30°53'27.5""",GOOD,GOOD,NO,LT,"TAAR ROAD, CANNEL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65291666666667 10.964444444444444, 79.65311111111112 10.965777777777777)"
75,T.NO- 88/1 LILO TO PERALAM,T,3W,LILO,DC,33,88 - 88/1 LILO,NO,151.6047493,1.66,79.65311111,10.96577778,,,,,19,"102°46'51.0""",BAD,GOOD,NO,33 KV,,CULTIVATION LAND,"NEED JUCTION BOX 2 EARTH WIRE. OUR EARTH WIRE CONTINUE TO OUR T.NO-88/2, ANOTHER EARTH WIRE CONNECT TO PERAMBUR 110KV T.NO-89",2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65311111111112 10.965777777777777, 79.65433333333334 10.965333333333332)"
76,T.NO 88/2,T,,DB,DC,27,LILO 88/1 -88/2,YES,141.509717,2.82,79.65433333,10.96533333,,,,,19,"00°00'0.00""",GOOD,GOOD,NO,LT,"TAAR ROAD, CANNEL",CULTIVATION LAND,TOWER BAD BEND,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65433333333334 10.965333333333332, 79.65577777777779 10.964805555555555)"
77,T.NO-88/3,T,,DC,DC,37,88/2--88/3,NO,168.6564556,1.76,79.65577778,10.96480556,,,,,21,"22°42'12.9""",GOOD,GOOD,YES,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65577777777779 10.964805555555555, 79.65741666666668 10.964888888888888)"
78,T.NO -88/4,T,,DC,DC,37,88/3--88/4,NO,180.1360597,1.23,79.65741667,10.96488889,,,,,22,"25°6'19.1""",GOOD,GOOD,YES,"11KV,ELECTRIC RAILWAY CROSSING",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65741666666668 10.964888888888888, 79.65902777777778 10.965722222222222)"
79,T.NO-88/5,T,,DC,DC,29,88/4--88/5,YES,200.3696584,1.53,79.65902778,10.96572222,,,,,24,"21°48'17.3""",GOOD,GOOD,NO,,,,INSIDE SS PERALAM,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65902777777778 10.965722222222222, 79.65933333333334 10.96575)"
80,GANTRY PERALAM,T,2W,GANTRY,GANTRY,20,88/5-GANTRY,SS,31.144823,,79.65933333,10.96575,,,,,19,,GOOD,NO EARTH WIRE,,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
