S. No ,Tower No,Supspension/Tenion,JOINT BOX,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 43,S,,DA,DC,26,42-43,NO,302.6450066,1.71,54,,79.17777778,10.77536111,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17777777777778 10.775361111111112, 79.17977777777779 10.777361111111112)"
12,T.NO 44,S,,DA,DC,26,43-44,NO,309.7159989,1.06,51,,79.17977778,10.77736111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17977777777779 10.777361111111112, 79.18166666666667 10.779333333333334)"
13,T.NO 45,S,,DA,DC,26,44-45,NO,302.6945655,1.69,51,,79.18166667,10.77933333,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18166666666667 10.779333333333334, 79.18355555555556 10.78125)"
14,T.NO 46,S,,DA,DC,26,45-46,YES,294.156421,1.12,51,,79.18355556,10.78125,GOOD,GOOD,NO,3nos 11KV,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18355555555556 10.78125, 79.18452777777779 10.782250000000001)"
15,T.NO 47,T,,DB,DC,27,46-47,NO,152.0690633,1.89,51,"5°13'57.77""",79.18452778,10.78225,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18452777777779 10.782250000000001, 79.1853888888889 10.782972222222224)"
16,T.NO 48,T,,DD,DC,232,47-48,YES,124.739729,0.2,44,"30°40'50.42""",79.18538889,10.78297222,GOOD,GOOD,NO,,POND,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1853888888889 10.782972222222224, 79.18608333333334 10.785166666666667)"
17,T.NO 49,S,,DA,DC,30,48-49,YES,252.667766,,43,,79.18608333,10.78516667,GOOD,GOOD,NO,,HIGHWAY CROSING,PLAIN LAND,OVER BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18608333333334 10.785166666666667, 79.1866388888889 10.786999999999999)"
18,T.NO 50,T,,DD,DC,26,49-50,NO,212.2569198,0.87,43,"42°40'23.16""",79.18663889,10.787,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1866388888889 10.786999999999999, 79.18702777777779 10.787222222222223)"
19,LILO-1,T,3W,DD,LILO,29,50-1 LILO,YES,47.50789408,1.44,44,"86°13'18.49""",79.18702778,10.78722222,GOOD,GOOD,NO,,,CULTIVATION LAND,"LILO TO POONDI 110KV ( NEED JUCTION BOX )   2 EARTH WIRE, 1 E/W CONNECT TO POONDI 110KV T.NO-51, OUR E/W CONTINUE TO OUR T.NO-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18702777777779 10.787222222222223, 79.18619444444445 10.788833333333333)"
20,T.NO-2,T,,DC,DC,26,1--2,NO,201.246118,1.87,47,"24°54'17.17""",79.18619444,10.78883333,GOOD,GOOD,NO,"11KV, 33KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18619444444445 10.788833333333333, 79.18608333333334 10.791333333333332)"
21,T.NO-3,S,,DA,DC,24,02-Mar,NO,276.1159177,1.67,46,,79.18608333,10.79133333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18608333333334 10.791333333333332, 79.18602777777778 10.793694444444444)"
22,T.NO-4,S,,DA,DC,24,03-Apr,YES,262.0477056,2.17,47,,79.18602778,10.79369444,GOOD,GOOD,NO,LT,"TAAR ROAD, CANAL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18602777777778 10.793694444444444, 79.18591666666667 10.796027777777777)"
23,T.NO-5,S,,DA,DC,24,04-May,NO,259.1929783,2.09,47,,79.18591667,10.79602778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18591666666667 10.796027777777777, 79.18586111111111 10.798388888888889)"
24,T.NO-6,S,,DA,DC,24,05-Jun,NO,260.0942137,2.18,46,,79.18586111,10.79838889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18586111111111 10.798388888888889, 79.18575 10.800916666666668)"
25,T.NO-7,T,,DC,DC,26,06-Jul,YES,281.1138559,2.27,45,"27°31'14.29""",79.18575,10.80091667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18575 10.800916666666668, 79.18680555555557 10.803083333333333)"
26,T.NO-8,S,,DA,DC,24,07-Aug,NO,265.6633208,2.16,41,,79.18680556,10.80308333,GOOD,GOOD,NO,"LT, 11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18680555555557 10.803083333333333, 79.18783333333333 10.805361111111111)"
27,T.NO-9,S,,DA,DC,30,08-Sep,YES,273.8558015,2.76,42,,79.18783333,10.80536111,GOOD,GOOD,NO,,"MUD ROAD, CANAL",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18783333333333 10.805361111111111, 79.18875 10.807277777777779)"
28,T.NO-10,T,,DD,DC,26,09-Oct,YES,235.7328997,2.17,43,"32°0'59.90""",79.18875,10.80727778,GOOD,GOOD,NO,,"RIVER, TAAR ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18875 10.807277777777779, 79.18844444444444 10.809694444444444)"
29,T.NO-11,S,,DA,DC,24,10-Nov,NO,267.8002987,,44,,79.18844444,10.80969444,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18844444444444 10.809694444444444, 79.18819444444445 10.811805555555557)"
30,T.NO-12,S,,DA,DC,24,11-Dec,NO,235.5525419,,44,,79.18819444,10.81180556,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18819444444445 10.811805555555557, 79.18791666666667 10.814166666666667)"
31,T.NO-13,S,,DA,DC,24,Dec-13,NO,264.7054967,,45,,79.18791667,10.81416667,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18791666666667 10.814166666666667, 79.18761111111111 10.816361111111112)"
32,T.NO-14,S,,DA,DC,24,13-14,NO,244.8448488,,46,,79.18761111,10.81636111,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18761111111111 10.816361111111112, 79.18727777777778 10.819166666666666)"
33,T.NO-15,T,2W,DC,DC,26,14-15,NO,310.9758833,,46,"19°29'27.98""",79.18727778,10.81916667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18727777777778 10.819166666666666, 79.18625 10.821194444444444)"
34,T.NO-16,S,,DA,DC,26,15-16,NO,251.3483638,,48,,79.18625,10.82119444,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18625 10.821194444444444, 79.18502777777778 10.825)"
35,T.NO-17,S,,DA,DC,26,16-17,NO,440.5553314,,46,,79.18502778,10.825,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18502777777778 10.825, 79.18372222222223 10.826083333333333)"
36,T.NO-18,S,,DA,DC,30,17-18,YES,187.9707424,2.37,46,,79.18372222,10.82608333,GOOD,GOOD,NO,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18372222222223 10.826083333333333, 79.18244444444444 10.8285)"
37,T.NO-19,S,,DA,DC,27,18-19,NO,300.9867107,,43,,79.18244444,10.8285,GOOD,GOOD,NO,,HIGHWAY CROSING (UNDER CONSTRUCTION),CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18244444444444 10.8285, 79.18116666666667 10.830916666666667)"
38,T.NO-20,T,,DD,DC,32,19-20,NO,302.3325983,,43,"51°53'15.39""",79.18116667,10.83091667,GOOD,GOOD,YES,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18116666666667 10.830916666666667, 79.18030555555556 10.831083333333334)"
39,T.NO-21,T,,DD,DC,32,20-21,NO,94.72592042,,42,"70°0'58.68""",79.18030556,10.83108333,GOOD,GOOD,YES,,NON ELECTRICAL RAILWAY CROSSING,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18030555555556 10.831083333333334, 79.17991666666667 10.833416666666666)"
40,T.NO-22,S,,DA,DC,24,21-22,NO,261.2374399,,41,,79.17991667,10.83341667,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17991666666667 10.833416666666666, 79.17947222222223 10.836027777777778)"
41,T.NO-23,S,,DA,DC,24,22-23,NO,292.9590415,,41,,79.17947222,10.83602778,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17947222222223 10.836027777777778, 79.17902777777778 10.83863888888889)"
42,T.NO-24,T,,DD,DC,26,23-24,YES,292.9590415,2.17,40,"41°22'0.48""",79.17902778,10.83863889,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17902777777778 10.83863888888889, 79.17702777777778 10.840222222222224)"
43,T.NO-25,T,,DD,DC,26,24-25,NO,280.032141,1.91,41,"19°55'48.57""",79.17702778,10.84022222,GOOD,GOOD,NO,,"TAAR ROAD, CANAL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17702777777778 10.840222222222224, 79.17605555555556 10.841777777777779)"
44,T.NO-26,S,,DA,DC,24,25-26,NO,202.7116178,2.27,42,,79.17605556,10.84177778,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17605555555556 10.841777777777779, 79.17505555555556 10.843361111111111)"
45,T.NO-27,S,,DA,DC,24,26-27,NO,206.1698329,,41,,79.17505556,10.84336111,GOOD,GOOD,NO,"LT, 11KV",,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17505555555556 10.843361111111111, 79.17405555555555 10.844944444444446)"
46,T.NO-28,T,2W,DB,DC,24,27-28,NO,207.0193228,,43,"2°23'11.50""",79.17405556,10.84494444,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17405555555555 10.844944444444446, 79.17297222222223 10.846805555555557)"
47,T.NO-29,S,,DA,DC,24,28-29,NO,236.4148895,2.27,44,,79.17297222,10.84680556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17297222222223 10.846805555555557, 79.17188888888889 10.848722222222223)"
48,T.NO-30,T,,DC,DC,26,29-30,NO,243.0185178,1.67,42,"14°57'53.21""",79.17188889,10.84872222,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,ONE LEG CONCRETE BROKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17188888888889 10.848722222222223, 79.17133333333334 10.850916666666667)"
49,T.NO-31,T,,DD,DC,29,30-31,NO,251.2687804,3.17,37,"34°46'56.79""",79.17133333,10.85091667,GOOD,GOOD,NO,LT,"RIVER, 2nosTAAR ROAD, CANAL",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17133333333334 10.850916666666667, 79.17227777777778 10.853416666666666)"
50,T.NO-32,S,,DA,DC,24,31-32,NO,293.429719,,37,,79.17227778,10.85341667,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17227777777778 10.853416666666666, 79.17325000000001 10.855888888888888)"
51,T.NO-33,S,,DA,DC,24,32-33,NO,293.5864438,,36,,79.17325,10.85588889,GOOD,GOOD,NO,,CANAL,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17325000000001 10.855888888888888, 79.17419444444445 10.85836111111111)"
52,T.NO-34,T,,DC,DC,26,33-34,NO,293.78904,,35,"15°49'2.52""",79.17419444,10.85836111,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17419444444445 10.85836111111111, 79.17444444444445 10.861083333333333)"
53,T.NO-35,S,,DA,DC,24,34-35,NO,301.3038334,,34,,79.17444444,10.86108333,GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17444444444445 10.861083333333333, 79.17469444444446 10.863805555555555)"
54,T.NO-36,S,,DA,DC,24,35-36,NO,304.2909792,,38,,79.17469444,10.86380556,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17469444444446 10.863805555555555, 79.17494444444445 10.866666666666667)"
55,T.NO-37,S,,DA,DC,24,36-37,NO,316.5217212,,38,,79.17494444,10.86666667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17494444444445 10.866666666666667, 79.17519444444444 10.869305555555556)"
56,T.NO-38,S,,DA,DC,24,37-38,NO,292.2498931,,38,,79.17519444,10.86930556,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17519444444444 10.869305555555556, 79.17544444444445 10.872222222222224)"
57,T.NO-39,T,2W,DB,DC,24,38-39,NO,325.4796461,,38,"2°36'47.27""",79.17544444,10.87222222,GOOD,GOOD,NO,"LT, 11KV",CANAL,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17544444444445 10.872222222222224, 79.17555555555556 10.874777777777778)"
58,T.NO-40,S,,DA,DC,24,39-40,YES,281.3485383,1.28,39,,79.17555556,10.87477778,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17555555555556 10.874777777777778, 79.17569444444445 10.877472222222222)"
59,T.NO-41,S,,DA,DC,24,40-41,NO,300.5395149,1.61,41,,79.17569444,10.87747222,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17569444444445 10.877472222222222, 79.17580555555556 10.880083333333333)"
60,T.NO-42,S,,DA,DC,24,41-42,NO,286.2953021,,41,,79.17580556,10.88008333,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17580555555556 10.880083333333333, 79.17591666666667 10.882722222222222)"
61,T.NO-43,T,,DD,DC,26,42-43,YES,294.2872746,1.91,42,"54°24'44.42""",79.17591667,10.88272222,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17591666666667 10.882722222222222, 79.17822222222223 10.884222222222222)"
62,T.NO-44,T,,DB,DC,24,43-44,NO,300.6659276,1.67,41,"10°26'9.45""",79.17822222,10.88422222,GOOD,GOOD,NO,LT cum 11KV,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17822222222223 10.884222222222222, 79.17986111111112 10.884916666666665)"
63,T.NO-45,S,,DA,DC,27,44-45,NO,195,1.66,43,,79.17986111,10.88491667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17986111111112 10.884916666666665, 79.18138888888889 10.8855)"
64,T.NO-46,T,,DB,DC,24,45-46,YES,181.0690476,,39,"14°14'57.26""",79.18138889,10.8855,GOOD,GOOD,NO,LT cum 11KV,TAAR ROAD,CULTIVATION LAND,WATER PRESENT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18138888888889 10.8855, 79.18316666666666 10.886777777777777)"
65,T.NO-47,S,,DA,DC,24,46-47,YES,238.8911886,1.99,41,,79.18316667,10.88677778,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18316666666666 10.886777777777777, 79.18516666666667 10.888194444444444)"
66,T.NO-48,S,,DA,DC,24,47-48,NO,268.8810146,2.06,42,,79.18516667,10.88819444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18516666666667 10.888194444444444, 79.18719444444444 10.889555555555555)"
67,T.NO-49,T,,DC,DC,26,48-49,NO,267.9253627,,43,"21°7'11.78""",79.18719444,10.88955556,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION LAND,INSIDE FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18719444444444 10.889555555555555, 79.18775000000001 10.889694444444444)"
68,T.NO-50,T,,DC,DC,26,49-50,YES,62.58594091,,42,"15°47'18.26""",79.18775,10.88969444,GOOD,GOOD,NO,LT,,PLAIN LAND,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18775000000001 10.889694444444444, 79.18791666666667 10.889666666666667)"
69,GANTRY AYYAMPETTAI 110KV,GANTRY,2W,T,GANTRY,20,50-GANTRY,SS,20.02498439,,43,,79.18791667,10.88966667,GOOD,NO,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
