S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,T.NO.27DC,T,32,26-27,YES,233.43093196918014,1.41,91,"16°51'15.4""",78.69513888888889,10.921916666666666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69513888888889 10.921916666666666, 78.69683333333333 10.922527777777777)"
29,T.NO.28DC,S,26,27-28,YES,195.757503049053,-,91,,78.69683333333333,10.922527777777777,GOOD,GOOD,NO,LT,TAAR ROAD (TRICHY - THURAIYUR),PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69683333333333 10.922527777777777, 78.69938888888889 10.92325)"
30,T.NO.29DC,S,26,28-29,NO,288.7351727794866,1.07,87,,78.69938888888889,10.92325,GOOD,GOOD,NO,2NOS  LT,MUD ROAD  ,PLAIN LAND,NALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69938888888889 10.92325, 78.70191666666668 10.923944444444444)"
31,T.NO.30DC,T,27,29-30,NO,289.4304752440558,3.32,85,"00°00'00.0""",78.70191666666668,10.923944444444444,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70191666666668 10.923944444444444, 78.70416666666667 10.924666666666665)"
32,T.NO.31DC,S,26,30-31,YES,256.51705596314645,0.38,89,,78.70416666666667,10.924666666666665,GOOD,GOOD,NO,2NOS LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70416666666667 10.924666666666665, 78.70672222222223 10.925416666666665)"
33,T.NO.32DC,S,26,31-32,YES,293.960881751297,1.57,93,,78.70672222222223,10.925416666666665,GOOD,GOOD,NO,4NOS LT,2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70672222222223 10.925416666666665, 78.70897222222223 10.926138888888888)"
34,T.NO.33DC,S,26,32-33,NO,256.51705596314645,1.1,91,,78.70897222222223,10.926138888888888,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70897222222223 10.926138888888888, 78.71152777777777 10.926888888888888)"
35,T.NO.34DC,T,24,33-34,NO,293.6800980659057,1.69,90,"00°00'00.0""",78.71152777777777,10.926888888888888,GOOD,GOOD,NO,LT,,PLAIN LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71152777777777 10.926888888888888, 78.714 10.927638888888888)"
36,T.NO.35DC,T,24,34-35,NO,282.8462479864281,4.45,92,"00°00'00.0""",78.714,10.927638888888888,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.714 10.927638888888888, 78.71636111111111 10.928333333333333)"
37,T.NO.36DC,S,26,35-36,YES,269.3640659033792,3.45,90,,78.71636111111111,10.928333333333333,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71636111111111 10.928333333333333, 78.71883333333334 10.929083333333333)"
38,T.NO.37DC,S,26,36-37,NO,281.88827574058485,2.89,85,,78.71883333333334,10.929083333333333,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71883333333334 10.929083333333333, 78.72147222222222 10.92986111111111)"
39,T.NO.38DC,T,27,37-38,YES,300.6825568602209,0.25,84,"4°23'0.0""",78.72147222222222,10.92986111111111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72147222222222 10.92986111111111, 78.72361111111111 10.930305555555554)"
