S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41, 63/41,T,,DC,26, 63/40- 63/41,275.6643584,2.16,23.771244,"1°6'42"" L",10.256,79.23038889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2303888888889 10.256, 79.2325 10.256361111111111)"
42, 63/42,S,,DA,26, 63/41- 63/42,235.0639649,1.55,25.661781,,10.25636111,79.2325,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2325 10.256361111111111, 79.23411111111112 10.256638888888888)"
43, 63/43,S,,DA,26, 63/42- 63/43,179.1388372,2.86,23.430279,,10.25663889,79.23411111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23411111111112 10.256638888888888, 79.23625 10.256972222222222)"
44, 63/44,T,,DC,26, 63/43- 63/44,237.9078563,1.07,23.600399,"23°11'57"" R",10.25697222,79.23625,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23625 10.256972222222222, 79.23806388888889 10.256302777777778)"
45, 63/45,T,2W,DC,26, 63/44- 63/45,220,3.27,23.632561,"0°33'46"" R",10.25630278,79.23806389,GOOD,Available,,"ROAD,POND",PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23806388888889 10.256302777777778, 79.24011944444445 10.25553888888889)"
46, 63/46,S,,DA,26, 63/45- 63/46,240,1.26,23.319408,,10.25553889,79.24011944,GOOD,Available,,POND IN SIDE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24011944444445 10.25553888888889, 79.24278333333334 10.254502777777779)"
47, 63/47,S,,DA,26, 63/46- 63/47,308,1.99,24.154663,,10.25450278,79.24278333,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24278333333334 10.254502777777779, 79.24516666666666 10.253694444444445)"
48, 63/48,T,,DC,26, 63/47- 63/48,282.0360168,3.41,23.067211,"17°47'4"" R",10.25369444,79.24516667,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24516666666666 10.253694444444445, 79.24711111111111 10.252194444444445)"
49, 63/49,T,,DC,26, 63/48- 63/49,270.7474174,2.56,23.859447,"14°12'27"" L",10.25219444,79.24711111,GOOD,Available, 2 HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24711111111111 10.252194444444445, 79.24888888888889 10.251388888888888)"
50, 63/50,S,,DA,26, 63/49- 63/50,212.6884965,4.63,23.943409,,10.25138889,79.24888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24888888888889 10.251388888888888, 79.25083333333333 10.250472222222223)"
51, 63/51,S,,DA,26, 63/50- 63/51,234.8195518,3.73,19.534748,,10.25047222,79.25083333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25083333333333 10.250472222222223, 79.25291666666666 10.2495)"
52, 63/52,S,,DA,26, 63/51- 63/52,254.2366454,2.29,18.215351,,10.2495,79.25291667,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25291666666666 10.2495, 79.2551111111111 10.2485)"
53, 63/53,T,,DC,26, 63/52- 63/53,264.5763565,3.1,19.265381,"20°15'9"" L",10.2485,79.25511111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2551111111111 10.2485, 79.25752777777778 10.248305555555556)"
54, 63/54,S,,DA,26, 63/53- 63/54,267.1405549,2.6,18.418854,,10.24830556,79.25752778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25752777777778 10.248305555555556, 79.25963888888889 10.248083333333332)"
55, 63/55,S,,DA,26, 63/54- 63/55,230.3910516,4.23,18.556812,,10.24808333,79.25963889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25963888888889 10.248083333333332, 79.26169444444444 10.247888888888887)"
56, 63/56,T,,DC,26, 63/55- 63/56,228.3604898,2.31,15.744591,"34°34'44"" L",10.24788889,79.26169444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26169444444444 10.247888888888887, 79.26341666666667 10.24886111111111)"
57, 63/57,S,,DA,26, 63/56- 63/57,213.3607032,4.46,17.049679,,10.24886111,79.26341667,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26341666666667 10.24886111111111, 79.26530555555556 10.249916666666666)"
58, 63/58,S,,DA,26, 63/57- 63/58,240.3444139,2.01,17.735527,,10.24991667,79.26530556,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26530555555556 10.249916666666666, 79.26716666666667 10.250972222222222)"
59, 63/59,T,2W,DC,26, 63/58- 63/59,234.0644641,2.97,16.447987,"31°3'51"" R",10.25097222,79.26716667,GOOD,Available,,Village Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26716666666667 10.250972222222222, 79.269 10.250944444444444)"
60, 63/60,S,,DA,26, 63/59- 63/60,201.7294584,3.16,15.865101,,10.25094444,79.269,GOOD,Available,"2 HT, 2 LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.269 10.250944444444444, 79.27147222222222 10.251)"
61, 63/61,T,,DC,26, 63/60- 63/61,271.3174544,2.63,14.443083,"20°43'55"" L",10.251,79.27147222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27147222222222 10.251, 79.27288888888889 10.251555555555555)"
62, 63/62,T,,DC,26, 63/61- 63/62,167.3239359,1.67,13.492933,"20°56'51"" L",10.25155556,79.27288889,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27288888888889 10.251555555555555, 79.27408333333334 10.252638888888889)"
63, 63/63,S,,DA,26, 63/62- 63/63,176.9638552,2.39,12.692668,,10.25263889,79.27408333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27408333333334 10.252638888888889, 79.27583333333334 10.25425)"
64, 63/64,T,,DC,26, 63/63- 63/64,261.9418577,1.03,11.00146,"9°1'56"" L",10.25425,79.27583333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27583333333334 10.25425, 79.27711111111111 10.255916666666666)"
65, 63/65,S,,DA,26, 63/64- 63/65,231.6292341,2.09,12.323585,,10.25591667,79.27711111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27711111111111 10.255916666666666, 79.27855555555556 10.257722222222222)"
66, 63/66,S,,DA,26, 63/65- 63/66,252.7038609,3.18,12.438129,,10.25772222,79.27855556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27855555555556 10.257722222222222, 79.27961111111111 10.259)"
67, 63/67,T,,DC,26, 63/66- 63/67,184.8586165,2.78,11.03883,"30°38'9"" R",10.259,79.27961111,GOOD,Available,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27961111111111 10.259, 79.28202777777777 10.259833333333333)"
68, 63/68,T,,DC,26, 63/67- 63/68,279.7395814,3.06,9.202969,"44°30'19"" R",10.25983333,79.28202778,GOOD,Available,HT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28202777777777 10.259833333333333, 79.28325 10.259277777777777)"
69, 63/69,T,,DC,26, 63/68- 63/69,148.4928124,0.08,9.52437,"9°4'4"" L",10.25927778,79.28325,GOOD,Available,"LT,HT",POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28325 10.259277777777777, 79.2833888888889 10.25925)"
70,Gantry (Sandhuvasachatram SS),Gantry,2W,H-POLE,12, 63/69-Gantry,16.17216614,,9.181503,,10.25925,79.28338889,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
